Model_Type,Framework,N_Samples,AUROC,AUPRC,MCC,Brier_Score,Prediction_Certainty
Individual model,XGB_RDKIT,3186,0.8864,0.8935,0.6232,0.1362,0.6669
Individual model,XGB_ECFP,3186,0.8663,0.8691,0.5885,0.1483,0.5228
Individual model,XGB_MACCS,3186,0.8609,0.8675,0.5615,0.1522,0.5857
Individual model,BILSTM_RDKIT,3186,0.8608,0.8703,0.5691,0.1641,0.7805
Individual model,BILSTM_ECFP,3186,0.8478,0.8575,0.5468,0.1911,0.8645
Individual model,BILSTM_MACCS,3186,0.8353,0.8489,0.5246,0.1764,0.7236
Consensus 2,XGB_RDKIT + XGB_ECFP,3186,0.8901,0.8953,0.6351,0.1333,0.5709
Consensus 2,XGB_RDKIT + XGB_MACCS,3186,0.888,0.8943,0.6198,0.1348,0.5963
Consensus 2,XGB_RDKIT + BILSTM_RDKIT,3186,0.8832,0.8901,0.603,0.1415,0.7022
Consensus 2,XGB_RDKIT + BILSTM_ECFP,3186,0.8825,0.8922,0.5952,0.1425,0.7107
Consensus 2,XGB_RDKIT + BILSTM_MACCS,3186,0.8813,0.8883,0.6053,0.1401,0.6433
Consensus 2,XGB_ECFP + XGB_MACCS,3186,0.8764,0.8808,0.6125,0.1431,0.531
Consensus 2,XGB_ECFP + BILSTM_RDKIT,3186,0.8817,0.8868,0.6112,0.1394,0.6151
Consensus 2,XGB_ECFP + BILSTM_ECFP,3186,0.8654,0.8685,0.5593,0.152,0.6666
Consensus 2,XGB_ECFP + BILSTM_MACCS,3186,0.8675,0.8733,0.5805,0.1477,0.5849
Consensus 2,XGB_MACCS + BILSTM_RDKIT,3186,0.8807,0.8869,0.598,0.1411,0.6366
Consensus 2,XGB_MACCS + BILSTM_ECFP,3186,0.8708,0.8794,0.5662,0.1484,0.671
Consensus 2,XGB_MACCS + BILSTM_MACCS,3186,0.8564,0.8644,0.5432,0.1578,0.6399
Consensus 2,BILSTM_RDKIT + BILSTM_ECFP,3186,0.8732,0.8828,0.59,0.1498,0.7381
Consensus 2,BILSTM_RDKIT + BILSTM_MACCS,3186,0.8742,0.8813,0.5955,0.1483,0.6803
Consensus 2,BILSTM_ECFP + BILSTM_MACCS,3186,0.8618,0.8739,0.5761,0.1555,0.7091
Consensus 3,XGB_RDKIT + XGB_ECFP + XGB_MACCS,3186,0.8899,0.895,0.638,0.1342,0.5579
Consensus 3,XGB_RDKIT + XGB_ECFP + BILSTM_RDKIT,3186,0.889,0.8948,0.6107,0.1343,0.6205
Consensus 3,XGB_RDKIT + XGB_ECFP + BILSTM_ECFP,3186,0.8842,0.8903,0.601,0.1373,0.6353
Consensus 3,XGB_RDKIT + XGB_ECFP + BILSTM_MACCS,3186,0.8864,0.8917,0.6284,0.136,0.5863
Consensus 3,XGB_RDKIT + XGB_MACCS + BILSTM_RDKIT,3186,0.8882,0.8945,0.618,0.1353,0.6349
Consensus 3,XGB_RDKIT + XGB_MACCS + BILSTM_ECFP,3186,0.8864,0.894,0.6084,0.1359,0.6416
Consensus 3,XGB_RDKIT + XGB_MACCS + BILSTM_MACCS,3186,0.8801,0.8867,0.5983,0.1407,0.6152
Consensus 3,XGB_RDKIT + BILSTM_RDKIT + BILSTM_ECFP,3186,0.8859,0.8945,0.6239,0.1382,0.6975
Consensus 3,XGB_RDKIT + BILSTM_RDKIT + BILSTM_MACCS,3186,0.8857,0.8921,0.6182,0.1381,0.6605
Consensus 3,XGB_RDKIT + BILSTM_ECFP + BILSTM_MACCS,3186,0.8832,0.8918,0.6122,0.1388,0.6668
