ligand,best_pose_rank,affinity (kcal/mol),Ki_estimated (M),Ki_estimated (uM)
Ligand_control_CEL,1,-6.001,4.03E-05,40.3
Ligand_5,1,-5.808,5.58E-05,55.8
Ligand_6,1,-5.763,6.02E-05,60.2
Ligand_15,1,-5.761,6.04E-05,60.4
Ligand_18,1,-5.713,6.55E-05,65.5
Ligand_7,1,-5.698,6.71E-05,67.1
Ligand_8,1,-5.698,6.71E-05,67.1
Ligand_14,1,-5.689,6.82E-05,68.2
Ligand_3,1,-5.648,7.30E-05,73
Ligand_9,1,-5.638,7.43E-05,74.3
Ligand_13,1,-5.484,9.63E-05,96.3
Ligand_10,1,-5.398,1.11E-04,111
Ligand_4,1,-5.38,1.15E-04,115
Ligand_16,1,-5.349,1.21E-04,121
Ligand_12,1,-5.312,1.29E-04,129
Ligand_19,1,-5.182,1.60E-04,160
Ligand_11,1,-5.125,1.76E-04,176
Ligand_20,1,-5.117,1.79E-04,179
Ligand_17,1,-5.033,2.06E-04,206
Ligand_1,1,-4.796,3.07E-04,307
Ligand_2,1,-4.688,3.69E-04,369
