ligand,role,best_pose_rank,affinity (kcal/mol),Ki_estimated (M),RMSD_to_Ref (A)
Ligand_control_CEL,Reference,1,-11.760,2.440e-09,1.076
Ligand_15,Test,1,-9.314,1.509e-07,N/A
Ligand_14,Test,1,-9.084,2.224e-07,N/A
Ligand_2,Test,1,-8.698,4.264e-07,N/A
Ligand_19,Test,1,-8.635,4.742e-07,N/A
Ligand_18,Test,1,-8.481,6.149e-07,N/A
Ligand_20,Test,1,-8.477,6.190e-07,N/A
Ligand_1,Test,1,-8.442,6.567e-07,N/A
Ligand_8,Test,1,-8.266,8.836e-07,N/A
Ligand_17,Test,1,-8.258,8.956e-07,N/A
Ligand_3,Test,1,-8.248,9.108e-07,N/A
Ligand_12,Test,1,-8.230,9.389e-07,N/A
Ligand_11,Test,1,-8.047,1.278e-06,N/A
Ligand_13,Test,1,-7.942,1.526e-06,N/A
Ligand_7,Test,1,-7.854,1.770e-06,N/A
Ligand_5,Test,1,-7.519,3.114e-06,N/A
Ligand_6,Test,1,-7.024,7.175e-06,N/A
Ligand_9,Test,1,-6.727,1.184e-05,N/A
Ligand_4,Test,1,-6.302,2.424e-05,N/A
Ligand_10,Test,1,-6.060,3.646e-05,N/A
Ligand_16,Test,1,-6.020,3.901e-05,N/A
