ligand,role,best_pose_rank,affinity (kcal/mol),Ki_estimated (M),RMSD_to_Ref (A)
Ligand_control_CEL,Reference,1,-11.73,2.57E-09,1.201
Ligand_15,Test,1,-9.394,1.32E-07,N/A
Ligand_14,Test,1,-9.21,1.80E-07,N/A
Ligand_8,Test,1,-8.912,2.97E-07,N/A
Ligand_2,Test,1,-8.686,4.35E-07,N/A
Ligand_19,Test,1,-8.68,4.40E-07,N/A
Ligand_20,Test,1,-8.578,5.22E-07,N/A
Ligand_18,Test,1,-8.508,5.88E-07,N/A
Ligand_1,Test,1,-8.407,6.97E-07,N/A
Ligand_3,Test,1,-8.323,8.03E-07,N/A
Ligand_17,Test,1,-8.259,8.94E-07,N/A
Ligand_12,Test,1,-8.229,9.41E-07,N/A
Ligand_11,Test,1,-8.141,1.09E-06,N/A
Ligand_13,Test,1,-7.964,1.47E-06,N/A
Ligand_7,Test,1,-7.787,1.98E-06,N/A
Ligand_5,Test,1,-7.697,2.31E-06,N/A
Ligand_6,Test,1,-7.082,6.51E-06,N/A
Ligand_9,Test,1,-7.042,6.96E-06,N/A
Ligand_10,Test,1,-6.573,1.54E-05,N/A
Ligand_4,Test,1,-6.431,1.95E-05,N/A
Ligand_16,Test,1,-5.951,4.38E-05,N/A
