ligand,5LOX_6NCF,COX1_1EQH,COX2_3LN1,COX2_5KIR,mPGES1_5TL9
Ligand_1,,-8.124,-8.407,-8.629,-7.668
Ligand_3,-7.053,-7.272,-8.323,-8.571,-7.429
Ligand_7,,-7.601,-7.787,-8.371,-7.347
Ligand_6,,-7.654,-7.082,-7.922,-7.298
Ligand_5,-7.189,-7.625,-7.697,-9.001,-7.229
Ligand_8,,-7.567,-8.912,-8.759,-7.124
Ligand_2,-7.419,-7.831,-8.686,-8.215,-7.115
Ligand_15,-7.12,-7.905,-9.394,-9.225,
Ligand_14,-7.147,-8.291,-9.21,-8.945,
Ligand_19,,-7.333,-8.68,-8.406,
Ligand_18,,-7.818,-8.508,-8.291,
Ligand_20,,,-8.578,-7.896,
Ligand_17,,,-8.259,-7.749,
Ligand_11,,,-8.141,-7.688,
Ligand_9,,-7.205,-7.042,-7.593,
Ligand_12,,,-8.229,-7.509,
Ligand_13,,,-7.964,-7.09,
