LigandID,canonical_smiles,compound_name
6668,O=C(NCc1ccc(Cl)cc1Cl)N1CCN(c2ccccn2)CC1,stage_wise1
1705,COc1ccc(C=C2CCc3ccccc3C2=O)cc1,stage_wise2
3591,COc1cc(/C=N\NC(=O)c2ccc(-c3ccccc3)cc2)cc(Br)c1O,stage_wise3
1338,CC(=O)c1ccc(NC(=O)Nc2ccc([N+](=O)[O-])cc2C)cc1,stage_wise4
2369,O=C(Nc1ccc(OC(F)F)cc1)Nc1cccc(C(F)(F)F)c1,stage_wise5
2515,O=C(Nc1ccc([N+](=O)[O-])cc1)Nc1ccc(OC(F)F)c(Cl)c1,stage_wise6
2706,O=C(Oc1ccccc1C(=O)Nc1ccccc1)c1ccccc1Br,stage_wise7
3859,Cc1ccccc1C(=O)NNC(=S)NC(=O)c1ccc(Cl)cc1Cl,stage_wise8
3864,Cc1ccc(C(=O)NNC(=S)NC(=O)c2ccc(Cl)cc2Cl)cc1,stage_wise9
3900,Cc1ccc(C(=O)NNC(=S)NC(=O)c2ccc(Cl)cc2)cc1,stage_wise10
4053,Cc1cccc(C(=O)NC(=S)NNC(=O)c2ccccc2Cl)c1,stage_wise11
4077,Cc1ccccc1C(=O)NNC(=S)NC(=O)c1ccccc1,stage_wise12
4420,COc1ccc(C(=O)NC(=S)NNC(=O)c2ccccc2C)cc1,stage_wise13
4421,COc1ccc(C(=O)NC(=S)NNC(=O)c2ccc(C)cc2)cc1,stage_wise14
4422,Cc1cccc(C(=O)NNC(=S)NC(=O)c2ccccc2)c1,stage_wise15
4427,COc1ccc(C(=O)NNC(=S)NC(=O)c2ccc(Cl)cc2)cc1,stage_wise16
4438,COc1ccc(C(=O)NC(=S)NNC(=O)c2cccc(C)c2)cc1,stage_wise17
4456,COc1ccc(C(=O)NNC(=S)NC(=O)c2ccc(OC)cc2)cc1,stage_wise18
4467,COc1ccc(C(=O)NNC(=S)NC(=O)c2ccccc2)cc1,stage_wise19
4501,CCCOc1ccc(C(=O)NNC(=S)NC(=O)c2ccccc2)cc1,stage_wise20
5651,COc1ccc2cc(C(=O)NC3CCCC3)cnc2c1,stage_wise21
3892,COc1ccc(C(=O)NNC(=S)NC(=O)c2ccco2)cc1,stage_wise22
4186,Cc1ccc(C(=O)NNC(=S)NC(=O)c2ccco2)cc1,stage_wise23
4328,O=C(NNC(=S)NC(=O)c1ccco1)c1ccc(F)cc1,stage_wise24
26,O=C(Nc1cccc(F)c1)Nc1ccc2c(c1)CCC2,stage_wise25
765,COc1ccccc1-c1ccc(C(=O)NCCc2c(C)[nH]c3ccccc23)cc1,stage_wise26
1353,CCOc1ccc(NC(=O)/C=C/c2ccc(OC)cc2)c([N+](=O)[O-])c1,stage_wise27
1521,COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1OC,stage_wise28
