COX-1 (1EQH),,,COX-2 (3LN1),,,COX-2 (5KIR),,
Ligand,Affinity (kcal/mol),RMSD (A),Ligand,Affinity (kcal/mol),RMSD (A),Ligand,Affinity (kcal/mol),RMSD (A)
FLP (reference),-9.064,1.417,CEL (reference),-11.73,1.201,RCX (reference),-10.17,1.028
Ligand 14,-8.291,,Ligand 15,-9.394,,Ligand 15,-9.225,
Ligand 1,-8.124,,Ligand 14,-9.21,,Ligand 5,-9.001,
Ligand 15,-7.905,,Ligand 8,-8.912,,Ligand 14,-8.945,
Ligand 2,-7.831,,Ligand 2,-8.686,,Ligand 8,-8.759,
Ligand 18,-7.818,,Ligand 19,-8.68,,Ligand 1,-8.629,
Ligand 6,-7.654,,Ligand 20,-8.578,,Ligand 3,-8.571,
Ligand 5,-7.625,,Ligand 18,-8.508,,Ligand 19,-8.406,
Ligand 7,-7.601,,Ligand 1,-8.407,,Ligand 7,-8.371,
Ligand 8,-7.567,,Ligand 3,-8.323,,Ligand 18,-8.291,
Ligand 19,-7.333,,Ligand 17,-8.259,,Ligand 2,-8.215,
Ligand 3,-7.272,,Ligand 12,-8.229,,Ligand 6,-7.922,
Ligand 9,-7.205,,Ligand 11,-8.141,,Ligand 20,-7.896,
Ligand 20,-6.944,,Ligand 13,-7.964,,Ligand 17,-7.749,
Ligand 4,-6.923,,Ligand 7,-7.787,,Ligand 11,-7.688,
Ligand 13,-6.877,,Ligand 5,-7.697,,Ligand 9,-7.593,
Ligand 16,-6.806,,Ligand 6,-7.082,,Ligand 12,-7.509,
Ligand 10,-6.737,,Ligand 9,-7.042,,Ligand 4,-7.111,
Ligand 12,-6.648,,Ligand 10,-6.573,,Ligand 13,-7.09,
Ligand 11,-6.518,,Ligand 4,-6.431,,Ligand 16,-6.968,
Ligand 17,-6.514,,Ligand 16,-5.951,,Ligand 10,-6.813,
