NP_ChEMBL_ID,Target_ChEMBL_ID,Relationship,Assay_type,Activ_type,Activ_Value,Units,Activity_ID,Assay_ChEMBL_ID,Assay,Target,Organism,Reference_ID
CHEMBL151,CHEMBL4586,I,single protein format,Ki,121700,nM,13878596,CHEMBL3107209,Uncompetitive inhibition of soybean LOX-1 using linoleic acid as substrate preincubated for 5 mins followed by substrate addition by Lineweaver-Burk plot analysis,Seed lipoxygenase-1,Glycine max,CHEMBL3102734
CHEMBL306946,CHEMBL3627587,A,assay format,Ki,15200,nM,16819587,CHEMBL3872634,Uncompetitive inhibition of recombinant human C-terminal His6-tagged IDO2 (14-420 residues) expressed in Escherichia coli BL21(DE3) in presence of varying concentration of L-tryptophan substrate after 30 mins,"Indoleamine 2,3-dioxygenase 2",Homo sapiens,CHEMBL3872206
CHEMBL221542,CHEMBL204,A,single protein format,Ki,267.2,nM,18781401,CHEMBL4270139,Uncompetitive inhibition of human thrombin using T1637 as substrate by Michaelis-Menten plot analysis,Thrombin,Homo sapiens,CHEMBL4266047
CHEMBL289277,CHEMBL1900,A,assay format,Ki,2113,nM,16665110,CHEMBL3854223,Uncompetitive inhibition of human recombinant aldose reductase expressed in Escherichia coli using DL-glyceraldehyde as substrate by double reciprocal plot analysis,Aldose reductase,Homo sapiens,CHEMBL3853287
CHEMBL103,CHEMBL4302,A,cell-based format,EC50,21200,nM,11000826,CHEMBL2076281,TP_TRANSPORTER: reversal of Vinblastine accumulation (Vinblastine: 0.005 uM) in MDA435/LCC6 MDR1 cells,P-glycoprotein 1,Homo sapiens,CHEMBL1135805
CHEMBL59,CHEMBL1770032,I,cell-based format,Ki,347000,nM,11002900,CHEMBL2078135,TP_TRANSPORTER: inhibition of TEA uptake in OCT2-expressing MDCK cells,Solute carrier family 22 member 2,Rattus norvegicus,CHEMBL2074017
CHEMBL59,CHEMBL2073670,I,cell-based format,Ki,603000,nM,11003222,CHEMBL2078142,TP_TRANSPORTER: inhibition of TEA uptake in OCT1-expressing MDCK cells,Solute carrier family 22 member 1,Rattus norvegicus,CHEMBL2074017
CHEMBL59,CHEMBL1770033,I,cell-based format,IC50,384000,nM,11001453,CHEMBL2077061,TP_TRANSPORTER: inhibition of TEA uptake (TEA: 20 uM) in OCT3-expressing HRPE cells,Solute carrier family 22 member 3,Rattus norvegicus,CHEMBL2074049
CHEMBL103,CHEMBL1770033,A,cell-based format,IC50,10500,nM,11000942,CHEMBL2077061,TP_TRANSPORTER: inhibition of TEA uptake (TEA: 20 uM) in OCT3-expressing HRPE cells,Solute carrier family 22 member 3,Rattus norvegicus,CHEMBL2074049
CHEMBL59,CHEMBL1770032,I,cell-based format,IC50,2300000,nM,11001357,CHEMBL2078556,TP_TRANSPORTER: inhibition of TEA uptake (TEA: 20 uM) in OCT2-expressing HRPE cells,Solute carrier family 22 member 2,Rattus norvegicus,CHEMBL2074049
CHEMBL103,CHEMBL1770032,A,cell-based format,IC50,1600,nM,11000924,CHEMBL2078556,TP_TRANSPORTER: inhibition of TEA uptake (TEA: 20 uM) in OCT2-expressing HRPE cells,Solute carrier family 22 member 2,Rattus norvegicus,CHEMBL2074049
CHEMBL103,CHEMBL5287,I,cell-based format,Inhibition,>100,uM,10996991,CHEMBL2075348,"TP_TRANSPORTER: inhibition of Taurocholate uptake (Taurocholate: 5 uM, Progesterone: 100 uM) in NTCP-expressing HeLa cells",Bile acid transporter,Homo sapiens,CHEMBL2073909
CHEMBL103,CHEMBL4302,I,cell-based format,IC50,192200,nM,11001294,CHEMBL2076213,TP_TRANSPORTER: inhibition of Rhodamine 123 efflux in NIH-3T3-G185 cells,P-glycoprotein 1,Homo sapiens,CHEMBL2074145
CHEMBL59,CHEMBL1770033,I,cell-based format,IC50,62000,nM,11001823,CHEMBL2077839,TP_TRANSPORTER: inhibition of MPP+ uptake (MPP+: 1 uM) in OCT3-expressing HRPE cells,Solute carrier family 22 member 3,Rattus norvegicus,CHEMBL2074049
CHEMBL103,CHEMBL2073673,A,cell-based format,IC50,4280,nM,11001465,CHEMBL2077954,TP_TRANSPORTER: inhibition of MPP+ uptake (MPP+: 0.25 uM) in OCT3-expressing HEK293 cells,Solute carrier family 22 member 3,Homo sapiens,CHEMBL2074233
CHEMBL103,CHEMBL1743122,A,cell-based format,IC50,26700,nM,11001376,CHEMBL2078482,TP_TRANSPORTER: inhibition of MPP+ uptake (MPP+: 0.25 uM) in OCT2-expressing HEK293 cells,Solute carrier family 22 member 2,Homo sapiens,CHEMBL2074233
CHEMBL103,CHEMBL5685,A,cell-based format,IC50,3050,nM,11001399,CHEMBL2078481,TP_TRANSPORTER: inhibition of MPP+ uptake (MPP+: 0.25 uM) in OCT1-expressing HEK293 cells,Solute carrier family 22 member 1,Homo sapiens,CHEMBL2074233
CHEMBL103,CHEMBL4302,I,cell-based format,IC50,88100,nM,11001890,CHEMBL2076214,TP_TRANSPORTER: inhibition of LDS-751 efflux in NIH-3T3-G185 cells,P-glycoprotein 1,Homo sapiens,CHEMBL2074145
CHEMBL45068,CHEMBL2073709,A,cell-based format,IC50,28000,nM,11000513,CHEMBL2076220,TP_TRANSPORTER: inhibition of lactate uptake in Xenopus laevis oocytes,Monocarboxylate transporter 1,Rattus norvegicus,CHEMBL2074520
CHEMBL45068,CHEMBL2073709,A,cell-based format,IC50,28000,nM,11000513,CHEMBL2076220,TP_TRANSPORTER: inhibition of lactate uptake in Xenopus laevis oocytes,Monocarboxylate transporter 1,Rattus norvegicus,CHEMBL2074520
CHEMBL45068,CHEMBL2073718,A,cell-based format,IC50,14000,nM,11000507,CHEMBL2076210,TP_TRANSPORTER: inhibition of lactate uptake in Xenopus laevis oocytes,Monocarboxylate transporter 2,Rattus norvegicus,CHEMBL2074520
CHEMBL45068,CHEMBL2073718,A,cell-based format,IC50,14000,nM,11000507,CHEMBL2076210,TP_TRANSPORTER: inhibition of lactate uptake in Xenopus laevis oocytes,Monocarboxylate transporter 2,Rattus norvegicus,CHEMBL2074520
CHEMBL45068,CHEMBL2073663,A,cell-based format,IC50,41000,nM,11001734,CHEMBL2077069,TP_TRANSPORTER: inhibition of L-Lactate uptake (L-Lactate:30mM) in Xenopus laevis oocytes,Monocarboxylate transporter 4,Homo sapiens,CHEMBL2074454
CHEMBL45068,CHEMBL2073663,A,cell-based format,IC50,41000,nM,11001734,CHEMBL2077069,TP_TRANSPORTER: inhibition of L-Lactate uptake (L-Lactate:30mM) in Xenopus laevis oocytes,Monocarboxylate transporter 4,Homo sapiens,CHEMBL2074454
CHEMBL43185,CHEMBL4302,A,cell-based format,IC50,15500,nM,11001014,CHEMBL2075166,TP_TRANSPORTER: inhibition of Digoxin transepithelial transport (basal to apical) (Digoxin: 5 uM) in Caco-2 cells,P-glycoprotein 1,Homo sapiens,CHEMBL2073998
CHEMBL103,CHEMBL4302,I,cell-based format,IC50,96200,nM,11001912,CHEMBL2076218,TP_TRANSPORTER: inhibition of Daunorubicin efflux in NIH-3T3-G185 cells,P-glycoprotein 1,Homo sapiens,CHEMBL2074145
CHEMBL43185,CHEMBL4302,I,cell-based format,IC50,74100,nM,11001857,CHEMBL2076754,TP_TRANSPORTER: inhibition of Cyclosporin A transepithelial transport (basal to apical) (Cyclosporin A: 1 uM) in Caco-2 cells,P-glycoprotein 1,Homo sapiens,CHEMBL2073998
CHEMBL8260,CHEMBL4302,A,cell-based format,IC50,41000,nM,11001733,CHEMBL2075371,TP_TRANSPORTER: increase in Vinblastine intracellular accumulation in KB/MDR cells,P-glycoprotein 1,Homo sapiens,CHEMBL1138801
CHEMBL103,CHEMBL6020,A,cell-based format,IC50,17300,nM,11000485,CHEMBL2076226,TP_TRANSPORTER: increase in dihydrofluorescein intracellular accumulation (dihydrofluorescein: 1 uM) in SK-E2 cells (expressing BSEP),Bile salt export pump,Homo sapiens,CHEMBL2074066
CHEMBL103,CHEMBL6020,I,cell-based format,IC50,224600,nM,11000490,CHEMBL2076242,TP_TRANSPORTER: increase in bodipy intracellular accumulation (Bodipy: 0.2 uM) in SK-E2 cells (expressing BSEP),Bile salt export pump,Homo sapiens,CHEMBL2074066
CHEMBL297453,CHEMBL6020,I,cell-based format,IC50,214000,nM,11000489,CHEMBL2076242,TP_TRANSPORTER: increase in bodipy intracellular accumulation (Bodipy: 0.2 uM) in SK-E2 cells (expressing BSEP),Bile salt export pump,Homo sapiens,CHEMBL2074066
CHEMBL151,CHEMBL4302,A,cell-based format,IC50,19600,nM,11001292,CHEMBL2076249,TP_TRANSPORTER: drug resistance (vincristine) in AML-2/D100 cells,P-glycoprotein 1,Homo sapiens,CHEMBL2074200
CHEMBL477,CHEMBL2284,I,single protein format,IC50,50000000,nM,1232290,CHEMBL684049,TInhibition of glyceraldehyde-3-phosphate dehydrogenase in Leishmania mexicana,Glyceraldehyde-3-phosphate dehydrogenase liver,Homo sapiens,CHEMBL1128560
CHEMBL140,CHEMBL203,A,single protein format,IC50,8650,nM,17780713,CHEMBL3888815,"Time-Resolved Fluorescence Assay: The kinase activity of EGFR was detected according to time-resolved fluorescence detection technology to evaluate automatic phosphorylation levels. The test compound was dissolved in 100% DMSO, diluted with 25 mM HEPES (pH=7.4) to the desired concentration, added into each well with 10 μL of the test compounds and 10 μL solution containing 5 ng EGFR, then cultured for 10 min at room temperature using the recombinase diluted by 100 mM HEPES with a dilution ratio of 1:80, subsequently added with 10 μL solution containing 20 mM HEPES, 2 mM MnCl2, 100 μM Na3VO4, 1 mM DTT buffer, and 20 μL of 0.1 mM ATP and 50 mM MgCl2 and cultured for 1 h. The positive group in each plate was added with ATP-MgCl2 enzyme, the negative control group without adding with ATP-MgCl2 enzyme, the liquid was sucked out completely after cultured for 1 h, and each well was washed with buffer for three times. The wells were added with 75 μL anti-phosphorylated tyrosine antibody containing 400 ng europium labeling and cultured 1 h, washed, then added with enhancing solution. At the excitation wavelength 340 nm and the emission wavelength 615 nm, the fluorescence intensities were detected by using Victor type 2 time-resolved luminoscope, wherein the inhibitory rate of the compound on automatic phosphorylation: the inhibitory rate of autophosphorylation=100%−[(negative control)/(positive control−negative control)].",Epidermal growth factor receptor erbB1,Homo sapiens,CHEMBL3886845
CHEMBL363535,CHEMBL3927,A,assay format,Ki,13700,nM,12040798,CHEMBL2149728,Time dependent inhibition of SARS-CoV PLpro expressed in Escherichia coli BL21 (DE3) using Arg-Leu-Arg-Gly-Gly-AMC as substrate at 3 to 100 uM up to 120 mins,SARS coronavirus 3C-like proteinase,SARS coronavirus,CHEMBL2146458
CHEMBL227075,CHEMBL3927,A,assay format,Ki,11200,nM,12040799,CHEMBL2149728,Time dependent inhibition of SARS-CoV PLpro expressed in Escherichia coli BL21 (DE3) using Arg-Leu-Arg-Gly-Gly-AMC as substrate at 3 to 100 uM up to 120 mins,SARS coronavirus 3C-like proteinase,SARS coronavirus,CHEMBL2146458
CHEMBL187266,CHEMBL3927,A,assay format,Ki,11200,nM,12040794,CHEMBL2149728,Time dependent inhibition of SARS-CoV PLpro expressed in Escherichia coli BL21 (DE3) using Arg-Leu-Arg-Gly-Gly-AMC as substrate at 3 to 100 uM up to 120 mins,SARS coronavirus 3C-like proteinase,SARS coronavirus,CHEMBL2146458
CHEMBL187460,CHEMBL3927,A,assay format,Ki,9000,nM,12040797,CHEMBL2149728,Time dependent inhibition of SARS-CoV PLpro expressed in Escherichia coli BL21 (DE3) using Arg-Leu-Arg-Gly-Gly-AMC as substrate at 3 to 100 uM up to 120 mins,SARS coronavirus 3C-like proteinase,SARS coronavirus,CHEMBL2146458
CHEMBL363535,CHEMBL3927,I,assay format,Inhibition,>100,uM,12041488,CHEMBL2150310,Time dependent inhibition of SARS-CoV 3CLpro expressed in Escherichia coli BL21 (DE3) using Dabcyl-KNSTLQSGLRKE-Edan as substrate at 1 to 100 uM by FRET analysis,SARS coronavirus 3C-like proteinase,SARS coronavirus,CHEMBL2146458
CHEMBL227075,CHEMBL3927,I,assay format,Inhibition,>100,uM,12041489,CHEMBL2150310,Time dependent inhibition of SARS-CoV 3CLpro expressed in Escherichia coli BL21 (DE3) using Dabcyl-KNSTLQSGLRKE-Edan as substrate at 1 to 100 uM by FRET analysis,SARS coronavirus 3C-like proteinase,SARS coronavirus,CHEMBL2146458
CHEMBL187266,CHEMBL3927,I,assay format,Inhibition,>100,uM,12041485,CHEMBL2150310,Time dependent inhibition of SARS-CoV 3CLpro expressed in Escherichia coli BL21 (DE3) using Dabcyl-KNSTLQSGLRKE-Edan as substrate at 1 to 100 uM by FRET analysis,SARS coronavirus 3C-like proteinase,SARS coronavirus,CHEMBL2146458
CHEMBL59,CHEMBL265,A,assay format,Inhibition,151,%,1285384,CHEMBL672646,The percentage stimulation of adenylate cyclase activity of compound was measured on dopamine receptor D1 of Rat Striatum at 10 uM,Dopamine D1 receptor,Rattus norvegicus,CHEMBL1125367
CHEMBL59,CHEMBL265,A,assay format,Inhibition,113,%,1285382,CHEMBL672645,The percentage stimulation of adenylate cyclase activity of compound was measured on dopamine receptor D1 of Rat Striatum at 0.1 uM,Dopamine D1 receptor,Rattus norvegicus,CHEMBL1125367
CHEMBL59,CHEMBL265,A,assay format,Inhibition,104,%,1285381,CHEMBL879688,The percentage stimulation of adenylate cyclase activity of compound was measured on dopamine receptor D1 of Rat Striatum at 0.01 uM,Dopamine D1 receptor,Rattus norvegicus,CHEMBL1125367
CHEMBL59,CHEMBL339,A,single protein format,Inhibition,83,%,1285380,CHEMBL873645,The percentage inhibition of adenylate cyclase activity of compound was measured on dopamine receptor D2 of Rat Striatum at 10 micro M,Dopamine D2 receptor,Rattus norvegicus,CHEMBL1125367
CHEMBL59,CHEMBL339,A,single protein format,Inhibition,87,%,1285379,CHEMBL873646,The percentage inhibition of adenylate cyclase activity of compound was measured on dopamine receptor D2 of Rat Striatum at 1 micro M,Dopamine D2 receptor,Rattus norvegicus,CHEMBL1125367
CHEMBL59,CHEMBL339,A,single protein format,Inhibition,92,%,1285378,CHEMBL675832,The percentage inhibition of adenylate cyclase activity of compound was measured on dopamine receptor D2 of Rat Striatum at 0.1 micro M,Dopamine D2 receptor,Rattus norvegicus,CHEMBL1125367
CHEMBL59,CHEMBL339,A,single protein format,Inhibition,95,%,1285377,CHEMBL675831,The percentage inhibition of adenylate cyclase activity of compound was measured on dopamine receptor D2 of Rat Striatum at 0.01 micro M,Dopamine D2 receptor,Rattus norvegicus,CHEMBL1125367
CHEMBL59,CHEMBL2096905,A,protein format,IC50,15,nM,582283,CHEMBL874062,"The IC50 value was reported as apparent, since [3H]NCA was purported to be irreversible. Result indicates the mean of two separate experiments, each performed in triplicate.",Dopamine receptor,Homo sapiens,CHEMBL1122674
CHEMBL294009,CHEMBL3081,I,single protein format,Inhibition,0,%,57205,CHEMBL857711,The compound was tested for Inhibitory effect uM,Aldose reductase,Bos taurus,CHEMBL1132271
CHEMBL276915,CHEMBL3081,A,tissue-based format,IC50,45210,nM,53529,CHEMBL647988,The compound was tested for Inhibitory effect against ALR1 in bovine kidneys,Aldose reductase,Bos taurus,CHEMBL1132271
CHEMBL429023,CHEMBL4499,A,single protein format,IC50,3.5,nM,367004,CHEMBL747976,The compound was evaluated for the inhibition of NADH dehydrogenase,NADH-ubiquinone oxidoreductase chain 4,Homo sapiens,CHEMBL1151000
CHEMBL103,CHEMBL208,A,single protein format,Ki,3.5,nM,1203357,CHEMBL765845,The binding affinity on Human progesterone receptor (hPR-A) using progesterone as radioligand.,Progesterone receptor,Homo sapiens,CHEMBL1131454
CHEMBL103,CHEMBL208,A,cell-based format,Ki,3.5,nM,696863,CHEMBL765846,The binding affinity measured using baculovirus-expressed hPR-A in sf21 cells.,Progesterone receptor,Homo sapiens,CHEMBL1131299
CHEMBL101506,CHEMBL258,I,single protein format,IC50,193000,nM,651139,CHEMBL765997,Tested in vitro for the inhibition of protein-tyrosine kinase p56lck using angiotensin I (1.2 mM) and [gamma-32P]-ATP (50 pM),Tyrosine-protein kinase LCK,Homo sapiens,CHEMBL1126838
CHEMBL165,CHEMBL258,I,single protein format,IC50,112000,nM,661918,CHEMBL765997,Tested in vitro for the inhibition of protein-tyrosine kinase p56lck using angiotensin I (1.2 mM) and [gamma-32P]-ATP (50 pM),Tyrosine-protein kinase LCK,Homo sapiens,CHEMBL1126838
CHEMBL69863,CHEMBL258,I,single protein format,IC50,66000,nM,665880,CHEMBL765997,Tested in vitro for the inhibition of protein-tyrosine kinase p56lck using angiotensin I (1.2 mM) and [gamma-32P]-ATP (50 pM),Tyrosine-protein kinase LCK,Homo sapiens,CHEMBL1126838
