,Label
5210,0
5211,0
4801,1
2535,1
3091,1
3110,1
5133,0
1196,1
5941,0
5187,0
5188,0
5190,0
10580,0
9038,0
7895,0
4408,1
2465,1
2540,1
2806,1
2958,1
5955,0
3243,1
2524,1
6033,0
11964,0
2862,1
2226,1
1957,1
12526,1
14013,1
14014,1
14018,1
14030,1
4111,1
12785,1
13146,1
4262,1
7667,0
9225,0
6221,0
6929,0
7368,0
3644,1
3645,1
3646,1
3647,1
3648,1
3852,1
4046,1
4294,1
4453,1
9463,0
5739,0
6478,0
13541,1
13716,1
14867,1
12231,0
5141,0
2251,1
116,1
6318,0
7820,0
12269,0
11305,0
11563,0
7057,0
9686,0
9891,0
12086,0
8283,0
2196,1
2197,1
10677,0
10979,0
11036,0
12391,1
4240,1
1096,1
11542,0
5630,0
6186,0
8420,0
9001,0
11430,0
11475,0
6754,0
4780,1
2599,1
6086,0
6667,0
7639,0
12863,1
4401,1
5443,0
6333,0
8816,0
14354,1
7707,0
5903,0
8088,0
8153,0
8310,0
10314,0
11394,0
584,1
8774,0
610,1
600,1
7109,0
10090,0
6851,0
10537,0
2908,1
5525,0
7016,0
8337,0
7029,0
5307,0
9773,0
8398,0
9019,0
9059,0
4566,1
3341,1
3432,1
7461,0
13121,1
14321,1
11785,0
2042,1
1509,1
7211,0
2949,1
14066,1
14067,1
2078,1
6681,0
6110,0
7034,0
5387,0
7926,0
9754,0
8765,0
10524,0
5425,0
2066,1
9499,0
10718,0
7266,0
2138,1
8495,0
7226,0
171,1
7809,0
9590,0
13177,1
13356,1
13526,1
13542,1
13724,1
13768,1
3668,1
3817,1
13277,1
13340,1
13358,1
13408,1
13409,1
13517,1
13608,1
13611,1
6947,0
7674,0
8034,0
4778,1
4832,1
12143,0
4631,1
4642,1
4650,1
4655,1
4674,1
4678,1
1843,1
14401,1
508,1
4889,1
12293,0
5508,0
1348,1
11417,0
9781,0
9902,0
6477,0
6506,0
7302,0
7575,0
10025,0
3971,1
6202,0
14150,1
14151,1
2613,1
2705,1
3007,1
3090,1
10308,0
5987,0
9638,0
9657,0
9866,0
9945,0
3096,1
285,1
9197,0
12868,1
13323,1
13599,1
9652,0
3040,1
8624,0
6750,0
11537,0
4045,1
14220,1
4936,1
8341,0
6721,0
2963,1
13187,1
11386,0
1645,1
13479,1
12944,1
12651,1
12942,1
13268,1
1208,1
9472,0
10194,0
13761,1
6872,0
6132,0
8553,0
12823,1
12268,0
8143,0
10995,0
4523,1
5006,0
5024,0
3119,1
1591,1
2333,1
8323,0
6585,0
9218,0
997,1
7701,0
8380,0
7085,0
9084,0
9927,0
1304,1
3796,1
1929,1
8311,0
1484,1
5467,0
5653,0
7072,0
7504,0
7797,0
8390,0
863,1
2471,1
7233,0
4055,1
3288,1
3372,1
3673,1
3674,1
3686,1
3690,1
3704,1
3721,1
1278,1
11247,0
2571,1
10269,0
4284,1
10272,0
373,1
4691,1
8457,0
8849,0
9364,0
2989,1
5972,0
5973,0
13979,1
364,1
2498,1
2633,1
15024,1
15025,1
1537,1
6237,0
10379,0
5999,0
6098,0
6945,0
864,1
2294,1
3158,1
13941,1
11423,0
3236,1
7984,0
11462,0
13069,1
544,1
4038,1
7534,0
1243,1
2080,1
14889,1
11930,0
5129,0
5198,0
5215,0
14158,1
14299,1
14302,1
1683,1
5706,0
7768,0
11995,0
248,1
1940,1
10206,0
11609,0
6832,0
8131,0
8784,0
15061,1
8922,0
4397,1
11872,0
6390,0
11273,0
426,1
6238,0
5117,0
5130,0
5184,0
630,1
14694,1
10131,0
756,1
2512,1
1628,1
10633,0
10000,0
14684,1
5532,0
9010,0
9073,0
11517,0
10843,0
10204,0
7717,0
9021,0
12053,0
9743,0
5222,0
5061,0
14120,1
14121,1
439,1
4704,1
6452,0
8063,0
4165,1
4439,1
6430,0
6286,0
14471,1
14475,1
7139,0
7756,0
10402,0
10489,0
10490,0
10492,0
10133,0
6009,0
314,1
11121,0
12597,1
1608,1
2353,1
489,1
1056,1
3031,1
3421,1
14325,1
1466,1
2263,1
8836,0
8905,0
3074,1
10968,0
724,1
9759,0
12473,1
10894,0
2814,1
2004,1
1949,1
338,1
1070,1
3762,1
195,1
268,1
13641,1
6625,0
7996,0
14531,1
13259,1
5295,0
2866,1
189,1
10373,0
745,1
1540,1
7788,0
11752,0
11076,0
11173,0
2206,1
9497,0
6374,0
11159,0
7046,0
3587,1
4945,0
4974,0
9850,0
9861,0
8410,0
14675,1
8827,0
343,1
11067,0
13118,1
3173,1
5289,0
10191,0
10381,0
9994,0
14472,1
14479,1
11015,0
3848,1
3657,1
6710,0
11912,0
8193,0
3226,1
10057,0
1717,1
4803,1
8254,0
12359,1
4802,1
11963,0
14485,1
14486,1
10022,0
4362,1
4363,1
1296,1
2641,1
7911,0
15084,1
15085,1
15087,1
15088,1
15089,1
15091,1
1990,1
12601,1
8660,0
2911,1
3926,1
8365,0
12022,0
3984,1
10106,0
1406,1
11012,0
865,1
14934,1
3733,1
12985,1
9895,0
3627,1
10398,0
998,1
10349,0
10712,0
8201,0
7910,0
4984,0
5151,0
4718,1
9615,0
14257,1
14124,1
14979,1
8428,0
13048,1
12707,1
8239,0
6189,0
9131,0
1517,1
8619,0
14628,1
9962,0
3925,1
8735,0
11911,0
12279,0
9588,0
1986,1
1041,1
1755,1
9596,0
392,1
5491,0
1627,1
6767,0
7483,0
10617,0
6207,0
13802,1
11557,0
13980,1
14172,1
14176,1
14179,1
6173,0
947,1
8648,0
4558,1
5851,0
7889,0
1405,1
8863,0
873,1
12676,1
4736,1
4183,1
5612,0
5032,0
12060,0
13083,1
8198,0
13912,1
13913,1
5661,0
7815,0
10441,0
7530,0
4270,1
908,1
6850,0
4037,1
2099,1
9948,0
14028,1
1739,1
2023,1
4067,1
6574,0
478,1
5517,0
8552,0
7804,0
2348,1
2377,1
2823,1
5965,0
11531,0
5092,0
6123,0
3795,1
11562,0
12035,0
8461,0
5404,0
9593,0
7280,0
1035,1
10829,0
12626,1
219,1
9350,0
10680,0
8713,0
6310,0
11109,0
5737,0
1837,1
9152,0
6572,0
4074,1
475,1
487,1
605,1
11700,0
8785,0
11332,0
13947,1
9235,0
12912,1
4506,1
8422,0
10527,0
1127,1
3255,1
3692,1
14704,1
14705,1
6369,0
10840,0
5884,0
10213,0
6953,0
8748,0
9956,0
387,1
391,1
11387,0
7759,0
11756,0
11407,0
10459,0
2433,1
4919,1
4923,1
11802,0
12577,1
3070,1
470,1
12896,1
7500,0
7455,0
10841,0
3042,1
4782,1
10232,0
1923,1
1097,1
7240,0
11129,0
7308,0
6070,0
13152,1
5816,0
9112,0
13910,1
13911,1
11953,0
9407,0
9441,0
9903,0
1780,1
7894,0
8330,0
5550,0
6159,0
6663,0
7564,0
10478,0
11987,0
12038,0
653,1
169,1
11578,0
12783,1
3954,1
4119,1
4210,1
4417,1
4445,1
4536,1
4540,1
3405,1
9457,0
12245,0
5578,0
1690,1
4917,1
9111,0
10303,0
4524,1
13746,1
13807,1
11577,0
3027,1
5603,0
10726,0
329,1
7037,0
1095,1
1598,1
1151,1
12094,0
7771,0
11191,0
12605,1
14634,1
6387,0
11813,0
14412,1
2837,1
10351,0
4094,1
1191,1
2920,1
11922,0
14117,1
4968,0
1436,1
9139,0
3710,1
6853,0
8314,0
4548,1
7919,0
5478,0
9674,0
4884,1
6347,0
10024,0
10127,0
7898,0
9051,0
