Accuracy,Balanced Accuracy,AUROC,AUPRC,MCC,Precision,Sensitivity,Specificity,F1,Model,Run,Seed
0.937278107,0.936512472,0.986634057,0.981875168,0.880305603,0.893081761,0.995327103,0.877697842,0.941436464,BiLSTM_ECFP,1,42
0.928994083,0.928273269,0.980123378,0.977910794,0.862908507,0.888185654,0.98364486,0.872901679,0.933481153,BiLSTM_ECFP,2,43
0.927810651,0.927043412,0.985961698,0.984968946,0.861209546,0.884696017,0.985981308,0.868105516,0.932596685,BiLSTM_ECFP,3,44
0.844970414,0.843696071,0.941294628,0.943696702,0.702208279,0.791748527,0.941588785,0.745803357,0.860192102,BiLSTM_ESTATE,1,42
0.829585799,0.828200991,0.930929089,0.93735175,0.673033986,0.775193798,0.934579439,0.721822542,0.847457627,BiLSTM_ESTATE,2,43
0.830769231,0.829523297,0.93139974,0.939213678,0.672579618,0.781065089,0.925233645,0.73381295,0.847058824,BiLSTM_ESTATE,3,44
0.920710059,0.920496313,0.972971156,0.968754893,0.841728676,0.909297052,0.936915888,0.904076739,0.922899885,BiLSTM_MACCS,1,42
0.882840237,0.881572312,0.976540263,0.976743359,0.77959354,0.823182711,0.978971963,0.784172662,0.89434365,BiLSTM_MACCS,2,43
0.89704142,0.896361416,0.968777315,0.96383877,0.797930423,0.861995754,0.948598131,0.8441247,0.903225806,BiLSTM_MACCS,3,44
0.659171598,0.656740962,0.760060176,0.7489255,0.338503412,0.620274914,0.843457944,0.470023981,0.714851485,BiLSTM_PHYCHEM,1,42
0.643786982,0.643680383,0.728588158,0.716668027,0.287394583,0.647331787,0.651869159,0.635491607,0.649592549,BiLSTM_PHYCHEM,2,43
0.671005917,0.667591161,0.784125036,0.798517023,0.39493736,0.616099071,0.929906542,0.405275779,0.741154562,BiLSTM_PHYCHEM,3,44
0.915976331,0.91526872,0.973228894,0.960597946,0.836463676,0.877378436,0.969626168,0.860911271,0.921198668,BiLSTM_RDKIT,1,42
0.910059172,0.90958168,0.968306663,0.963704379,0.822000742,0.884279476,0.946261682,0.872901679,0.914221219,BiLSTM_RDKIT,2,43
0.914792899,0.914100495,0.974892983,0.970619843,0.833873634,0.877118644,0.96728972,0.860911271,0.92,BiLSTM_RDKIT,3,44
