Accuracy,Balanced Accuracy,AUROC,AUPRC,MCC,Precision,Sensitivity,Specificity,F1,Model,Run,Seed
0.785624608,0.78559235,0.864359869,0.872311271,0.571961135,0.800662252,0.759899434,0.811285266,0.779748468,LGBM_ECFP,1,42
0.789704959,0.789678619,0.865205141,0.870496214,0.579885345,0.801967213,0.768698931,0.810658307,0.784980745,LGBM_ECFP,2,43
0.784055242,0.7840218,0.863122501,0.867287331,0.568872749,0.799601858,0.757385292,0.810658307,0.77792124,LGBM_ECFP,3,44
0.77997489,0.779932378,0.859681122,0.866958888,0.561179548,0.799865229,0.746071653,0.813793103,0.77203252,LGBM_ESTATE,1,42
0.778091651,0.778049924,0.859102633,0.866409391,0.557358136,0.797442799,0.744814582,0.811285266,0.770230744,LGBM_ESTATE,2,43
0.783113622,0.783068751,0.859700825,0.868045352,0.567618063,0.804465494,0.747328724,0.818808777,0.774845226,LGBM_ESTATE,3,44
0.777150031,0.777103968,0.856845225,0.864240817,0.555734245,0.798644068,0.740414833,0.813793103,0.768427919,LGBM_MACCS,1,42
0.778405524,0.778360251,0.856143787,0.864165233,0.558201977,0.799593771,0.74230044,0.814420063,0.76988266,LGBM_MACCS,2,43
0.774639046,0.774587462,0.858007326,0.864724647,0.551069626,0.798767967,0.733500943,0.815673981,0.76474443,LGBM_MACCS,3,44
0.692404269,0.692360437,0.773051786,0.77644405,0.385674977,0.706279541,0.657448146,0.727272727,0.680989583,LGBM_PHYCHEM,1,42
0.697112367,0.697057114,0.775474702,0.778721366,0.395666875,0.715564738,0.653048397,0.741065831,0.682878738,LGBM_PHYCHEM,2,43
0.692404269,0.692362013,0.774385897,0.777395935,0.38561095,0.705723906,0.658705217,0.726018809,0.681404421,LGBM_PHYCHEM,3,44
0.799748901,0.799714696,0.879429944,0.885740084,0.60034564,0.816611296,0.772470145,0.826959248,0.793927649,LGBM_RDKIT,1,42
0.801632141,0.801601879,0.881884188,0.887427487,0.603927674,0.81650165,0.777498429,0.825705329,0.796522859,LGBM_RDKIT,2,43
0.798179535,0.798154391,0.881038916,0.888382578,0.596805338,0.810209424,0.778126964,0.818181818,0.793844181,LGBM_RDKIT,3,44
