Accuracy,Balanced Accuracy,AUROC,AUPRC,MCC,Precision,Sensitivity,Specificity,F1,Model,Run,Seed
0.927810651,0.927074228,0.990357247,0.990730661,0.860747175,0.886315789,0.98364486,0.870503597,0.932447398,XGB_ECFP,1,42
0.921893491,0.921109841,0.990536543,0.991623504,0.849509653,0.878661088,0.981308411,0.860911271,0.927152318,XGB_ECFP,2,43
0.924260355,0.92344629,0.991735583,0.99222446,0.854773774,0.879166667,0.985981308,0.860911271,0.929515419,XGB_ECFP,3,44
0.888757396,0.887937314,0.969567337,0.972481116,0.783094928,0.847916667,0.950934579,0.824940048,0.896475771,XGB_ESTATE,1,42
0.889940828,0.889136354,0.970032385,0.97300797,0.785259889,0.849686848,0.950934579,0.827338129,0.897464168,XGB_ESTATE,2,43
0.89112426,0.890304579,0.970794393,0.973320153,0.787873517,0.85,0.953271028,0.827338129,0.898678414,XGB_ESTATE,3,44
0.928994083,0.928458168,0.986183016,0.985352518,0.860613114,0.898268398,0.969626168,0.887290168,0.93258427,XGB_MACCS,1,42
0.930177515,0.929718842,0.984591766,0.984383955,0.862244318,0.903719912,0.964953271,0.894484412,0.933333333,XGB_MACCS,2,43
0.940828402,0.94032531,0.987908738,0.988083231,0.884065161,0.910869565,0.978971963,0.901678657,0.943693694,XGB_MACCS,3,44
0.86035503,0.859899931,0.952293306,0.960144101,0.722012054,0.839912281,0.894859813,0.824940048,0.866515837,XGB_PHYCHEM,1,42
0.863905325,0.863466236,0.952360541,0.960786066,0.729030973,0.843956044,0.897196262,0.829736211,0.869762174,XGB_PHYCHEM,2,43
0.872189349,0.871705439,0.955795177,0.963084601,0.745985872,0.849344978,0.908878505,0.834532374,0.878103837,XGB_PHYCHEM,3,44
0.966863905,0.966580941,0.996296421,0.996301667,0.934529521,0.948430493,0.988317757,0.944844125,0.967963387,XGB_RDKIT,1,42
0.960946746,0.960585737,0.995624061,0.995424252,0.923196206,0.937915743,0.988317757,0.932853717,0.962457338,XGB_RDKIT,2,43
0.963313609,0.963014635,0.994626729,0.994420343,0.927511554,0.944071588,0.985981308,0.940047962,0.964571429,XGB_RDKIT,3,44
