Model,Accuracy,Balanced Accuracy,AUROC,AUPRC,MCC,Precision,Sensitivity,Specificity,F1
XGB_RDKIT,0.964 ± 0.002,0.963 ± 0.002,0.996 ± 0.001,0.995 ± 0.001,0.928 ± 0.005,0.943 ± 0.004,0.988 ± 0.001,0.939 ± 0.005,0.965 ± 0.002
XGB_MACCS,0.933 ± 0.005,0.933 ± 0.005,0.986 ± 0.001,0.986 ± 0.002,0.869 ± 0.011,0.904 ± 0.005,0.971 ± 0.006,0.894 ± 0.006,0.937 ± 0.005
BiLSTM_ECFP,0.931 ± 0.004,0.931 ± 0.004,0.984 ± 0.003,0.982 ± 0.003,0.868 ± 0.009,0.889 ± 0.003,0.988 ± 0.005,0.873 ± 0.004,0.936 ± 0.004
XGB_ECFP,0.925 ± 0.002,0.924 ± 0.002,0.991 ± 0.001,0.992 ± 0.001,0.855 ± 0.005,0.881 ± 0.003,0.984 ± 0.002,0.864 ± 0.005,0.930 ± 0.002
BiLSTM_RDKIT,0.914 ± 0.003,0.913 ± 0.002,0.972 ± 0.003,0.965 ± 0.004,0.831 ± 0.006,0.880 ± 0.003,0.961 ± 0.011,0.865 ± 0.006,0.918 ± 0.003
BiLSTM_MACCS,0.900 ± 0.016,0.899 ± 0.016,0.973 ± 0.003,0.970 ± 0.005,0.806 ± 0.026,0.865 ± 0.035,0.955 ± 0.018,0.844 ± 0.049,0.907 ± 0.012
XGB_ESTATE,0.890 ± 0.001,0.889 ± 0.001,0.970 ± 0.001,0.973 ± 0.000,0.785 ± 0.002,0.849 ± 0.001,0.952 ± 0.001,0.827 ± 0.001,0.898 ± 0.001
XGB_PHYCHEM,0.865 ± 0.005,0.865 ± 0.005,0.953 ± 0.002,0.961 ± 0.001,0.732 ± 0.010,0.844 ± 0.004,0.900 ± 0.006,0.830 ± 0.004,0.871 ± 0.005
BiLSTM_ESTATE,0.835 ± 0.007,0.834 ± 0.007,0.935 ± 0.005,0.940 ± 0.003,0.683 ± 0.014,0.783 ± 0.007,0.934 ± 0.007,0.734 ± 0.010,0.852 ± 0.006
RF_ECFP,0.807 ± 0.003,0.807 ± 0.003,0.878 ± 0.001,0.879 ± 0.001,0.615 ± 0.006,0.813 ± 0.004,0.797 ± 0.002,0.818 ± 0.005,0.805 ± 0.003
RF_RDKIT,0.802 ± 0.001,0.802 ± 0.001,0.876 ± 0.001,0.874 ± 0.000,0.604 ± 0.003,0.812 ± 0.004,0.785 ± 0.003,0.819 ± 0.006,0.798 ± 0.001
LGBM_RDKIT,0.800 ± 0.001,0.800 ± 0.001,0.881 ± 0.001,0.887 ± 0.001,0.600 ± 0.003,0.814 ± 0.003,0.776 ± 0.003,0.824 ± 0.004,0.795 ± 0.001
LGBM_ECFP,0.786 ± 0.002,0.786 ± 0.002,0.864 ± 0.001,0.870 ± 0.002,0.574 ± 0.005,0.801 ± 0.001,0.762 ± 0.005,0.811 ± 0.000,0.781 ± 0.003
RF_ESTATE,0.786 ± 0.001,0.786 ± 0.001,0.863 ± 0.000,0.868 ± 0.000,0.572 ± 0.003,0.797 ± 0.002,0.767 ± 0.001,0.805 ± 0.002,0.782 ± 0.001
RF_MACCS,0.786 ± 0.001,0.786 ± 0.001,0.863 ± 0.000,0.866 ± 0.001,0.573 ± 0.003,0.807 ± 0.003,0.751 ± 0.002,0.821 ± 0.003,0.778 ± 0.001
LGBM_ESTATE,0.780 ± 0.002,0.780 ± 0.002,0.859 ± 0.000,0.867 ± 0.001,0.562 ± 0.004,0.801 ± 0.003,0.746 ± 0.001,0.815 ± 0.003,0.772 ± 0.002
LGBM_MACCS,0.777 ± 0.002,0.777 ± 0.002,0.857 ± 0.001,0.864 ± 0.000,0.555 ± 0.003,0.799 ± 0.000,0.739 ± 0.004,0.815 ± 0.001,0.768 ± 0.002
RF_PHYCHEM,0.713 ± 0.002,0.713 ± 0.002,0.780 ± 0.001,0.780 ± 0.001,0.425 ± 0.004,0.715 ± 0.003,0.707 ± 0.000,0.718 ± 0.003,0.711 ± 0.001
LGBM_PHYCHEM,0.694 ± 0.002,0.694 ± 0.002,0.774 ± 0.001,0.778 ± 0.001,0.389 ± 0.005,0.709 ± 0.005,0.656 ± 0.002,0.731 ± 0.007,0.682 ± 0.001
BiLSTM_PHYCHEM,0.658 ± 0.011,0.656 ± 0.010,0.758 ± 0.023,0.755 ± 0.034,0.340 ± 0.044,0.628 ± 0.014,0.808 ± 0.116,0.504 ± 0.097,0.702 ± 0.038
