Accuracy,Balanced Accuracy,AUROC,AUPRC,MCC,Precision,Sensitivity,Specificity,F1,Model,Run,Seed
0.719526627,0.71598142,0.871422488,0.886212814,0.517295678,0.645801527,0.988317757,0.443645084,0.781163435,BiLSTM_ECFP,1,42
0.75739645,0.754473991,0.891388758,0.902197447,0.571691628,0.681300813,0.978971963,0.529976019,0.803451582,BiLSTM_ECFP,2,43
0.737278107,0.733967032,0.885110603,0.893466307,0.545767482,0.6609375,0.988317757,0.479616307,0.792134831,BiLSTM_ECFP,3,44
0.723076923,0.720318138,0.830579462,0.771347027,0.487913876,0.660596026,0.932242991,0.508393285,0.773255814,BiLSTM_ESTATE,1,42
0.755029586,0.753000403,0.809363724,0.751318589,0.533724673,0.698384201,0.908878505,0.597122302,0.789847716,BiLSTM_ESTATE,2,43
0.720710059,0.718505569,0.803573029,0.757705429,0.465444997,0.669014085,0.887850467,0.549160671,0.763052209,BiLSTM_ESTATE,3,44
0.725443787,0.723055201,0.795176943,0.753727666,0.480723472,0.668965517,0.906542056,0.539568345,0.76984127,BiLSTM_MACCS,1,42
0.755029586,0.75250734,0.813980591,0.751660031,0.549434953,0.687606112,0.946261682,0.558752998,0.796460177,BiLSTM_MACCS,2,43
0.713609467,0.710540913,0.798098904,0.751786597,0.479035808,0.649038462,0.946261682,0.474820144,0.769961977,BiLSTM_MACCS,3,44
0.608284024,0.604781595,0.655794056,0.631472277,0.249122845,0.574500768,0.873831776,0.335731415,0.693234476,BiLSTM_PHYCHEM,1,42
0.592899408,0.589440597,0.663968825,0.636438957,0.211511498,0.564814815,0.855140187,0.323741007,0.680297398,BiLSTM_PHYCHEM,2,43
0.578698225,0.57782559,0.620349515,0.628133868,0.157099672,0.575,0.644859813,0.510791367,0.607929515,BiLSTM_PHYCHEM,3,44
0.758579882,0.755488133,0.856596965,0.768064015,0.583017265,0.678913738,0.992990654,0.517985612,0.806451613,BiLSTM_RDKIT,1,42
0.760946746,0.759026424,0.847161523,0.775392049,0.543339932,0.705454545,0.906542056,0.611510791,0.793456033,BiLSTM_RDKIT,2,43
0.736094675,0.732644725,0.877770681,0.804145168,0.551141018,0.657935285,0.997663551,0.467625899,0.792943361,BiLSTM_RDKIT,3,44
