y_true,y_prob
0,0.13351598
0,0.022318073
1,0.5477835
1,0.9999957
1,0.99954176
1,0.9994083
0,0.041421466
1,0.6397983
0,0.03151689
0,0.0049413135
0,0.0049413135
0,0.012183839
0,0.7699252
0,0.047855303
0,0.21055755
1,0.99478257
1,0.99598885
1,0.9833712
1,0.99000525
1,0.9989336
0,0.06991219
1,0.35284457
1,0.9988742
0,0.13729227
0,0.08697434
1,0.5970527
1,0.99536264
1,0.6537723
1,0.4251721
1,0.999999
1,0.999999
1,0.999999
1,0.9999984
1,0.91867834
1,0.5903023
1,0.9707356
1,0.99944854
0,0.22139242
0,0.008545817
0,0.004378911
0,0.010045643
0,0.00252685
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,0.9975315
1,0.542979
1,0.9999688
1,1.0
0,0.076892085
0,0.01730684
0,0.23353355
1,0.98511297
1,0.9908775
1,0.33889773
0,0.1700254
0,0.22518018
1,0.8960672
1,0.26776743
0,0.011809448
0,0.038922846
0,0.01488245
0,0.049257614
0,0.25071055
0,0.009366471
0,0.1872094
0,0.05817038
0,0.10003127
0,0.0011892613
1,0.9972753
1,0.9991741
0,0.09791639
0,0.25778538
0,0.18830968
1,0.25640553
1,0.99832445
1,0.36859077
0,0.18053362
0,0.0818423
0,0.09284344
0,0.28858057
0,0.046886373
0,0.06326513
0,0.0128646055
0,0.045510907
1,0.7775753
1,0.9783853
0,0.046503786
0,0.16076732
0,0.23022154
1,0.98713124
1,0.76258665
0,0.21237293
0,0.19048426
0,0.11471239
1,1.0
0,0.4333531
0,0.04348143
0,0.028179975
0,0.36940783
0,0.03577027
0,0.020088261
0,0.017865578
1,0.9999726
0,0.24317065
1,0.52504754
1,0.99997646
0,0.05895372
0,0.008340344
0,0.10004552
0,0.7753275
1,0.99996394
0,0.021321412
0,0.008937063
0,0.021493776
0,0.045464728
0,0.0065934146
0,0.009436392
0,0.005874895
0,0.0022591602
0,0.010386276
1,0.9999856
1,0.9990194
1,0.99367183
0,0.02497198
1,0.9508525
1,1.0
0,0.06159364
1,0.20897253
1,0.53972787
0,0.15285881
1,0.31573233
1,0.99999994
1,1.0
1,0.5676824
0,0.12918924
0,0.04777483
0,0.09694044
0,0.018023519
0,0.036519945
0,0.08370184
0,0.004591023
0,0.034961358
0,0.21982798
1,0.4022752
0,0.010313601
0,0.10988384
0,0.02478073
1,0.9995985
0,0.16348097
0,0.0012767015
1,0.3977903
0,0.037453186
0,0.017950851
1,0.9979443
1,0.9996919
1,0.9995209
1,0.999774
1,0.99967116
1,0.9992399
1,0.87696683
1,0.9983072
1,0.9447583
1,0.24951342
1,0.32571855
1,0.99876946
1,0.5700841
1,0.9517912
1,0.9293891
1,0.9517912
0,0.00095390703
0,0.0016642474
0,0.0016642474
1,0.073978536
1,0.08849868
0,0.046128996
1,1.0
