y_true,y_prob
0,0.00052592764
0,0.014190564
1,0.98004425
1,0.9989451
1,0.99963653
1,0.998507
0,0.030106185
1,0.9866859
0,0.0010168306
0,0.0007511163
0,0.0007511163
0,0.0013071011
0,0.63911945
0,3.3754313e-05
0,0.26262283
1,0.99724305
1,0.99786943
1,0.97797865
1,0.9076792
1,0.99846095
0,0.00569375
1,0.7928651
1,0.57391536
0,0.006260387
0,0.20348985
1,0.856321
1,0.9993918
1,0.9772455
1,0.12273736
1,0.99999774
1,0.99999774
1,0.99999774
1,0.9999978
1,0.4351858
1,0.9773055
1,0.92968976
1,0.86814994
0,0.01676603
0,0.0008884675
0,0.0022649867
0,0.0021668924
0,0.00865987
1,0.9987957
1,0.99999505
1,0.9999921
1,0.9999927
1,0.9999857
1,0.9999969
1,0.99997944
1,0.9999988
1,0.9943716
0,0.003450805
0,0.00018936717
0,0.010666053
1,0.9960047
1,0.9956092
1,0.98900324
0,0.00035082604
0,0.008886419
1,0.5194309
1,0.15105444
0,0.00038607168
0,0.0010981262
0,0.000997447
0,0.23032653
0,0.2191737
0,0.0037728017
0,0.0019861138
0,0.0036200492
0,0.0036361576
0,0.0013537575
1,0.9999754
1,0.99997616
0,0.013387488
0,0.0055464804
0,0.006781181
1,0.011252421
1,0.9665585
1,0.99374735
0,0.0020789444
0,0.012035356
0,0.013765749
0,0.012300242
0,0.010283079
0,0.012412797
0,0.0062786043
0,0.0006944077
1,0.08034693
1,0.9197903
0,8.7327855e-05
0,0.0067066513
0,7.660823e-05
1,0.64314187
1,0.99361414
0,0.0027328609
0,0.0016250203
0,0.0028971322
1,0.9999972
0,0.088192195
0,0.091874726
0,0.090056434
0,0.4053924
0,0.26667756
0,0.0878451
0,0.031171808
1,0.9993484
0,0.001587965
1,0.69300926
1,0.9947128
0,0.019212522
0,0.0033307862
0,0.0003035401
0,0.39023423
1,0.9794049
0,2.5683763e-05
0,0.00026862774
0,0.015145231
0,0.0021559238
0,0.0008886948
0,0.0021128934
0,0.0009133105
0,0.0008393847
0,0.000691586
1,0.9999311
1,0.8506255
1,0.81128335
0,0.0014666269
1,0.9916477
1,0.99999666
0,0.019664433
1,0.022887122
1,0.08496266
0,0.0009884579
1,0.99378085
1,0.9999837
1,0.9999839
1,0.52994025
0,0.0030063593
0,0.0010597206
0,0.0024244739
0,0.00070753926
0,1.5456668e-05
0,0.011105159
0,0.00032643706
0,0.0011584205
0,0.020840138
1,0.117415786
0,0.0021322472
0,0.12255684
0,0.006077502
1,0.9982652
0,0.009979598
0,0.0015357432
1,0.07414001
0,0.0005460911
0,0.16889994
1,0.9987803
1,0.9992907
1,0.9951481
1,0.99768126
1,0.9997235
1,0.99830306
1,0.9785838
1,0.99964607
1,0.9638862
1,0.9213165
1,0.97436845
1,0.94176215
1,0.9437619
1,0.9696276
1,0.9854964
1,0.7586603
0,0.00031555182
0,0.00024907172
0,0.00026776321
1,0.3637133
1,0.7857995
0,0.06768271
1,0.999996
1,0.99994487
1,0.99996704
1,0.99875814
1,0.999968
1,0.9999699
1,0.3347305
1,0.99998945
1,0.99998224
1,0.14536393
0,0.25893995
0,0.005524893
1,0.9902067
0,0.006500302
0,0.002668458
0,0.0026561792
0,0.00040040183
0,9.3137234e-05
0,0.00026867923
0,0.0002810428
0,0.013154427
1,0.9999929
0,0.023955133
1,0.99994284
1,0.99994284
1,0.99889547
1,0.9389506
1,0.998636
1,0.99906254
0,0.00020306012
0,8.9871195e-05
0,0.0032899443
0,0.0048903157
0,0.0027162202
0,0.0740574
1,0.992044
1,0.12532146
0,0.003387023
1,0.9997273
1,0.9997273
1,0.9997273
0,0.011213891
1,0.9983796
0,0.0012374277
0,0.001095024
0,0.006661562
1,0.9994497
1,0.9999813
1,0.055943847
0,0.0005517116
0,0.00016635035
1,0.9558928
1,0.8248477
0,0.04411886
1,0.9045509
1,0.20400462
1,0.7910404
1,0.98992485
1,0.7591194
1,0.7767645
1,0.9998922
0,0.027633555
0,0.0070234747
1,0.9959978
0,0.1462667
0,0.011998444
0,7.9531e-05
1,0.9948002
0,0.010658558
0,0.0074605625
0,0.62216806
1,0.99936074
0,0.034537356
0,0.019991342
1,0.51688135
1,0.82905626
1,0.8836334
0,0.040980082
0,0.023892684
0,0.00042735942
1,0.8103211
0,0.25094444
0,0.278302
0,0.009386571
0,0.00024198032
0,0.0043218615
1,0.9876928
1,0.9864026
1,0.8015919
0,0.00039584434
1,0.041688453
0,6.340327e-05
0,6.3777545e-05
0,0.00016252475
0,0.000105614105
0,6.921331e-05
0,9.595791e-05
1,0.99993265
1,0.19176677
0,0.00064076844
1,0.94936585
1,0.9999893
1,0.9999664
1,0.9999518
1,0.99998146
1,0.9999664
1,0.99999255
1,0.9999794
1,0.99998146
1,0.019337052
0,0.58082736
1,0.708421
0,0.026111037
1,0.8850247
0,0.10273675
1,0.9789205
1,0.061328627
0,0.0036541529
0,0.0031059328
0,0.14592876
1,0.9789179
0,0.002783289
0,0.00011417942
1,0.9746417
1,0.62088543
1,0.9449304
1,0.98515373
1,0.9999784
1,0.9999784
1,0.972736
0,0.015085056
0,0.012146123
0,0.0121597815
0,0.0023936909
0,0.012691617
1,0.99911374
1,0.030704597
1,0.017612044
1,0.994448
0,0.049429867
1,0.9994327
0,0.008148387
0,0.004621344
1,0.9810684
1,0.9998758
1,0.93582237
0,0.0020002124
1,0.99373156
1,0.8595729
1,0.99998015
0,0.00021760892
0,0.002739102
0,0.0022112336
0,0.009770106
1,0.9999458
1,0.9999986
1,0.99999684
1,0.99992335
0,0.21836409
0,0.0031195353
0,0.003582639
1,0.9167085
1,0.22763032
0,0.032753125
0,0.030618276
0,0.0032436766
0,0.0016719364
0,0.7249295
1,0.9999731
0,0.00024342498
1,0.22057204
0,0.0017071381
0,0.009910764
0,0.69224024
1,0.9916094
0,0.0019172856
0,0.027829388
0,0.0029618137
0,0.026455838
1,0.83404434
1,0.99476844
0,0.0010373757
1,0.829563
1,0.93285227
1,0.22191411
0,0.008778087
0,0.0132107735
1,0.5616964
0,0.0008632207
0,0.04558495
0,0.008325969
0,0.00793873
0,0.07571637
0,0.00010801505
0,0.0008802798
0,0.0007819273
0,0.022415368
0,0.0003113716
0,0.0017602451
0,0.0011579605
1,0.99999386
1,0.99999386
1,0.35160598
1,0.59288305
0,0.00033752143
0,0.00038290926
1,0.9248293
1,0.5169194
0,0.0042295624
0,0.015244955
1,0.94219345
1,0.9983956
0,0.007482543
0,0.01065785
0,0.43159083
0,0.013776738
0,0.007653309
0,0.005580801
0,0.027774697
0,0.022997297
1,0.37610048
0,0.44057333
1,0.9925082
1,0.009152953
1,0.23963842
1,0.49958676
1,0.038865194
1,0.99998415
1,0.999994
1,0.99999696
1,0.002908935
1,0.9962087
0,0.0014027061
0,0.015509157
1,0.9143781
0,0.08411617
1,0.99977946
0,0.00432005
1,0.99999803
0,0.19420566
1,0.9971404
1,0.9992698
1,0.6916834
1,0.033212263
1,0.83227015
1,0.02062441
1,0.9972972
1,0.029604938
1,0.9690439
0,0.0009574267
0,0.0024248268
1,0.9999955
1,0.5677594
0,4.9299877e-05
1,0.93502
1,0.81359315
0,0.46411556
1,0.9995749
1,0.9995749
0,0.29427576
0,0.010090236
0,0.0020198885
0,0.0032825242
1,0.63997483
0,0.05406924
0,0.0010660157
0,0.7193178
0,0.0030268994
1,0.58620876
0,0.017640801
0,0.020572454
0,0.0017820894
0,0.0019665398
0,0.028183367
1,0.9999643
0,0.00039202327
1,0.8319707
0,0.0011048049
1,0.99995303
1,0.10039014
0,0.035343174
0,0.04055939
0,0.0071474705
0,0.7476239
1,0.9999091
1,0.9997134
0,0.45199063
1,0.19656287
1,0.36850774
0,0.0070984545
0,0.05542278
0,0.0017740416
1,0.96101874
0,0.004724699
1,0.9815949
1,0.49123648
0,0.004045836
1,0.10141429
1,0.12512921
0,0.124704555
1,0.99992293
1,0.99759
0,0.0037091782
