Accuracy,Balanced Accuracy,AUROC,AUPRC,MCC,Precision,Sensitivity,Specificity,F1,Fingerprint,Run,Seed
0.786566227,0.786535942,0.8626378,0.864821059,0.573759638,0.800660066,0.762413576,0.810658307,0.781068899,XGB_ECFP,1,42
0.787193974,0.787162113,0.864623105,0.866384814,0.57508618,0.802117803,0.761785041,0.812539185,0.781431335,XGB_ECFP,2,43
0.792529818,0.792494419,0.866597377,0.870095168,0.585945203,0.809587217,0.764299183,0.820689655,0.786291626,XGB_ECFP,3,44
0.778091651,0.778042831,0.8594169,0.866539762,0.557805155,0.801089918,0.739157762,0.8169279,0.768878719,XGB_MACCS,1,42
0.783427495,0.783380654,0.858884123,0.865644497,0.568375792,0.805838425,0.746071653,0.820689655,0.774804178,XGB_MACCS,2,43
0.779033271,0.778984058,0.859962682,0.86645304,0.559721283,0.802317655,0.739786298,0.818181818,0.769784173,XGB_MACCS,3,44
0.804143126,0.804119173,0.883266966,0.890532912,0.608699067,0.815806662,0.785040855,0.823197492,0.800128123,XGB_RDKIT,1,42
0.806340239,0.80631826,0.881934234,0.890394911,0.613028598,0.817057292,0.788812068,0.823824451,0.802686281,XGB_RDKIT,2,43
0.805712492,0.8056913,0.885034353,0.89104287,0.611746844,0.815994798,0.788812068,0.822570533,0.802173218,XGB_RDKIT,3,44
0.71123666,0.711186553,0.782502281,0.783713726,0.423742908,0.729010239,0.671275927,0.751097179,0.69895288,XGB_PHYCHEM,1,42
0.699623352,0.699572044,0.776692563,0.777862745,0.400500274,0.716826265,0.658705217,0.740438871,0.686537832,XGB_PHYCHEM,2,43
0.710295041,0.710242961,0.778913126,0.779727346,0.421958822,0.728767123,0.668761785,0.751724138,0.697476237,XGB_PHYCHEM,3,44
0.783113622,0.783067174,0.858266424,0.863904528,0.567720161,0.805291723,0.746071653,0.820062696,0.774551387,XGB_ESTATE,1,42
0.783113622,0.783071115,0.859367051,0.864394113,0.567471764,0.803234501,0.749214331,0.8169279,0.775284553,XGB_ESTATE,2,43
0.777777778,0.777730928,0.858819693,0.865186725,0.557044152,0.799728445,0.740414833,0.815047022,0.768929504,XGB_ESTATE,3,44
