y_true,y_prob
1,0.972
1,0.972
1,0.938
0,0.142
0,0.19
0,0.248
0,0.15
0,0.076
0,0.07
0,0.086
1,0.822
1,0.818
0,0.152
1,0.808
0,0.108
0,0.19671446970911904
0,0.126
0,0.162
0,0.116
0,0.106
1,0.922
1,0.806
1,0.96
1,0.956
1,0.952
1,0.788
1,0.93
0,0.07
0,0.072
1,0.956
1,0.98
1,0.982
1,0.984
1,0.966
1,0.962
1,0.968
1,0.97
1,0.946
1,0.966
1,0.96
0,0.066
0,0.102
0,0.066
0,0.056
1,0.808
0,0.1
0,0.054
0,0.166
1,0.918
1,0.956
1,0.896
0,0.128
1,0.824
0,0.08
0,0.24
1,0.778
0,0.046
0,0.04494053969250079
0,0.082
0,0.08
0,0.132
0,0.14
1,0.962
1,0.988
1,0.96
1,0.984
1,0.99
1,1.0
1,0.978
1,0.97
1,0.96
1,0.976
1,0.93
1,0.95
1,0.988
1,1.0
1,0.966
1,0.986
1,0.944
1,0.812
0,0.144
1,0.896
0,0.212
1,0.84
0,0.078
0,0.044
0,0.288
1,0.95
1,0.698
0,0.142
1,0.918
0,0.084
1,0.762
1,0.83
0,0.34
1,0.796
0,0.11
1,0.94
0,0.162
1,0.892
0,0.22863784019319558
1,0.966
1,0.982
1,0.984
1,0.968
1,0.99
1,0.964
1,0.934
1,0.904
1,0.95
0,0.142
1,0.844
0,0.044
0,0.102
0,0.208
0,0.134
1,0.718
0,0.282
0,0.044
1,0.8601060899897989
0,0.122
0,0.064
1,0.866
1,0.944
0,0.138
0,0.108
0,0.17
1,0.892
0,0.24
1,0.804
1,0.762
1,0.922
1,0.928
1,0.912
1,0.886
0,0.27
0,0.282
0,0.24
0,0.186
1,0.914
1,0.794
0,0.146
0,0.09845669231355222
0,0.168
1,0.862
1,0.792
0,0.142
0,0.032
0,0.128
1,0.926
1,0.914
0,0.104
0,0.106
1,0.78
0,0.124
0,0.178
1,0.928
1,0.962
1,0.838
0,0.118
1,0.912
0,0.08
0,0.17
0,0.152
0,0.168
1,0.872
0,0.23180275965755034
0,0.25825807841960646
0,0.068
1,0.836
0,0.028
0,0.116
0,0.082
0,0.12
0,0.204
0,0.034
0,0.036
1,0.9
1,0.902203538992975
1,0.9269405396925008
1,0.8903009015294672
1,0.8921664830642944
1,0.6856103301187606
1,0.6856103301187606
0,0.27197702205085333
0,0.6856103301187606
0,0.2517428675804228
0,0.162
0,0.174
1,0.866
0,0.146
0,0.09
1,0.83
1,0.848
1,0.84
0,0.06
0,0.202
0,0.168
0,0.106
0,0.12
0,0.088
0,0.142
0,0.11
0,0.196
1,0.962
1,0.93
1,0.904
0,0.122
0,0.1
0,0.104
0,0.136
1,0.822
1,0.868
1,0.716
0,0.094
0,0.158
0,0.096
1,0.8
1,0.836
1,0.8
1,0.984
1,0.996
1,0.996
1,0.968
1,0.998
1,0.998
0,0.258
1,0.888
0,0.086
0,0.108
0,0.132
1,0.89
1,0.88
1,0.898
0,0.124
1,0.828799386625775
1,0.74
1,0.864
0,0.166
1,0.794
0,0.054
1,0.68
0,0.144
1,0.8
1,0.98
1,0.804
1,0.846
0,0.172
0,0.102
0,0.09
1,0.8
1,0.95
1,0.838
1,0.852
0,0.21
1,0.95
0,0.132
1,0.816
0,0.134
1,0.958
1,0.978
0,0.1
1,0.7
0,0.138
1,0.824
1,0.838
1,0.772
0,0.08
0,0.184
0,0.11
0,0.08
0,0.072
0,0.13
0,0.08645669231355223
0,0.102
1,0.81
1,0.822
0,0.148
1,0.854
1,0.794
1,0.874
0,0.17
1,0.814
1,0.816
1,0.826
1,0.886
0,0.096
0,0.138
0,0.112
1,0.882
1,0.916
1,0.842
0,0.12
1,0.87
0,0.052
0,0.092
1,0.82
1,0.912
1,0.914
0,0.19
1,0.948
1,0.816
1,0.92
0,0.04
1,0.792
1,0.804
0,0.36
0,0.128
0,0.192
1,0.956
0,0.158
0,0.162
0,0.136
1,0.956
1,0.984
1,0.94
1,0.93
1,0.974
1,0.966
1,0.93
1,0.876
1,0.942
1,0.966
0,0.114
0,0.22
1,0.968
0,0.122
0,0.156
0,0.122
0,0.05
0,0.096
0,0.216
0,0.2
1,0.828
1,0.734
0,0.066
0,0.066
0,0.162
1,0.9095605375329451
0,0.07
0,0.232
0,0.154
0,0.172
0,0.144
0,0.078
1,0.658
0,0.08
0,0.072
0,0.072
0,0.106
0,0.07
0,0.066
0,0.088
0,0.084
0,0.066
0,0.132
1,0.824
1,0.936
0,0.184
0,0.17
0,0.134
0,0.184
0,0.174
0,0.084
0,0.272
0,0.078
0,0.07
0,0.174
1,0.92
0,0.062
1,0.848
1,0.84
0,0.222
1,0.908
0,0.214
1,0.798
1,0.9
1,0.926
0,0.136
0,0.228
0,0.028
0,0.252
0,0.124
1,0.892
1,0.922
0,0.15927941098009923
0,0.108
0,0.128
1,0.86
0,0.07
1,0.822
1,0.902
1,0.95
1,0.944
0,0.038
0,0.082
0,0.114
1,0.872
1,0.91
0,0.168
0,0.104
0,0.17
0,0.072
0,0.092
0,0.124
0,0.19
1,0.862
1,0.8604566923135523
0,0.072
0,0.024
0,0.038
1,0.886
0,0.136
0,0.07
1,0.906
1,0.886
1,0.89
0,0.178
0,0.116
0,0.184
1,0.892
1,0.976
1,0.976
0,0.034
1,0.886
1,0.804
0,0.124
0,0.14
0,0.16
1,0.932
1,0.948
1,0.964
1,0.936
1,0.97
1,0.926
1,0.954
1,0.942
1,0.864
1,0.932
1,0.722
1,0.96
1,0.948
1,0.772
0,0.06
0,0.128
0,0.152
1,0.882
0,0.14
0,0.098
0,0.092
0,0.148
0,0.114
0,0.042
0,0.054
0,0.026
0,0.048
0,0.058
0,0.026
1,0.862
1,0.808
1,0.818
0,0.14
1,0.85
1,0.744
0,0.11
0,0.146
0,0.152
1,0.938
1,0.838
0,0.208
1,0.92
1,0.938
0,0.104
1,0.764
0,0.12
0,0.104
0,0.104
0,0.13
1,0.912
1,0.864
1,0.912
1,0.902
1,0.87
1,0.866
0,0.052
0,0.148
1,0.83
0,0.1
1,0.974
1,0.706
0,0.192
0,0.216
0,0.122
0,0.164
0,0.088
0,0.134
1,0.806
1,0.94
1,0.95
1,0.964
0,0.096
0,0.176
0,0.16
0,0.072
0,0.12
1,0.962
1,0.932
1,0.928
1,0.946
1,0.954
0,0.17
1,0.948
1,0.836
0,0.144
0,0.142
1,0.826
0,0.15
0,0.142
0,0.096
1,0.814
0,0.126
0,0.132
0,0.1
1,0.754
0,0.076
0,0.188
0,0.144
0,0.1
1,0.886
1,0.932
1,0.914
1,0.922
1,0.89
1,0.928
1,0.928
1,0.91
1,0.91
0,0.04
0,0.272
1,0.894
0,0.114
1,0.686
1,0.868
0,0.114
0,0.1
0,0.068
1,0.798
1,0.96
1,0.814
0,0.19
0,0.142
1,0.8641203276572245
1,0.8416432381550049
1,0.24316016391962209
1,0.9145473489940668
1,0.9406766429861523
1,0.9121798010206561
1,0.9454701015064366
1,0.9340887792543836
1,0.5397205470203056
1,0.5250357501335498
1,0.8912007201401918
1,0.9215781164429435
1,0.8912007201401918
0,0.24316016391962209
0,0.24316016391962209
0,0.2136329113382619
0,0.24316016391962209
0,0.215029826912076
0,0.5250357501335498
0,0.5397205470203056
0,0.3012355623612492
0,0.19569747282462052
0,0.128
0,0.116
0,0.138
0,0.132
1,0.832
0,0.088
1,0.816
0,0.184
1,0.748
1,0.912
1,0.8969405396925008
0,0.17
0,0.178
1,0.824
1,0.902
1,0.8924566923135523
1,0.916
0,0.03
1,0.918
1,0.83
0,0.132
1,0.938
0,0.176
1,0.87
0,0.126
1,0.828
0,0.124
1,0.99
0,0.166
1,0.776
0,0.124
0,0.18
0,0.178
1,0.812
0,0.28
0,0.152
0,0.244
1,0.816
1,0.712
1,0.74
1,0.866
0,0.148
0,0.138
0,0.208
1,0.74
0,0.208
0,0.134
0,0.056
1,0.9
0,0.038
0,0.114
0,0.096
0,0.136
1,0.792
0,0.076
0,0.23
1,0.864
0,0.054
0,0.222
1,0.888
1,0.82
1,0.778
0,0.21
1,0.934
1,0.938
1,0.92
0,0.104
0,0.064
1,0.846
1,0.926
1,0.906
1,0.946
0,0.122
0,0.072
0,0.074
0,0.064
0,0.096
0,0.06
0,0.108
1,0.972
0,0.176
1,0.966
1,0.966
0,0.086
1,0.674
1,0.776
0,0.178
1,0.946
1,0.936
1,0.954
1,0.996
0,0.098
0,0.086
1,0.85
