y_true,y_prob
1,0.996
1,0.996
1,0.988
0,0.09545403832161048
0,0.1394540383216105
0,0.2994540383216105
0,0.056
0,0.05294053969250079
0,0.122
0,0.066
1,0.952
1,0.716
0,0.266
1,0.966
0,0.006
0,0.262
0,0.064
0,0.148
0,0.074
0,0.058
1,0.924
1,0.692
1,0.99
1,0.984
1,1.0
1,0.786
1,0.9224566923135522
0,0.048
0,0.078
1,0.892
1,0.9429405396925008
1,0.862
1,0.902
1,0.892
1,0.8727435889484946
1,0.9335605375329451
1,0.842
1,0.938
1,0.9316841286409954
1,0.916
0,0.106
0,0.12
0,0.106
0,0.12
1,0.794
0,0.038
0,0.02
0,0.138
1,0.908
1,0.966
1,0.862
0,0.1469405396925008
1,0.704
0,0.064
0,0.242
1,0.756
0,0.032
0,0.022
0,0.034
0,0.08
0,0.128
0,0.112
1,0.974
1,0.996
1,0.96
1,0.998
1,1.0
1,1.0
1,1.0
1,0.998
1,0.998
1,0.998
1,0.98
1,0.924
1,0.996
1,1.0
1,0.964
1,0.99
1,0.984
1,0.7606148402646018
0,0.092
1,0.816
0,0.23
1,0.8637361032936515
0,0.084
0,0.004
0,0.304
1,0.994
1,0.706
0,0.058
1,0.886
0,0.12
1,0.784
1,0.754
0,0.19849591964960336
1,0.758
0,0.02
1,0.928
0,0.13
1,0.9742199506726
0,0.092
1,0.988
1,1.0
1,0.996
1,0.978
1,0.988
1,0.98
1,0.936
1,0.978
1,0.996
0,0.246
1,0.922
0,0.034
0,0.1
0,0.2409405396925008
0,0.152
1,0.68
0,0.29
0,0.052
1,0.9456396841163316
0,0.09
0,0.066
1,0.8
1,0.988
0,0.1
0,0.066
0,0.232
1,0.9272794109800993
0,0.09
1,0.836
1,0.8
1,0.908
1,0.924
1,0.884
1,0.888
0,0.354
0,0.3215330226850126
0,0.28327941098009923
0,0.138
1,0.894
1,0.786
0,0.088
0,0.10494053969250078
0,0.12
1,0.866
1,0.698
0,0.088
0,0.004
0,0.188
1,0.97
1,0.902
0,0.14
0,0.146
1,0.7582199506726001
0,0.1575553799571026
0,0.232
1,0.984
1,0.984
1,0.912
0,0.12245669231355222
1,0.924
0,0.138
0,0.2
0,0.12933511770661205
0,0.10261484026460181
1,0.928
0,0.2969405396925008
0,0.092
0,0.078
1,0.8112914832507542
0,0.0
0,0.156
0,0.042
0,0.054
0,0.154
0,0.036
0,0.038
1,0.9
1,0.7351283480240037
1,0.8986359398340902
1,0.8477489366016581
1,0.8986359398340902
1,0.7351283480240037
1,0.7351283480240037
0,0.28049101355235506
0,0.7351283480240037
0,0.3186545538042863
0,0.122
0,0.226
1,0.7884566923135522
0,0.046501077225445824
0,0.104
1,0.844
1,0.9009405396925008
1,0.896
0,0.076
0,0.1645735510855605
0,0.17345447719975557
0,0.132
0,0.06743106037246384
0,0.066
0,0.11534762885541194
0,0.10790632351535587
0,0.23556053753294504
1,0.992
1,0.972
1,0.89
0,0.056
0,0.094
0,0.058
0,0.12
1,0.75
1,0.97
1,0.664
0,0.098
0,0.19
0,0.09474358894849454
1,0.788
1,0.892
1,0.88
1,1.0
1,1.0
1,1.0
1,0.994
1,1.0
1,1.0
0,0.3039499579712138
1,0.91
0,0.048
0,0.066
0,0.078
1,0.868
1,0.848
1,0.898
0,0.164
1,0.866
1,0.74
1,0.89
0,0.136
1,0.838
0,0.134
1,0.652
0,0.144
1,0.842
1,0.9126148402646017
1,0.738
1,0.9089405396925008
0,0.228
0,0.034
0,0.012
1,0.8646148402646019
1,0.928
1,0.7509405396925009
1,0.952
0,0.202
1,0.97
0,0.058
1,0.816
0,0.12494053969250078
1,0.988
1,0.99
0,0.082
1,0.646
0,0.068
1,0.8786148402646019
1,0.8506148402646019
1,0.778
0,0.08436325627897114
0,0.188
0,0.08494053969250077
0,0.09421995067260001
0,0.228
0,0.064
0,0.068
0,0.086
1,0.799993603402524
1,0.8117511900105239
0,0.05494053969250078
1,0.8392794109800992
1,0.7762490808106647
1,0.7651422311136515
0,0.20563226965802658
1,0.8477193123252993
1,0.718
1,0.93
1,0.85
0,0.03914223111365152
0,0.126
0,0.082
1,0.7826148402646017
1,0.928
1,0.7666148402646018
0,0.132
1,0.948
0,0.042
0,0.11661484026460181
1,0.8349405396925008
1,0.946
1,0.946
0,0.22845669231355223
1,0.972
1,0.8256239469654244
1,0.956
0,0.064
1,0.966
1,0.966
0,0.348
0,0.06094053969250079
0,0.07894053969250078
1,0.986
0,0.218
0,0.05
0,0.146
1,0.99
1,0.998
1,1.0
1,0.96
1,1.0
1,1.0
1,0.994
1,0.992
1,0.988
1,0.996
0,0.02514223111365152
0,0.274
1,0.9973787631379223
0,0.096
0,0.18097809654357294
0,0.074
0,0.006
0,0.064
0,0.12
0,0.064
1,0.706
1,0.7869405396925008
0,0.07
0,0.07
0,0.122
1,0.964
0,0.004
0,0.086
0,0.132
0,0.16236325627897114
0,0.10522968052920362
0,0.072
1,0.634
0,0.08368387051471105
0,0.07
0,0.132
0,0.188
0,0.128
0,0.122
0,0.158
0,0.066
0,0.02061484026460182
0,0.174
1,0.83
1,0.92
0,0.162
0,0.178
0,0.034
0,0.14
0,0.208
0,0.046
0,0.248
0,0.094
0,0.104
0,0.11874358894849453
1,0.89
0,0.076
1,0.888
1,0.8169405396925008
0,0.26
1,0.894
0,0.214
1,0.9144566923135522
1,0.9766148402646018
1,1.0
0,0.18494053969250077
0,0.09294053969250078
0,0.012
0,0.312
0,0.09316049036510081
1,0.978
1,0.996
0,0.094
0,0.044
0,0.07
1,0.89
0,0.058
1,0.6983509435582533
1,0.948
1,0.988
1,0.972
0,0.012
0,0.0840827708061523
0,0.12527941098009923
1,0.8732794109800992
1,0.966
0,0.012
0,0.132
0,0.012
0,0.012
0,0.15861484026460182
0,0.204
0,0.1161983790453907
1,0.9050091067008226
1,0.824
0,0.044
0,0.016940539692500783
0,0.002
1,0.8004566923135522
0,0.116
0,0.08645669231355223
1,0.946
1,0.946
1,0.838
0,0.21788107938500156
0,0.12
0,0.142
1,0.968
1,0.998
1,0.998
0,0.024
1,0.936
1,0.738
0,0.15336218178625155
0,0.16
0,0.198
1,0.9750967055806808
1,0.982
1,0.946
1,0.9769405396925008
1,0.972
1,0.8706148402646019
1,0.968
1,0.934
1,0.912
1,0.918
1,0.77
1,0.9579856879971322
1,0.996
1,0.7169405396925008
0,0.014
0,0.12439457801411126
0,0.156
1,0.898
0,0.122
0,0.13
0,0.02
0,0.088
0,0.09694053969250077
0,0.018
0,0.048
0,0.036
0,0.086
0,0.074
0,0.022
1,0.9149405396925008
1,0.862
1,0.8454540383216105
0,0.2326148402646018
1,0.91
1,0.776
0,0.072
0,0.098
0,0.13
1,0.912
1,0.918
0,0.112
1,0.962
1,0.998
0,0.41539162790082723
1,0.88
0,0.19061484026460182
0,0.078
0,0.078
0,0.09494053969250078
1,0.846
1,0.868
1,0.826
1,0.828
1,0.81
1,0.854
0,0.072
0,0.122
1,0.868
0,0.092
1,0.92
1,0.716
0,0.20421995067260001
0,0.15674358894849452
0,0.06694053969250077
0,0.076
0,0.16535842921309635
0,0.054
1,0.792
1,0.9362199506726
1,0.934
1,0.926
0,0.074
0,0.20207223382171288
0,0.2
0,0.016
0,0.12
1,0.962
1,0.982
1,0.962
1,0.898
1,0.982
0,0.18727941098009923
1,0.976
1,0.79
0,0.152
0,0.142
1,0.84
0,0.106
0,0.076
0,0.23001722984649725
1,0.72
0,0.05
0,0.138
0,0.196
1,0.776
0,0.094
0,0.096
0,0.1258931516556564
0,0.07375910322224521
1,0.932
1,0.972
1,0.944
1,0.976
1,0.92
1,0.952
1,0.976
1,0.9254540383216104
1,0.9
0,0.012
0,0.36061484026460183
1,0.964
0,0.07545403832161049
1,0.4364014606954457
1,0.914
0,0.12990009064970412
0,0.06882296881896195
0,0.4364014606954457
1,0.812
1,0.994
1,0.918
0,0.138
0,0.09894053969250077
1,0.9538214612703254
1,0.8427435889484945
1,0.25060588431110437
1,0.9849405396925008
1,0.8583377716985537
1,0.9256740914899242
1,0.9849405396925008
1,0.8483945780141113
1,0.5530337545497791
1,0.5544560127851161
1,0.8632296805292036
1,0.9264566923135522
1,0.8632296805292036
0,0.25060588431110437
0,0.25060588431110437
0,0.22747773447454114
0,0.25060588431110437
0,0.26
0,0.5544560127851161
0,0.5530337545497791
0,0.2959107306351627
0,0.21489659365875224
0,0.068
0,0.11927941098009924
0,0.132
0,0.106
1,0.892
0,0.14
1,0.854
0,0.2529405396925008
1,0.8151363502933388
1,0.9369405396925008
1,0.922
0,0.266
0,0.088
1,0.862
1,0.972
1,0.9569405396925008
1,0.916
0,0.014
1,0.968
1,0.904
0,0.19294053969250077
1,0.814
0,0.108
1,0.682
0,0.182
1,0.8
0,0.144
1,0.992
0,0.058
1,0.7991422311136516
0,0.13
0,0.192
0,0.186
1,0.777894251244701
0,0.264
0,0.134
0,0.334
1,0.926
1,0.698
1,0.8274496312018037
1,0.936
0,0.11473344930170973
0,0.13
0,0.18894053969250077
1,0.784
0,0.22697809654357295
0,0.138
0,0.04514223111365152
1,0.9455605375329451
0,0.028
0,0.02
0,0.07
0,0.114
1,0.876
0,0.10122968052920361
0,0.216
1,0.854
0,0.03
0,0.212
1,0.874
1,0.788
1,0.7109405396925008
0,0.15694053969250077
1,0.978
1,0.94
1,0.966
0,0.04788107938500157
0,0.07327941098009924
1,0.802
1,0.9669405396925008
1,0.996
1,0.986
0,0.108
