y_true,y_prob
1,0.992
1,0.992
1,0.992
0,0.054
0,0.086
0,0.164
0,0.09927941098009924
0,0.048
0,0.104
0,0.052
1,0.868
1,0.724
0,0.224
1,0.738
0,0.05
0,0.192
0,0.06
0,0.046
0,0.034
0,0.078
1,0.94
1,0.816
1,1.0
1,1.0
1,1.0
1,0.748
1,0.88
0,0.026
0,0.04861484026460182
1,0.954
1,0.986
1,0.994
1,0.978
1,0.972
1,0.964
1,0.961031619703162
1,0.936
1,0.9629405396925008
1,0.96
1,0.9169405396925008
0,0.03
0,0.076
0,0.094
0,0.062
1,0.816
0,0.088
0,0.072
0,0.19
1,0.888
1,0.918
1,0.8752794109800992
0,0.18
1,0.8
0,0.094
0,0.194
1,0.762
0,0.004
0,0.002
0,0.016
0,0.06
0,0.13061484026460182
0,0.138
1,0.986
1,0.998
1,0.992
1,0.992
1,1.0
1,1.0
1,1.0
1,0.992
1,0.992
1,0.992
1,0.944
1,0.938
1,0.998
1,1.0
1,1.0
1,1.0
1,0.99
1,0.83
0,0.134
1,0.992
0,0.184
1,0.8015605375329451
0,0.088
0,0.002614840264601815
0,0.38
1,0.996
1,0.728
0,0.08
1,0.998
0,0.094
1,0.712
1,0.798
0,0.344
1,0.832
0,0.052
1,0.946
0,0.156
1,0.9476171826786529
0,0.1908699075590064
1,0.99
1,0.996
1,0.996
1,0.98
1,0.964
1,0.948
1,0.882
1,0.9308347909372018
1,0.98
0,0.128
1,0.884
0,0.058
0,0.094
0,0.13
0,0.17
1,0.672
0,0.2896164579514148
0,0.076
1,0.7361496861431785
0,0.078
0,0.08
1,0.828
1,0.9272794109800993
0,0.174
0,0.082
0,0.168
1,0.97
0,0.126
1,0.936
1,0.902
1,0.5748621182874565
1,0.87541775743871
1,0.8577650456282677
1,0.908706626741113
0,0.5748621182874565
0,0.352
0,0.216
0,0.172
1,0.95
1,0.8148399485130443
0,0.06
0,0.042
0,0.078
1,0.806
1,0.7489405396925009
0,0.08261484026460181
0,0.054
0,0.132
1,0.888
1,0.868
0,0.2
0,0.15
1,0.814
0,0.14
0,0.1789405396925008
1,0.984
1,0.984
1,0.876
0,0.162
1,0.906
0,0.104
0,0.046
0,0.07
0,0.052
1,0.84
0,0.27312883176610353
0,0.14608247428086252
0,0.066
1,0.878
0,0.002
0,0.134
0,0.068
0,0.068
0,0.142
0,0.04
0,0.044
1,0.9014646354197436
1,0.8829048549556066
1,0.9132676846757374
1,0.7573804410377009
1,0.8826234698645131
1,0.6605219277451232
1,0.6605219277451232
0,0.3052794109800992
0,0.6605219277451232
0,0.3278838219994728
0,0.138
0,0.182
1,0.752
0,0.138
0,0.156
1,0.824
1,0.922
1,0.9172794109800992
0,0.094
0,0.1
0,0.164
0,0.078
0,0.076
0,0.052
0,0.132
0,0.128
0,0.08861484026460181
1,0.996
1,1.0
1,0.882
0,0.136
0,0.196
0,0.048
0,0.102
1,0.786
1,0.776
1,0.724
0,0.05
0,0.134
0,0.04
1,0.87
1,0.884
1,0.856
1,0.998
1,0.998
1,0.998
1,0.94
1,1.0
1,1.0
0,0.244
1,0.93
0,0.03
0,0.028
0,0.104
1,0.838
1,0.806
1,0.9032794109800992
0,0.138
1,0.852
1,0.726
1,0.868
0,0.114
1,0.854
0,0.138
1,0.704
0,0.174
1,0.8423632562789711
1,0.994
1,0.764
1,0.8369405396925008
0,0.2
0,0.02
0,0.006
1,0.764
1,0.894
1,0.788
1,0.82
0,0.264
1,0.988
0,0.008
1,0.8312794109800992
0,0.124
1,0.99
1,0.996
0,0.046
1,0.714
0,0.088
1,0.854
1,0.794
1,0.794
0,0.072
0,0.116
0,0.084
0,0.108
0,0.136
0,0.08
0,0.052
0,0.05
1,0.8720229999285938
1,0.734
0,0.126
1,0.7997965506973088
1,0.794
1,0.86
0,0.2
1,0.8254540383216105
1,0.746
1,0.812
1,0.814
0,0.136
0,0.194
0,0.162
1,0.808
1,0.926
1,0.5115823052764644
0,0.2128591759285745
1,0.9474010775642053
0,0.02
0,0.13
1,0.932
1,0.964
1,0.938
0,0.18735842921309634
1,0.996
1,0.878
1,0.878
0,0.048
1,0.956
1,0.956
0,0.308
0,0.106
0,0.098
1,0.998
0,0.242
0,0.132
0,0.104
1,1.0
1,0.988
1,0.994
1,0.962
1,1.0
1,1.0
1,1.0
1,0.996
1,0.99
1,1.0
0,0.022
0,0.258
1,0.9651000272938073
0,0.12445669231355222
0,0.194
0,0.072
0,0.0
0,0.106
0,0.182
0,0.18527941098009923
1,0.78
1,0.722
0,0.044
0,0.044
0,0.08
1,1.0
0,0.004
0,0.23727941098009925
0,0.102
0,0.138
0,0.064
0,0.068
1,0.682
0,0.056
0,0.13
0,0.1
0,0.128
0,0.164
0,0.118
0,0.156
0,0.05
0,0.082
0,0.088
1,0.772
1,0.99
0,0.222
0,0.112
0,0.14
0,0.142
0,0.236
0,0.038
0,0.26
0,0.1115553799571026
0,0.108
0,0.1
1,0.884
0,0.030614840264601817
1,0.8329405396925008
1,0.8051422311136516
0,0.246
1,0.96
0,0.296
1,0.798
1,0.956
1,0.986
0,0.158
0,0.10261484026460181
0,0.076
0,0.338
0,0.066
1,0.9669405396925008
1,0.972
0,0.18114531250924615
0,0.144
0,0.146
1,0.786
0,0.094
1,0.832
1,0.9866148402646019
1,0.96
1,0.9746148402646019
0,0.036
0,0.086
0,0.06
1,0.842
1,0.956
0,0.006
0,0.05269507246376812
0,0.006
0,0.006
0,0.006
0,0.056
0,0.21
1,0.886
1,0.8449405396925008
0,0.062
0,0.02
0,0.024
1,0.9087435889484946
0,0.096
0,0.082
1,0.93
1,0.932
1,0.784
0,0.132
0,0.152
0,0.128
1,0.9386148402646018
1,1.0
1,1.0
0,0.052
1,0.944
1,0.76
0,0.166
0,0.158
0,0.142
1,0.966
1,0.978
1,0.964
1,0.974
1,0.986
1,0.916
1,0.99
1,0.964
1,0.972
1,0.978
1,0.818
1,0.9714540383216105
1,0.996
1,0.74
0,0.084
0,0.138
0,0.196
1,0.884
0,0.144
0,0.074
0,0.108
0,0.158
0,0.072
0,0.04
0,0.026
0,0.022
0,0.068
0,0.07
0,0.016
1,0.7949405396925008
1,0.83
1,0.83
0,0.182
1,0.8737361032936515
1,0.784
