y_true,y_prob
1,0.948
1,0.948
1,0.95
0,0.076
0,0.14
0,0.228
0,0.114
0,0.214
0,0.11461484026460181
0,0.206
1,0.924
1,0.708
0,0.214
1,0.952
0,0.042
0,0.154
0,0.072
0,0.18330379597147192
0,0.116
0,0.2026148402646018
1,0.73
1,0.81
1,0.968
1,0.968
1,0.988
1,0.8535553799571025
1,0.882
0,0.03
0,0.08
1,0.796
1,0.85
1,0.8546148402646019
1,0.832
1,0.7644566923135522
1,0.904
1,0.8172794109800993
1,0.712
1,0.928981106119842
1,0.9192794109800992
1,0.8286148402646019
0,0.04661484026460182
0,0.162
0,0.254
0,0.088
1,0.7349405396925008
0,0.064
0,0.246
0,0.292
1,0.8524566923135523
1,0.914
1,0.9069405396925008
0,0.158
1,0.6738942512447009
0,0.096
0,0.088
1,0.726
0,0.034
0,0.024
0,0.07
0,0.19
0,0.174
0,0.138
1,0.906
1,0.998
1,0.948
1,0.986
1,1.0
1,1.0
1,1.0
1,0.984
1,0.986
1,0.984
1,0.99
1,0.89
1,0.998
1,1.0
1,0.95
1,0.996
1,0.93
1,0.8592620977286795
0,0.21270276864659654
1,0.886
0,0.276
1,0.888
0,0.132
0,0.098
0,0.336
1,0.984
1,0.7369405396925008
0,0.076
1,0.952
0,0.146
1,0.662
1,0.806
0,0.2460688785862123
1,0.8
0,0.062
1,0.884
0,0.19045669231355222
1,0.8842885176809218
0,0.06349936165269926
1,0.906
1,0.884
1,0.8109405396925008
1,0.8286148402646017
1,0.894
1,0.94
1,0.822
1,0.92
1,0.8564566923135523
0,0.258
1,0.8729405396925008
0,0.032
0,0.088
0,0.22294053969250077
0,0.27008277080615234
1,0.7266148402646018
0,0.246
0,0.046
1,0.9288399485130443
0,0.28925607893932725
0,0.15894053969250077
1,0.752
1,0.984
0,0.116
0,0.034
0,0.2569405396925008
1,0.9169405396925008
0,0.138
1,0.87
1,0.91
1,0.9194540383216104
1,0.966
1,0.926
1,0.802
0,0.3293351177066121
0,0.10754956167036056
0,0.2071736622248003
0,0.136
1,0.9
1,0.962
0,0.16
0,0.114
0,0.114
1,0.664
1,0.702
0,0.152
0,0.022
0,0.136
1,0.748
1,0.906
0,0.14294053969250078
0,0.16
1,0.804
0,0.13394995797121384
0,0.162
1,0.954
1,0.954
1,0.9149405396925008
0,0.144
1,0.882
0,0.21
0,0.158
0,0.09
0,0.154
1,0.8617570713782534
0,0.3289405396925008
0,0.059499361652699256
0,0.186
1,0.846
0,0.02
0,0.18221995067260002
0,0.036
0,0.15479938662577505
0,0.262
0,0.072
0,0.086
1,0.9242199506726
1,0.734765920058943
1,0.979691577472405
1,0.7948645088247126
1,0.979691577472405
1,0.734765920058943
1,0.734765920058943
0,0.3132798498582443
0,0.734765920058943
0,0.31136648043818654
0,0.222
0,0.22094053969250077
1,0.862
0,0.144
0,0.162
1,0.858
1,0.894504412899903
1,0.924
0,0.08
0,0.09294789326545821
0,0.19473344930170972
0,0.08045669231355222
0,0.2013647689567732
0,0.1022975577386619
0,0.15111591749004763
0,0.22
0,0.16294053969250077
1,0.888
1,0.974
1,0.784
0,0.142
0,0.096
0,0.06
0,0.09
1,0.874
1,0.766
1,0.744
0,0.084
0,0.088
0,0.134
1,0.814
1,0.896
1,0.924
1,1.0
1,1.0
1,1.0
1,0.912
1,1.0
1,1.0
0,0.21930379597147193
1,0.882
0,0.06956053753294503
0,0.076
0,0.092
1,0.7632794109800992
1,0.898
1,0.878
0,0.11
1,0.936
1,0.854
1,0.9438810793850017
0,0.132
1,0.838
0,0.08
1,0.778
0,0.126
1,0.8
1,0.868
1,0.786
1,0.92
0,0.28894053969250083
0,0.16094053969250077
0,0.044
1,0.854
1,0.76
1,0.926
1,0.984
0,0.342
1,0.8147850604863063
0,0.082
1,0.722
0,0.29
1,0.958
1,0.988
0,0.062
1,0.672
0,0.092
1,0.776
1,0.7904566923135522
1,0.768
0,0.118
0,0.198
0,0.108
0,0.17249591964960337
0,0.212
0,0.08894053969250078
0,0.176
0,0.124
1,0.9
1,0.9
0,0.16845669231355223
1,0.9189405396925008
1,0.734
1,0.848
0,0.188
1,0.7481568289476541
1,0.8570321600810227
1,0.8184566923135522
1,0.914
0,0.104
0,0.05
0,0.092
1,0.852
1,0.774
1,0.832
0,0.154
1,0.894
0,0.078
0,0.242
1,0.8046148402646017
1,0.942
1,0.7732794109800992
0,0.294
1,0.856
1,0.9
1,0.7440688785862124
0,0.03
1,0.9512794109800992
1,0.9512794109800992
0,0.23927941098009925
0,0.152
0,0.126
1,0.936
0,0.2
0,0.112
0,0.16
1,0.982
1,0.976
1,0.974
1,0.7755553799571027
1,0.994
1,0.994
1,0.982
1,0.916
1,0.95
1,0.984
0,0.066
0,0.15
1,0.9913351177066121
0,0.068
0,0.232
0,0.09
0,0.056
0,0.18
0,0.16
0,0.094
1,0.746
1,0.732
0,0.07094053969250078
0,0.07094053969250078
0,0.086
1,0.976
0,0.02
0,0.158
0,0.23139324328606065
0,0.266
0,0.088
0,0.114
1,0.728
0,0.198
0,0.3132794109800992
0,0.284
0,0.14
0,0.298
0,0.174
0,0.29
0,0.24
0,0.024
0,0.034
1,0.82
1,0.8478810793850016
0,0.174
0,0.152
0,0.11
0,0.204
0,0.114
0,0.146
0,0.086
0,0.086
0,0.09
0,0.14
1,0.748
0,0.128
1,0.962
1,0.773397232006053
0,0.13494053969250078
1,0.868
0,0.2346181697748111
1,0.9186148402646018
1,0.976
1,1.0
0,0.218
0,0.16
0,0.148
0,0.294
0,0.178
1,0.938
1,0.9295553799571027
0,0.10745403832161048
0,0.08
0,0.202
1,0.792
0,0.124
1,0.812
1,0.926
1,0.962
1,0.9426148402646018
0,0.06
0,0.122
0,0.16788107938500155
1,0.9
1,0.942
0,0.038456692313552227
0,0.256
0,0.038456692313552227
0,0.038456692313552227
0,0.25704431179120807
0,0.25594995797121384
0,0.26936218178625154
1,0.874
1,0.944
0,0.186
0,0.072
0,0.02
1,0.744
0,0.14
0,0.062
1,0.94
1,0.948
1,0.926
0,0.2255553799571026
0,0.09327941098009924
0,0.234
1,0.9829116806381257
1,0.988
1,0.988
0,0.094
1,0.846
1,0.874
0,0.18
0,0.148
0,0.094
1,0.96
1,0.95
1,0.966
1,0.97
1,0.946
1,0.934
1,0.934
1,0.9191422311136516
1,0.894
1,0.884
1,0.77
1,0.748
1,0.996
1,0.642
0,0.044
0,0.042
0,0.128
1,0.758
0,0.152
0,0.118
0,0.092
0,0.146
0,0.15539723200605302
0,0.058
0,0.086
0,0.11127941098009925
0,0.144
0,0.108
0,0.022
1,0.908
1,0.758
1,0.908
0,0.21758097033623605
1,0.822
1,0.814
0,0.07882161907750236
0,0.126
0,0.092
1,0.926
1,0.842
0,0.1809405396925008
1,0.898
1,1.0
0,0.134
1,0.8429405396925008
0,0.214
0,0.108
0,0.108
0,0.088
1,0.792
1,0.7949405396925008
1,0.722
1,0.846
1,0.692
1,0.814
0,0.126
0,0.064
1,0.862
0,0.228
1,0.894
1,0.7983632562789711
0,0.19
0,0.174
0,0.192
0,0.122
0,0.116
0,0.038
1,0.8489405396925008
1,0.858
1,0.864
1,0.99
0,0.11694053969250078
0,0.224
0,0.22
0,0.032
0,0.19991014653998024
1,0.934
1,0.96
1,0.934
1,0.934
1,0.96
0,0.186
1,0.978
1,0.696
0,0.13
0,0.17
1,0.74
0,0.11639457801411127
0,0.1786148402646018
0,0.276
1,0.766
0,0.08094053969250078
0,0.192
0,0.29
1,0.73
0,0.046
0,0.13669761107075412
0,0.08527941098009924
0,0.152
1,0.914
1,0.8752794109800992
1,0.798
1,0.8889405396925008
1,0.926
1,0.71
1,0.892
1,0.8829405396925009
1,0.804
0,0.058
0,0.16
1,0.84
0,0.108
1,0.73
1,0.856
0,0.19
0,0.112
0,0.188
1,0.792
1,0.956
1,0.9229961554332569
0,0.184
0,0.15756053753294502
1,0.8540229999285938
1,0.7689313884334315
1,0.23403933557499773
1,0.946
1,0.952
1,0.8021732200451728
1,0.946
1,0.936
1,0.5461449281263026
1,0.5209837253136443
1,0.9380084751414492
1,0.848
1,0.9380084751414492
0,0.23403933557499773
0,0.23403933557499773
0,0.1674213100006402
0,0.23403933557499773
0,0.20251679133103948
0,0.5209837253136443
0,0.5461449281263026
0,0.23
0,0.09504303071217161
0,0.136
0,0.16061484026460182
0,0.106
0,0.128
1,0.9502199506726
0,0.126
1,0.792
0,0.268
1,0.876
1,0.928
1,0.92
0,0.246
0,0.11
1,0.77
1,0.9704566923135522
1,0.84
1,0.8
0,0.074
1,0.874
1,0.736
0,0.192
1,0.814
0,0.048
1,0.836
0,0.14
1,0.7904566923135522
0,0.12661484026460182
1,0.964
0,0.10645669231355223
1,0.784
0,0.106
0,0.142
0,0.21236325627897112
1,0.872
0,0.244
0,0.13883479093720183
0,0.134
1,0.7429405396925008
1,0.772
1,0.846
1,0.8372794109800992
0,0.156
0,0.236
0,0.11694053969250078
1,0.662
0,0.23
0,0.128
0,0.16573610329365146
1,0.916
0,0.092
0,0.074
0,0.078
0,0.132
1,0.792
0,0.102
0,0.2603945780141113
1,0.772
0,0.13602383296341913
0,0.2348591759285745
1,0.812
1,0.7812002812620468
1,0.722
0,0.14494053969250079
1,0.8172794109800993
1,0.928
1,0.926
0,0.104
0,0.146
1,0.968
1,0.9852794109800992
1,0.998
1,0.994
0,0.052
0,0.048
0,0.164
0,0.092
0,0.03
0,0.11
0,0.104
1,0.94
0,0.226
1,0.992
1,0.992
0,0.122
1,0.708
1,0.786
0,0.08956053753294503
1,0.872
1,0.898
1,0.884
1,0.9609405396925008
0,0.204
0,0.108
1,0.812
1,0.918
1,0.88
1,0.9176838705147111
1,0.9308155018254368
1,0.8117972317954988
1,0.9227841124235878
1,0.9168216190775024
1,0.8186148402646017
1,0.9795605375329451
1,0.932
1,0.874
1,0.8117972317954988
1,0.9767472441762274
1,0.9728082729108622
1,0.772
1,0.9421339545111496
1,0.866
1,0.9405751133875007
1,0.9324128540406945
1,0.9514963160871069
1,0.873975598977999
1,0.9636386648308951
1,0.8117972317954988
1,0.9569060749983158
1,0.88
1,0.9668079569458996
1,0.8117972317954988
1,0.954
1,0.954
1,0.97
1,0.97
1,0.982
0,0.194
0,0.3277361032936515
0,0.242
0,0.8117972317954988
0,0.11936218178625153
0,0.26914223111365154
0,0.3195985000660737
0,0.1423027214787523
0,0.07927941098009925
0,0.082
1,0.88
0,0.046
0,0.072
0,0.03
0,0.114
0,0.048
0,0.1
0,0.114
1,0.984
0,0.302
1,0.824
1,0.8687334493017097
1,0.818
1,0.89
1,0.8024566923135521
1,0.902
1,0.81
1,0.802
1,0.88
1,0.756
1,0.99
1,0.99
1,0.92
1,0.62
1,0.849112392280189
1,0.958
1,0.962
1,0.966
1,0.9
1,0.646
1,0.866
1,0.99
1,0.802
1,0.728
1,0.894
1,0.748
1,0.912
1,0.7886976110707541
1,0.718
1,0.8754540383216105
1,0.862
1,0.8069405396925008
1,0.9289922781773521
1,0.946
1,0.9180827708061523
1,0.9242199506726
1,0.914
1,0.892
1,0.934
1,0.914
1,0.824
1,0.91
1,0.974
0,0.20302331049865308
0,0.232
0,0.142
0,0.318
0,0.14
0,0.216
0,0.178
0,0.176
0,0.07
1,0.9044566923135523
0,0.1673037959714719
0,0.1489405396925008
1,0.808
0,0.214
0,0.214
0,0.094
0,0.24
0,0.022
0,0.022
0,0.076
1,0.882
1,0.8509405396925008
1,0.844
1,1.0
1,0.9449405396925008
1,0.954
1,0.906
1,0.972
0,0.044
0,0.09
0,0.046
1,0.996
1,0.988
0,0.11
0,0.06
0,0.088
1,0.822
0,0.26
1,0.836
1,0.8794540383216105
1,0.766
1,0.868
0,0.276
1,0.7724566923135523
1,0.72
0,0.24
1,0.822
1,0.966
1,0.996
1,0.998
0,0.158
1,0.852
0,0.186
1,0.7472794109800992
0,0.082
1,0.896
0,0.028
0,0.04
1,0.926
1,0.908
1,0.774
1,0.802
0,0.208
0,0.086
0,0.136
1,0.984
1,0.8549405396925008
1,0.694
1,0.706
1,0.946
0,0.1315553799571026
1,0.936
1,0.9006148402646017
0,0.254
0,0.16
1,0.924
0,0.114
0,0.126
1,0.892
1,0.994
1,0.97
1,0.752
1,0.7272794109800992
0,0.092
1,0.8448399485130443
1,0.9399499579712138
1,0.862
1,0.924
1,0.78
0,0.09
0,0.098
1,0.996
1,0.71
0,0.218
0,0.12
1,0.882
1,0.871071532578154
0,0.09945403832161048
1,0.99
0,0.114
0,0.102
0,0.102
0,0.058
0,0.1
1,0.91
1,0.816
1,0.726
1,0.8931606609665431
1,0.902
1,0.738
1,0.782
1,0.802
1,0.916
0,0.184
0,0.09
1,0.9133584292130964
1,0.8562003479051291
1,0.974
0,0.228
1,0.816
0,0.18445669231355222
0,0.152
0,0.094
1,0.802
1,0.792
1,0.86
1,0.854
1,0.822
1,0.728
1,0.748
0,0.16940690051176177
1,0.838
0,0.162
1,0.866
1,0.982
0,0.058
0,0.068
0,0.074
0,0.264
1,0.894
1,0.952
0,0.212
1,0.7792794109800992
1,0.6684566923135521
1,0.854
1,0.8692388664604018
0,0.186
1,0.994
1,0.88
0,0.1960120722706548
1,0.7071422311136515
1,0.9409405396925008
1,0.798
1,0.93
0,0.126
0,0.136
0,0.142
1,0.8716426672590704
0,0.064
1,0.808
0,0.016
0,0.138
0,0.09
0,0.03927941098009924
0,0.03927941098009924
0,0.08
0,0.018
0,0.01
1,0.856
0,0.172
1,0.746
0,0.252
1,0.7302877296697678
1,0.85
0,0.2471604903651008
1,0.932
1,0.822
1,0.69
0,0.11294053969250077
0,0.228
1,0.9716322696580265
1,0.9684316562838016
1,0.926
1,0.8414993616526992
1,0.857695942785366
1,0.884
1,0.986
1,0.922
1,0.986
1,0.932
1,0.8603719116428552
1,0.904
1,0.956
0,0.344
0,0.11349936165269926
0,0.174
0,0.177397232006053
1,0.82
0,0.126
0,0.224
1,0.802197627270105
1,0.748
0,0.2590630184525999
0,0.12371931232529929
0,0.078
0,0.182
0,0.1946148402646018
0,0.126
0,0.196596269435262
0,0.084
0,0.042
0,0.092
1,0.766
1,0.762
0,0.192
1,0.8833787631379223
1,0.8662199506726
0,0.2263632562789711
0,0.222
0,0.048
1,0.882
0,0.222
0,0.154
0,0.112
1,0.714
1,0.934
1,0.836
0,0.162
1,0.844
0,0.20636325627897115
1,0.9549405396925008
0,0.202
0,0.226
1,0.8622429506011938
1,0.8747435889484946
0,0.074
0,0.148
0,0.06
1,0.834
1,0.8392794109800992
1,0.756
1,0.738
1,0.7135553799571026
1,0.984
1,0.984
1,0.8764590494805169
0,0.12
1,0.918
1,0.94
1,0.918
1,0.722
0,0.238
1,0.782
0,0.1506148402646018
0,0.288
1,0.864
0,0.1
1,0.9065588219601984
0,0.236
0,0.15175707137825334
0,0.044
0,0.074
0,0.112
1,0.816
0,0.208
0,0.226
0,0.066
0,0.04
0,0.126
0,0.18494053969250077
1,0.818
1,0.724
1,1.0
1,1.0
1,1.0
1,0.8241010300576016
1,0.9707908449034534
1,0.892
0,0.184
1,0.95
1,0.926
1,0.8052794109800993
0,0.148
0,0.1572296805292036
1,0.864
1,0.976
1,0.9824566923135521
1,0.662
1,0.896
1,0.938
1,0.938
1,0.924
0,0.114
0,0.154
0,0.18461926936385578
0,0.236
0,0.204
1,0.968
0,0.188
1,0.892
0,0.11
0,0.146
0,0.114
1,0.9075553799571026
1,0.8705786904557558
1,0.8386148402646018
1,0.8664428377620327
0,0.082
1,0.732
0,0.014
0,0.022
1,0.7554540383216105
0,0.158
0,0.03
0,0.1
0,0.32557193722815997
0,0.072
0,0.108
1,0.8197570713782534
0,0.158
0,0.186
1,0.7783015593561368
0,0.146
0,0.136
1,0.806
0,0.2
0,0.18494053969250077
0,0.064
1,0.888
0,0.284
1,0.73
0,0.12
1,0.992
1,0.646
0,0.202
0,0.096
0,0.232
1,0.988
1,0.988
1,0.988
1,0.8629405396925008
1,0.94
0,0.126
1,0.792
1,0.75
0,0.134
0,0.142
0,0.216
0,0.10050846835352181
0,0.17842164209375075
1,0.9046148402646018
1,0.93
1,0.93
1,0.932
1,0.818
0,0.064
1,0.808
1,0.6822655397317751
0,0.08
1,0.776
1,0.772
0,0.022
0,0.024
0,0.22294053969250077
0,0.13894053969250078
0,0.124
1,0.89
0,0.134
1,0.682
0,0.074
0,0.034
0,0.122
0,0.036
0,0.20694053969250079
1,0.926
1,0.968
0,0.08094053969250078
0,0.068
0,0.048
1,0.978
1,0.974
1,0.994
1,0.728
0,0.164
1,0.768
1,0.918
1,0.912
1,0.938
1,0.8895553799571027
1,0.978
1,0.884
1,0.978
1,0.972
1,0.7756559869517583
1,0.948
1,0.9364566923135522
1,0.94
1,0.5066929784604389
1,0.938
1,0.8825087799314123
1,0.8426673974492279
0,0.3399894372902693
0,0.5066929784604389
0,0.128
1,0.836
1,0.768
0,0.1
0,0.09
0,0.294
0,0.16
1,0.802
0,0.074
0,0.094
1,0.982
1,0.9
1,0.772
1,0.946
1,0.878
1,0.766
0,0.10894053969250078
0,0.12727941098009923
0,0.142
0,0.15727941098009923
0,0.16
0,0.15
0,0.014
0,0.284
0,0.126
0,0.216
0,0.014
0,0.082
0,0.106
1,0.796
1,0.936
1,0.93
1,0.748
1,0.808
1,0.9109405396925008
1,0.832
0,0.086
0,0.086
0,0.238
0,0.20294053969250078
