y_true,y_prob
1,0.98189193
1,0.98189193
1,0.9816466
0,0.28129905
0,0.2580572
0,0.57472724
0,0.14960249
0,0.06082357
0,0.17613441
0,0.15136743
1,0.68817896
1,0.7221669
0,0.29655352
1,0.5820916
0,0.15391369
0,0.13840775
0,0.11816003
0,0.21791466
0,0.16473588
0,0.2822476
1,0.81566477
1,0.44789484
1,0.9914957
1,0.9704362
1,0.9863738
1,0.381114
1,0.9250078
0,0.12525758
0,0.117534615
1,0.8919712
1,0.9019484
1,0.9302449
1,0.95424753
1,0.80347025
1,0.8745908
1,0.92953396
1,0.8362732
1,0.9059015
1,0.93458325
1,0.978914
0,0.22556318
0,0.09818837
0,0.09795588
0,0.10503089
1,0.41542685
0,0.12916669
0,0.11941321
0,0.13561945
1,0.9409098
1,0.9566238
1,0.9513988
0,0.09545704
1,0.48098102
0,0.07785496
0,0.24412398
1,0.61302876
0,0.02947518
0,0.026083624
0,0.054973766
0,0.14341131
0,0.25474444
0,0.18126614
1,0.9456495
1,0.9662728
1,0.9517855
1,0.9302198
1,0.95847154
1,0.96434826
1,0.909944
1,0.947929
1,0.97510713
1,0.9211713
1,0.9136748
1,0.93690336
1,0.9662728
1,0.96434826
1,0.93186927
1,0.9540879
1,0.939487
1,0.6932034
0,0.22232886
1,0.7866292
0,0.42970935
1,0.72765005
0,0.18778306
0,0.035647664
0,0.5699071
1,0.95423234
1,0.56376356
0,0.17291842
1,0.9144986
0,0.04778179
1,0.6731715
1,0.7560096
0,0.7357179
1,0.5923578
0,0.17498052
1,0.92228234
0,0.27563557
1,0.88119173
0,0.36832702
1,0.9519422
1,0.9557526
1,0.97616106
1,0.9827514
1,0.98217934
1,0.8881639
1,0.8516215
1,0.91180986
1,0.8519742
0,0.17101057
1,0.7215358
0,0.046960395
0,0.13346599
0,0.35709837
0,0.2898703
1,0.4517121
0,0.5752476
0,0.06373441
1,0.63230604
0,0.1991835
0,0.19595972
1,0.5997213
1,0.9745018
0,0.29912925
0,0.14413273
0,0.16337216
1,0.9031299
0,0.5051228
1,0.62045467
1,0.53219324
1,0.97548974
1,0.9729552
1,0.9715498
1,0.9201612
0,0.17128564
0,0.24076371
0,0.4060234
0,0.3074821
1,0.9091895
1,0.53131396
0,0.1871815
0,0.17468502
0,0.08062392
1,0.74952096
1,0.54886186
0,0.120930426
0,0.029068625
0,0.166249
1,0.8275722
1,0.94594896
0,0.29862553
0,0.150132
1,0.5923577
0,0.26613006
0,0.1555809
1,0.9634588
1,0.9715395
1,0.6884817
0,0.2449158
1,0.9362408
0,0.15098596
0,0.23073234
0,0.24861644
0,0.22448477
1,0.90082806
0,0.43138227
0,0.31397748
0,0.14248185
1,0.82655936
0,0.075591706
0,0.22343196
0,0.16928034
0,0.12683402
0,0.28382108
0,0.06596116
0,0.07184537
1,0.9534947
1,0.84666145
1,0.908542
1,0.6805229
1,0.85314727
1,0.73263824
1,0.73263824
0,0.61485267
0,0.73263824
0,0.4401789
0,0.5355106
0,0.22132778
1,0.81314415
0,0.38014403
0,0.12221533
1,0.8318849
1,0.60423064
1,0.518866
0,0.12049029
0,0.41251922
0,0.33640233
0,0.17633823
0,0.20857428
0,0.14798504
0,0.23501283
0,0.25771245
0,0.346918
1,0.97762793
1,0.892939
1,0.9404008
0,0.12299914
0,0.17692871
0,0.23068908
0,0.20250525
1,0.8014044
1,0.79893166
1,0.45024905
0,0.19224611
0,0.20537905
0,0.16303907
1,0.7108282
1,0.6265947
1,0.44371375
1,0.9373775
1,0.95548683
1,0.95548683
1,0.95147693
1,0.9553318
1,0.9553318
0,0.36771208
1,0.93524957
0,0.11671047
0,0.10350953
0,0.12229792
1,0.9082295
1,0.89741534
1,0.8126289
0,0.14615847
1,0.9582243
1,0.53588027
1,0.81552553
0,0.19074702
1,0.7630857
0,0.11309717
1,0.4240009
0,0.14359668
1,0.54058623
1,0.9237684
1,0.7475629
1,0.8994254
0,0.28780165
0,0.093894556
0,0.077551864
1,0.5253399
1,0.96285164
1,0.5793666
1,0.85529816
0,0.30445048
1,0.8826897
0,0.065936506
1,0.7118006
0,0.2086343
1,0.93787605
1,0.9600643
0,0.0503694
1,0.53568095
0,0.16141519
1,0.6377442
1,0.6970814
1,0.54824233
0,0.13854232
0,0.21640368
0,0.21454626
0,0.10505938
0,0.18524654
0,0.098241374
0,0.094804786
0,0.09992409
1,0.74861133
1,0.52836
0,0.31045008
1,0.9756901
1,0.6012424
1,0.813273
0,0.28898108
1,0.4483951
1,0.29350847
1,0.62820023
1,0.89116526
0,0.20752288
0,0.11788471
0,0.26244345
1,0.7783649
1,0.65957886
1,0.8703429
0,0.29823035
1,0.96255434
0,0.0326557
0,0.165734
1,0.56801486
1,0.787957
1,0.8304052
0,0.31268013
1,0.86263007
1,0.7330413
1,0.84001285
0,0.052186675
1,0.3520724
1,0.43133223
0,0.67368776
