y_true,y_prob
1,0.9959752
1,0.9959752
1,0.9968919
0,0.25222173
0,0.1003302
0,0.5614442
0,0.078617856
0,0.20621952
0,0.17069757
0,0.12744577
1,0.5549907
1,0.31616125
0,0.72679305
1,0.76004463
0,0.09652845
0,0.4000557
0,0.10977456
0,0.4644959
0,0.21048664
0,0.22012912
1,0.8667445
1,0.2453732
1,0.9954377
1,0.9909932
1,0.9961093
1,0.528285
1,0.94245785
0,0.110506065
0,0.16766438
1,0.42243585
1,0.5419686
1,0.6139717
1,0.52560234
1,0.49996924
1,0.6635363
1,0.5802422
1,0.46111923
1,0.7601099
1,0.7432612
1,0.9190877
0,0.27161425
0,0.13801353
0,0.16906923
0,0.20741431
1,0.7433489
0,0.115433455
0,0.09708978
0,0.3939185
1,0.8743485
1,0.93027604
1,0.8727632
0,0.17813921
1,0.26807344
0,0.0755976
0,0.37461504
1,0.53997153
0,0.021585014
0,0.022452028
0,0.10736813
0,0.21347737
0,0.19533809
0,0.16677961
1,0.97320664
1,0.8525819
1,0.7811072
1,0.9420066
1,0.9388812
1,0.9388812
1,0.9388812
1,0.9448945
1,0.9420066
1,0.9448945
1,0.91335636
1,0.9190965
1,0.8525819
1,0.9388812
1,0.9731163
1,0.9567075
1,0.9696498
1,0.353287
0,0.11074447
1,0.54737353
0,0.51316184
1,0.81500757
0,0.12850904
0,0.010517323
0,0.74784505
1,0.98137766
1,0.12174417
0,0.17773113
1,0.7883847
0,0.17002857
1,0.6231862
1,0.6403603
0,0.29695827
1,0.5000278
0,0.11991074
1,0.9601618
0,0.31092823
1,0.94529974
0,0.3738776
1,0.9876676
1,0.9919368
1,0.9901716
1,0.98876184
1,0.98838603
1,0.95520693
1,0.9280185
1,0.95224434
1,0.98506457
0,0.5721922
1,0.9482558
0,0.11760766
0,0.17183536
0,0.26174247
0,0.2768187
1,0.31839177
0,0.4481231
0,0.12354595
1,0.4639379
0,0.12707223
0,0.17931499
1,0.5909114
1,0.99022746
0,0.35833
0,0.12473536
0,0.29726064
1,0.93844366
0,0.25112116
1,0.4746695
1,0.5583589
1,0.81727695
1,0.83814687
1,0.76727927
1,0.7693952
0,0.4917063
0,0.25312513
0,0.6269308
0,0.22166994
1,0.96876997
1,0.6707671
0,0.11208284
0,0.09921951
0,0.06644976
1,0.8248341
1,0.055869162
0,0.22422469
0,0.02219687
0,0.24540317
1,0.9762488
1,0.9225928
0,0.42885983
0,0.25529438
1,0.43274984
0,0.40285465
0,0.18638957
1,0.94959927
1,0.94959927
1,0.96605575
0,0.209536
1,0.97601205
0,0.09685498
0,0.3241164
0,0.23184356
0,0.2806327
1,0.9728546
0,0.7913136
0,0.3738776
0,0.21255468
1,0.6915031
0,0.118677914
0,0.42633754
0,0.090622745
0,0.2616009
0,0.3321822
0,0.22119616
0,0.22190759
1,0.9311015
1,0.7301188
1,0.71979135
1,0.677043
1,0.71979135
1,0.7301188
1,0.7301188
0,0.52284616
0,0.7301188
0,0.7179902
0,0.32487565
0,0.4109637
1,0.7120479
0,0.043007724
0,0.10350077
1,0.88088834
1,0.8186228
1,0.58587915
