y_true,y_prob
1,0.9960342
1,0.9960342
1,0.99552673
0,0.028369725
0,0.027382653
0,0.07057681
0,0.025133546
0,0.02429825
0,0.019535527
0,0.09584548
1,0.97249717
1,0.8789587
0,0.054774478
1,0.91530484
0,0.05719126
0,0.023969373
0,0.026337862
0,0.047296446
0,0.04226367
0,0.03472378
1,0.9640458
1,0.9343409
1,0.99666744
1,0.998211
1,0.9992373
1,0.9484791
1,0.96110356
0,0.051405743
0,0.018626055
1,0.98867214
1,0.99797374
1,0.99374443
1,0.99757
1,0.9978745
1,0.9935229
1,0.9970362
1,0.98778546
1,0.99788123
1,0.9977106
1,0.9983726
0,0.026660122
0,0.0077143135
0,0.00992601
0,0.006374546
1,0.77959985
0,0.010645237
0,0.011339491
0,0.024050716
1,0.96055835
1,0.9859049
1,0.9891206
0,0.0141568845
1,0.8927324
0,0.01464225
0,0.11824818
1,0.94008183
0,0.0054866355
0,0.007135806
0,0.0047192564
0,0.022457037
0,0.03036931
0,0.02762384
1,0.999062
1,0.998351
1,0.9975284
1,0.9987255
1,0.9985077
1,0.9984652
1,0.99882597
1,0.99896765
1,0.9984218
1,0.9989955
1,0.9986218
1,0.99803525
1,0.998351
1,0.9984652
1,0.99862623
1,0.99849546
1,0.9983132
1,0.89827937
0,0.050415397
1,0.9879931
0,0.03841398
1,0.94480205
0,0.046740625
0,0.0054581147
0,0.5447521
1,0.99945337
1,0.9563474
0,0.08374048
1,0.9868442
0,0.043496694
1,0.902924
1,0.93462116
0,0.40945438
1,0.95206535
0,0.0221958
1,0.9853387
0,0.09663888
1,0.9826178
0,0.2569766
1,0.99191827
1,0.9962792
1,0.9976847
1,0.9976841
1,0.9967501
1,0.9665009
1,0.98462635
1,0.996682
1,0.9800454
0,0.04996718
1,0.9589979
0,0.013662772
0,0.019036349
0,0.1887223
0,0.03280414
1,0.83090585
0,0.09940247
0,0.03785017
1,0.7481579
0,0.025969453
0,0.05747451
1,0.8282638
1,0.99600154
0,0.07030447
0,0.019490637
0,0.04442878
1,0.98020107
0,0.049826358
1,0.93284297
1,0.9460668
1,0.8065252
1,0.8752058
1,0.8114802
1,0.7767095
0,0.5227693
0,0.7380718
0,0.05571746
0,0.0869947
1,0.9627998
1,0.9077954
0,0.014095173
0,0.010212881
0,0.021632941
1,0.95441777
1,0.8034037
0,0.020559523
0,0.007805867
0,0.040970087
1,0.9971463
1,0.97738636
0,0.044374656
0,0.04631696
1,0.89485455
0,0.055808578
0,0.095029205
1,0.992088
1,0.9928911
1,0.98199284
0,0.06056686
1,0.9919682
0,0.030983506
0,0.031683803
0,0.021818642
0,0.06531665
1,0.94499445
0,0.40915808
0,0.40873885
0,0.037977498
1,0.88248664
0,0.0052693435
0,0.053489693
0,0.03568654
0,0.07439991
0,0.06898822
0,0.011059652
0,0.01051141
1,0.975754
1,0.89449203
1,0.95178103
1,0.7444011
1,0.9410046
1,0.67505854
1,0.67505854
0,0.24429035
0,0.67505854
0,0.16548719
0,0.061561584
0,0.059843153
1,0.9860021
0,0.05551175
0,0.012544472
1,0.98374844
1,0.93429065
1,0.9402492
0,0.004078043
0,0.19297177
0,0.10390845
0,0.023920484
0,0.0061853174
0,0.00430028
0,0.031727128
0,0.18001145
0,0.023805259
1,0.999446
1,0.9921083
1,0.9845902
0,0.005691833
0,0.040255375
0,0.017419176
0,0.0067654653
1,0.9174661
1,0.93637496
1,0.76230174
0,0.015252967
0,0.034000006
0,0.016770827
1,0.9092662
1,0.92318404
1,0.9358466
1,0.9988501
1,0.99790037
1,0.99790037
1,0.99065745
1,0.9986779
1,0.9986779
0,0.13104053
1,0.9710163
0,0.012941349
0,0.011343603
0,0.044031363
1,0.97252196
1,0.94602424
1,0.9509895
0,0.030858045
1,0.87790173
1,0.93124515
1,0.9330566
0,0.05625938
1,0.9771236
0,0.03540811
1,0.3821538
0,0.23482175
1,0.8927103
1,0.9979007
1,0.93613154
1,0.944022
0,0.060738422
0,0.02274304
0,0.01455631
1,0.8863391
1,0.99213564
1,0.9383859
1,0.9804112
0,0.10889592
1,0.99254817
0,0.04553937
1,0.9506654
0,0.015755896
1,0.9812368
1,0.97787493
0,0.015700562
1,0.68219465
0,0.28341457
1,0.91114956
1,0.9139296
1,0.8658575
0,0.041941404
0,0.22551888
0,0.022636715
0,0.023641406
0,0.15337852
0,0.019243194
0,0.0135414135
0,0.028845524
1,0.891657
1,0.70560145
0,0.11723762
1,0.8935556
1,0.91638106
1,0.94609267
0,0.081703976
1,0.8859269
1,0.81730235
1,0.7517369
1,0.9815278
0,0.052770007
0,0.054395992
0,0.07169795
1,0.94986063
1,0.9615774
1,0.8275149
0,0.06388771
1,0.99556315
0,0.014514196
0,0.048691146
1,0.94637144
1,0.94998556
1,0.9148839
0,0.04213333
1,0.9818558
1,0.8322509
1,0.9854909
0,0.028274601
1,0.9406958
1,0.92323506
0,0.5532671
0,0.028089158
0,0.014323311
1,0.98698205
0,0.042599954
0,0.07655476
0,0.047853533
1,0.99672526
1,0.9940591
1,0.994255
1,0.98776346
1,0.9963888
1,0.99496764
1,0.9936865
1,0.98946744
1,0.99407554
1,0.99468166
0,0.008970295
0,0.06685128
1,0.94629467
0,0.038598403
0,0.04614084
0,0.052757088
0,0.025135497
0,0.017109357
0,0.07057411
0,0.027300868
1,0.97597665
1,0.8412832
0,0.021004979
0,0.021004979
0,0.02421919
1,0.9977937
0,0.0035914502
0,0.03174534
0,0.010636121
0,0.02316414
0,0.015618308
0,0.051291663
1,0.21111956
0,0.13616344
0,0.05157462
0,0.020376056
0,0.13658991
0,0.038157057
0,0.14404081
0,0.052686073
0,0.096765354
0,0.0015276428
0,0.042497303
1,0.93320453
1,0.97586423
0,0.043435108
0,0.028460704
0,0.0500544
0,0.09434545
0,0.056620542
0,0.015578535
0,0.036761064
0,0.0158494
0,0.015068608
0,0.043667268
1,0.96225375
0,0.021051379
1,0.9849723
1,0.9173175
0,0.060199246
1,0.9612798
0,0.042580687
1,0.94338065
1,0.9810463
1,0.99410844
0,0.060347337
0,0.03095893
0,0.009172873
0,0.10912803
0,0.039027784
1,0.99446
1,0.996487
0,0.07098502
0,0.052568823
0,0.030965649
1,0.95147175
0,0.027769232
1,0.74366
1,0.9898084
1,0.99680746
1,0.9904669
0,0.008962504
0,0.009102792
0,0.010963418
1,0.940766
1,0.9935615
0,0.027640413
0,0.03173702
0,0.011419986
0,0.017910492
