y_true,y_prob
1,1.0
1,1.0
1,1.0
0,0.12446751
0,0.13225618
0,0.6710963
0,0.096510835
0,0.2042037
0,0.14883557
0,0.15986776
1,0.63166785
1,0.0954846
0,0.6784103
1,0.6005032
0,0.15657753
0,0.3571273
0,0.10533122
0,0.54466593
0,0.17511706
0,0.2313384
1,0.95560795
1,0.25047365
1,0.9999994
1,0.99999964
1,1.0
1,0.59126186
1,0.7512882
0,0.13331422
0,0.13592632
1,0.91159135
1,0.91074616
1,0.91780674
1,0.9066963
1,0.79838735
1,0.98766816
1,0.9692413
1,0.88947797
1,0.9880785
1,0.9806962
1,0.986419
0,0.28672898
0,0.10977439
0,0.12050632
0,0.07626077
1,0.5419626
0,0.06613949
0,0.05860134
0,0.53495514
1,0.70433164
1,0.8513435
1,0.6812246
0,0.057549853
1,0.12219773
0,0.1479193
0,0.5348837
1,0.27147058
0,0.04903065
0,0.07066145
0,0.09915547
0,0.23493288
0,0.1439206
0,0.34008878
1,0.95207894
1,0.9887361
1,0.968478
1,0.98839736
1,0.99580735
1,0.99580735
1,0.99580735
1,0.9791202
1,0.98839736
1,0.9791202
1,0.9966131
1,0.99143386
1,0.9887361
1,0.99580735
1,0.9973316
1,0.99555653
1,0.99410075
1,0.15725143
0,0.31625232
1,0.7028512
0,0.5042022
1,0.6890135
0,0.13640165
0,0.04523267
0,0.55029345
1,0.9999982
1,0.09747533
0,0.1936838
1,0.95011836
0,0.07206782
1,0.1721445
1,0.27855486
0,0.28479517
1,0.25714588
0,0.14682667
1,0.99778426
0,0.27128032
1,0.9998776
0,0.35868114
1,0.9928916
1,0.9978642
1,0.9976417
1,0.9997593
1,0.9760058
1,0.9981372
1,0.9567235
1,0.99575573
1,0.99841905
0,0.4556755
1,0.87742954
0,0.12229336
0,0.15264536
0,0.5361836
0,0.1514215
1,0.18280631
0,0.5235932
0,0.3772236
1,0.32911325
0,0.057927784
0,0.061758343
1,0.5716895
1,0.9953295
0,0.232681
0,0.13031527
0,0.93435377
1,0.735461
0,0.10521633
1,0.581861
1,0.7737685
1,0.71227586
1,0.7232963
1,0.6500674
1,0.70717454
0,0.6124542
0,0.7361258
0,0.32768098
0,0.13797376
1,0.9710499
1,0.7773632
0,0.153085
0,0.08745358
0,0.11689982
1,0.8957039
1,0.03772931
0,0.115911424
0,0.06224417
0,0.19525905
1,0.9986169
1,0.61385286
0,0.27172637
0,0.31821373
1,0.4987135
0,0.32257757
0,0.23924701
1,0.9224857
1,0.9224857
1,0.90075696
0,0.13836418
1,0.9884502
0,0.10237978
0,0.5001379
0,0.18130775
0,0.32167348
1,0.8792305
0,0.87182003
0,0.35868114
0,0.12697062
1,0.8480909
0,0.22342403
0,0.18468083
0,0.14593554
0,0.14855552
0,0.63377666
0,0.11554009
0,0.11811813
1,0.8747469
1,0.6456106
1,0.5858884
1,0.5364859
1,0.5858884
1,0.6456106
1,0.6456106
0,0.47713527
0,0.6456106
0,0.5780722
0,0.34198508
0,0.7073041
1,0.7021825
0,0.2658387
0,0.10901019
1,0.76001364
1,0.71255744
1,0.61329806
0,0.3435878
0,0.30137974
0,0.6019621
0,0.22614299
0,0.34990948
0,0.35283872
0,0.24580462
0,0.13242775
0,0.56492925
1,1.0
1,0.9999949
1,0.9465406
0,0.086606964
0,0.12659597
0,0.06018108
0,0.13448438
1,0.43000653
1,0.6694082
1,0.120090805
0,0.24645564
0,0.16589059
0,0.21648666
1,0.30356947
1,0.6825914
1,0.9941525
1,0.999996
1,0.999996
1,0.999996
1,0.9999949
1,0.999996
1,0.999996
0,0.82740694
1,0.9993216
0,0.020559477
0,0.018828042
0,0.15805031
1,0.77431804
1,0.6982013
1,0.8797708
0,0.13460284
1,0.7896156
1,0.33346528
1,0.8463101
0,0.23162843
1,0.8701389
0,0.22724234
1,0.138406
0,0.14700781
1,0.45391056
1,0.8797432
1,0.34632444
1,0.6771933
0,0.239568
0,0.08264148
0,0.13308099
1,0.5411193
1,0.74366045
1,0.30288908
1,0.99058527
0,0.83127135
1,0.7866662
0,0.15771338
1,0.40484735
0,0.09421506
1,0.98646826
1,0.9324158
0,0.079938024
1,0.51221025
0,0.09111623
1,0.31116298
1,0.29566678
1,0.2581399
0,0.109170705
0,0.12236358
0,0.21354795
0,0.21955174
0,0.06035684
0,0.048180923
0,0.15227574
0,0.12260276
1,0.20922504
1,0.14662747
0,0.2284362
1,0.90515196
1,0.28345075
1,0.5319143
0,0.48617643
1,0.6503307
1,0.33471102
1,0.8051727
1,0.6005091
0,0.07771695
0,0.078524016
0,0.39989603
1,0.5052287
1,0.8798456
1,0.83286613
0,0.11237111
1,0.97276247
0,0.202011
0,0.101330936
1,0.66788375
1,0.8222606
1,0.5797795
0,0.10061052
1,0.99845004
1,0.87005115
1,0.8940949
0,0.13069
1,0.84009236
1,0.84009236
0,0.51636136
0,0.11827816
0,0.10867108
1,0.9999999
0,0.51086223
0,0.41668987
0,0.22742908
1,1.0
1,0.999985
1,0.99999875
1,0.99505454
1,0.99999934
1,0.99999934
1,1.0
1,0.99999994
1,0.99999905
1,1.0
0,0.0642041
0,0.9269677
1,0.85001135
0,0.24801725
0,0.40884385
0,0.26146847
0,0.0879707
0,0.40638727
0,0.20570432
0,0.0873007
1,0.2217689
1,0.11355825
0,0.14157127
0,0.14157127
0,0.18511617
1,1.0
0,0.056230284
0,0.17374113
0,0.71347237
0,0.81604177
0,0.0798258
0,0.10581742
1,0.14524487
0,0.10501879
0,0.15755929
0,0.24635522
0,0.19457312
0,0.51893324
0,0.017485185
0,0.2332962
0,0.11950763
0,0.07821036
0,0.24056542
1,0.3172275
1,0.9477423
0,0.61182076
0,0.32666588
0,0.12378982
0,0.15764089
0,0.8080157
0,0.16126874
0,0.57392955
0,0.19245799
0,0.17824554
0,0.13899618
1,0.6910064
0,0.15288235
1,0.9597132
1,0.49705604
0,0.79
1,0.7342322
0,0.38460514
1,0.94562626
1,0.99999964
1,0.9537775
0,0.27225175
0,0.16070352
0,0.055400666
0,0.5647609
0,0.19453596
1,0.9999886
1,0.9999996
0,0.30326453
0,0.16795042
0,0.17501782
1,0.9471563
0,0.0629628
1,0.67282265
1,0.83775246
1,0.94880825
1,0.9466699
0,0.04007749
0,0.08929347
0,0.3495346
1,0.7304108
1,0.9995187
0,0.59431016
0,0.6236727
0,0.59431016
0,0.59431016
0,0.6376331
0,0.7301023
0,0.5479203
1,0.96819097
1,0.8203887
0,0.30417845
0,0.08219053
0,0.06765944
1,0.16367993
0,0.1780663
0,0.16804533
1,0.96634525
1,0.96634525
1,0.63146126
0,0.57515883
0,0.2440101
0,0.43950662
1,0.9999996
1,0.9999999
1,0.9999999
0,0.040382236
1,0.99902576
1,0.72219765
0,0.15703014
0,0.10242621
0,0.18107824
1,0.9423857
1,0.9730872
1,0.94344586
1,0.8875156
1,0.97606593
1,0.6439756
1,0.96476
1,0.9459674
1,0.77066237
1,0.97457534
1,0.32882902
1,0.92962325
1,0.9999993
1,0.23825349
0,0.069466926
0,0.2543573
0,0.27570862
1,0.81223136
0,0.33673915
0,0.32658595
0,0.07245338
0,0.089263454
0,0.13459642
0,0.06703282
0,0.11744514
0,0.123800114
0,0.39027208
0,0.33725405
0,0.06731182
1,0.8470489
1,0.37246773
1,0.47245878
0,0.78625894
1,0.7960082
1,0.281818
0,0.27978504
0,0.46545193
0,0.17364684
1,0.84369576
1,0.9979236
0,0.19237837
1,0.7839821
1,1.0
0,0.1383857
1,0.8962546
0,0.37883306
0,0.12300816
0,0.12300816
0,0.22101103
1,0.29009748
1,0.41393092
1,0.29874307
1,0.3319798
1,0.50348103
1,0.6577462
0,0.18625815
0,0.12232912
1,0.58796984
0,0.16048329
1,0.8590747
1,0.08280652
0,0.6178336
0,0.39815462
0,0.26291445
0,0.1445116
0,0.5256393
0,0.042160112
1,0.9916195
1,0.9763196
1,0.89034694
1,0.93847317
0,0.31218326
0,0.6469502
0,0.72407687
0,0.062554434
0,0.1748963
1,0.9050684
1,0.9992551
1,0.9050684
1,0.9091752
1,0.9992551
0,0.40353194
1,0.9936653
1,0.40221223
0,0.04127101
0,0.24127616
1,0.6292509
0,0.014688223
0,0.13440198
0,0.22491309
1,0.24961986
0,0.06158749
0,0.24184135
0,0.6705719
1,0.57846963
0,0.10556153
0,0.20078972
0,0.1923152
0,0.11442094
1,0.9192946
1,0.715402
1,0.77919877
1,0.7595909
1,0.71578765
1,0.65229416
1,0.86996937
1,0.6647346
1,0.7721527
0,0.0686371
0,0.85425067
1,0.99971235
0,0.11572909
1,0.12797739
1,0.99173915
0,0.13480914
0,0.13818136
0,0.12797739
1,0.7213583
1,1.0
1,0.86594117
0,0.4088611
0,0.083210826
1,0.44401625
1,0.3571182
1,0.3709407
1,0.47545165
1,0.4418144
1,0.42924657
1,0.47545165
1,0.42215565
1,0.3190206
1,0.38418308
1,0.35041985
1,0.651729
1,0.35041985
0,0.3709407
0,0.3709407
0,0.24097823
0,0.3709407
0,0.3098936
0,0.38418308
0,0.3190206
0,0.43576285
0,0.30661404
0,0.09777744
0,0.19733909
0,0.28824824
0,0.09726084
1,0.9111758
0,0.1901801
1,0.52089065
0,0.44001526
1,0.35625404
1,0.90387917
1,0.929931
0,0.680931
0,0.1976519
1,0.88598335
1,0.61226153
1,0.95282155
1,0.9740631
0,0.05106458
1,0.8579993
1,0.5418838
0,0.22535162
1,0.76105356
0,0.10572485
1,0.23597369
0,0.39134094
1,0.86872375
0,0.06947564
1,0.99726635
0,0.14462757
1,0.874018
0,0.15157461
0,0.13791408
0,0.30379087
1,0.23224142
0,0.5906446
0,0.46043846
0,0.70351136
1,0.8899226
1,0.21879475
1,0.33701396
1,0.95427334
0,0.2230284
0,0.23704231
0,0.37559667
1,0.18975139
0,0.32322988
0,0.4104289
0,0.021389889
1,0.91339296
0,0.03781409
0,0.115044765
0,0.11796954
0,0.2491891
1,0.8282682
0,0.2810641
0,0.6951233
1,0.3108504
0,0.034470335
0,0.38192335
1,0.88865966
1,0.4047408
1,0.20646417
0,0.23119567
1,0.97024965
1,0.9578761
1,0.98019993
0,0.13856429
0,0.20989718
1,0.6718606
1,0.9998943
1,0.9998716
1,0.99979824
0,0.032716833
0,0.06192504
0,0.1909311
0,0.21582937
0,0.14189184
0,0.18361375
0,0.17596674
1,0.9924346
0,0.39196467
1,0.9918429
1,0.9918429
0,0.21575776
1,0.9770667
1,0.8676053
0,0.15496464
1,0.82385373
1,0.8427253
1,0.9698054
1,0.9999959
0,0.16586433
0,0.098647736
1,0.3021252
1,0.94035226
1,0.9799197
1,0.45909908
1,0.6977502
1,0.6425841
1,0.41669056
1,0.34789208
1,0.9995812
1,0.87888944
1,0.7153679
1,0.46212414
1,0.6425841
1,0.7594656
1,0.68942463
1,0.46710795
1,0.75639987
1,0.4187183
1,0.9580742
1,0.4628607
1,0.6425841
1,0.56889725
1,0.6466515
1,0.6425841
1,0.61712724
1,0.8582296
1,0.78974277
1,0.6425841
1,0.99992925
1,0.99992925
1,0.99892217
1,0.99892217
1,0.99984664
0,0.20494418
0,0.16764717
0,0.34967992
0,0.6425841
0,0.22716004
0,0.5803213
0,0.48688948
0,0.2604975
0,0.34869376
0,0.325583
1,0.21557343
0,0.09442937
0,0.094292626
0,0.04752122
0,0.0889547
0,0.09761271
0,0.16829665
0,0.17398347
1,0.76354647
0,0.7855001
1,0.30168205
1,0.98499054
1,0.86364627
1,0.9999551
1,0.72363746
1,0.88600034
