y_true,y_prob
1,0.99999976
1,0.99999976
1,0.99999934
0,0.026332173
0,0.044190202
0,0.07371949
0,0.025241343
0,0.032188922
0,0.001068974
0,0.011809404
1,0.74264276
1,0.016075345
0,0.0943877
1,0.2626913
0,0.022670735
0,0.033117454
0,0.070944935
0,0.054470934
0,0.0011168049
0,0.0005780036
1,0.90263516
1,0.58220357
1,1.0
1,0.99999726
1,0.99999905
1,0.5608736
1,0.8393745
0,0.038018584
0,0.044987254
1,0.99416345
1,0.99807155
1,0.99957746
1,0.99789095
1,0.9965197
1,0.9998388
1,0.99784136
1,0.9863379
1,0.9501215
1,0.91855776
1,0.99991775
0,0.022349097
0,0.072702706
0,0.03745898
0,0.005319909
1,0.9938487
0,0.011595209
0,0.015872033
0,0.014702839
1,0.4243623
1,0.9950265
1,0.9988337
0,0.007726394
1,0.4331343
0,0.032370754
0,0.39462942
1,0.56557745
0,0.0018300175
0,0.0022914729
0,0.012236053
0,0.026377488
0,0.015970143
0,0.052974984
1,0.99938333
1,0.9997078
1,0.99886197
1,0.99939466
1,0.9989094
1,0.9989094
1,0.9989094
1,0.99905556
1,0.99939466
1,0.99905556
1,0.99742883
1,0.999832
1,0.9997078
1,0.9989094
1,0.9989094
1,0.9989094
1,0.9983666
1,0.64869714
0,0.042179532
1,1.0
0,0.029346298
1,0.50455296
0,0.0035109825
0,0.008113415
0,0.75475276
1,1.0
1,0.8664453
0,0.29690516
1,0.9999981
0,0.026390633
1,0.41085684
1,0.4855505
0,0.015707321
1,0.7856966
0,0.0010828174
1,0.99833924
0,0.00092226936
1,0.99980366
0,0.12987486
1,0.9999744
1,0.99995035
1,0.99932975
1,0.9991536
1,0.99480224
1,0.9999439
1,0.997239
1,0.99998665
1,0.9999975
0,0.01722074
1,0.9712996
0,0.03722434
0,0.034143545
0,0.0008918772
0,0.035427026
1,0.20491561
0,0.6580518
0,0.0061665364
1,0.39395568
0,0.0001647447
0,0.00019652864
1,0.13313411
1,0.99159676
0,0.050311305
0,0.030667784
0,0.015727717
1,0.8719768
0,0.0071297945
1,0.64823157
1,0.88238966
1,0.5692136
1,0.51469696
1,0.6165943
1,0.5654034
0,0.5692136
0,0.61558306
0,8.28487e-05
0,0.0019620566
1,0.9783069
1,0.9930464
0,0.031062724
0,0.035696913
0,0.05878016
1,0.9782547
1,0.15555355
0,0.06138581
0,0.0033686962
0,0.007919896
1,0.9365071
1,0.9492316
0,0.082945205
0,0.019788569
1,0.26141134
0,0.16169031
0,0.0020314916
1,0.99694735
1,0.99694735
1,0.9656415
0,0.029589526
1,0.9635865
0,0.0066010617
0,0.02941494
0,0.022522701
0,0.009280381
1,0.7703438
0,0.13762715
0,0.03814883
0,0.0023954792
1,0.88135225
0,0.012772828
0,0.02771649
0,0.09138369
0,0.03108625
0,0.052617062
0,0.040111873
0,0.047723517
1,0.99101996
1,0.64961135
1,0.5331198
1,0.4962283
1,0.53972745
1,0.6332281
1,0.6332281
0,0.4765973
0,0.6332281
0,0.43321186
0,0.15369809
0,0.04743189
1,0.80515647
0,0.008077041
0,0.0012320689
1,0.68596673
1,0.7291087
1,0.49967247
0,0.0037439426
0,0.00714654
0,0.09698052
0,0.03219294
0,0.011698567
0,0.0023070537
0,0.052237805
0,0.048298933
0,0.024159335
1,1.0
1,1.0
1,0.79305756
0,0.0008377498
0,0.025419023
0,0.006259189
0,0.0005658845
1,0.35267478
1,0.62672377
1,0.56587744
0,0.109128445
0,0.082863584
0,0.06793553
1,0.41552237
1,0.5200749
1,0.98880476
1,0.99999994
1,0.99999994
1,0.99999994
1,0.9998748
1,1.0
1,1.0
0,0.58299255
1,0.9707315
0,0.016795432
0,0.011459893
0,0.038365014
1,0.43779364
1,0.29149258
1,0.9459136
0,0.053533535
1,0.5624747
1,0.20394549
1,0.5677072
0,0.0034068383
1,0.3111709
0,0.014742841
1,0.0710269
0,0.061281618
1,0.99139005
1,0.9990274
1,0.061117757
1,0.5250125
0,0.039562047
0,0.0052472726
0,0.005829481
1,0.108130164
1,0.9632691
1,0.21299225
1,0.7437857
0,0.06890256
1,0.99996567
0,0.02417787
1,0.9038083
0,0.010830805
1,0.9999984
1,0.99999994
0,0.032307435
1,0.07868355
0,0.006234159
1,0.49693415
1,0.3997465
1,0.7051338
0,0.020049047
0,0.014682311
0,0.03454294
0,0.06287104
0,0.00030280734
0,0.084550194
0,0.017428726
0,0.033063613
1,0.9944036
1,0.3151896
0,0.0027465022
1,0.60247713
1,0.14306952
1,0.85262847
0,0.08547527
1,0.31663674
1,0.45572743
1,0.2309632
1,0.5984773
0,0.13232279
0,0.17519958
0,0.4776879
1,0.045036178
1,0.9960762
1,0.20022325
0,0.11433661
1,0.9992179
0,0.006120373
0,0.044609368
1,0.9905195
1,0.98590463
1,0.9740856
0,0.018941503
1,0.99787533
1,0.94622767
1,0.9619375
0,0.0014342662
1,0.90996337
1,0.90996337
0,0.46031892
0,0.020907281
0,0.035092093
1,1.0
0,0.40291733
0,0.14340961
0,0.104904406
1,1.0
1,0.99999744
1,1.0
1,0.9432217
1,0.9999959
1,0.9999959
1,1.0
1,1.0
1,1.0
1,0.9999999
0,0.007043789
0,0.67017746
1,0.8445064
0,0.13695295
0,0.012521869
0,0.16483961
0,0.008039737
0,0.0028307245
0,0.554016
0,0.0073705064
1,0.5743636
1,0.66971946
0,0.0013666768
0,0.0013666768
0,0.0020545959
1,1.0
0,0.0053671696
0,0.0018681517
0,0.0016321936
0,0.004010695
0,0.0585439
0,0.029399691
1,0.14578293
0,0.020674014
0,0.056038227
0,0.05179912
0,0.093597606
0,0.05218653
0,0.026894975
0,0.12302721
0,0.034251135
0,0.04043291
0,0.0145024415
1,0.87116766
1,0.98704267
0,0.6466372
0,0.006941086
0,0.07169448
0,0.11949756
0,0.044214852
0,0.0218162
0,0.031583354
0,0.13604662
0,0.070418656
0,0.03977041
1,0.9989451
0,0.025637623
1,0.9959493
1,0.35187495
0,0.16711982
1,0.9992893
0,0.10284458
1,0.5767232
1,0.9998661
1,0.9978273
0,0.40586683
0,0.06471824
0,0.03939862
0,0.41284588
0,0.025816815
1,0.99944836
1,0.9994005
0,0.018868873
0,0.005777115
0,0.007120744
1,0.6985412
0,0.008066831
1,0.95495296
1,0.9729702
1,0.9889474
1,0.9943755
0,0.002887296
0,0.0019075533
0,0.24818522
1,0.90604985
1,1.0
0,0.0139197195
0,0.012832353
0,0.0139197195
0,0.0139197195
0,0.0139197195
0,0.010391625
0,0.1375743
1,0.23256998
1,0.9999542
0,0.03927686
0,0.012687365
0,0.016952412
1,0.9999207
0,0.008043069
0,0.030070046
1,0.8513668
1,0.81929797
1,0.8053534
0,0.102625996
0,0.03183749
0,0.023491595
1,1.0
1,1.0
1,1.0
0,0.0011405167
1,0.9918327
1,0.06462086
0,0.39124125
0,0.0036226695
0,0.029546022
1,0.9734317
