y_true,y_prob
1,1.0
1,1.0
1,1.0
0,0.14395821
0,0.13035387
0,0.67892826
0,0.06441093
0,0.20360258
0,0.13937593
0,0.17239717
1,0.7060424
1,0.08681834
0,0.7871692
1,0.63302153
0,0.1707595
0,0.31629923
0,0.111348405
0,0.69735265
0,0.1947227
0,0.2883359
1,0.9067441
1,0.20444135
1,0.9999979
1,0.9999985
1,0.9999999
1,0.47024876
1,0.8317335
0,0.1492281
0,0.13879375
1,0.9167834
1,0.92064035
1,0.9380829
1,0.92449033
1,0.80063146
1,0.96615416
1,0.96176124
1,0.86457014
1,0.9925174
1,0.9885899
1,0.98036623
0,0.2150521
0,0.14773792
0,0.19851209
0,0.11714314
1,0.9498545
0,0.085687555
0,0.08193941
0,0.7485832
1,0.855297
1,0.9489551
1,0.7784112
0,0.067662254
1,0.12266078
0,0.1260393
0,0.5539077
1,0.27810094
0,0.03313855
0,0.04157039
0,0.11530188
0,0.20007749
0,0.16277875
0,0.24562606
1,0.9346547
1,0.97748154
1,0.88513947
1,0.9629932
1,0.97836137
1,0.97836137
1,0.97836137
1,0.95559746
1,0.9629932
1,0.95559746
1,0.98016787
1,0.9780734
1,0.97748154
1,0.97836137
1,0.9850612
1,0.9789028
1,0.97460914
1,0.40795466
0,0.20088246
1,0.7184737
0,0.6957313
1,0.9606075
0,0.1286677
0,0.050367452
0,0.7607361
1,0.99996763
1,0.1027133
0,0.15244384
1,0.95554715
0,0.11667653
1,0.25302073
1,0.2770861
0,0.4297385
1,0.4576991
0,0.17169243
1,0.9918247
0,0.67351997
1,0.9998453
0,0.38744456
1,0.99501246
1,0.999316
1,0.99903226
1,0.99988836
1,0.9887016
1,0.99944746
1,0.99033904
1,0.9995775
1,0.9992924
0,0.60105336
1,0.9633208
0,0.07577003
0,0.18526074
0,0.55384713
0,0.21574116
1,0.16836655
0,0.82343143
0,0.15880206
1,0.38992825
0,0.050959203
0,0.08405323
1,0.7796448
1,0.99230963
0,0.27154136
0,0.13133831
0,0.77319354
1,0.49143463
0,0.12390424
1,0.66623974
1,0.7013626
1,0.8637524
1,0.86734074
1,0.88477963
1,0.87978154
0,0.8582331
0,0.85395885
0,0.28298223
0,0.100803725
1,0.9665697
1,0.8361193
0,0.07801183
0,0.09811845
0,0.0703699
1,0.8571656
1,0.07642415
0,0.12345127
0,0.0531429
0,0.20149533
1,0.9978364
1,0.67973614
0,0.27839538
0,0.13394234
1,0.5855012
0,0.34534872
0,0.27486554
1,0.96973056
1,0.96973056
1,0.9211771
0,0.15382522
1,0.9689588
0,0.062660106
0,0.4933589
0,0.16411017
0,0.29812387
1,0.97395766
0,0.9078451
0,0.38744456
0,0.118512504
1,0.9507526
0,0.17405134
0,0.2338028
0,0.10815896
0,0.23342177
0,0.53115785
0,0.15630385
0,0.15924594
1,0.8476069
1,0.7861265
1,0.8616999
1,0.6466849
1,0.8616999
1,0.7861265
1,0.7861265
0,0.6514981
0,0.7861265
0,0.7313498
0,0.26396725
0,0.36082524
1,0.82250667
0,0.5030843
0,0.057117514
1,0.84728014
1,0.7559465
1,0.6727971
0,0.3129858
0,0.27550197
0,0.6325965
0,0.19807547
0,0.2948584
0,0.3409286
0,0.19991018
0,0.19170508
0,0.53656614
1,0.99999994
1,0.99999493
1,0.9402409
0,0.074506074
0,0.10286291
0,0.04286719
0,0.113955215
1,0.29773408
1,0.6507971
1,0.18052681
0,0.25296354
0,0.15215997
0,0.2558162
1,0.58441734
1,0.5024879
1,0.97610915
1,0.99998486
1,0.99998486
1,0.99998486
1,0.9999795
1,0.99998486
1,0.99998486
0,0.871307
1,0.9991115
0,0.030153736
0,0.029732928
0,0.10544766
1,0.8383944
1,0.7853355
1,0.89368206
0,0.12270585
1,0.5179114
1,0.4401241
1,0.8626971
0,0.18922247
1,0.76119417
0,0.1451598
1,0.104113206
0,0.10775644
1,0.5730394
1,0.87474155
1,0.28399777
1,0.9508116
0,0.2888821
0,0.103287466
0,0.120671496
1,0.6882178
1,0.8843197
1,0.28725085
1,0.99928355
0,0.82116765
1,0.86337954
0,0.124408066
1,0.1873043
0,0.06468958
1,0.9858808
1,0.9316174
0,0.12236404
1,0.2840784
0,0.08650561
1,0.21547136
1,0.2078059
1,0.4875362
0,0.10532868
0,0.14598632
0,0.2880141
0,0.26753756
0,0.07295408
0,0.06466675
0,0.16706479
0,0.15132044
1,0.25437853
1,0.37958428
0,0.35617986
1,0.94255286
1,0.40427196
1,0.6581581
0,0.55114746
1,0.5925169
1,0.3325455
1,0.9254153
1,0.74859095
0,0.071738
0,0.079663016
0,0.31907678
1,0.80232775
1,0.731426
1,0.6029576
0,0.16664474
1,0.9650719
0,0.16757801
0,0.093339585
1,0.7505883
1,0.8761399
1,0.6321111
0,0.15271494
1,0.99647677
1,0.92510116
1,0.9466748
0,0.11482341
1,0.8188938
1,0.8188938
0,0.68005234
0,0.095955536
0,0.07958881
1,0.9999998
0,0.87465215
0,0.39706102
0,0.13731506
1,1.0
1,0.9994414
1,0.999833
1,0.99988335
1,0.99999887
1,0.99999887
1,0.999994
1,0.9999957
1,0.9998596
1,0.9999994
0,0.062476266
0,0.9476234
1,0.8667199
0,0.24215697
0,0.17850955
0,0.19675604
0,0.066420935
0,0.2641451
0,0.20901822
0,0.0983982
1,0.17310159
1,0.117332645
0,0.20521867
0,0.20521867
0,0.21294881
1,1.0
0,0.06619064
0,0.2593342
0,0.7272507
0,0.7929243
0,0.09654502
0,0.0863481
1,0.113688245
0,0.103846304
0,0.10120131
0,0.14304605
0,0.14463764
0,0.14988141
0,0.052035373
0,0.10786997
0,0.092256054
0,0.06974124
0,0.23243368
1,0.4184071
1,0.98111284
0,0.5094388
0,0.3288748
0,0.11069008
0,0.17407756
0,0.78495234
0,0.13598487
0,0.75474405
0,0.19529909
0,0.18966898
0,0.11074515
1,0.8554154
0,0.12321924
1,0.9514516
1,0.36661437
0,0.8245493
1,0.72612333
0,0.44906333
1,0.98881644
1,0.9999995
1,0.9663865
0,0.24847919
0,0.165439
0,0.06529951
0,0.76932305
0,0.20354454
1,0.99997157
1,0.99999696
0,0.2916527
0,0.16306712
0,0.17587222
1,0.9834155
0,0.050626483
1,0.81656283
1,0.8269247
1,0.9539858
1,0.9219239
0,0.051240586
0,0.066818506
0,0.36568052
1,0.720444
1,0.9997156
0,0.6653873
0,0.68904805
0,0.6653873
0,0.6653873
0,0.68123704
0,0.7874025
0,0.6130433
1,0.9851299
1,0.8844676
0,0.4366573
0,0.08225034
0,0.06268436
1,0.15432502
0,0.06655633
0,0.13263594
1,0.69592404
1,0.69592404
1,0.71472573
0,0.7880382
0,0.18475485
0,0.36510646
1,0.99999654
1,0.9999972
1,0.9999972
0,0.030505076
1,0.9976043
1,0.8471706
0,0.15529768
0,0.068217345
0,0.24189098
1,0.9250229
1,0.9546742
1,0.9336684
1,0.87732214
1,0.9641101
1,0.7536838
1,0.98270607
1,0.96056634
1,0.94307446
1,0.98634416
1,0.26138127
1,0.94661885
1,0.9999735
1,0.19092102
0,0.07287286
0,0.14428718
0,0.21420008
1,0.9558733
0,0.26921922
0,0.28629458
0,0.051945664
0,0.07849371
0,0.13123645
0,0.091325216
0,0.11731779
0,0.121066734
0,0.35957858
0,0.32685998
0,0.09119012
1,0.9111671
1,0.32225907
1,0.51677066
0,0.9013893
1,0.8379315
1,0.26998138
0,0.2686154
0,0.36036605
0,0.19069642
1,0.88227594
1,0.9975359
0,0.16929655
1,0.91304505
1,0.99999994
0,0.17917193
1,0.8876455
0,0.38548836
0,0.16468027
0,0.16468027
0,0.14072591
1,0.20571217
1,0.28702962
1,0.2362069
1,0.2738783
1,0.61255026
1,0.8152993
0,0.14779818
0,0.10132078
1,0.77352846
0,0.19927306
1,0.80849093
1,0.06569117
0,0.81679726
0,0.35229403
0,0.30963677
0,0.12516117
0,0.49422845
0,0.07798637
1,0.9778635
1,0.9849136
1,0.8734666
1,0.96814156
0,0.33947495
0,0.7650995
0,0.64261854
0,0.040854987
0,0.13477933
1,0.88181
1,0.99927706
1,0.88181
1,0.94382113
1,0.99927706
0,0.49079525
1,0.9578258
1,0.3316761
0,0.0464823
0,0.49674904
1,0.7699806
0,0.04295856
0,0.14990044
0,0.432701
1,0.29462218
0,0.07005548
0,0.15159246
0,0.6735258
1,0.5727067
0,0.094038546
0,0.11338459
0,0.24621637
0,0.09382694
1,0.9742319
1,0.8947798
1,0.9295766
1,0.92612225
1,0.9162387
1,0.86137366
1,0.95792973
1,0.8454009
1,0.9696532
0,0.069511674
0,0.76331335
1,0.9996483
0,0.094438136
1,0.13996942
1,0.9985119
0,0.15041657
0,0.16230322
0,0.13996942
1,0.76597834
1,1.0
1,0.7301098
0,0.38645998
0,0.036914192
1,0.58747774
1,0.30795625
1,0.45609635
1,0.6046337
1,0.5136936
1,0.53286374
1,0.6046337
1,0.5375246
1,0.4175616
1,0.45048022
1,0.46884188
1,0.59918237
1,0.46884188
0,0.45609635
0,0.45609635
0,0.3454375
0,0.45609635
0,0.4258532
0,0.45048022
0,0.4175616
0,0.6193172
0,0.37228492
0,0.10295852
0,0.11401478
0,0.24727118
0,0.12377355
1,0.9363795
0,0.22347541
1,0.7811732
0,0.59593016
1,0.4729875
1,0.9087612
1,0.922575
0,0.7269379
0,0.297625
1,0.7823987
1,0.62056696
1,0.9707547
1,0.9449486
0,0.082345836
1,0.8815819
1,0.70536083
0,0.37076652
1,0.59624463
0,0.09224972
1,0.2984843
0,0.43227673
1,0.7736441
0,0.10440906
1,0.99809384
0,0.1132314
1,0.89417064
0,0.1532937
0,0.13427252
0,0.37024713
1,0.2503792
0,0.80701697
0,0.27035746
0,0.6079438
1,0.9577761
1,0.24003999
1,0.48615286
1,0.8363452
0,0.27987656
0,0.30132106
0,0.45182526
1,0.14959042
0,0.17224737
0,0.2987614
0,0.026560156
1,0.9216085
0,0.04017156
0,0.101226926
0,0.09986487
0,0.25763765
1,0.88782805
0,0.21157767
0,0.73623025
1,0.5771429
0,0.025283001
0,0.5450407
1,0.8849635
1,0.39927298
1,0.1521595
0,0.2081711
1,0.9761229
1,0.96744514
1,0.98098207
0,0.094242185
0,0.1707881
1,0.78880936
1,0.9993925
1,0.99963844
1,0.9969065
0,0.05041842
0,0.09413956
0,0.1842005
0,0.2056424
0,0.14329389
0,0.21369326
0,0.19826421
1,0.9733338
0,0.36366603
1,0.99767923
1,0.99767923
0,0.15775366
1,0.98835105
1,0.65620035
0,0.2764957
1,0.8699378
1,0.8646105
1,0.95910907
1,0.999986
0,0.09248684
0,0.12096918
1,0.31651628
1,0.96786976
1,0.9838972
1,0.6213608
1,0.86130613
1,0.78733116
1,0.6043631
1,0.56283665
1,0.9991316
1,0.9344327
1,0.8379212
1,0.6947443
1,0.7873312
1,0.8561857
1,0.8194109
1,0.65698814
1,0.8876815
1,0.68145186
1,0.94552594
1,0.6050278
1,0.7873312
1,0.7354549
1,0.7793087
1,0.7873312
1,0.7614621
1,0.9421684
1,0.85847545
1,0.7873312
1,0.99995816
1,0.99995816
1,0.9996245
1,0.9996245
1,0.9999153
0,0.2289881
0,0.27459732
0,0.6645781
0,0.78733116
0,0.5366132
0,0.77179277
0,0.65304637
0,0.43770495
0,0.5508436
0,0.41179207
1,0.13853969
0,0.094445266
0,0.11777154
0,0.04148887
0,0.068336435
0,0.08517515
0,0.19518535
0,0.15912963
1,0.7800679
0,0.8668726
1,0.40847367
1,0.8941974
1,0.6987183
1,0.99991125
