y_true,y_prob
1,0.9940665
1,0.9940665
1,0.9957567
0,0.2030388
0,0.16829948
0,0.62635064
0,0.09376684
0,0.22584909
0,0.15789044
0,0.15297854
1,0.5709086
1,0.2600085
0,0.6991646
1,0.7603454
0,0.082959846
0,0.3968266
0,0.10920563
0,0.48858947
0,0.19741644
0,0.2202535
1,0.83477646
1,0.26987696
1,0.99327785
1,0.9925452
1,0.99585754
1,0.5962359
1,0.9066263
0,0.10572728
0,0.1586109
1,0.36835173
1,0.5947539
1,0.7299287
1,0.60486084
1,0.54671293
1,0.73194075
1,0.6335485
1,0.46467322
1,0.8209641
1,0.8319304
1,0.9366761
0,0.32364655
0,0.1648682
0,0.16767894
0,0.18975078
1,0.6788039
0,0.1113408
0,0.09788593
0,0.38533333
1,0.8689595
1,0.9177131
1,0.7884099
0,0.18586797
1,0.19603124
0,0.09135718
0,0.31197855
1,0.5629033
0,0.01869963
0,0.018517952
0,0.15105551
0,0.20484658
0,0.1656458
0,0.17347994
1,0.96008044
1,0.85465735
1,0.793255
1,0.9457705
1,0.94739676
1,0.94739676
1,0.94739676
1,0.9387871
1,0.9457705
1,0.9387871
1,0.9269861
1,0.8971218
1,0.85465735
1,0.94739676
1,0.96627957
1,0.95779634
1,0.9484396
1,0.40218905
0,0.10269193
1,0.5958095
0,0.52034754
1,0.7865018
0,0.12851413
0,0.01434102
0,0.6992947
1,0.97982854
1,0.13842173
0,0.19473717
1,0.7973217
0,0.17453158
1,0.5446228
1,0.7181994
0,0.30246273
1,0.3663
0,0.14082266
1,0.94515425
0,0.2735351
1,0.9733532
0,0.3654467
1,0.9873602
1,0.9913258
1,0.99105144
1,0.9897664
1,0.98950034
1,0.96246916
1,0.9071825
1,0.96626776
1,0.98366606
0,0.50879383
1,0.95211464
0,0.15123323
0,0.1790039
0,0.27172258
0,0.30094585
1,0.34414473
0,0.46176487
0,0.10282892
1,0.46701762
0,0.15590294
0,0.20405689
1,0.5336808
1,0.98450327
0,0.3497112
0,0.10890557
0,0.38554758
1,0.90580595
0,0.22958575
1,0.43317774
1,0.51620007
1,0.7592363
1,0.7654579
1,0.7744093
1,0.76728743
0,0.58614063
0,0.43991515
0,0.59922016
0,0.23907581
1,0.9523494
1,0.5817616
0,0.13718529
0,0.08061652
0,0.07276074
1,0.84804624
1,0.07496858
0,0.20181215
0,0.02143115
0,0.28442746
1,0.9741752
1,0.8738796
0,0.46630144
0,0.25485718
1,0.4767105
0,0.43435457
0,0.37273136
1,0.93386745
1,0.93386745
1,0.95375323
0,0.20648487
1,0.9721168
0,0.10979034
0,0.32915905
0,0.24166077
0,0.2950751
1,0.9714471
0,0.7468657
0,0.3654467
0,0.2375903
1,0.6453831
0,0.1176152
0,0.3967281
0,0.09631466
0,0.21807837
0,0.41302788
0,0.25525504
0,0.26366675
1,0.94967914
1,0.7538472
1,0.6861975
1,0.56003416
1,0.6861975
1,0.7538472
1,0.7538472
0,0.46861836
0,0.7538472
0,0.64269704
0,0.31343383
0,0.49903977
1,0.63417757
0,0.04113433
0,0.15498401
1,0.8450411
1,0.7384879
1,0.51732093
0,0.33240592
0,0.31642956
0,0.39654863
0,0.28037405
0,0.35130778
0,0.3198529
0,0.3113393
0,0.17908542
0,0.40321484
1,0.9902956
1,0.9890181
1,0.9339218
0,0.12040542
0,0.07222731
0,0.08966705
0,0.22892138
1,0.6200378
1,0.6514365
1,0.19019806
0,0.17698146
0,0.45833346
0,0.2969967
1,0.5928795
1,0.55725044
1,0.8946879
1,0.99100655
1,0.99100655
1,0.99100655
1,0.98621875
1,0.99100655
1,0.99100655
0,0.7930184
1,0.9835133
0,0.17050298
0,0.12237525
0,0.09234503
1,0.5442576
1,0.59570616
1,0.90960103
0,0.18629588
1,0.9451776
1,0.42529306
1,0.7344137
0,0.32611394
1,0.74564743
0,0.12251469
1,0.12824304
0,0.11522303
1,0.80267227
1,0.901701
1,0.4361259
1,0.88895315
0,0.3197563
0,0.06332202
0,0.07417295
1,0.6711244
1,0.9013917
1,0.47560114
1,0.976642
0,0.4181765
1,0.942502
0,0.0723318
1,0.4892824
0,0.10040354
1,0.9770085
1,0.9725487
0,0.11678467
1,0.28225356
0,0.06738387
1,0.54630375
1,0.4612915
1,0.61207145
0,0.20264006
0,0.28942832
0,0.30341506
0,0.28842065
0,0.39844164
0,0.1073621
0,0.059215788
0,0.12145104
1,0.5181035
1,0.70231575
0,0.40491787
1,0.80612284
1,0.38285476
1,0.45818105
0,0.3687606
1,0.4884471
1,0.2940917
1,0.8237306
1,0.8649633
0,0.11303329
0,0.10434786
0,0.16905847
1,0.51534176
1,0.80093664
1,0.6526346
0,0.17515971
1,0.91687393
0,0.20104398
0,0.16184701
1,0.67706066
1,0.86845064
1,0.6498436
0,0.3609066
1,0.95828736
1,0.7071752
1,0.91439813
0,0.12050232
1,0.70444363
1,0.70444363
0,0.5557394
0,0.07946346
0,0.107991055
1,0.95914704
0,0.53557384
0,0.4162382
0,0.2950207
1,0.9989304
1,0.99740535
1,0.99715084
1,0.86255145
1,0.9899323
1,0.9899323
1,0.99894136
1,0.9991611
1,0.9985744
1,0.9972946
0,0.06343597
0,0.72834265
1,0.91088945
0,0.24137667
0,0.40943223
0,0.105222635
0,0.026694488
0,0.16777048
0,0.12808591
0,0.16399786
1,0.37929103
1,0.43185443
0,0.10280732
0,0.10280732
0,0.11712643
1,0.99875116
0,0.014563453
0,0.2601955
0,0.39261296
0,0.42287752
0,0.14889647
0,0.12466698
1,0.16074018
0,0.20416859
0,0.13831726
0,0.22245696
0,0.2022217
0,0.19666259
0,0.16352852
0,0.25147647
0,0.14943081
0,0.05614006
0,0.39421588
1,0.58919215
1,0.96113086
0,0.3201875
0,0.31159094
0,0.07327443
0,0.108270064
0,0.45293295
0,0.20099947
0,0.55373466
0,0.2319066
0,0.19410495
0,0.16452354
1,0.84748274
0,0.19467126
1,0.81482375
1,0.59904253
0,0.746373
1,0.69240427
0,0.565287
1,0.9220342
1,0.99276686
1,0.9730137
0,0.23619822
0,0.2048852
0,0.04478529
0,0.74460965
0,0.30523312
1,0.96405613
1,0.9918765
0,0.327757
0,0.17037915
0,0.21430632
1,0.92343456
0,0.104876615
1,0.629019
1,0.97501457
1,0.98346025
1,0.97965676
0,0.029902069
0,0.12755696
0,0.23333064
1,0.7014105
1,0.9765099
0,0.4235631
0,0.47684416
0,0.4235631
0,0.4235631
0,0.50612366
0,0.7359828
0,0.2874468
1,0.92890245
1,0.742601
0,0.19469857
0,0.06580638
0,0.042702895
1,0.7302327
0,0.11880373
0,0.18201558
1,0.9468589
1,0.9468589
1,0.73768306
0,0.46620566
0,0.32069933
0,0.30321896
1,0.9614141
1,0.9975254
1,0.9975254
0,0.030758291
1,0.97731143
1,0.624292
0,0.3220787
0,0.1241122
0,0.4103911
1,0.9236007
1,0.9422407
1,0.9173732
1,0.8046645
1,0.93742967
1,0.7060632
1,0.94501406
1,0.88451344
1,0.8551736
1,0.9352345
1,0.57741714
1,0.8283225
1,0.996232
1,0.31992808
0,0.030459654
0,0.12797706
0,0.20366223
1,0.96507186
0,0.2526695
0,0.3040318
0,0.03127749
0,0.16468686
0,0.16781735
0,0.03762337
0,0.07676918
0,0.085321665
0,0.1451796
0,0.15264572
0,0.043330494
1,0.9413415
1,0.38257986
1,0.50053203
0,0.6361008
1,0.7953728
1,0.459012
0,0.24806812
0,0.32308844
0,0.14421794
1,0.82964116
1,0.8426469
0,0.13172005
1,0.874115
1,0.9989592
0,0.21384285
1,0.73027855
0,0.3390329
0,0.10774207
0,0.10774207
0,0.3746623
1,0.36155382
1,0.65007323
1,0.35346034
1,0.4189332
1,0.38296047
1,0.5903442
0,0.09946124
0,0.22059461
1,0.74023724
0,0.14856768
1,0.9867156
1,0.23227671
0,0.39411694
0,0.24701954
0,0.21428175
0,0.12838534
0,0.5876639
0,0.10422332
1,0.6406125
1,0.7758355
1,0.744889
1,0.90811926
0,0.27982694
0,0.3286389
0,0.4223755
0,0.024049371
0,0.20760664
1,0.67760074
1,0.8998522
1,0.67760074
1,0.6878225
1,0.8998522
0,0.55154
1,0.97975355
1,0.52479506
0,0.04256717
0,0.45056364
1,0.51596457
0,0.07010598
0,0.19466645
0,0.4024472
1,0.27397358
0,0.044029225
0,0.15609911
0,0.4690631
1,0.45784175
0,0.20100856
0,0.1612378
0,0.29581812
0,0.10911461
1,0.94282603
1,0.6377147
1,0.7220565
1,0.6914666
1,0.83902925
1,0.63011086
1,0.8879079
1,0.7405624
1,0.7378626
0,0.03176798
0,0.67109853
1,0.947101
0,0.08609957
1,0.17764655
1,0.7862332
0,0.16230366
0,0.124345325
0,0.17764655
1,0.56908673
1,0.99977607
1,0.69709456
0,0.45719886
0,0.07041654
1,0.584208
1,0.56827056
1,0.4918797
1,0.66822535
1,0.52774966
1,0.6442679
1,0.66822535
1,0.6325177
1,0.47572753
1,0.5548019
1,0.38914642
1,0.8320626
1,0.38914642
0,0.4918797
