y_true,y_prob
1,0.98718005
1,0.98718005
1,0.99545175
0,0.15161066
0,0.20246162
0,0.1672947
0,0.08484457
0,0.09244946
0,0.098440096
0,0.22252434
1,0.6420266
1,0.11429037
0,0.23367013
1,0.31768656
0,0.100685194
0,0.22372976
0,0.1164803
0,0.42330286
0,0.116233155
0,0.15232988
1,0.94734496
1,0.45672163
1,0.9975491
1,0.99568176
1,0.99773896
1,0.63524204
1,0.63397443
0,0.07073413
0,0.07825789
1,0.90848
1,0.95740366
1,0.9786876
1,0.95961106
1,0.9521875
1,0.97289586
1,0.9575664
1,0.91572285
1,0.9474388
1,0.9737041
1,0.97105443
0,0.13111603
0,0.12050437
0,0.08167089
0,0.06860353
1,0.82346386
0,0.1563217
0,0.13623916
0,0.12151185
1,0.8239873
1,0.9243246
1,0.91331714
0,0.12657422
1,0.7125879
0,0.12145473
0,0.56993836
1,0.7234139
0,0.011991596
0,0.011270536
0,0.026417244
0,0.053135622
0,0.08885112
0,0.1744391
1,0.9586756
1,0.9802699
1,0.97838587
1,0.97344726
1,0.9825227
1,0.9825227
1,0.9825227
1,0.9668323
1,0.97344726
1,0.9668323
1,0.9215228
1,0.95943975
1,0.9802699
1,0.9825227
1,0.9825227
1,0.9825227
1,0.9804449
1,0.5752603
0,0.13960311
1,0.9963497
0,0.20852737
1,0.74683267
0,0.09714703
0,0.015300965
0,0.95442843
1,0.99615353
1,0.3351694
0,0.27278665
1,0.99057114
0,0.14835334
1,0.5077424
1,0.501175
0,0.7690424
1,0.67956674
0,0.085658565
1,0.9475048
0,0.29510516
1,0.9182831
0,0.30809557
1,0.99437547
1,0.9953126
1,0.99340665
1,0.9857539
1,0.99168444
1,0.96467906
1,0.9219582
1,0.9853549
1,0.9924009
0,0.1252707
1,0.8474429
0,0.17761134
0,0.12574877
0,0.18291701
0,0.18954106
1,0.28285363
0,0.6433333
0,0.17608383
1,0.60219795
0,0.087151
0,0.06648559
1,0.37471706
1,0.899017
0,0.16580251
0,0.13912593
0,0.20501858
1,0.74531615
0,0.16218147
1,0.6826143
1,0.73794955
1,0.68452615
1,0.70167947
1,0.6999128
