y_true,y_prob
1,0.98261607
1,0.98261607
1,0.99012786
0,0.060768817
0,0.1385836
0,0.4677793
0,0.22788663
0,0.27992764
0,0.38518625
0,0.3425524
1,0.58336264
1,0.24578208
0,0.43917465
1,0.84139425
0,0.08997201
0,0.37890977
0,0.23281462
0,0.3960145
0,0.24174178
0,0.3891685
1,0.3253504
1,0.59759974
1,0.95405644
1,0.92614263
1,0.9841474
1,0.5601656
1,0.8754073
0,0.13562052
0,0.25040233
1,0.39312065
1,0.4218127
1,0.59990925
1,0.55531764
1,0.50490636
1,0.82475275
1,0.4740001
1,0.44544208
1,0.81331176
1,0.77604795
1,0.62426054
0,0.03203076
0,0.3332032
0,0.6326328
0,0.10634465
1,0.544728
0,0.10129743
0,0.27001444
0,0.66138
1,0.6843252
1,0.7795355
1,0.9737732
0,0.2858476
1,0.2915026
0,0.16349736
0,0.19528583
1,0.322485
0,0.082917914
0,0.13765125
0,0.06452415
0,0.4273485
0,0.34229594
0,0.22443792
1,0.8150873
1,0.9722429
1,0.92336756
1,0.9743794
1,0.9668113
1,0.9668113
1,0.9668113
1,0.8863742
1,0.9743794
1,0.8863742
1,0.9556622
1,0.85044473
1,0.9722429
1,0.9668113
1,0.95431256
1,0.97124046
1,0.8183467
1,0.44924298
0,0.37577307
1,0.877938
0,0.68970644
1,0.80842364
0,0.26834336
0,0.07643122
0,0.7042692
1,0.96400625
1,0.347133
0,0.19821143
1,0.96516156
0,0.41102138
1,0.38457054
1,0.341722
0,0.37510675
1,0.46533713
0,0.19676568
1,0.74538714
0,0.50283986
1,0.9523793
0,0.23521844
1,0.8132375
1,0.75447416
1,0.6275082
1,0.63006204
1,0.7634934
1,0.86248195
1,0.6835291
1,0.7450317
1,0.6405348
0,0.63511974
1,0.79627913
0,0.12197269
0,0.2244382
0,0.24261978
0,0.6920461
1,0.31757015
0,0.39593735
0,0.13808776
1,0.516017
0,0.51562846
0,0.22562501
1,0.21375927
1,0.93938947
0,0.19241945
0,0.16658983
0,0.662645
1,0.88346815
0,0.3730188
1,0.7292941
1,0.85169536
1,0.8250813
1,0.85011727
1,0.781837
1,0.71530646
0,0.67306006
0,0.28231242
0,0.34426242
0,0.2562079
1,0.7219164
1,0.90844584
0,0.27276596
0,0.25341088
0,0.14595729
1,0.30181044
1,0.23438667
0,0.23148549
0,0.13546263
0,0.324475
1,0.6015459
1,0.90318245
0,0.27994955
0,0.3009362
1,0.42378786
0,0.19768627
0,0.08337798
1,0.6667111
1,0.6667111
1,0.91394615
0,0.3031486
1,0.78679025
0,0.3892083
0,0.4030442
0,0.17298347
0,0.24962084
1,0.770352
0,0.6118928
0,0.21748687
0,0.116731115
1,0.8342362
0,0.15291204
0,0.35785422
0,0.19125223
0,0.105000705
0,0.536281
0,0.123435855
0,0.11394169
1,0.8629875
1,0.77799755
1,0.93225586
1,0.84764606
1,0.93225586
1,0.77799755
1,0.77799755
0,0.61966735
0,0.77799755
0,0.66354716
0,0.5916507
0,0.6017632
1,0.83076274
0,0.20760642
0,0.3338807
1,0.5208878
1,0.802298
1,0.72045857
0,0.2962544
0,0.27481142
0,0.3698285
0,0.29492927
0,0.41458833
0,0.2990394
0,0.3961877
0,0.43638
0,0.4426876
1,0.8896424
1,0.98362064
1,0.5719588
0,0.22178519
0,0.11039825
0,0.11130645
0,0.14939
1,0.792111
1,0.40741214
1,0.40809065
0,0.11661101
0,0.14578274
0,0.19237062
1,0.6079315
1,0.741777
1,0.8025933
1,0.85358787
1,0.85358787
1,0.85358787
1,0.82322323
1,0.85358787
1,0.85358787
0,0.5356436
1,0.84165317
0,0.123520166
0,0.13102613
0,0.17239119
1,0.4591483
1,0.61043894
1,0.7608962
0,0.1892669
1,0.9395766
1,0.43071318
1,0.8560295
0,0.10264024
1,0.7393097
0,0.1850836
1,0.22195293
0,0.19738215
1,0.59766924
1,0.6496176
1,0.6535786
1,0.87745035
0,0.47406995
0,0.16862614
0,0.2536109
1,0.7612254
1,0.56312567
1,0.87943465
1,0.98942953
0,0.505371
1,0.5505509
0,0.14697985
1,0.38255724
0,0.308918
1,0.9648839
1,0.9843444
0,0.100847654
1,0.2624063
0,0.30188197
1,0.5335363
1,0.56677014
1,0.58384436
0,0.34516147
0,0.36250395
0,0.21645194
0,0.21589749
0,0.24249326
0,0.11498269
0,0.25118986
0,0.19203337
1,0.8708161
1,0.844495
0,0.11683662
1,0.9440493
1,0.29408553
1,0.59131104
0,0.30604446
1,0.36527604
1,0.49440923
1,0.48311824
1,0.8519084
0,0.24256124
0,0.12308961
0,0.20243987
1,0.6965107
1,0.3918812
1,0.5348216
0,0.14910907
1,0.8614477
0,0.089395374
0,0.59464145
1,0.39066866
1,0.8795917
1,0.47630385
0,0.2344975
1,0.85793
1,0.7300262
1,0.5769376
0,0.10374051
1,0.86390007
1,0.86390007
0,0.62617
0,0.40881693
0,0.27664942
1,0.9028491
0,0.36888933
0,0.5229182
0,0.22948064
1,0.9787138
1,0.96787107
1,0.97801286
1,0.5646553
1,0.9873459
1,0.9873459
1,0.9936604
1,0.9807325
1,0.99066776
1,0.9948725
0,0.03370899
0,0.37670365
1,0.94205916
0,0.17628956
0,0.4275887
0,0.18477958
0,0.22273271
0,0.3897529
0,0.20283996
0,0.19321553
1,0.4366013
1,0.4232008
0,0.18645386
0,0.18645386
0,0.122892536
1,0.92058396
0,0.05210243
0,0.31450263
0,0.508655
0,0.65703607
0,0.13248041
0,0.33215058
1,0.38109124
0,0.19314131
0,0.4061918
0,0.4157609
0,0.24562253
0,0.71460146
0,0.25036532
0,0.4859434
0,0.20963097
0,0.06734723
0,0.08373578
1,0.4849393
1,0.89821726
0,0.2984919
0,0.20041636
0,0.10415516
0,0.36466858
0,0.2348221
0,0.15563233
0,0.17152108
0,0.47040814
0,0.19825476
0,0.1545216
1,0.44449982
0,0.29326776
1,0.9746585
1,0.41220883
0,0.48511192
1,0.6822155
0,0.49503502
1,0.8682324
1,0.96549493
1,0.9742924
0,0.37713987
0,0.24424067
0,0.26920184
0,0.7085899
0,0.21692057
1,0.90092295
1,0.9058343
0,0.33212912
0,0.13775145
0,0.59888047
1,0.57386655
0,0.11701985
1,0.35327494
1,0.8611855
1,0.953191
1,0.9218671
0,0.118279375
0,0.054542705
0,0.201681
1,0.75659347
1,0.96597856
