y_true,y_prob
1,0.71661955
1,0.71661955
1,0.72539914
0,0.22384359
0,0.2983117
0,0.68820554
0,0.20484917
0,0.51240456
0,0.5570009
0,0.42043972
1,0.4726656
1,0.47569054
0,0.5458241
1,0.6644573
0,0.27853256
0,0.6838066
0,0.32889843
0,0.65735054
0,0.6709957
0,0.71060866
1,0.32291293
1,0.39169875
1,0.81831837
1,0.78927094
1,0.7709918
1,0.6075815
1,0.5269666
0,0.3646906
0,0.39296067
1,0.45280662
1,0.47326902
1,0.62164676
1,0.50507534
1,0.5000166
1,0.6943816
1,0.47859052
1,0.4323989
1,0.55448604
1,0.60030556
1,0.5084021
0,0.3594763
0,0.45230764
0,0.5698921
0,0.25769514
1,0.22644815
0,0.32210198
0,0.31078458
0,0.6651882
1,0.6586952
1,0.57111466
1,0.7238761
0,0.4595432
1,0.32382646
0,0.3571108
0,0.3563673
1,0.4308428
0,0.24350138
0,0.2861785
0,0.22204868
0,0.40427485
0,0.43250212
0,0.30106062
1,0.58751786
1,0.71813893
1,0.6344979
1,0.7084855
1,0.6814223
1,0.6814223
1,0.6814223
1,0.62733924
1,0.7084855
1,0.62733924
1,0.69095993
1,0.6627547
1,0.71813893
1,0.6814223
1,0.6911377
1,0.7147573
1,0.63991344
1,0.4635261
0,0.47080657
1,0.74052787
0,0.61928296
1,0.6939963
0,0.4465389
0,0.2678876
0,0.6026621
1,0.7569448
1,0.21867475
0,0.367957
1,0.703707
0,0.42938587
1,0.27205136
1,0.34033263
0,0.35376588
1,0.4693802
0,0.6461636
1,0.41729578
0,0.66786313
1,0.76794565
0,0.26078245
1,0.48947987
1,0.49371648
1,0.43339255
1,0.48888773
1,0.5268607
1,0.5304519
1,0.502652
1,0.6823114
1,0.45459667
0,0.63883686
1,0.70089203
0,0.27493545
0,0.30223757
0,0.753015
0,0.68475115
1,0.3575193
0,0.50192654
0,0.28882337
1,0.37198576
0,0.49797574
0,0.45682412
1,0.19815248
1,0.67630756
0,0.44824025
0,0.38648668
0,0.64916044
1,0.72812164
0,0.5002425
1,0.45608398
1,0.5580791
1,0.81079036
1,0.81072426
1,0.8106332
1,0.8106188
0,0.81081223
0,0.8106352
0,0.54927254
0,0.3340745
1,0.53630424
1,0.7263522
0,0.5085758
0,0.6559581
0,0.62465584
1,0.36556616
1,0.31128654
0,0.24541973
0,0.24406302
0,0.44532698
1,0.40974957
1,0.7572864
0,0.45777377
0,0.40679076
1,0.5018296
0,0.47619525
0,0.6393627
1,0.62691796
1,0.62691796
1,0.7405037
0,0.48931813
1,0.604983
0,0.54820395
0,0.61831236
0,0.4660311
0,0.65061826
1,0.65720713
0,0.70801127
0,0.25029814
0,0.50139284
1,0.6856332
0,0.3319133
0,0.64708424
0,0.32606542
0,0.33982438
0,0.6662233
0,0.36826438
0,0.377421
1,0.6847861
1,0.6813581
1,0.6699437
1,0.6819279
1,0.6699437
1,0.6813581
1,0.6813581
0,0.66844535
0,0.6813581
0,0.6948191
0,0.4870703
0,0.62172925
1,0.672024
0,0.47760305
0,0.43560752
1,0.46341917
1,0.68156815
1,0.59211266
0,0.632028
0,0.5452627
0,0.6499201
0,0.53889775
0,0.6300621
0,0.6345904
0,0.53385997
0,0.45786825
0,0.66831577
1,0.6813936
1,0.80462277
1,0.5122652
0,0.37294632
0,0.45401287
0,0.42854944
0,0.44364655
1,0.5719888
1,0.6171688
1,0.2931267
0,0.36719596
0,0.33306447
0,0.38266054
1,0.4884602
1,0.6767262
1,0.60480475
1,0.69445205
1,0.69445205
1,0.69445205
1,0.6637552
1,0.69445205
1,0.69445205
0,0.731254
1,0.4633347
0,0.26477253
0,0.25806808
0,0.2939657
1,0.5481843
1,0.62128234
1,0.62020457
0,0.35071135
1,0.7075609
1,0.45328566
1,0.7363721
0,0.3134247
1,0.54548377
0,0.39423463
1,0.46684998
0,0.4747492
1,0.61344284
1,0.45623818
1,0.5675001
1,0.6827029
0,0.5991322
0,0.33896235
0,0.365924
1,0.6125127
1,0.2775613
1,0.5356679
1,0.70021206
0,0.76029396
1,0.6896733
0,0.4116003
1,0.3153823
0,0.5638354
1,0.74092853
1,0.8033567
0,0.29484382
1,0.38630408
0,0.29697686
1,0.5062078
1,0.501456
1,0.6449659
0,0.48621815
0,0.59698
0,0.4557924
0,0.4526457
0,0.2396936
0,0.3298232
0,0.47031143
0,0.45107034
1,0.76782227
1,0.44461212
0,0.23795894
1,0.8106463
1,0.5706809
1,0.69212234
0,0.6394168
1,0.55907404
1,0.5231452
1,0.6209537
1,0.6283029
0,0.38952816
0,0.41810277
0,0.322277
1,0.71542984
1,0.38982016
1,0.5607901
0,0.3944065
1,0.58011496
0,0.4207689
0,0.54543984
1,0.4581019
1,0.6274494
1,0.40168262
0,0.48171112
1,0.4049817
1,0.66504836
1,0.55959976
0,0.21835378
1,0.70298845
1,0.70298845
0,0.66083497
0,0.51589894
0,0.5169001
1,0.7292369
0,0.69134694
0,0.6571977
0,0.44904143
1,0.7452793
1,0.7154845
1,0.7459995
1,0.57835513
1,0.85175925
1,0.85175925
1,0.71824634
1,0.71151197
1,0.7091876
1,0.71247494
0,0.1747115
0,0.5317732
1,0.8105508
0,0.43980587
0,0.54827493
0,0.28953502
0,0.35292852
0,0.4407184
0,0.34461316
0,0.44733614
1,0.4265621
1,0.21278925
0,0.68876755
0,0.68876755
0,0.67508435
1,0.66066885
0,0.24022107
0,0.4542787
0,0.7157397
0,0.71707046
0,0.26862696
0,0.4997816
1,0.5427505
0,0.46435434
0,0.6450834
0,0.61186564
0,0.53445435
0,0.67099327
0,0.52745116
0,0.6641784
0,0.5938574
0,0.3535437
0,0.3362406
1,0.45943832
1,0.66702235
0,0.64146507
0,0.46553603
0,0.4502702
0,0.49393773
0,0.6028068
0,0.47008085
0,0.36090356
0,0.47033346
0,0.4448516
0,0.3543672
1,0.4840181
0,0.45168483
1,0.73862696
1,0.4642749
0,0.4597784
1,0.7364512
0,0.45722905
1,0.4834974
1,0.83708084
1,0.7274716
0,0.60934865
0,0.42686683
0,0.33463094
0,0.49905035
0,0.5892294
1,0.6901674
1,0.6977276
0,0.6659782
0,0.5712771
0,0.67449665
1,0.5603208
0,0.35848415
1,0.43068305
