y_true,y_prob
1,0.9968464
1,0.9968464
1,0.9970203
0,0.2623319
0,0.229842
0,0.5054115
0,0.08743329
0,0.20868534
0,0.17488848
0,0.12971234
1,0.59016645
1,0.24930142
0,0.7674753
1,0.81187785
0,0.10167324
0,0.43867838
0,0.10888442
0,0.5362681
0,0.21091649
0,0.2388497
1,0.8133493
1,0.25770313
1,0.9963766
1,0.9908579
1,0.9959627
1,0.6398691
1,0.927342
0,0.09879212
0,0.14585154
1,0.4437097
1,0.60744196
1,0.7690087
1,0.64265066
1,0.56262803
1,0.72427154
1,0.68216395
1,0.5954889
1,0.8112853
1,0.8283399
1,0.937193
0,0.3292617
0,0.18398044
0,0.18846452
0,0.22838444
1,0.65393394
0,0.10054684
0,0.083461456
0,0.43599352
1,0.8655888
1,0.9120498
1,0.80405027
0,0.14840715
1,0.21194777
0,0.06402861
0,0.34915495
1,0.48967078
0,0.0167839
0,0.020191666
0,0.12511006
0,0.22869092
0,0.2170452
0,0.17364068
1,0.9686377
1,0.8690093
1,0.8083233
1,0.9469575
1,0.95564514
1,0.95564514
1,0.95564514
1,0.94333124
1,0.9469575
1,0.94333124
1,0.9444481
1,0.9189272
1,0.8690093
1,0.95564514
1,0.9839399
1,0.9681645
1,0.9627871
1,0.36952254
0,0.087378465
1,0.5457325
0,0.5650479
1,0.7865374
0,0.099325724
0,0.017527424
0,0.7224174
1,0.97622514
1,0.13608322
0,0.1955234
1,0.79096305
0,0.19898465
1,0.50828505
1,0.7108606
0,0.34848285
1,0.36359236
0,0.12605573
1,0.95916086
0,0.33136618
1,0.97025126
0,0.34542194
1,0.9901812
1,0.9919818
1,0.9890298
1,0.9901606
1,0.9921937
1,0.95483756
1,0.933258
1,0.96069324
1,0.9852486
0,0.5775714
1,0.93071014
0,0.1376336
0,0.18329705
0,0.3225847
0,0.23729025
1,0.25652754
0,0.4438585
0,0.12168133
1,0.5038768
0,0.18597941
0,0.24005084
1,0.6453622
1,0.97407687
0,0.37886092
0,0.1259907
0,0.32702234
1,0.90110916
0,0.22438864
1,0.4381173
1,0.5101591
1,0.7536369
1,0.7536369
1,0.7680116
1,0.722201
0,0.5432917
0,0.39071476
0,0.6035501
0,0.26918742
1,0.9471522
1,0.5145602
0,0.13958481
0,0.12008316
0,0.060589
1,0.80614907
1,0.06565095
0,0.2206188
0,0.023101952
0,0.34550872
1,0.95824236
1,0.8583611
0,0.50066686
0,0.2330058
1,0.46295983
0,0.40712893
0,0.27090016
1,0.94049025
1,0.94049025
1,0.9523597
0,0.21921188
1,0.9786566
0,0.12528509
0,0.37793162
0,0.24395224
0,0.2874851
1,0.9564213
0,0.76306796
0,0.34542194
0,0.19851908
1,0.6986744
0,0.103687145
0,0.44689405
0,0.11630463
0,0.19319823
0,0.35522935
0,0.19618398
0,0.20345236
1,0.94580793
1,0.76008415
1,0.74449295
1,0.6419085
1,0.74449295
1,0.76008415
1,0.76008415
0,0.492529
0,0.76008415
0,0.73283124
0,0.30520314
0,0.5255118
1,0.6854024
0,0.051522605
0,0.15132493
1,0.8271969
1,0.7747888
1,0.5753202
0,0.26130104
0,0.31750146
0,0.41716138
0,0.26970136
0,0.3028655
0,0.26508647
0,0.3260342
0,0.16788557
0,0.43042016
1,0.9915759
1,0.99182
1,0.9323061
0,0.14137414
0,0.09506349
0,0.099862754
0,0.2475962
1,0.5789018
1,0.6469299
1,0.18769696
0,0.17279798
0,0.5468308
0,0.29085138
1,0.56635386
1,0.54946876
1,0.8924118
1,0.98836607
1,0.98836607
1,0.98836607
1,0.9883343
1,0.98836607
1,0.98836607
0,0.7027335
1,0.96907425
0,0.12727682
0,0.10876863
0,0.15224306
1,0.59264994
1,0.60802627
1,0.9125523
0,0.1820851
1,0.95500094
1,0.42828616
1,0.76747215
0,0.33130553
1,0.6854922
0,0.11001786
1,0.1471333
0,0.13458033
1,0.7463387
1,0.87282974
1,0.37243772
1,0.9256889
0,0.38005942
0,0.06945805
0,0.07802599
1,0.6292609
1,0.8990918
1,0.46107754
1,0.98549485
0,0.4675032
1,0.9355607
0,0.041010935
1,0.513224
0,0.10891887
1,0.97031116
1,0.9756678
0,0.12462004
1,0.37927017
0,0.052406117
1,0.4984083
1,0.4451039
1,0.5079592
0,0.18712823
0,0.28707343
0,0.35961956
0,0.35832742
0,0.40934098
0,0.13526972
0,0.0743586
0,0.09981548
1,0.48827252
1,0.63906395
0,0.41695377
1,0.8615322
1,0.53609824
1,0.54148334
0,0.38564518
1,0.43810153
1,0.26941097
1,0.820252
1,0.87868345
0,0.13650884
0,0.10573282
0,0.1669358
1,0.4702202
1,0.7966374
1,0.6711732
0,0.17718813
1,0.94412166
0,0.20253098
0,0.21589893
1,0.70958316
1,0.85082746
1,0.7204283
0,0.3409662
1,0.95676166
1,0.707353
1,0.88302
0,0.12120702
1,0.7403515
1,0.7403515
0,0.5205754
0,0.09635083
0,0.1184436
1,0.95045817
0,0.46538323
0,0.45663095
0,0.29209697
1,0.9990282
1,0.9977404
1,0.9979913
1,0.862369
1,0.9934494
1,0.9934494
1,0.9984048
1,0.99886775
1,0.99858826
1,0.9964552
0,0.0562499
0,0.7689197
1,0.86890054
0,0.23269106
0,0.44230658
0,0.11981976
0,0.035178106
0,0.13364749
0,0.18576127
0,0.22097304
1,0.35998216
1,0.38945752
0,0.12509795
0,0.12509795
0,0.11213529
1,0.9990721
0,0.015700327
0,0.23052183
0,0.3614269
0,0.4255746
0,0.10893795
0,0.113643914
1,0.22044279
0,0.23203117
0,0.11338617
0,0.11896674
0,0.2629683
0,0.16438633
0,0.18145019
0,0.22474776
0,0.15936032
0,0.061421346
0,0.39116555
1,0.5663671
1,0.960505
0,0.36679927
0,0.16734262
0,0.08098954
0,0.10591733
0,0.4086255
0,0.16121177
0,0.56658596
0,0.21425271
0,0.177129
0,0.18710025
1,0.8597472
0,0.18679772
1,0.8614935
1,0.6430182
0,0.7507278
1,0.790023
0,0.43573028
1,0.926514
1,0.9898046
1,0.97612834
0,0.17558926
0,0.19679807
0,0.041681834
0,0.667606
0,0.28065547
1,0.96334445
1,0.9919618
0,0.3110221
0,0.17454384
0,0.20684737
1,0.93425524
0,0.0982426
1,0.59745544
1,0.9683284
1,0.9842861
1,0.97756517
0,0.028816951
0,0.10988703
0,0.26480255
1,0.6330424
1,0.9768812
0,0.39517087
0,0.4659437
0,0.39517087
0,0.39517087
0,0.5306523
0,0.71169657
0,0.29945767
1,0.93693274
1,0.717444
0,0.18642594
0,0.0776773
0,0.039263554
1,0.7356884
0,0.14575082
0,0.19821247
1,0.9245272
1,0.9245272
1,0.6333955
0,0.47384655
0,0.28624627
0,0.2199992
1,0.95604223
1,0.997343
1,0.997343
0,0.030778471
1,0.9776903
1,0.56394875
0,0.27542526
0,0.15329221
0,0.34073862
1,0.91158265
1,0.9304966
1,0.9029132
1,0.7638591
1,0.923526
1,0.63723445
1,0.927181
1,0.86284816
1,0.8562678
1,0.9153212
1,0.6766584
1,0.8382494
1,0.9954526
1,0.31185895
0,0.03419403
0,0.09091305
0,0.19172372
1,0.9757076
0,0.23054954
0,0.32465777
0,0.028920442
0,0.20481394
0,0.18858983
0,0.03505399
0,0.05145628
0,0.061576985
0,0.19044095
0,0.16331336
0,0.037019305
1,0.9325517
1,0.37047514
1,0.45706555
0,0.5341522
1,0.81173754
1,0.43756822
0,0.22956713
0,0.33076257
0,0.15967135
1,0.8153923
1,0.8872459
0,0.17377284
1,0.89110553
1,0.99769104
0,0.2000233
1,0.7939938
0,0.29502884
0,0.08332011
0,0.08332011
0,0.28097674
1,0.4213047
1,0.7047372
1,0.457466
1,0.461164
1,0.46470594
1,0.6633466
0,0.08285625
0,0.16176489
1,0.72440207
0,0.1519339
1,0.9817275
1,0.22218911
0,0.46856046
0,0.28967363
0,0.23977596
0,0.13333735
0,0.52793276
0,0.07885897
1,0.63636416
1,0.7464982
1,0.8001025
1,0.933136
0,0.25465557
0,0.36740184
0,0.45400187
0,0.02605807
0,0.19842613
