y_true,y_prob
1,0.9999998
1,0.9999998
1,0.9999994
0,0.025169572
0,0.042520825
0,0.07464115
0,0.02529704
0,0.03204405
0,0.0010518292
0,0.012655972
1,0.7536425
1,0.016439384
0,0.08701855
1,0.26499492
0,0.022776105
0,0.03375408
0,0.06998017
0,0.053925015
0,0.000989394
0,0.0005646586
1,0.9039441
1,0.59475726
1,1.0
1,0.9999961
1,0.9999985
1,0.5978892
1,0.7978349
0,0.03716722
0,0.04612707
1,0.99538976
1,0.9984096
1,0.9996505
1,0.99829096
1,0.9973536
1,0.9998671
1,0.99815327
1,0.9888191
1,0.9591972
1,0.931411
1,0.99993396
0,0.02107105
0,0.06720285
0,0.032611646
0,0.0052711135
1,0.9930217
0,0.012037329
0,0.015721105
0,0.015195277
1,0.36304924
1,0.99411005
1,0.9987352
0,0.0077745933
1,0.4422141
0,0.031592976
0,0.39484215
1,0.53244704
0,0.0018525436
0,0.0023553316
0,0.011923176
0,0.026444796
0,0.015194184
0,0.051341996
1,0.9994554
1,0.99974906
1,0.99897224
1,0.9995074
1,0.99906516
1,0.99906516
1,0.99906516
1,0.99920535
1,0.9995074
1,0.99920535
1,0.99778986
1,0.99985266
1,0.99974906
1,0.99906516
1,0.99906516
1,0.99906516
1,0.99857235
1,0.57595074
0,0.034696408
1,1.0
0,0.027863216
1,0.5270337
0,0.0036250388
0,0.008635118
0,0.758816
1,1.0
1,0.9134184
0,0.28933117
1,0.99999815
0,0.02706984
1,0.4045157
1,0.5206665
0,0.015860284
1,0.79073274
0,0.0009820875
1,0.99866277
0,0.00077243586
1,0.9997869
0,0.11353282
1,0.9999791
1,0.99995434
1,0.99941415
1,0.9991346
1,0.9946835
1,0.99995315
1,0.9975807
1,0.99998826
1,0.9999978
0,0.01672737
1,0.97562426
0,0.038743664
0,0.031420816
0,0.000679737
0,0.03494553
1,0.20932952
0,0.65125126
0,0.007296924
1,0.32643974
0,0.00018943418
0,0.00022530914
1,0.12680724
1,0.9895745
0,0.05036526
0,0.029936831
0,0.01412169
1,0.8805244
0,0.007196104
1,0.63957834
1,0.8772923
1,0.5426736
1,0.50595
1,0.6088638
1,0.544809
0,0.5426736
0,0.6239289
0,7.287497e-05
0,0.0020730668
1,0.9759355
1,0.9932548
0,0.027225023
0,0.032997325
0,0.057045657
1,0.975182
1,0.15656322
0,0.052788347
0,0.0035231202
0,0.008777332
1,0.9281209
1,0.95542437
0,0.08828103
0,0.019806547
1,0.23649772
0,0.14606798
0,0.0018337256
1,0.9969409
1,0.9969409
1,0.9614063
0,0.032448463
1,0.96288073
0,0.0067633986
0,0.030148407
0,0.02372788
0,0.009729183
1,0.7712561
0,0.13875999
0,0.041471276
0,0.002615791
1,0.88786894
0,0.013461276
0,0.030816419
0,0.09055675
0,0.032202907
0,0.051097646
0,0.03958416
0,0.04841129
1,0.9927498
1,0.66652346
1,0.53645986
1,0.51041293
1,0.5757621
1,0.6462766
1,0.6462766
0,0.49055046
0,0.6462766
0,0.45195612
0,0.15390484
0,0.04299817
1,0.76156163
0,0.008446034
0,0.0011298878
1,0.7171024
1,0.7420902
1,0.5191229
0,0.004081498
0,0.008478762
0,0.11046556
0,0.029974144
0,0.01248393
0,0.00253292
0,0.049256574
0,0.04935933
0,0.025538819
1,1.0
1,1.0
1,0.76748824
0,0.0008273408
0,0.026799316
0,0.0060331794
0,0.00054027746
1,0.3233764
1,0.63940513
1,0.5698127
0,0.099272124
0,0.08120228
0,0.06704159
1,0.42975608
1,0.53509045
1,0.9885602
1,0.99999994
1,0.99999994
1,0.99999994
1,0.99991363
1,1.0
1,1.0
0,0.5709401
1,0.97297245
0,0.015537848
0,0.0106435595
0,0.03994266
1,0.3982514
1,0.3014193
1,0.9445896
0,0.059645005
1,0.55016863
1,0.22083816
1,0.56253064
0,0.0031334802
1,0.31215107
0,0.014457613
1,0.06956225
0,0.060868815
1,0.9909049
1,0.9991714
1,0.06443777
1,0.5062406
0,0.040436737
0,0.0056532146
0,0.0060228766
1,0.10301727
1,0.96449214
1,0.19893414
1,0.7699011
0,0.062838934
1,0.9999721
0,0.025099488
1,0.89968574
0,0.008996551
1,0.99999803
1,0.99999994
0,0.033485573
1,0.09153012
0,0.0076976214
1,0.49554166
1,0.40156692
1,0.6496867
0,0.021345776
0,0.014900505
0,0.034387533
0,0.059626415
0,0.00032003367
0,0.08034304
0,0.018727984
0,0.03576566
1,0.99219346
1,0.31837836
0,0.002764632
1,0.604776
1,0.15196386
1,0.86261666
0,0.089173146
1,0.31214792
1,0.4267434
1,0.23445196
1,0.5777904
0,0.14563332
0,0.18545109
0,0.4893376
1,0.04373593
1,0.9968392
1,0.18683212
0,0.118506685
1,0.9990985
0,0.0062352256
0,0.04584333
1,0.98880804
1,0.986092
1,0.9803415
0,0.01994516
1,0.99806917
1,0.939926
1,0.970312
0,0.0014966384
1,0.9199139
1,0.9199139
0,0.4754079
0,0.01953383
0,0.032283343
1,1.0
0,0.38242394
0,0.14294903
0,0.09591698
1,1.0
1,0.9999971
1,1.0
1,0.9304167
1,0.99999595
1,0.99999595
1,1.0
1,1.0
1,1.0
1,0.99999994
0,0.007215278
0,0.64845115
1,0.869828
0,0.1381763
0,0.012055256
0,0.15992868
0,0.007984149
0,0.0033919953
0,0.567103
0,0.007905796
1,0.56500125
1,0.66836905
0,0.0011152676
0,0.0011152676
0,0.0020656362
1,1.0
0,0.005503472
0,0.0020244392
0,0.0016594359
0,0.0039352444
0,0.06284303
0,0.03159869
1,0.14496711
0,0.020266877
0,0.057601497
0,0.051263068
0,0.094432205
0,0.05499158
0,0.02716256
0,0.1276856
0,0.033369247
0,0.041139
0,0.016449371
1,0.88777506
1,0.9868561
0,0.6459484
0,0.0061693513
0,0.067587525
0,0.11574749
0,0.048336104
0,0.023649013
0,0.03229541
0,0.13559258
0,0.061753865
0,0.038766935
1,0.99910223
0,0.029300502
1,0.9949725
1,0.35041296
0,0.1666399
1,0.9993366
0,0.1162603
1,0.5999999
1,0.99976045
1,0.9979756
0,0.43959862
0,0.06379189
0,0.040426835
0,0.3728209
0,0.025180023
1,0.9993204
1,0.99938333
0,0.019624583
0,0.0056410744
0,0.0064575947
1,0.6998735
0,0.007658678
1,0.9677046
1,0.9724037
1,0.9893944
1,0.99457294
0,0.0029633306
0,0.001836706
0,0.2401742
1,0.91797996
1,1.0
0,0.014178216
0,0.012085956
0,0.014178216
0,0.014178216
0,0.014178216
0,0.009756912
0,0.13352759
1,0.23878592
1,0.99995774
0,0.0397223
0,0.011480156
0,0.016874474
1,0.99992704
0,0.008550059
0,0.032603454
1,0.86275434
1,0.8232455
1,0.7998603
0,0.097361825
0,0.032177754
0,0.023272088
1,1.0
1,1.0
1,1.0
0,0.001143742
1,0.9914282
1,0.06389025
0,0.4208095
0,0.0033485338
0,0.028982462
1,0.9785484
1,0.9973807
1,0.9711789
1,0.9675423
1,0.9978352
1,0.88490874
1,0.9968925
1,0.9907777
1,0.9304411
1,0.99720615
1,0.57471704
1,0.99973994
1,0.9999925
1,0.28159717
0,0.005477032
0,0.038195018
0,0.1699251
1,0.9269257
0,0.015217927
0,0.0411242
0,0.0063006673
0,0.013224574
0,0.00017141915
0,0.053826336
0,0.11813768
0,0.10761098
0,0.17279752
0,0.14865284
0,0.074095756
1,0.9979578
1,0.27346444
1,0.43789968
0,0.0067034243
1,0.82846266
1,0.44485778
0,0.44673637
0,0.14304733
0,0.13525447
1,0.9737033
1,0.8231742
0,0.02248752
1,0.9907449
1,1.0
0,0.02365664
1,0.841557
0,0.049346223
0,0.05907985
0,0.05907985
0,0.068507954
1,0.5158599
1,0.74957323
1,0.7980567
1,0.6023419
1,0.22257774
1,0.8197882
0,0.0034735247
0,0.050258894
1,0.7911351
0,0.012520154
1,0.9996436
1,0.62470263
0,0.66020906
0,0.04925738
0,0.04595738
0,0.007400313
0,0.019549131
0,0.003965056
1,0.43711168
1,0.98222864
1,0.966485
1,0.90532625
0,0.054900084
0,0.013062956
0,0.0065679187
0,0.004856576
0,0.011228874
1,0.99999994
1,1.0
1,0.99999994
1,0.9999498
1,1.0
0,0.20774984
1,1.0
1,0.977149
0,0.00011926182
0,0.010386704
1,0.99768645
0,0.0018649633
0,0.077190906
0,0.001599213
1,0.5719976
0,0.0020776193
0,0.009485216
0,0.06314527
1,0.20833917
0,0.07287889
0,0.072046764
0,0.0061494736
0,0.0012752461
1,0.9989619
1,0.97306573
1,0.98812926
1,0.9916887
1,0.9989619
1,0.9901856
1,0.99836326
1,0.9956494
1,0.9943265
0,0.031418845
0,0.18683212
1,0.99348104
0,0.03206824
1,0.03805994
1,0.9999815
0,0.04433229
0,0.003216811
0,0.0013126414
1,0.8595788
1,1.0
1,0.5870928
0,0.00586147
0,0.00033620134
1,0.8019463
1,0.90370613
1,0.027006898
1,0.8193504
1,0.86558956
1,0.6754657
1,0.67350835
1,0.7557003
1,0.32643974
1,0.5427164
1,0.60992616
1,0.9706142
1,0.60992616
0,0.027006898
0,0.027006898
0,0.005797542
0,0.027006898
0,0.084576026
0,0.5427164
0,0.32643974
0,0.8019463
0,0.07410121
0,0.009402995
0,0.011005715
0,0.0021182005
0,0.031158784
1,0.98358226
0,0.054704126
1,0.94036335
0,0.026010668
1,0.08213939
1,0.9441258
1,0.99985754
0,0.75751936
0,0.26272646
1,0.6596689
1,0.19115666
1,0.9961297
1,0.9946202
0,0.015254315
1,0.7131096
1,0.80162424
0,0.036094606
1,0.9999081
0,0.12274742
1,0.6227793
0,0.15008654
1,0.4773665
0,0.0011551906
1,0.9999862
0,0.013936302
1,0.9118465
0,0.10558654
0,0.009222196
0,0.0037549858
1,0.98252714
0,0.65321
0,0.024603473
0,0.27093408
1,0.9899862
1,0.40130264
1,0.33928287
1,0.96947825
0,0.009492695
0,0.5408679
0,0.010135865
1,0.39204285
0,0.038318653
0,0.003523092
0,0.00029641006
1,0.9959889
0,0.018608887
0,0.037872598
0,0.030005299
0,0.069756284
1,0.19350441
0,0.46814248
0,0.35237744
1,0.9758212
0,0.003577842
0,0.015676374
1,0.9221372
1,0.32094142
1,0.5640373
0,0.101672284
1,0.9980373
1,0.9998728
1,0.9992129
0,0.24921104
0,0.065740444
1,0.9999925
1,0.9999999
1,0.9998947
1,0.9999905
0,0.0011905574
0,0.03973234
0,0.021186493
0,0.030367704
0,0.054878365
0,0.0075534973
0,0.010161223
1,0.97773814
0,0.02470416
1,0.96802586
1,0.96802586
0,0.1043047
1,0.3147258
1,0.52108693
0,0.003333285
1,1.0
1,1.0
1,1.0
1,1.0
0,0.10637121
0,0.0015130608
1,0.64604795
1,0.9087773
1,0.75332713
1,0.6781377
1,0.9675447
1,0.82524717
1,0.90578574
1,0.90035015
1,0.9518844
1,0.9999984
1,0.8252472
1,0.8061828
1,0.8252472
1,0.9271212
1,0.8252472
1,0.20943421
1,0.8772142
1,0.19021437
1,0.84195495
1,0.92377454
1,0.8810119
1,0.7824308
1,0.9874893
1,0.8252472
1,0.96456236
1,0.82887614
1,0.9036142
1,0.8252472
1,0.9999987
1,0.9999884
1,0.9999961
1,0.999984
1,0.99939436
0,0.0528749
0,0.45161992
0,0.14845136
0,0.82524717
0,0.043574683
0,0.17163236
0,0.39690822
0,0.3877337
0,0.16711009
0,0.056301992
1,0.20917846
0,0.019168701
0,0.0041334555
0,0.094362125
0,0.0007741765
0,0.0014489183
0,0.47674802
0,0.07796508
1,0.9995209
0,0.046669926
1,0.9932866
1,0.9996065
1,0.9999726
1,0.9921464
1,0.4703225
1,0.999626
1,0.9997397
1,0.9999645
1,0.99991685
1,0.9999758
1,0.99999017
1,0.99996305
1,0.9998513
1,0.70612216
1,0.97307086
1,0.9997152
1,0.99954504
1,0.99920064
1,0.9966619
1,0.99639434
1,0.99893427
1,0.99996305
1,0.99982333
1,0.9999958
1,0.9994918
1,0.97307086
1,0.99639434
1,0.46607214
1,0.9999999
1,0.99998
1,0.99968165
1,0.99998385
1,0.99987906
1,0.9999717
1,1.0
1,0.9998946
1,0.99997896
1,1.0
1,0.99988973
1,0.99998635
1,0.9885737
1,0.99306285
1,0.9988389
0,0.95845747
0,0.0009930095
0,0.007579759
0,0.025192812
0,0.089354135
0,0.2453745
0,0.008512808
0,0.40141463
0,0.017035222
1,0.9937377
0,0.4749984
0,0.17125823
1,0.16538872
0,0.0036651446
0,0.00086823775
0,0.0057955496
0,0.08635311
0,0.009469951
0,0.0017049445
0,0.047280096
1,0.99354696
1,0.9317466
1,0.97961533
1,1.0
1,0.9997138
1,1.0
1,0.99106306
1,0.9999748
0,0.013930149
0,0.004974376
0,0.15904142
1,1.0
1,1.0
0,0.009621449
0,0.005885738
0,0.040381018
1,0.37307706
0,0.014080172
1,0.6372467
1,0.9840455
1,0.115661524
1,0.35178873
0,0.021161046
1,0.97451574
1,0.9255629
0,0.034189045
1,0.08740747
1,0.999957
1,0.99998635
1,0.99999976
0,0.26665953
1,0.99995166
0,0.006636502
1,1.0
0,0.00011810657
1,0.36411554
0,0.012394958
0,0.0074304724
1,0.9991214
1,0.99972486
1,0.9882794
1,0.77486247
0,0.0077074324
0,0.009307124
0,0.0033887697
1,0.88052434
1,0.80099195
1,0.32412663
1,0.28895602
1,0.34930563
0,0.0029628896
1,0.8722302
1,0.8501486
0,0.7285275
0,0.01677166
1,0.57277596
0,0.0072636064
0,0.58599496
1,0.9998756
1,0.99998635
1,0.999957
1,0.89418745
1,0.71510834
0,0.047420077
1,0.99126834
1,0.9822493
1,0.9895708
1,0.99972725
1,0.21404618
0,0.10851537
0,0.06270837
1,1.0
1,0.2588104
0,0.020503432
0,0.007172198
1,0.5614692
1,0.5566107
0,0.0076865787
1,0.9856055
0,0.17105961
0,0.02237174
0,0.004840919
0,0.020050414
0,0.013879623
1,0.994971
1,0.40591273
1,0.34248206
1,0.70676553
1,0.83771974
1,0.68689203
1,0.8053192
1,0.6182983
1,0.8462907
0,0.43394482
0,0.39248464
1,0.94108623
1,0.4243419
1,0.99999964
0,0.053168938
1,0.99956286
0,0.009690183
0,0.01034202
0,0.0041335854
1,0.9984857
1,0.06931817
1,0.9993073
1,0.80469567
1,0.6487566
1,0.999988
1,0.25626668
0,0.033017285
1,0.89552337
0,0.15416358
1,0.99798423
1,0.9997534
0,0.031675544
0,0.026290048
0,0.026290048
0,0.16259119
1,0.974209
1,0.99892026
0,0.008483807
1,0.476713
1,0.09482342
1,0.8412844
1,0.66359425
0,0.0042813476
1,0.9999612
1,0.5088468
0,0.00060188817
1,0.85508734
1,0.9996682
1,0.8881918
1,0.5841031
0,0.7220583
0,0.0022989656
0,0.00078108395
1,0.998143
0,0.097327895
1,0.8961593
0,0.01369443
0,0.011777233
0,0.02346768
0,0.021614421
0,0.01349853
0,0.007520252
0,0.0029482169
0,0.005527851
1,0.99857575
0,0.005936276
1,0.5155376
0,0.0030451615
1,0.7770684
1,0.07553575
0,0.40371087
1,0.9648774
1,0.99902433
1,0.16422693
0,0.4169307
0,0.019632144
1,0.4023891
1,0.88851166
1,0.97307265
1,0.8511237
1,0.9392645
1,0.6840436
1,0.77874064
1,0.9903123
1,0.77874064
1,0.45474854
1,0.75762755
1,0.83166885
1,0.88732994
0,0.1276302
0,0.008533261
0,0.0039210445
0,0.23600726
1,0.99987406
0,0.12982965
0,0.012882167
1,0.073643886
1,0.18429497
0,0.11266221
0,0.028791694
0,0.036205366
0,0.00045615807
0,0.005022668
0,0.0011674527
0,0.00617084
0,0.014527351
0,0.09134297
0,0.002588003
1,0.9492024
1,0.85765696
0,0.012858716
1,0.73871267
1,0.567579
0,0.052144814
