y_true,y_prob
1,0.98415977
1,0.98415977
1,0.9801639
0,0.20497717
0,0.38794923
0,0.70016336
0,0.16051993
0,0.06459394
0,0.13860787
0,0.15769956
1,0.66678745
1,0.7278695
0,0.29620188
1,0.5342584
0,0.14071807
0,0.1473731
0,0.09237269
0,0.24791405
0,0.2056124
0,0.28622064
1,0.8139538
1,0.44162208
1,0.9882338
1,0.97537994
1,0.98488194
1,0.38360044
1,0.9219283
0,0.12317661
0,0.10634028
1,0.86803514
1,0.87470716
1,0.9510393
1,0.9686774
1,0.7522559
1,0.898837
1,0.9017343
1,0.85523546
1,0.9169504
1,0.92444915
1,0.98095304
0,0.26088035
0,0.15103059
0,0.16278206
0,0.15881294
1,0.39048716
0,0.1415303
0,0.1252437
0,0.1100948
1,0.9339897
1,0.9480522
1,0.9542968
0,0.08384402
1,0.52776957
0,0.04391987
0,0.45842734
1,0.5911528
0,0.018973675
0,0.018383335
0,0.047434103
0,0.17093703
0,0.30109733
0,0.16238716
1,0.90888846
1,0.95279455
1,0.90954983
1,0.93161553
1,0.94516724
1,0.9480153
1,0.89851916
1,0.94672644
1,0.9733044
1,0.9097066
1,0.89793205
1,0.93411803
1,0.95279455
1,0.9480153
1,0.875011
1,0.91328794
1,0.909301
1,0.68517303
0,0.27632615
1,0.8498515
0,0.36845282
1,0.7554422
0,0.18133429
0,0.0402117
0,0.62757677
1,0.96233433
1,0.51088846
0,0.1827987
1,0.9185722
0,0.054526884
1,0.5705679
1,0.76045513
0,0.7370386
1,0.51502377
0,0.11306173
1,0.91701144
0,0.28636777
1,0.871808
0,0.4395687
1,0.9674082
1,0.96442395
1,0.9781477
1,0.98571044
1,0.98288256
1,0.9062216
1,0.8852553
1,0.91416925
1,0.8944246
0,0.24774851
1,0.7136033
0,0.04628266
0,0.17382559
0,0.40910253
0,0.237008
1,0.4033928
0,0.5951225
0,0.08096958
1,0.68297845
0,0.2719565
0,0.17400686
1,0.5935175
1,0.9819186
0,0.33004844
0,0.12671073
0,0.15818132
1,0.8996983
0,0.4959077
1,0.5078193
1,0.46533453
1,0.9691279
1,0.93432605
1,0.9707791
1,0.939747
0,0.28997624
0,0.2522534
0,0.4383754
0,0.30234215
1,0.9175649
1,0.44440076
0,0.2792266
0,0.15922633
0,0.11554312
1,0.7505361
1,0.56044614
0,0.13746773
0,0.04348528
0,0.19656423
1,0.86880136
1,0.94353783
0,0.24932994
0,0.22678135
1,0.43286023
0,0.23867708
0,0.2768012
1,0.95715827
1,0.9781722
1,0.6723188
0,0.22899212
1,0.9341913
0,0.1972095
0,0.27369395
0,0.19714597
0,0.31914946
1,0.8530195
0,0.44528186
0,0.3730516
0,0.13891995
1,0.7430203
0,0.08898378
0,0.16359363
0,0.14449061
0,0.1222566
0,0.30807453
0,0.08176261
0,0.069826804
1,0.9480772
1,0.80198944
1,0.90788805
1,0.67658097
1,0.7980782
1,0.7986241
1,0.7986241
0,0.63494086
0,0.7986241
0,0.5368714
0,0.42162564
0,0.1735853
1,0.8233583
0,0.38186324
0,0.16172817
1,0.82672495
1,0.65054214
1,0.54607385
0,0.16945505
0,0.43568665
0,0.36439785
0,0.15384613
0,0.2179737
0,0.18590066
0,0.17989966
0,0.26348817
0,0.33913973
1,0.9781069
1,0.8994531
1,0.93157256
0,0.11992319
0,0.19959153
0,0.2503631
0,0.206574
1,0.76132035
1,0.6931729
1,0.49821326
0,0.25193012
0,0.29504123
0,0.25306937
1,0.5757559
1,0.59300834
1,0.40845564
1,0.9005216
1,0.9303596
1,0.9303596
1,0.9578092
1,0.9533037
1,0.9533037
0,0.39053357
1,0.86910945
0,0.12760068
0,0.08058079
0,0.13444766
1,0.9126692
1,0.91823083
1,0.83485824
0,0.20087302
1,0.94797283
1,0.5009778
1,0.80700725
0,0.2016002
1,0.6702147
0,0.08980472
1,0.3502978
0,0.17612235
1,0.4925497
1,0.95388764
1,0.82598007
1,0.810688
0,0.352102
0,0.11061282
0,0.08192154
1,0.35527414
1,0.96029025
1,0.58513993
1,0.842152
0,0.27920598
1,0.8764465
0,0.07689858
1,0.68885857
0,0.19567291
1,0.9136397
1,0.9546212
0,0.073880605
1,0.5480647
0,0.18482885
1,0.5890505
1,0.60471153
1,0.5711866
0,0.13722081
0,0.2600829
0,0.1997079
0,0.117441885
0,0.18440917
0,0.119059615
0,0.09124845
0,0.10775387
1,0.73771435
1,0.541001
0,0.31260592
1,0.9530093
1,0.6711714
1,0.81969684
0,0.30918843
1,0.42235163
1,0.25894248
1,0.62642324
1,0.7699152
