y_true,y_prob
1,0.9895097
1,0.9895097
1,0.99630713
0,0.16748706
0,0.17558382
0,0.13391331
0,0.08508629
0,0.06814755
0,0.102088235
0,0.23772383
1,0.6775301
1,0.10834117
0,0.30394998
1,0.26210675
0,0.12331729
0,0.2563538
0,0.09699542
0,0.40465355
0,0.122571126
0,0.15466495
1,0.9460541
1,0.44699603
1,0.9973126
1,0.99217963
1,0.9972133
1,0.57877845
1,0.7379365
0,0.073669665
0,0.10774792
1,0.9333886
1,0.96959925
1,0.9823142
1,0.9578395
1,0.9560817
1,0.95771503
1,0.9614113
1,0.9247851
1,0.9567506
1,0.9601444
1,0.98138016
0,0.1564687
0,0.09745572
0,0.15264297
0,0.08119063
1,0.7831736
0,0.115801185
0,0.09342508
0,0.14470185
1,0.83025455
1,0.9217594
1,0.92474663
0,0.06926572
1,0.7301108
0,0.09234687
0,0.51779777
1,0.77037835
0,0.01312494
0,0.012621246
0,0.03870088
0,0.06083715
0,0.12405924
0,0.18174015
1,0.95757294
1,0.98695046
1,0.9851717
1,0.9744994
1,0.9864341
1,0.9864341
1,0.9864341
1,0.97020537
1,0.9744994
1,0.97020537
1,0.95583457
1,0.95999354
1,0.98695046
1,0.9864341
1,0.9864341
1,0.9864341
1,0.9847985
1,0.5703316
0,0.14407916
1,0.9972742
0,0.2544167
1,0.7769654
0,0.15354182
0,0.01399732
0,0.9451829
1,0.9974974
1,0.29964933
0,0.3026846
1,0.98251694
0,0.14028929
1,0.51783526
1,0.5785416
0,0.7380381
1,0.63627154
0,0.087184235
1,0.9274977
0,0.30463484
1,0.91990215
0,0.3429632
1,0.99511874
1,0.9954982
1,0.9936707
1,0.98950166
1,0.99394363
1,0.9593071
1,0.90313894
1,0.98656505
1,0.99280024
0,0.19727196
1,0.84656173
0,0.17503665
0,0.13482177
0,0.15889823
0,0.1600133
1,0.25473455
0,0.68179226
0,0.16936177
1,0.64727205
0,0.057663612
0,0.086869314
1,0.4224757
1,0.94011956
0,0.15412742
0,0.18866007
0,0.17147674
1,0.772897
0,0.1327338
1,0.5337591
1,0.7246692
1,0.6795697
1,0.6721864
1,0.7011671
1,0.6681313
0,0.6795697
0,0.63650745
0,0.22595362
0,0.20045291
1,0.9158578
1,0.66480434
0,0.088285305
0,0.11701428
0,0.07725527
1,0.7194165
1,0.41011062
0,0.15950729
0,0.04088572
0,0.12289467
1,0.9489878
1,0.8921755
0,0.39577731
0,0.3541055
1,0.662436
0,0.2212969
0,0.17897646
1,0.9376782
1,0.9376782
1,0.891196
0,0.30803806
1,0.97952193
0,0.060171142
0,0.19378157
0,0.18139695
0,0.13734631
1,0.8224852
0,0.37111548
0,0.13498896
0,0.079094924
1,0.6087843
0,0.13174103
0,0.15861636
0,0.16782707
0,0.09656787
0,0.22644123
0,0.06730036
0,0.099447384
1,0.93121433
1,0.6809637
1,0.6795159
1,0.5242189
1,0.75796807
1,0.7838399
1,0.7838399
0,0.53340256
0,0.7838399
0,0.56548446
0,0.1898848
0,0.1824229
1,0.66884977
0,0.06475512
0,0.08296277
1,0.7553805
1,0.869477
1,0.5512661
0,0.101073764
0,0.23176323
0,0.2922414
0,0.1401512
0,0.19230168
0,0.057824846
0,0.19751927
0,0.21078883
0,0.29180488
1,0.9930821
1,0.9892435
1,0.88202673
0,0.048398796
0,0.10401378
0,0.02558645
0,0.054720353
1,0.7528955
1,0.68306464
1,0.44269603
0,0.09327493
0,0.2672004
0,0.075697266
1,0.6665081
1,0.7056937
1,0.8260881
1,0.9955551
1,0.9955551
1,0.9955551
1,0.9971008
1,0.99564016
1,0.99564016
0,0.675219
1,0.93751913
0,0.06401042
0,0.07236901
0,0.11456931
1,0.77549016
1,0.51495916
1,0.8903296
0,0.10485985
1,0.65308744
1,0.3000248
1,0.730668
0,0.17950343
1,0.86894983
0,0.114111446
1,0.31359676
0,0.28952938
1,0.7590778
1,0.9371225
1,0.44439557
1,0.87866414
0,0.17226717
0,0.03482349
0,0.05332788
1,0.5833256
1,0.80276066
1,0.48988578
1,0.5957689
0,0.13423699
1,0.96312237
0,0.030082522
1,0.6769125
0,0.059455838
1,0.9703949
1,0.98084235
0,0.07167241
1,0.42659774
0,0.13987592
1,0.623689
1,0.6210519
1,0.65313476
0,0.15980269
0,0.14909989
0,0.116669476
0,0.17405257
0,0.27154818
0,0.06418054
0,0.06479233
0,0.045941792
1,0.76240534
1,0.40934324
0,0.07785099
1,0.5343889
1,0.7608855
1,0.90518826
0,0.38254586
1,0.39846808
1,0.19902441
1,0.3485201
1,0.53647643
0,0.43612918
0,0.29103288
0,0.41614977
1,0.57662135
1,0.8326748
1,0.6318273
0,0.37737954
1,0.92959213
0,0.023931487
0,0.2693916
1,0.8422195
1,0.89245707
