canonical_smiles,prob_1,prob_2,prob_avg,ID,lipinski_rule_of_five_violations,sa_score,y_pred
O=CCCCCCCCC(=O)O,0.9993337,0.7852389,0.8922863,29,0,1.989313589,1
CC(=O)CC(=O)c1ccccc1,0.999999,0.85249346,0.92624623,83,0,1.590947156,1
COc1ccc2c(=O)c(-c3ccc(O)cc3)coc2c1,0.999814,0.97402936,0.98692168,723,0,1.956955472,1
COc1cc2ccn(C)c(=O)c2cc1OC,0.99858874,0.7158268,0.85720777,897,0,1.986278895,1
COc1ccc(C=O)cc1O,0.99990636,0.886113,0.94300968,1229,0,1.873494182,1
COc1cc(/C=C/C(=O)OCc2ccccc2)ccc1O,0.9999998,0.9802089,0.99010435,1641,0,1.80775362,1
COc1ccc2[nH]cc(CCN(C)C)c2c1,0.9998274,0.87801886,0.93892313,1725,0,1.953637706,1
COc1cccc2cc(C)cc(O)c12,0.99995875,0.8438322,0.921895475,1964,0,1.883272302,1
COc1cc(CCc2ccc(O)cc2)cc(OC)c1,0.9999983,0.97800475,0.989001525,2063,0,1.737648944,1
COc1cc(-c2ccccc2)nc2ccccc12,0.99984026,0.83701515,0.918427705,2114,0,1.519668546,1
COc1ccccc1COC(=O)c1c(OC)cccc1OC,0.9998967,0.6634135,0.8316551,2193,0,1.758278692,1
COc1cc(CCC(=O)O)ccc1O,0.99998575,0.8895652,0.944775475,2426,0,1.672950626,1
O=C(O)CCc1ccc(O)cc1,0.9999905,0.8946369,0.9473137,2514,0,1.520688415,1
COc1ccc(CCc2cc(OC)c(OC)c(OC)c2)cc1OC,0.99999386,0.96308273,0.981538295,2922,0,1.810703298,1
COc1cc(OC)c(OC)cc1O,0.9728678,0.79671437,0.884791085,3042,0,1.616953596,1
COc1cc(C)cc(Oc2cc(C)cc(O)c2)c1,0.99985045,0.8248665,0.912358475,3146,0,1.984686503,1
COc1c(O)cc(CCc2ccccc2)cc1O,0.99999744,0.9778138,0.98890562,3537,0,1.91164348,1
COc1ccc(CCc2cc(OC)c(O)c(OC)c2)cc1OC,0.99999565,0.9645631,0.982279375,3631,0,1.862721504,1
O=C1c2ccccc2C(=O)c2cc(CO)ccc21,0.53405744,0.80424565,0.669151545,3730,0,1.840789182,1
O=C(O)c1ccc(O)cc1O,0.9999134,0.79132533,0.895619365,3813,0,1.770935084,1
CCCCCCCCCCCCCCCCCCCCCC(=O)O,0.9993337,0.7852389,0.8922863,4240,1,1.663412774,1
COc1ccc(O)c(C(=O)O)c1,0.99996996,0.5456713,0.77282063,4280,0,1.576869446,1
COc1cc(O)ccc1CCCc1ccc(O)cc1,0.999981,0.9505417,0.97526135,4289,0,1.850695097,1
COc1ccc(CCN=C(O)c2ccccc2)cc1,0.99999756,0.8636606,0.93182908,4332,0,1.847128384,1
CC(C)c1ccc(C(=O)O)cc1,0.9991129,0.76048344,0.87979817,4376,0,1.372244927,1
CC(=O)c1ccc(C)cc1,0.99999523,0.9413628,0.970679015,4423,0,1.200633469,1
COc1ccc2[nH]cc(CCN)c2c1,0.9999127,0.8756414,0.93777705,4680,0,1.92903597,1
COc1cc2oc(=O)cc(-c3ccccc3)c2cc1OC,0.985315,0.824068,0.9046915,4781,0,1.823969774,1
[CH2]CCCCCCCCCCCCCCCCC,0.99985784,0.793122,0.89648992,4925,1,1.809625362,1
CCC(=O)c1ccc(C)cc1C,0.99998015,0.89976364,0.949871895,5534,0,1.672048773,1
COc1cc(C(C)=O)cc(OC)c1O,0.9999744,0.88218516,0.94107978,5621,0,1.786307197,1
COc1cc(OC)c(C(=O)c2ccccc2)cc1OC,0.99774146,0.73732835,0.867534905,5629,0,1.614280081,1
CCCCCCCCCCCCCCCCCCCCCCC(=O)O,0.9993337,0.7852389,0.8922863,5758,1,1.664700344,1
COc1cc(COC(=O)CCCCCCC(C)C)ccc1O,0.9999163,0.82965064,0.91478347,5789,0,1.939024744,1
CCCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)O,0.9993337,0.7852389,0.8922863,6015,1,1.698389933,1
CCCCC(=O)OCc1ccccc1,0.99986273,0.55598927,0.777926,6164,0,1.408742509,1
COC(=O)c1ccc2[nH]c3ccccc3c2c1,0.9941061,0.6950042,0.84455515,6276,0,1.719663756,1
COc1ccc2c(c1)oc(=O)c1cc(OC)c(OC)cc12,0.99896955,0.8772761,0.938122825,6801,0,1.950581039,1
COc1cc(O)cc(C=Cc2ccccc2)c1,0.9999998,0.9880047,0.99400225,6808,0,1.843405985,1
COc1ccc(C(C)=O)cc1C(=O)CC(C)C,0.9504611,0.8324688,0.89146495,6980,0,1.881137351,1
COc1cc(OC)c2ccc(=O)oc2c1,0.99996644,0.9754498,0.98770812,7239,0,1.938733119,1
COc1ccc(C=CC=O)cc1OC,0.99999976,0.9939557,0.99697773,7265,0,1.976879402,1
COc1ccc(CCc2cccc(OC)c2)cc1,0.9999974,0.9774282,0.9887128,7310,0,1.424246491,1
COc1ccc(C(=O)C(C)C)cc1OC,0.6683269,0.65280604,0.66056647,7837,0,1.654725426,1
CC(=O)Cc1ccc(O)cc1,0.9998061,0.88396007,0.941883085,8454,0,1.680764952,1
COc1cc(OC)c(C(=O)C(C)=O)cc1OC,0.89155215,0.814439,0.852995575,8515,0,1.983211197,1
COc1ccc2ccccc2c1,0.9973738,0.91591114,0.95664247,8644,0,1.237589473,1
COc1ccc(CCCCCCCCC(=O)c2c(OC)cccc2OC)cc1,0.99998355,0.9408174,0.970400475,8645,1,1.952771199,1
CC(=O)c1ccc(O)cc1C,0.99998397,0.95174026,0.975862115,8738,0,1.80764649,1
COc1ccc(-c2cc(=O)c3ccccc3o2)cc1OC,0.9999957,0.99653983,0.998267765,8760,0,1.827555928,1
CCCCCCCC(=O)CCCCCCC,0.99999934,0.89365834,0.94682884,8779,1,1.787120783,1
COc1ccc(CCCc2ccc(O)c(OC)c2)c(OC)c1,0.9999938,0.9213049,0.96064935,8969,0,1.852483903,1
CCCCCCC(=O)OCCCC,0.99996406,0.7951748,0.89756943,9201,0,1.649651288,1
CCCc1cccc2c1[nH]c1ccccc12,0.9999669,0.8421607,0.9210638,9636,0,1.85185584,1
COc1ccc(C(C)=O)cc1C=O,0.99981594,0.85560393,0.927709935,9756,0,1.838258651,1
CC(C)=CCOc1ccc(CCCO)cc1,0.9999451,0.8641134,0.93202925,9941,0,1.947025398,1
COc1ccc(CCc2ccccc2)cc1,0.9999833,0.96292734,0.98145532,10043,0,1.243868279,1
CCOC(=O)Cc1ccc(O)cc1,0.7694383,0.7437713,0.7566048,10226,0,1.580028212,1
O=c1oc2cc(O)ccc2c2ccccc12,0.9999919,0.95116,0.97557595,10317,0,1.857760181,1
CCCCC(=O)OC,0.9976123,0.69417334,0.84589282,10347,0,1.556299539,1
CCc1ccc(-c2ccccc2)cc1CC,0.99999887,0.9624203,0.981209585,10672,0,1.577492957,1
COc1cc(C(=O)O)cc(OC)c1OC(C)=O,0.99296975,0.7238965,0.858433125,10822,0,1.833063505,1
COC(=O)c1cc2c(cc1OC)[nH]c1ccccc12,0.999893,0.85831356,0.92910328,11165,0,1.908089969,1
COc1ccc(C(=O)/C=C/c2ccc(O)c(OC)c2)c(OC)c1,0.99999976,0.9968999,0.99844983,11180,0,1.978784725,1
COc1cc2c(cc1OC)C(=O)CCC2,0.7645693,0.8023872,0.78347825,11351,0,1.881785866,1
COc1cc(/C=C/C(=O)O)cc(OC)c1O,0.99999976,0.9894881,0.99474393,11374,0,1.977193198,1
COc1ccc(CCc2cc(OC)c(O)c(OC)c2)cc1O,0.999996,0.9668974,0.9834467,11609,0,1.982310999,1
COc1ccc2c(c1)C(=O)c1ccc(OC)cc1C2=O,0.6552517,0.74782753,0.701539615,11738,0,1.831773488,1
Cc1ccc2c(c1)C(=O)c1cc(O)ccc1C2=O,0.9993644,0.9221402,0.9607523,11757,0,1.952383426,1
CCCCOCCCC,0.9994821,0.70586395,0.852673025,12003,0,1.644364623,1
CC(=O)c1ccc(C2CCCCC2)cc1,0.9999984,0.9554479,0.97772315,12292,0,1.610667287,1
CC(=O)c1ccc2ccccc2c1,0.99999356,0.9016919,0.95084273,12345,0,1.382021039,1
CCC(=O)c1ccccc1,0.9999976,0.8793414,0.9396695,12406,0,1.315700685,1
COc1ccc2oc(=O)ccc2c1,0.9955597,0.86228746,0.92892358,12485,0,1.737418128,1
O=C(CCCCc1ccc(O)cc1)CCc1ccc(O)cc1,0.9999995,0.9643769,0.9821882,12795,0,1.90391017,1
CCCCCCCC(=O)OCCCCCC,0.99998003,0.80895275,0.90446639,12940,0,1.70104386,1
COc1c(O)c(-c2ccccc2)cc(O)c1-c1ccccc1,0.9999819,0.93863106,0.96930648,13143,0,1.950784896,1
COc1ccc2cc(C(=O)c3ccccc3)c(=O)oc2c1,0.99994963,0.8253295,0.912639565,13199,0,1.835282082,1
COc1cc2c(C)cccc2ccc1=O,0.99967355,0.8889377,0.944305625,13263,0,1.898028723,1
O=C1CCCCCCCCCCCCCC1,0.99999934,0.89365834,0.94682884,13366,1,1.972574085,1
O=C1c2ccccc2C(=C2c3ccccc3C(=O)c3ccccc32)c2ccccc21,0.7137273,0.89263916,0.80318323,13607,1,1.666207803,1
COc1ccc(C(=O)O)cc1OC,0.99978226,0.80908823,0.904435245,13820,0,1.347222607,1
C1CCCC1,0.9467036,0.7709382,0.8588209,13969,0,1,1
CCOCCOCC(=O)O,0.9698997,0.70736617,0.838632935,14144,0,1.999387315,1
COC(=O)c1ccc(O)c(OC)c1,0.9997089,0.7907235,0.8952162,14488,0,1.552224805,1
O[C@H]1[C@@H](O)[C@@H](O)[C@@H](O)[C@@H](O)[C@@H]1O,0.99989074,0.8321061,0.91599842,14610,1,1.713869359,1
COc1ccc(CC(=O)O)cc1,0.77965087,0.7323567,0.756003785,14732,0,1.331210093,1
COc1ccc2c(=O)cc(-c3ccccc3)oc2c1,0.99999833,0.99611574,0.998057035,14733,0,1.761758034,1
COc1cc(C)cc2c1[nH]c1ccccc12,0.9999942,0.9244819,0.96223805,14827,0,1.873969211,1
O=C(c1ccccc1)C(O)c1ccccc1,0.99997574,0.87761134,0.93879354,15211,0,1.97540974,1
COc1cc(O)c(C(C)=O)c(OC)c1,0.99999887,0.9570179,0.978508385,15454,0,1.929959172,1
CCCCCCCCOC(=O)CCCC,0.9999741,0.7786867,0.8893304,15522,0,1.710650701,1
COc1c(O)ccc(C(=O)c2ccccc2)c1O,0.9924763,0.553033,0.77275465,15647,0,1.906167734,1
CC(=O)CCc1ccc(O)cc1,0.99999905,0.9172718,0.958635425,16025,0,1.648819883,1
COc1cc(C(=O)O)cc2c1[nH]c1ccccc12,0.9999835,0.8779006,0.93894205,16068,0,1.939210901,1
COc1ccc(OCC(=O)O)cc1,0.9855837,0.53397965,0.759781675,16331,0,1.350008981,1
