canonical_smiles,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_avg,ID,lipinski_rule_of_five_violations,sa_score,y_pred
COc1ccc2c(=O)c(-c3ccc(O)cc3)coc2c1,0.999814,0.99999994,0.99999565,0.97402936,0.90644556,0.92969674,0.9683302083333333,723,0,1.956955472,1
COc1ccc(C=O)cc1O,0.99990636,1.0,0.96111417,0.886113,0.92792577,0.79183203,0.9278152216666666,1229,0,1.873494182,1
COc1cc(/C=C/C(=O)OCc2ccccc2)ccc1O,0.9999998,1.0,0.99999887,0.9802089,0.95686203,0.94284105,0.9799851083333334,1641,0,1.80775362,1
COc1ccc2[nH]cc(CCN(C)C)c2c1,0.9998274,0.99908924,0.9671428,0.87801886,0.5190177,0.74312454,0.8510367566666668,1725,0,1.953637706,1
COc1cccc2cc(C)cc(O)c12,0.99995875,0.99905175,0.9664209,0.8438322,0.74215907,0.8263238,0.8962910783333333,1964,0,1.883272302,1
COc1cc(CCc2ccc(O)cc2)cc(OC)c1,0.9999983,1.0,0.9998681,0.97800475,0.82723427,0.9048832,0.9516647700000002,2063,0,1.737648944,1
COc1cc(-c2ccccc2)nc2ccccc12,0.99984026,0.92564565,0.7243361,0.83701515,0.6757967,0.73814696,0.8167968033333333,2114,0,1.519668546,1
COc1cc(CCC(=O)O)ccc1O,0.99998575,0.999901,0.9937323,0.8895652,0.6176571,0.84608626,0.8911546016666666,2426,0,1.672950626,1
O=C(O)CCc1ccc(O)cc1,0.9999905,0.89879704,0.65212727,0.8946369,0.5053753,0.73873264,0.7816099416666668,2514,0,1.520688415,1
COc1cc(OC)c(OC)cc1O,0.9728678,0.99089986,0.99990755,0.79671437,0.69250554,0.8563711,0.8848777033333333,3042,0,1.616953596,1
COc1cc(C)cc(Oc2cc(C)cc(O)c2)c1,0.99985045,1.0,0.99786854,0.8248665,0.76442647,0.87892467,0.9109894383333333,3146,0,1.984686503,1
COc1c(O)cc(CCc2ccccc2)cc1O,0.99999744,0.99887866,0.9999996,0.9778138,0.7776477,0.977745,0.9553470333333333,3537,0,1.91164348,1
COc1ccc(CCc2cc(OC)c(O)c(OC)c2)cc1OC,0.99999565,0.9999997,0.99999887,0.9645631,0.6677101,0.91931295,0.925263395,3631,0,1.862721504,1
O=C1c2ccccc2C(=O)c2cc(CO)ccc21,0.53405744,1.0,0.9923835,0.80424565,0.8919837,0.8906069,0.8522128649999999,3730,0,1.840789182,1
COc1ccc(O)c(C(=O)O)c1,0.99996996,0.9991643,0.9986903,0.5456713,0.61957663,0.8758251,0.839816265,4280,0,1.576869446,1
COc1cc(O)ccc1CCCc1ccc(O)cc1,0.999981,1.0,1.0,0.9505417,0.835615,0.9655959,0.9586222666666667,4289,0,1.850695097,1
COc1ccc(CCN=C(O)c2ccccc2)cc1,0.99999756,1.0,0.9998901,0.8636606,0.7974696,0.6928944,0.8923187100000001,4332,0,1.847128384,1
COc1cc2oc(=O)cc(-c3ccccc3)c2cc1OC,0.985315,0.99945396,0.9997179,0.824068,0.7244317,0.89938855,0.9053958516666668,4781,0,1.823969774,1
[CH2]CCCCCCCCCCCCCCCCC,0.99985784,1.0,0.99999994,0.793122,0.5338221,0.750536,0.84622298,4925,1,1.809625362,1
COc1cc(C(C)=O)cc(OC)c1O,0.9999744,0.99019843,0.9998482,0.88218516,0.56649995,0.8171646,0.8759784566666667,5621,0,1.786307197,1
COc1cc(OC)c(C(=O)c2ccccc2)cc1OC,0.99774146,0.99997395,0.99999934,0.73732835,0.5311988,0.89276856,0.8598350766666667,5629,0,1.614280081,1
COc1cc(COC(=O)CCCCCCC(C)C)ccc1O,0.9999163,0.9999998,0.9614699,0.82965064,0.8402007,0.9001894,0.9219044566666668,5789,0,1.939024744,1
COc1ccc2c(c1)oc(=O)c1cc(OC)c(OC)cc12,0.99896955,1.0,0.995043,0.8772761,0.7822368,0.7907153,0.9073734583333334,6801,0,1.950581039,1
COc1cc(O)cc(C=Cc2ccccc2)c1,0.9999998,1.0,0.9999998,0.9880047,0.9725171,0.97143215,0.9886589249999999,6808,0,1.843405985,1
COc1cc(OC)c2ccc(=O)oc2c1,0.99996644,0.9999587,0.9941978,0.9754498,0.85376126,0.7768581,0.93336535,7239,0,1.938733119,1
COc1ccc(C=CC=O)cc1OC,0.99999976,1.0,1.0,0.9939557,0.87118196,0.9767931,0.9736550866666667,7265,0,1.976879402,1
COc1ccc(CCc2cccc(OC)c2)cc1,0.9999974,1.0,0.9999554,0.9774282,0.72689146,0.8912689,0.9325902266666667,7310,0,1.424246491,1
CC(=O)Cc1ccc(O)cc1,0.9998061,0.73267204,0.92917126,0.88396007,0.5773929,0.9073653,0.8383946116666667,8454,0,1.680764952,1
COc1cc(OC)c(C(=O)C(C)=O)cc1OC,0.89155215,0.9998782,0.9999941,0.814439,0.63414985,0.7875435,0.8545928000000002,8515,0,1.983211197,1
COc1ccc2ccccc2c1,0.9973738,0.999605,0.9742293,0.91591114,0.5898638,0.79403704,0.8785033466666667,8644,0,1.237589473,1
COc1ccc(CCCCCCCCC(=O)c2c(OC)cccc2OC)cc1,0.99998355,1.0,0.999995,0.9408174,0.6589885,0.9039081,0.9172820916666665,8645,1,1.952771199,1
CC(=O)c1ccc(O)cc1C,0.99998397,0.98177785,0.99153113,0.95174026,0.6231601,0.8785434,0.9044561183333334,8738,0,1.80764649,1
