Model_Type,Framework,N_Samples,AUROC,AUPRC,MCC,Brier_Score,Prediction_Confidence
Single Model,XGB_RDKIT,2971,0.891,0.8963,0.6349,0.1327,0.6836
Combo 2,XGB_RDKIT + BILSTM_RDKIT,2971,0.8879,0.8933,0.62,0.1378,0.7148
Single Model,XGB_ECFP,2876,0.8655,0.8683,0.5866,0.1487,0.5147
Single Model,XGB_MACCS,3018,0.8647,0.8703,0.5703,0.1496,0.5914
Combo 3,XGB_RDKIT + XGB_ECFP + BILSTM_RDKIT,2876,0.861,0.8497,0.6181,0.1515,0.4841
Combo 2,XGB_ECFP + BILSTM_ECFP,2876,0.8635,0.8666,0.5519,0.1534,0.6628
Combo 3,XGB_RDKIT + XGB_MACCS + BILSTM_RDKIT,2971,0.856,0.8555,0.604,0.154,0.5034
Combo 2,XGB_MACCS + BILSTM_MACCS,3018,0.8604,0.8676,0.5512,0.1548,0.6437
Single Model,BILSTM_RDKIT,2971,0.8663,0.875,0.5847,0.1591,0.7865
Combo 3,XGB_RDKIT + BILSTM_RDKIT + BILSTM_MACCS,2971,0.8505,0.8498,0.5851,0.1591,0.511
Combo 3,XGB_RDKIT + BILSTM_RDKIT + BILSTM_ECFP,2876,0.8431,0.8356,0.5926,0.1649,0.4942
Combo 3,XGB_ECFP + XGB_MACCS + BILSTM_ECFP,2876,0.8318,0.8291,0.5679,0.1667,0.4593
Combo 4,XGB_RDKIT + XGB_ECFP + XGB_MACCS + BILSTM_RDKIT,2876,0.842,0.8287,0.5897,0.1683,0.3841
Combo 3,XGB_ECFP + BILSTM_ECFP + BILSTM_MACCS,2876,0.826,0.8206,0.5679,0.1706,0.4644
Combo 4,XGB_RDKIT + XGB_ECFP + BILSTM_RDKIT + BILSTM_MACCS,2876,0.8359,0.8236,0.574,0.1709,0.3906
Single Model,BILSTM_MACCS,3018,0.8404,0.854,0.531,0.1726,0.7255
Combo 4,XGB_RDKIT + XGB_MACCS + BILSTM_RDKIT + BILSTM_ECFP,2876,0.8232,0.8092,0.5365,0.1761,0.3944
Combo 4,XGB_RDKIT + BILSTM_RDKIT + BILSTM_ECFP + BILSTM_MACCS,2876,0.8162,0.8031,0.4964,0.1787,0.4014
Combo 2,XGB_RDKIT + XGB_ECFP,2876,0.8161,0.8002,0.5324,0.18,0.3791
Combo 3,XGB_MACCS + BILSTM_ECFP + BILSTM_MACCS,2876,0.809,0.8055,0.5149,0.1803,0.4708
Combo 3,XGB_MACCS + BILSTM_RDKIT + BILSTM_MACCS,2971,0.8096,0.8046,0.5058,0.1804,0.4736
Combo 3,XGB_ECFP + BILSTM_RDKIT + BILSTM_ECFP,2876,0.8087,0.7937,0.5366,0.1809,0.4544
Combo 2,XGB_RDKIT + XGB_MACCS,2971,0.8044,0.8006,0.4741,0.1825,0.4174
Combo 4,XGB_RDKIT + XGB_MACCS + BILSTM_RDKIT + BILSTM_MACCS,2971,0.7973,0.796,0.4614,0.1863,0.4354
Combo 4,XGB_ECFP + XGB_MACCS + BILSTM_RDKIT + BILSTM_ECFP,2876,0.7888,0.768,0.435,0.19,0.366
Combo 4,XGB_RDKIT + XGB_ECFP + BILSTM_RDKIT + BILSTM_ECFP,2876,0.7887,0.777,0.4841,0.1907,0.4062
Combo 5,XGB_RDKIT + XGB_ECFP + XGB_MACCS + BILSTM_RDKIT + BILSTM_MACCS,2876,0.7832,0.7712,0.4241,0.1911,0.3622
Combo 4,XGB_ECFP + BILSTM_RDKIT + BILSTM_ECFP + BILSTM_MACCS,2876,0.7824,0.7611,0.4074,0.1922,0.3742
Combo 2,XGB_RDKIT + BILSTM_MACCS,2971,0.7757,0.7726,0.3737,0.1933,0.446
Single Model,BILSTM_ECFP,2876,0.8461,0.8544,0.5395,0.1939,0.8647
Combo 4,XGB_MACCS + BILSTM_RDKIT + BILSTM_ECFP + BILSTM_MACCS,2876,0.7768,0.7626,0.4002,0.1945,0.3908
Combo 5,XGB_RDKIT + XGB_ECFP + XGB_MACCS + BILSTM_RDKIT + BILSTM_ECFP,2876,0.7719,0.7567,0.3844,0.1955,0.3549
Combo 4,XGB_ECFP + XGB_MACCS + BILSTM_ECFP + BILSTM_MACCS,2876,0.7653,0.7627,0.3613,0.1961,0.4048
Combo 5,XGB_RDKIT + XGB_MACCS + BILSTM_RDKIT + BILSTM_ECFP + BILSTM_MACCS,2876,0.7695,0.7566,0.3764,0.1963,0.3782
Combo 5,XGB_RDKIT + XGB_ECFP + BILSTM_RDKIT + BILSTM_ECFP + BILSTM_MACCS,2876,0.768,0.7537,0.3763,0.197,0.3622
Combo 2,BILSTM_RDKIT + BILSTM_MACCS,2971,0.7788,0.7804,0.4186,0.1978,0.4717
Combo 2,XGB_ECFP + XGB_MACCS,2876,0.7484,0.7504,0.313,0.2012,0.3627
Combo 3,XGB_RDKIT + XGB_ECFP + XGB_MACCS,2876,0.7576,0.7391,0.3718,0.2018,0.3199
Combo 2,BILSTM_ECFP + BILSTM_MACCS,2876,0.7768,0.7575,0.4766,0.2032,0.4715
Combo 3,XGB_RDKIT + XGB_ECFP + BILSTM_MACCS,2876,0.7422,0.7236,0.3378,0.2061,0.3392
Combo 6,XGB_RDKIT + XGB_ECFP + XGB_MACCS + BILSTM_RDKIT + BILSTM_ECFP + BILSTM_MACCS,2876,0.7387,0.7229,0.3266,0.2077,0.3492
Combo 5,XGB_ECFP + XGB_MACCS + BILSTM_RDKIT + BILSTM_ECFP + BILSTM_MACCS,2876,0.7369,0.719,0.3299,0.2081,0.3595
Combo 2,XGB_ECFP + BILSTM_MACCS,2876,0.7227,0.726,0.2313,0.2109,0.4025
Combo 2,XGB_RDKIT + BILSTM_ECFP,2876,0.7154,0.7259,0.1174,0.2113,0.4531
Combo 2,BILSTM_RDKIT + BILSTM_ECFP,2876,0.7166,0.7209,0.1636,0.214,0.4587
Combo 3,XGB_RDKIT + XGB_MACCS + BILSTM_ECFP,2876,0.712,0.6978,0.2897,0.2162,0.3701
Combo 2,XGB_MACCS + BILSTM_RDKIT,2971,0.7138,0.7165,0.1899,0.2181,0.4481
Combo 3,XGB_RDKIT + BILSTM_ECFP + BILSTM_MACCS,2876,0.7006,0.6867,0.2951,0.2206,0.3864
Combo 3,BILSTM_RDKIT + BILSTM_ECFP + BILSTM_MACCS,2876,0.7069,0.6942,0.2841,0.2208,0.4014
Combo 2,XGB_MACCS + BILSTM_ECFP,2876,0.7005,0.7178,0.1137,0.2234,0.4617
Combo 4,XGB_RDKIT + XGB_ECFP + XGB_MACCS + BILSTM_MACCS,2876,0.6756,0.6651,0.2014,0.2291,0.3644
Combo 2,XGB_ECFP + BILSTM_RDKIT,2876,0.6776,0.6795,0.0945,0.2304,0.4175
Combo 3,XGB_RDKIT + XGB_MACCS + BILSTM_MACCS,2971,0.691,0.6993,0.1708,0.2317,0.4642
Combo 3,XGB_MACCS + BILSTM_RDKIT + BILSTM_ECFP,2876,0.6687,0.6567,0.2777,0.2334,0.3824
Combo 3,XGB_ECFP + XGB_MACCS + BILSTM_RDKIT,2876,0.6586,0.6415,0.2313,0.2336,0.3376
Combo 4,XGB_RDKIT + XGB_ECFP + XGB_MACCS + BILSTM_ECFP,2876,0.6533,0.6468,0.1626,0.2363,0.3601
Combo 4,XGB_RDKIT + XGB_MACCS + BILSTM_ECFP + BILSTM_MACCS,2876,0.6566,0.6435,0.2205,0.2375,0.3834
Combo 3,XGB_ECFP + BILSTM_RDKIT + BILSTM_MACCS,2876,0.6504,0.6326,0.2274,0.238,0.3573
Combo 4,XGB_RDKIT + XGB_ECFP + BILSTM_ECFP + BILSTM_MACCS,2876,0.6492,0.6404,0.1852,0.2387,0.3668
Combo 3,XGB_RDKIT + XGB_ECFP + BILSTM_ECFP,2876,0.6623,0.6744,0.0901,0.2421,0.4508
Combo 5,XGB_RDKIT + XGB_ECFP + XGB_MACCS + BILSTM_ECFP + BILSTM_MACCS,2876,0.6305,0.6146,0.2275,0.2454,0.3532
Combo 3,XGB_ECFP + XGB_MACCS + BILSTM_MACCS,2876,0.659,0.6691,0.1348,0.2461,0.4475
Combo 4,XGB_ECFP + XGB_MACCS + BILSTM_RDKIT + BILSTM_MACCS,2876,0.616,0.6021,0.1549,0.2523,0.3717
