rgroup_label,clean_smi,mean_shap,effect
R3,CCCCCCC[C@H](O)CC(=O)CC,0.00020838685451174182,Positive
R6,CN(N)C(C)(C)C(O),0.00019550618111039558,Positive
R1,C/C(=C\CC/C(C)=C/CC/C(C)=C/CC)CO,0.00019099241936662017,Positive
R2,C=C(C)CN(CC)C(=O)CO,0.00019045647581074007,Positive
R1,C/C(=C\CC/C(C)=C/CC)CC/C=C(\C)C(=O)O,0.00018816037193417426,Positive
R4,O=C(NCC(F)(F)F)N,0.00017817736627646354,Positive
R7,OC[C@H](O)CCO,0.0001773564432001125,Positive
R3,CC(C)(O)CC(=O),0.00017718186809617502,Positive
R5,COC(CN(C)N),0.00017717351205991713,Positive
R1,C=C(C)C(O)C,0.0001749567224944939,Positive
R1,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC,0.00017484612467765303,Positive
R5,O=S(=O)(NCCO),0.00017156465200068166,Positive
R3,CN(N)CC(O),0.00017134114033312553,Positive
R2,COCO,0.00017045297184444322,Positive
R3,CCCCC[C@H](O)CC(=O)CC,0.0001703018055937153,Positive
R1,C/C(=C/C)[C@H](O)CO,0.00017019919960331066,Positive
R6,C[C@@H]([C@H](O))N(C)N,0.000170001540203295,Positive
R5,COC(=O)CC/C(C)=C/CC/C(C)=C/C,0.00016988138022001228,Positive
R7,COC(=S)NC,0.00016884253860034205,Positive
R3,COC(=O)CCS(=O)(=O),0.00016847577512404374,Positive
R1,C=C(C)[C@H](O)[C@H](OCC),0.00016773277869588143,Positive
R4,CC(C)CC[C@@H](O)C(C)(O),0.00016746991331260713,Positive
R1,COC(CN(C)N),0.00016726851114035914,Positive
R2,CCN(CC)C,0.000166595045834576,Positive
R3,CN(C)C(=O)CCl,0.00016591005229026068,Positive
R2,CC(C)NC(=O)N,0.00016563689387337054,Positive
R3,N#C/C(=N\N)C(N)=S,0.00016462680402760173,Positive
R5,O=[N+]([O-]),0.00016447699289029796,Positive
R3,COC(C)C(C)(C)O,0.00016439283737710892,Positive
R6,CC(C)C[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OC,0.0001632896335696625,Positive
R2,C/C(=C\CO)CCC(O)C(C)(C)O,0.00016324990566826775,Positive
R6,CC(C)(C)SCCNC(=O),0.00016236267142898803,Positive
R2,FC(F)(F)O,0.0001620170584732128,Positive
R1,CC(C)CC(=O)OCC(O)[C@@H](O)C,0.00016129745344778244,Positive
R3,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)N,0.0001604913513527852,Positive
R4,C.O=C(O),0.00016038469515465906,Positive
R2,C/C(=C\CO)C/C=C/C(C)(C)O,0.0001602499671986852,Positive
R3,CS(=O)(=O),0.0001598175523912053,Positive
R6,CCCCOCCCNC(=O)CCCO,0.00015953751355887182,Positive
R3,CCC(=O),0.0001591910680068115,Positive
R2,C/C(=C\CO)CCC=O,0.000159129546124829,Positive
R6,CC(C)CN(N)CC,0.00015799145922660782,Positive
R2,O=C(N)C(Cl)(Cl)Cl,0.00015691296596335481,Positive
R4,C[C@H](C#C)N(O)C(N)=O,0.00015687899513072917,Positive
R4,C=C(C)[C@H](CC=C(C)C)C,0.00015656991357297385,Positive
R4,CCCC(C#C)N(O)C(N)=O,0.00015650252987111247,Positive
R3,CCCCCCCCC[C@H](O)CC(=O)CC,0.00015649314603237457,Positive
R9,O=[N+]([O-]),0.0001564890455733307,Positive
R6,CCC[C@@H]([C@H](O))N(C)N,0.00015636164206596966,Positive
R4,CC(C)CC(C#C)N(O)C(N)=O,0.00015622362455157022,Positive
R6,CSC(SC)=C(C#N)C(=O),0.00015618347649660745,Positive
R2,CC(C)(C)C(=O),0.00015613032008471306,Positive
R6,CC(CN(C)N),0.00015604471481590193,Positive
R5,CC(C)=CC(=O)C/C(C)=C/C,0.00015589107295502257,Positive
R2,CC(=O)N(CC(C)C(=O)O),0.00015582899078448072,Positive
R3,CC(C)(C)NC(=O)NC(=O)COC(=O),0.0001543766149094787,Positive
R2,CN(S(C)(=O)=O),0.0001539417807613992,Positive
R4,CC(=O)OCC(=O).O,0.00015387994886382865,Positive
R6,CC(C)CN(N)CC(O),0.0001535685714128543,Positive
R3,C=C(C)C(O)C,0.00015328867959917073,Positive
R1,CS(=O)(=O)CCNC(=O),0.0001532155451474896,Positive
R3,C/C=C(/C=O)[C@@H](CC=O)CC(=O)OCC,0.000152843273514319,Positive
R2,CC(C)=CC(O)C/C(C)=C/CO,0.00015274949741177874,Positive
R6,FC(F)(F)O,0.00015271636144029458,Positive
R6,CCC(C)[C@H](NC(=O)N)C(=O)O,0.0001523613803271276,Positive
R2,CCC(C)S,0.00015205393437676788,Positive
R2,COC(=O)CC,0.00015189116598601652,Positive
R1,CCN(CC)C,0.00015151686305044966,Positive
R5,OC(C(F)(F)F)(C(F)(F)F),0.00015147629519548546,Positive
R4,N#CC(C#N)=C/C(C#N)=C(/N),0.0001513705083669931,Positive
R5,C=C(CN(C)C)C(=O),0.0001513301160464592,Positive
R7,CC(C)(O)CC,0.00015040557227941065,Positive
R7,C/C(=C\C)CO,0.00015005575733552032,Positive
