rgroup_label,clean_smi,mean_shap,effect
R2,C/C(=C\CO)CC/C=C(\C)CCC(O)C(C)(C)O,0.002499881,Positive
R1,CC(C)=CCC/C(C)=C/CCC(C)(O)CC,0.002240125,Positive
R2,C/C(=C\CO)CCC(O)C(C)(C)O,0.002161822,Positive
R8,C/C=C\CC/C(C)=C/CC/C(C)=C/CCC(C)(O)CC,0.002146554,Positive
R2,CC(C)=CC(O)C/C(C)=C/CO,0.002136439,Positive
R8,CC(C)=CCC/C(C)=C/C,0.001800452,Positive
R5,CC(C)=CCC/C(C)=C/C,0.001800452,Positive
R7,CC(C)=CCC/C(C)=C/C,0.001800452,Positive
R4,CC(C)=CCC/C(C)=C/C,0.001800452,Positive
R1,CC(C)=CCC/C(C)=C/C,0.001800452,Positive
R2,CC(C)=CCC/C(C)=C/C,0.001800452,Positive
R3,CC(C)=CCC/C(C)=C/C,0.001800452,Positive
R4,CCCCCCCC(=O)OCC(=O).O,0.001773101,Positive
R3,CN(N)CC(C)(O),0.001760368,Positive
R2,CC(C)=CCC/C(C)=C/CO,0.001709824,Positive
R2,C/C(=C\CO)CCC=O,0.00169878,Positive
R5,CCCCCCNC(=O)N,0.001644869,Positive
R1,C=C(C)C(O)C,0.001632666,Positive
R3,C=C(C)C(O)C,0.001632666,Positive
R4,C=C(C)[C@@H](O)C,0.001632666,Positive
R1,C=C(C)[C@@H](O)C,0.001632666,Positive
R2,C=C(C)C(O)CC/C(C)=C/CO,0.001630006,Positive
R2,C/C(=C\CO)C/C=C/C(C)(C)O,0.001621351,Positive
R3,CCCCCCC[C@H](O)CC(=O)CC,0.001617025,Positive
R3,CCCCCCCCC[C@H](O)CC(=O)CC,0.001617025,Positive
R3,O=C(CCO),0.001596523,Positive
R3,N#CC(C#N)=C,0.001583947,Positive
R4,CC(C)CC[C@@H](O)[C@](C)(O),0.001541887,Positive
R3,CC(C)CN(N)CC,0.001536621,Positive
R6,CC(C)CN(N)CC,0.001536621,Positive
R6,CN(N)CC,0.001506814,Positive
R5,CN(N)CC,0.001506814,Positive
R3,CN(N)CC,0.001506814,Positive
R3,CC(C)(O)CC(=O),0.001449209,Positive
R4,CC(C)CC[C@@H](O)C(C)(O),0.001431789,Positive
R1,O=N,0.001428695,Positive
R3,N#C/C(=N\N)C(N)=S,0.001410062,Positive
R3,N#C/C(=N/N)C(N)=S,0.001410062,Positive
R5,CCCCCCCCNC(=O)O,0.001392245,Positive
R5,CCCCCCNC(=O)O,0.001392245,Positive
R3,CCCCCCNC(=O)O,0.001392245,Positive
R5,CCCCCCCNC(=O)O,0.001392245,Positive
R4,CCCCCCNC(=O)O,0.001392245,Positive
R2,CCCCC/C=C/C/C=C\CCCCCCCC(=O)OC,0.00138336,Positive
R6,CC(C)CN(N)CC(O),0.001376184,Positive
R6,CCN(N)CC,0.001367888,Positive
R3,COC(CN(C)N),0.001367169,Positive
R6,COC(CN(C)N),0.001367169,Positive
R5,COC(CN(C)N),0.001367169,Positive
R1,COC(CN(C)N),0.001367169,Positive
R6,CN(N)CC(O),0.001306197,Positive
R3,CN(N)CC(O),0.001306197,Positive
R5,CN(N)CC(O),0.001306197,Positive
R1,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC,0.001291793,Positive
R1,CCO[C@H](C)C(C)(C)O,0.001289893,Positive
R6,O=C(CCl),0.001280905,Positive
R1,O=C(CCl),0.001280905,Positive
R6,CCCCCCCCCCCC(=O),0.001270738,Positive
R5,COC(=O)CC/C(C)=C/CC/C(C)=C/C,0.001267096,Positive
R5,CCCCCCCN(C(=O)CCl),0.001260854,Positive
R6,CCCCCCN(C(=O)CCl),0.001260854,Positive
R3,C/C(=C\CO)CO,0.001259447,Positive
R5,O=C,0.001209994,Positive
R6,O=C,0.001209994,Positive
R4,O=C,0.001209994,Positive
R3,O=C,0.001209994,Positive
R1,O=C,0.001209994,Positive
R3,CCCCCC(=O)NNC(=S)NC(=O),0.00120973,Positive
R2,CCN(C)C(=O)N,0.001207871,Positive
R1,FC(F)O,0.001206203,Positive
R3,FC(F)O,0.001206203,Positive
R5,FC(F)O,0.001206203,Positive
R5,O=[N+]([O-]),0.001184926,Positive
R4,O=[N+]([O-]),0.001184926,Positive
R6,O=[N+]([O-]),0.001184926,Positive
R2,O=[N+]([O-]),0.001184926,Positive
