scaffold,rgroup_label,rgroup_smiles,compound_index,Label
C(#Cc1cccc(-n2ccc3cncnc32)c1)Cc1nccs1,R7,N#C[*:7],5604,1
C(#Cc1cccc(-n2ccc3cncnc32)c1)Cc1nccs1,R5,CO[*:5],5610,1
C(#Cc1cccc(-n2ccc3cncnc32)c1)Cc1nccs1,R3,CO[*:3],14754,0
C(#Cc1cccc(-n2ccc3cncnc32)c1)Cc1nccs1,R6,N#C[*:6],14832,0
C(#Cc1cccc(-n2ccc3cncnc32)c1)Cc1nccs1,R7,CO[*:7],15094,0
C(=C1Nc2ccccc2S1)c1ccncn1,R1,NCCN[*:1],813,1
C(=C1Nc2ccccc2S1)c1ccncn1,R4,N#C[*:4],813,1
C(=C1Nc2ccccc2S1)c1ccncn1,R3,FC(F)(F)[*:3],4960,1
C(=C1Nc2ccccc2S1)c1ccncn1,R4,N#C[*:4],4960,1
C(=C1Nc2ccccc2S1)c1ccncn1,R1,NCCCN[*:1],5091,1
C(=C1Nc2ccccc2S1)c1ccncn1,R4,N#C[*:4],5091,1
C(=C1Nc2ccccc2S1)c1ccncn1,R1,OCCCN[*:1],5117,1
C(=C1Nc2ccccc2S1)c1ccncn1,R4,N#C[*:4],5117,1
C(=C1Nc2ccccc2S1)c1ccncn1,R1,OCCN[*:1],5232,1
C(=C1Nc2ccccc2S1)c1ccncn1,R4,N#C[*:4],5232,1
C(=C1Nc2ccccc2S1)c1ccncn1,R1,NN[*:1],5254,1
C(=C1Nc2ccccc2S1)c1ccncn1,R4,N#C[*:4],5254,1
C(=C1Nc2ccccc2S1)c1ccncn1,R4,N#C[*:4],5396,1
C(=C1Nc2ccccc2S1)c1ccncn1,R4,N#C[*:4],5545,1
C(=C1Nc2ccccc2S1)c1ccncn1,R4,N#C[*:4],14308,0
C(=C1Nc2ccccc2S1)c1ccncn1,R4,N#C[*:4],14461,0
C1=C2C(CCC3CCCC[C@@H]23)C2CC[C@H]3CCCCC3[C@H]2C1,R7,COC(=O)[*:7].C[*:7],7320,1
C1=C2C(CCC3CCCC[C@@H]23)C2CC[C@H]3CCCCC3[C@H]2C1,R8,O=C(O)[*:8],7320,1
C1=C2C(CCC3CCCC[C@@H]23)C2CC[C@H]3CCCCC3[C@H]2C1,R8,O=C(O)[*:8],7324,1
C1=C2C(CCC3CCCC[C@@H]23)C2CC[C@H]3CCCCC3[C@H]2C1,R8,O=C(O)[*:8],7396,1
C1=C2C(CCC3CCCC[C@@H]23)C2CC[C@H]3CCCCC3[C@H]2C1,R8,O=C(O)[*:8],7456,1
C1=C2C(CCC3CCCC[C@@H]23)C2CC[C@H]3CCCCC3[C@H]2C1,R8,O=C(O)[*:8],7562,1
