rgroup_label,rgroup_smiles,active_count,inactive_count,enrichment_score
R9,O=[N+]([O-])[*:9],1,0,inf
R9,O=C(O)[*:9],2,0,inf
R1,C/C(=C/C[*:1])[C@H](O)CO,1,0,inf
R1,C/C(=C\CC/C(C)=C/CC/C(C)=C/CC[*:1])CO,1,0,inf
R1,C/C(=C\CC/C(C)=C/CC[*:1])CC/C=C(\C)C(=O)O,1,0,inf
R8,CCO[*:8],1,0,inf
R8,CN(C)[*:8],2,0,inf
R8,COC(=O)C(C)[*:8],1,0,inf
R8,CS(=O)(=O)[*:8],2,0,inf
R8,C=CC(C)(C)[*:8],1,0,inf
R8,CC(C)(C)C(=O)NC(=S)NNC(=O)[*:8],1,0,inf
R8,CC(C)(C)[*:8],1,0,inf
R8,CC(C)=CCC/C(C)=C/C[*:8],1,0,inf
R8,CC(C)=CC[*:8],1,0,inf
R8,CC(CO)[*:8],1,0,inf
R7,OC[C@H](O)CCO[*:7],1,0,inf
R7,OC[C@H](O)CO[*:7],2,0,inf
R7,O[*:7],56,0,inf
R7,S=C=NC[*:7],4,0,inf
R7,[O-][*:7],21,0,inf
R8,C/C=C\CC/C(C)=C/CC/C(C)=C/CCC(C)(O)CC[*:8],1,0,inf
R7,N[*:7],1,0,inf
R7,O=[N+]([O-])[*:7],4,0,inf
R7,OC/C=C/[*:7],1,0,inf
R7,OCCCO[*:7],1,0,inf
R7,OCCO[*:7],1,0,inf
R7,OC[C@@H](O)CO[*:7],2,0,inf
R1,CCCCC[*:1],1,0,inf
R1,CCCO[*:1],2,0,inf
R1,CCN(CC)C[*:1],1,0,inf
R1,CCC(C)(O)[*:1],1,0,inf
R1,CCCCCCCCCCCCCCC[*:1],1,0,inf
R1,CCCCCCCCCCCCC[*:1],2,0,inf
R1,CCCCCCCCCCCC[*:1],1,0,inf
R1,CCCCCCCCCCC[*:1],2,0,inf
R1,CCCCCO[*:1],1,0,inf
R1,CC(C)CCNC(=O)[*:1],1,0,inf
R1,CC(C)CO[*:1],1,0,inf
R1,CC(C)O[*:1],1,0,inf
R1,CC(O)[*:1],1,0,inf
R1,CC(C)=CCC/C(C)=C/CCC(C)(O)CC[*:1],1,0,inf
R1,CC(C)=CCC/C(C)=C/C[*:1],1,0,inf
R1,CC(C)=CC[*:1],6,0,inf
R1,CC(C)=NO[*:1],1,0,inf
R1,CC(C)C(=O)C(=O)[*:1],2,0,inf
R1,CC(C)C(=O)C[*:1],1,0,inf
R1,CC(C)CC(=O)OCC(O)[C@@H](O)C[*:1],1,0,inf
R1,COC(C)[C@@](C)(O)C[*:1],1,0,inf
R1,COC(CN(C)N)[*:1],1,0,inf
R1,COCCNC(=O)[*:1],1,0,inf
R1,CN(C)C(=O)[*:1],9,0,inf
R1,CN(C)C[*:1],2,0,inf
R1,CNC(=S)N=N[*:1],1,0,inf
R1,COC(=O)/C(=C/[*:1])[N+](=O)[O-],1,0,inf
R1,CCO[C@H](C[*:1])C(C)(C)O,1,0,inf
R1,CCOC(C)(C)C(O)C[*:1],1,0,inf
R1,CCOC(C)(C)[C@@H](O)C[*:1],1,0,inf
R1,CCOCC[*:1],1,0,inf
R7,C[*:7].OC[*:7],1,0,inf
R7,C[*:7].O[*:7],10,0,inf
R7,N#CCO[*:7],1,0,inf
R7,N#CC[*:7],1,0,inf
R7,COC(=S)NC[*:7],2,0,inf
R7,COCO[*:7],1,0,inf
R7,CSC(=O)NC[*:7],1,0,inf
R7,C[*:7].C[*:7],3,0,inf
R7,CCOC(=O)/C=C/C(=O)N[*:7],1,0,inf
R7,CN(C)C(=O)CO[*:7],1,0,inf
R7,CN(C)[*:7],1,0,inf
R7,COC(=O)C[*:7],1,0,inf
R7,COC(=O)[*:7].C[*:7],1,0,inf
R7,CCCCCCCC[*:7],1,0,inf
R7,CCCCCCC[*:7],1,0,inf
R7,CCCCCC[*:7],8,0,inf
R7,CCCCC[*:7],5,0,inf
R7,CCCC[*:7],1,0,inf
R7,CCC[*:7],1,0,inf
R1,N#CSCC(=O)[*:1],1,0,inf
R1,FC(F)O[*:1],1,0,inf
R1,FC(F)[*:1],1,0,inf
R1,F[*:1].F[*:1],1,0,inf
R1,I[*:1],2,0,inf
R1,N#CCC[*:1],1,0,inf
R1,C[C@H](C#C[*:1])N(O)C(N)=O,8,0,inf
R1,FC(F)(F)C(O[*:1])C(F)(F)F,1,0,inf
R1,COC[*:1],1,0,inf
R1,CS(=O)(=O)CCNC(=O)[*:1],1,0,inf
R1,CS(=O)(=O)[*:1],1,0,inf
R1,CS[*:1],1,0,inf
R7,CC(C)(O)CC[*:7],1,0,inf
R7,CC(C)=CCC/C(C)=C/C[*:7],1,0,inf
R7,CC(C)=CC[*:7],3,0,inf
R7,CC(C)CCCC(C)[*:7],1,0,inf
R7,CC(C)C[*:7],1,0,inf
R6,[O-][*:6],1,0,inf
R7,C/C(=C\C[*:7])CO,1,0,inf
R7,C=CC[*:7],2,0,inf
R6,OCCCO[*:6],1,0,inf
R6,OCCOCCOCCOCCOCCOCCOCCOCCOCCO[*:6],1,0,inf
R6,OCCO[*:6],1,0,inf
R6,OC[C@@H](O)CO[*:6],2,0,inf
R6,OC[C@H](O)CO[*:6],1,0,inf
R6,O=C(O)[*:6],5,0,inf
R6,O=C/C=C/[*:6],1,0,inf
R6,O=CN[*:6],1,0,inf
R6,O=C[*:6],1,0,inf
R6,OC/C=C/[*:6],2,0,inf
