rgroup_label,rgroup_smiles,active_count,inactive_count,enrichment_score,score,clean_smi
R5,FC(F)O[*:5],21,0,inf,inf,FC(F)O
R2,NS(=O)(=O)[*:2],19,0,inf,inf,NS(=O)(=O)
R6,CC(C)(C)[*:6],12,0,inf,inf,CC(C)(C)
R4,CC(=O)[*:4],11,0,inf,inf,CC(=O)
R3,FC(F)O[*:3],11,0,inf,inf,FC(F)O
R8,O=C(O)[*:8],11,0,inf,inf,O=C(O)
R1,CN(C)C(=O)[*:1],9,0,inf,inf,CN(C)C(=O)
R10,CO[*:10],9,0,inf,inf,CO
R2,CC(C)=CC[*:2],9,0,inf,inf,CC(C)=CC
R2,CN[*:2],9,0,inf,inf,CN
R4,CC(C)=CC[*:4],9,0,inf,inf,CC(C)=CC
R7,CCCCCC[*:7],8,0,inf,inf,CCCCCC
R1,C[C@H](C#C[*:1])N(O)C(N)=O,8,0,inf,inf,C[C@H](C#C)N(O)C(N)=O
R5,CNC(=O)[*:5],8,0,inf,inf,CNC(=O)
R6,O=C(O)C[*:6],7,0,inf,inf,O=C(O)C
R3,CN(N)CC[*:3],7,0,inf,inf,CN(N)CC
R4,CC(=O)O[*:4],7,0,inf,inf,CC(=O)O
R1,CC(C)=CC[*:1],6,0,inf,inf,CC(C)=CC
R3,COC(CN(C)N)[*:3],6,0,inf,inf,COC(CN(C)N)
R3,CS(=O)(=O)N[*:3],6,0,inf,inf,CS(=O)(=O)N
R3,O=C(O)/C=C/[*:3],6,0,inf,inf,O=C(O)/C=C/
R7,CCCCC[*:7],5,0,inf,inf,CCCCC
R6,O=C(O)[*:6],5,0,inf,inf,O=C(O)
R5,O=C(O)CS[*:5],5,0,inf,inf,O=C(O)CS
R5,CN(C)CCO[*:5],5,0,inf,inf,CN(C)CCO
R1,CC(C#C[*:1])N(O)C(N)=O,5,0,inf,inf,CC(C#C)N(O)C(N)=O
R1,C=CC[*:1],5,0,inf,inf,C=CC
