rgroup_label,rgroup_smiles,active_count,inactive_count,enrichment_score,score,clean_smi
R2,CO[*:2],87,6,4.928578431,428.7863235,CO
R7,CO[*:7],70,6,3.965522876,277.5866013,CO
R8,CO[*:8],46,3,5.211830065,239.744183,CO
R4,NS(=O)(=O)[*:4],23,1,7.817745098,179.8081373,NS(=O)(=O)
R5,CC(C)C[*:5],43,5,2.923156863,125.6957451,CC(C)C
R1,CC(C)[*:1],19,1,6.458137255,122.7046078,CC(C)
R7,FC(F)(F)[*:7],18,1,6.118235294,110.1282353,FC(F)(F)
R1,O=[N+]([O-])[*:1],23,2,3.908872549,89.90406863,O=[N+]([O-])
R10,NC(N)=NCCC[*:10],30,4,2.549264706,76.47794118,NC(N)=NCCC
R5,CC(=O)[*:5],20,2,3.399019608,67.98039216,CC(=O)
R4,C=CC[*:4],13,1,4.41872549,57.44343137,C=CC
R2,CS(=O)(=O)[*:2],18,2,3.059117647,55.06411765,CS(=O)(=O)
R3,CCOC(=O)[*:3],16,2,2.719215686,43.50745098,CCOC(=O)
R6,CNC(=O)[*:6],11,1,3.738921569,41.12813726,CNC(=O)
R4,FC(F)(F)O[*:4],10,1,3.399019608,33.99019608,FC(F)(F)O
R4,O=[N+]([O-])[*:4],10,1,3.399019608,33.99019608,O=[N+]([O-])
R8,FC(F)(F)[*:8],14,2,2.379313725,33.31039215,FC(F)(F)
R5,CCCCCCNC(=O)O[*:5],13,2,2.209362745,28.72171569,CCCCCCNC(=O)O
R5,O=[N+]([O-])[*:5],13,2,2.209362745,28.72171569,O=[N+]([O-])
R3,O=[N+]([O-])[*:3],9,1,3.059117647,27.53205882,O=[N+]([O-])
R3,CC(=O)[*:3],8,1,2.719215686,21.75372549,CC(=O)
R3,CC(=O)O[*:3],6,1,2.039411765,12.23647059,CC(=O)O
R7,CC(=O)[*:7],6,1,2.039411765,12.23647059,CC(=O)
