rgroup_label,clean_smi,mean_shap,effect
R3,CCCCCCC[C@H](O)CC(=O)CC,0.00022055742725585,Positive
R6,CN(N)C(C)(C)C(O),0.00016175609055515,Positive
R1,C/C(=C\CC/C(C)=C/CC/C(C)=C/CC)CO,0.0001588587096833,Positive
R1,C/C(=C\CC/C(C)=C/CC)CC/C=C(\C)C(=O)O,0.00020701268596705,Positive
R4,O=C(NCC(F)(F)F)N,0.0001793311831382,Positive
R7,OC[C@H](O)CCO,0.00017451522160005,Positive
R3,CC(C)(O)CC(=O),0.00016605393404805,Positive
R5,COC(CN(C)N),0.00019826325602995002,Positive
R1,C=C(C)C(O)C,0.0001789848612472,Positive
R1,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC,0.0001711465623388,Positive
R5,O=S(=O)(NCCO),0.0001560553260003,Positive
R3,CN(N)CC(O),0.00015878107016655002,Positive
R2,COCO,0.0001729479859222,Positive
R3,CCCCC[C@H](O)CC(=O)CC,0.00016992240279685,Positive
R1,C/C(=C/C)[C@H](O)CO,0.00018111259980165,Positive
R6,C[C@@H]([C@H](O))N(C)N,0.0001185007701016,Positive
R5,COC(=O)CC/C(C)=C/CC/C(C)=C/C,0.00018497219011,Positive
R7,COC(=S)NC,0.00015967276930014998,Positive
R3,COC(=O)CCS(=O)(=O),0.000197998387562,Positive
R1,C=C(C)[C@H](O)[C@H](OCC),0.0001702953893479,Positive
R4,CC(C)CC[C@@H](O)C(C)(O),0.0001700464566563,Positive
R1,COC(CN(C)N),0.00020572575557014998,Positive
R2,CCN(CC)C,0.00015630152291725,Positive
R3,CN(C)C(=O)CCl,0.0001749730261451,Positive
R2,CC(C)NC(=O)N,0.00015912244693665,Positive
R3,N#C/C(=N\N)C(N)=S,0.0001824894020138,Positive
R5,O=[N+]([O-]),0.00016811549644510002,Positive
R3,COC(C)C(C)(C)O,0.00015162291868855,Positive
R6,CC(C)C[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OC,0.0001562673167848,Positive
R2,C/C(=C\CO)CCC(O)C(C)(C)O,0.00021838395283409998,Positive
R6,CC(C)(C)SCCNC(=O),0.00015785083571445,Positive
R2,FC(F)(F)O,0.0001794775292366,Positive
R1,CC(C)CC(=O)OCC(O)[C@@H](O)C,0.00016941272672385,Positive
R3,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)N,0.00016266417567635,Positive
R2,C/C(=C\CO)C/C=C/C(C)(C)O,0.00015961098359930002,Positive
R3,CS(=O)(=O),0.0001790012761956,Positive
R6,CCCCOCCCNC(=O)CCCO,0.0001788032567794,Positive
R3,CCC(=O),0.0001557645340034,Positive
R2,C/C(=C\CO)CCC=O,0.0002219667730624,Positive
R6,CC(C)CN(N)CC,0.0001818177296133,Positive
R2,O=C(N)C(Cl)(Cl)Cl,0.00016763948298165,Positive
R4,C[C@H](C#C)N(O)C(N)=O,0.00015412999756535001,Positive
R4,C=C(C)[C@H](CC=C(C)C)C,0.00015604745678645,Positive
R4,CCCC(C#C)N(O)C(N)=O,0.00016425526493554998,Positive
R3,CCCCCCCCC[C@H](O)CC(=O)CC,0.00014564707301615,Positive
R9,O=[N+]([O-]),0.00017487902278665,Positive
R4,CC(C)CC(C#C)N(O)C(N)=O,0.00016545981227575,Positive
R6,CSC(SC)=C(C#N)C(=O),0.0001582002382483,Positive
R2,CC(C)(C)C(=O),0.00016734116004235,Positive
R6,CC(CN(C)N),0.00017938885740795,Positive
R5,CC(C)=CC(=O)C/C(C)=C/C,0.0001830220364775,Positive
R2,CC(=O)N(CC(C)C(=O)O),0.0001637369953922,Positive
R2,CN(S(C)(=O)=O),0.00015462539038065,Positive
R4,CC(=O)OCC(=O).O,0.0001573734744319,Positive
R6,CC(C)CN(N)CC(O),0.0001893252857064,Positive
R3,C=C(C)C(O)C,0.00018642083979955,Positive
R1,CS(=O)(=O)CCNC(=O),0.0001702027725737,Positive
R3,C/C=C(/C=O)[C@@H](CC=O)CC(=O)OCC,0.00015205913675715,Positive
R2,CC(C)=CC(O)C/C(C)=C/CO,0.00014786274870585,Positive
R6,FC(F)(F)O,0.0001706491807201,Positive
R6,CCC(C)[C@H](NC(=O)N)C(=O)O,0.00014156069016355,Positive
R2,CCC(C)S,0.00017089146718835002,Positive
R1,CCN(CC)C,0.0001665284315252,Positive
R5,OC(C(F)(F)F)(C(F)(F)F),0.0001395311475977,Positive
R4,N#CC(C#N)=C/C(C#N)=C(/N),0.00016588275418345,Positive
R5,C=C(CN(C)C)C(=O),0.00013978205802319998,Positive
R7,CC(C)(O)CC,0.0001607162861397,Positive
R7,C/C(=C\C)CO,0.00016512787866775,Positive
R4,CCCCCCNC(=O)O,0.00016549341834405,Positive
R6,CN(N)CCC,0.0001598396878423,Positive
R4,O=[N+]([O-]),0.0001954266840471,Positive
R1,CC(C)(C)OC(=O)CO,0.00015361319467445,Positive
R5,CCN(CC)C(=O)CSC(N)=C(C#N)C#N,0.00014246007137835,Positive
R2,CC(C)(N)C(=O),0.00016828154333045002,Positive
R8,O=[N+]([O-]),0.0001841159913075,Positive
R2,COC(=O)/C=C/NC(=O),0.00020078757550295,Positive
R6,CC(CNN),0.0001624956307329,Positive
R5,CCCCCNC(=O)O,0.00017847138101075,Positive
R1,FC(F),0.00015235342914805,Positive
R5,COCCCNC(CC(=O)N)C(=O)O,0.00015207493778865,Positive
R2,C=C(C)C(=O)CC/C(C)=C/CO,0.00015944076162205,Positive
R3,COC(OC(C)=O),0.00017839528819690002,Positive
R5,CN(C)CCO,0.0001492467578718,Positive
R2,COCC,0.00015966841753105,Positive
R2,N#CCC,0.000150520862766,Positive
R8,FC(F)(F)O,0.0001830222871335,Positive
R3,O=C(CCl)N,0.00014123796049910002,Positive
R7,CC(C)=CCC/C(C)=C/C,0.0001472776037882,Positive
R3,CC(C)(C)OC(=O)CO,0.0001582569879824,Positive
R1,CC(C)=NO,0.0001328988810509,Positive
R3,CCCCC/C=C/C(=O)CC,0.0001566272106706,Positive
R5,CC(C)=CC,0.00015864569216070002,Positive
R4,CN(CCO)CCCCCCCNC(=O)C,0.00014902996116875,Positive
R4,OC(C(F)(F)F)(C(F)(F)F),0.0001322454622107,Positive
