rgroup_label,clean_smi,mean_shap,effect
R5,O=S(=O)(N)C(F)(F)F,0.000303679,Positive
R2,C/C(=C\CO)CCC=O,0.000284804,Positive
R2,C/C(=C\CO)CCC(O)C(C)(C)O,0.000273518,Positive
R2,COC(=O)/C=C/NC(=O),0.000253095,Positive
R1,CC(C)CCNC(=O),0.000246796,Positive
R1,COC(CN(C)N),0.000244183,Positive
R1,C=C(C)C(O)C(OCC),0.000243877,Positive
R1,CC(C)=CCC/C(C)=C/C,0.000242429,Positive
R4,O=[N+]([O-]),0.000241914,Positive
R5,C=CCN=C(NC#N)SCC(=O),0.00023949,Positive
R4,CC(=O)O,0.00023851,Positive
R8,CC(C)=CCC/C(C)=C/C,0.000237039,Positive
R1,O=S(=O)(N)C(F)(F)F,0.000236034,Positive
R6,O=[N+]([O-]),0.000233016,Positive
R1,N#CSCC(=O),0.000232912,Positive
R3,CCCCCCC[C@H](O)CC(=O)CC,0.000232728,Positive
R4,CCCCCCCC(=O)OCC(=O).O,0.000232597,Positive
R3,CCCCCC(=O)N/N=C(\C),0.000231579,Positive
R1,COCC,0.000230203,Positive
R2,CCC(=O)OCC(=O).CCC(=O)O,0.000228314,Positive
R1,C=C(C)[C@@H](O)C,0.000227997,Positive
R2,CS(=O)(=O)CC(=O),0.000227977,Positive
R3,COC(=O)CCS(=O)(=O),0.000227521,Positive
R6,N=C(N)SC,0.000225877,Positive
R1,C/C(=C\CC/C(C)=C/CC)CC/C=C(\C)C(=O)O,0.000225865,Positive
R6,CC(C)CN(N)CC(O),0.000225082,Positive
R3,CCN(CC)C(=O)N,0.000224755,Positive
R1,COC(C)[C@@](C)(O)C,0.000223552,Positive
R3,CC(C)CN(N)CC,0.000222209,Positive
R3,CN(CCO)CCCCCCCNC(=O)C,0.000221014,Positive
R7,N#C,0.00022091,Positive
R2,N#C,0.000220749,Positive
R3,CS(=O)(=O)N(S(C)(=O)=O),0.000220014,Positive
R8,FC(F)(F)O,0.000219896,Positive
R8,O=[N+]([O-]),0.000219735,Positive
R3,C=C(C)C(O)C,0.000219553,Positive
