ID,scaffold_smiles,mean_shap,effect
Train: Pos 1,O=C(C=Cc1ccccc1)CC(CCc1ccccc1)OC1OCCCC1OC(=O)C=Cc1ccccc1,0.002746472,positive
Train: Pos 2,O=C(C=Cc1ccccc1)OC1CCC2C(CCC3C4=CCC5CCCCC5C4CCC32)C1,0.002730595,positive
Train: Pos 3,O=C(C=Cc1ccccc1)OC1COC(OCCc2ccccc2)CC1OC1CCCCO1,0.002656156,positive
Train: Pos 4,O=C1C=C(C2CCC3C2CCC2C4CCC(OC5CC6OCOC6CO5)CC4CCC23)CO1,0.002647741,positive
Train: Pos 5,C1CCC(OCC2CCCC(OCC3CCC4C3CCC3C5CCC(OC6OCCCC6OC6CCCCO6)CC5CCC43)O2)OC1,0.002590819,positive
Train: Pos 6,O=C(C=Cc1ccccc1)OCC1CC(OC2CCCCO2)CC(OCCc2ccccc2)O1,0.002522136,positive
Train: Pos 7,C1CCC(OC2CCCOC2OC2CCC3C(CCC4C5CCCC5CCC34)C2)OC1,0.002483774,positive
Train: Pos 8,C(=Cc1cccc(OC2CCCCO2)c1)c1ccccc1,0.002468997,positive
Train: Pos 9,C1CCC(OC2CCC34CC35CCC3C(C6CCCO6)CCC3C5CC(OC3CCCCO3)C4C2)OC1,0.002453066,positive
Train: Pos 10,O=C1CC(c2ccc3c(c2)OC(c2ccccc2)CO3)Oc2ccccc21,0.002416793,positive
Train: Pos 11,C1=C2CC(OC3OCC(OC4CCCCO4)CC3OC3CCCCO3)CCC2C2CCC3C4CC5(CCCCO5)OC4CC3C2C1,0.002371779,positive
Train: Pos 12,O=C(C=Cc1ccccc1)OC1CC(=O)C2C(CCC3C4=CCC5CCCCC5C4CCC32)C1,0.002320954,positive
Train: Pos 13,O=c1cc(-c2ccccc2)oc2cc(OC3CCCCO3)ccc12,0.002319718,positive
Train: Pos 14,O=C1NC2CCC3CC4CCC=C4C=CC1C32,0.002298436,positive
Train: Pos 15,O=C(C1=C2OCCCC23CCCC(C1=O)C3=O)c1ccccc1,0.002298018,positive
Train: Pos 16,O=C1CC2CCC3C(CCC4CC(OC5CCCCO5)CC(OC5OCCCC5OC5CCCCO5)C43)C2C1,0.002283237,positive
Train: Pos 17,O=C1CC(c2ccccc2)Oc2cc(OC3CCCC(COC4CCCCO4)O3)ccc21,0.002272239,positive
Train: Pos 18,C1CCC(OC2CCC34CC35CCC3CCCC3C5CC(OC3CCCCO3)C4C2)OC1,0.002267021,positive
Train: Pos 19,O=C(OC1CCOC(Oc2c(-c3ccccc3)oc3ccccc3c2=O)C1OC(=O)c1ccccc1)c1ccccc1,0.002264772,positive
Train: Pos 20,O=C1C=C2CCC3C(CCC4C3CC3OCOC34)C2CC1,0.002257915,positive
Train: Pos 21,O=C(C=Cc1ccccc1)OC1CCOC1OC1CCCC(COC(=O)c2ccccc2)O1,0.002246322,positive
Train: Pos 22,C1=CC2C3CCC(OC4CC(OC5CCCCO5)CCO4)CC3CCC2C2CCC3CCCCC3=C12,0.002220603,positive
Train: Pos 23,O=C1c2ccccc2OC(c2ccccc2)C1OC1CCCCO1,0.002218862,positive
Train: Pos 24,C1=CC2c3ccccc3OCC2(C=Cc2ccccc2)CC1,0.002213456,positive
Train: Pos 25,C(=Cc1ccccc1)C=Nc1cccc(-c2nc3ccccc3s2)c1,0.002205966,positive
Train: Pos 26,O=C1CC=CC(CC2CCC3C2CCC2C3CCC3C=CCC(=O)C32)O1,0.002171595,positive
Train: Pos 27,O=C(OC1CCCCC1)C1CCC2CCC3C(=CC(=O)C4C5CCCCC5CCC34)C2C1,0.002169231,positive
Train: Pos 28,C1=C2CC(OC3CCCCO3)CCC2C2CCC3CCCC3C2C1,0.002168524,positive
Train: Pos 29,O=C(C=Cc1ccccc1)OC1CCC2COC3CC4C5=CCC(c6ccoc6)C5CCC4C1C23,0.002164459,positive
Train: Pos 30,c1ccc(Oc2ccccc2OC2CCCC3CCCCC32)cc1,0.002163713,positive
Train: Pos 31,O=c1c(OC2CCCCO2)c(-c2ccccc2)oc2cc(OC3CCCCO3)ccc12,0.002163578,positive
Train: Pos 32,O=C1C(=Cc2ccccc2)C(=O)c2ccccc21,0.002142185,positive
Train: Pos 33,C1=C2C(CC1c1ccoc1)OC1CC3CCCCC3CC21,0.002141133,positive
Train: Pos 34,O=C1CCC2C(=CCC3C2CCC2C3CC3OCOC32)C1,0.002135961,positive
Train: Pos 35,c1ccc(-c2ccccc2OC23CCCC(CCC4CCC42)C3)cc1,0.002133163,positive
Train: Pos 36,O=C1CCC2=CC3CCCC3CCC=C12,0.002129655,positive
Train: Pos 37,c1ccc(-c2ccccc2OC2CCC3CCC4CCCC32C4)cc1,0.00212655,positive
Train: Pos 38,O=C(CCc1ccccc1)CC(CCc1ccccc1)OC1OCCCC1OC(=O)c1ccccc1,0.002104526,positive
Train: Pos 39,C=C1C(=O)OC2C=CCCC3OC3CCC12,0.002097598,positive
Train: Pos 40,c1ccc(Cc2cccc3c2CCc2cc4c(cc2-3)CC(c2ccccc2)O4)cc1,0.002087843,positive
Train: Pos 41,O=C1C=CC2C(=C1)CCC1C2CCC2C1CC1OCOC12,0.002080488,positive
Train: Pos 42,c1ccc(C2CC(c3cccc4c3OC(c3ccccc3)CC4)c3ccccc3O2)cc1,0.002077396,positive
Train: Pos 43,O=C(OC1CCC2C(CCC3C4CCC5(C(=O)OC6CCCCO6)CCCCC5C4=CCC23)C1)c1ccccc1,0.00205271,positive
Train: Pos 44,O=C1CCC(c2ccc(OCCCCCN3N=C(c4cccn5nccc45)CCC3=O)cc2)=NN1,0.002049915,positive
Train: Pos 45,C(=Cc1ccccc1)COCC1CCCC(Oc2ccccc2)O1,0.002040881,positive
Train: Pos 46,O=C(C=CC=Cc1ccccc1)CCc1ccccc1,0.002035028,positive
Train: Pos 47,C1=CC2CCC3C(CCC4CC(OC5CCCCO5)CC(OC5OCCCC5OC5CCCCO5)C43)C2C1,0.002032521,positive
Train: Pos 48,O=C1CCCC2CCC3=CCCCC3C12,0.002030988,positive
Train: Pos 49,O=C(C=Cc1ccccc1)c1ccc2c(c1)CCCO2,0.00202214,positive
Train: Pos 50,c1ccc(CCCCC(CCc2ccccc2)OC2CCCCO2)cc1,0.002020789,positive
Train: Pos 51,O=C1C=COC(c2ccccc2)C1c1ccc(C=Cc2ccccc2)oc1=O,0.002019216,positive
Train: Pos 52,O=C1C=C2C3CCCCC3CCC2C2CCC3CC(OC4CCCCO4)CCC3C12,0.002019061,positive
Train: Pos 53,O=C(C=Cc1ccccc1)CC(=O)CCc1ccccc1,0.002009146,positive
Train: Pos 54,O=C1CC=C2CC3CCC4(CCCO4)C3CCC=C12,0.001992217,positive
Train: Pos 55,C(=Cc1ccccc1OC1CCCCO1)c1ccccc1,0.001987065,positive
Train: Pos 56,C1CCC2C3=C(CCC2C1)C1CCCC1CC3,0.001972569,positive
Train: Pos 57,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,0.001972143,positive
Train: Pos 58,O=C1C=C(CCC2CCCC3CCCCC32)CO1,0.001971511,positive
Train: Pos 59,O=C1NC2CCC3CC4CCCC4CC=C1C32,0.001962601,positive
Train: Pos 60,O=C1C2C3CCCC3CCC2C2CCCCC23OC13,0.001962134,positive
Train: Pos 61,C1=C2CCCC3OC4(CCC5CCCC5=C4C1)OC23,0.00195958,positive
Train: Pos 62,O=C1CCC2CC3CCC4(CCCO4)C3CCC=C12,0.001959268,positive
Train: Pos 63,O=C1C=C2C3CCCCC3CCC2C2CCC3CC(OC4OCCCC4OC4CCCCO4)CCC3C12,0.001959052,positive
Train: Pos 64,O=C1CCC(c2cccc(OCCCCN3N=C(c4cccn5nccc45)CCC3=O)c2)=NN1,0.001958605,positive
Train: Pos 65,O=C1C=CC2C(CCC3C4=CCC5CCC(COC(=O)C=Cc6ccccc6)CC5C4CCC32)C1,0.001954824,positive
Train: Pos 66,O=C1C=CCC(CC2CCC3C2CCC2C3CCC3C=CCC(=O)C32)O1,0.001952417,positive
Train: Pos 67,O=C(Nc1ccnn1-c1cnn(CCN2CCCCC2)c1)NC1CCC(Oc2ccc3nnc(N4CCCCC4)n3c2)c2ccccc21,0.001951058,positive
Train: Pos 68,O=c1c(OC2CCCCO2)c(-c2ccccc2)oc2ccccc12,0.001950635,positive
Train: Pos 69,O=C1CC(c2ccoc2)C2CC(=O)C3C(CCC4C5CCCC43COC5)C12,0.001950448,positive
Train: Pos 70,C1=C2C3CCCCC3CCC2C2CCC3CC(OC4OCCCC4OC4CCCCO4)CCC3C2C1,0.001939513,positive
Train: Pos 71,O=C1C=CC2=CC3CCC4(CCCO4)C3CCCC12,0.001938323,positive
Train: Pos 72,O=C(Nc1ccccc1)Nc1ccc2c(c1)C(=O)NCCC(CNS(=O)(=O)c1ccccc1)O2,0.001937523,positive
Train: Pos 73,O=c1ccc(C2CCC3C2CCC2C4CCC(OC5CCCCO5)C=C4CCC23)co1,0.001935396,positive
Train: Pos 74,O=C(C=Cc1ccccc1)CCCCc1ccccc1,0.001923993,positive
Train: Pos 75,O=C1CCC23CC24CCC2C(C5CCCCOC5)CCC2C4CCC3C1,0.001918777,positive
Train: Pos 76,O=C(C=Cc1ccc2c(c1)OCO2)c1ccccc1,0.001915526,positive
Train: Pos 77,O=C(OCC1CCCC2C1CCC1C3CCC4(C(=O)OC5CCCCO5)CCCCC4C3=CCC12)c1ccccc1,0.001912068,positive
Train: Pos 78,O=C(CCc1ccccc1)CC(CCc1ccccc1)OC1CCCCO1,0.00191,positive
Train: Pos 79,C=C1C(=O)OC2CC(=C)C3CCC(=C)C3CC12,0.001906829,positive
Train: Pos 80,C=C1C(=O)OC2CC=CC(=O)CC=CCC12,0.001904286,positive
Train: Pos 81,O=C(C=Cc1ccccc1)OC1CCC2COC3C4OC5CC(C6=CCOC6=O)C=C5C4CC1C23,0.00189969,positive
Train: Pos 82,O=C(OC1CCCCO1)C12CCCC1C1CCC3C4CCCCC4CCC3C1CC2,0.001888334,positive
Train: Pos 83,O=C1CCC(c2ccc(OCCN3N=C(c4cccn5nccc45)CCC3=O)cc2)=NN1,0.001879719,positive
Train: Pos 84,O=C1CNCC2C(c3ccc(C=Cc4ccccc4)cc3)CN12,0.001876856,positive
Train: Pos 85,O=c1cc(-c2ccccc2)oc2c(C3CCCCO3)cccc12,0.001875395,positive
Train: Pos 86,C1=CC2CCCC2CC2CCCC2C1,0.001874771,positive
Train: Pos 87,O=C1CC2CCCCC2C2CCCC=C12,0.001864551,positive
Train: Pos 88,O=C(C=Cc1ccccc1)OC1CCC2COC3C4OC5CC(c6ccoc6)C=C5C4CC1C23,0.00185909,positive
Train: Pos 89,O=C1Oc2ccc3c(c2Oc2ccccc21)COC3=O,0.001858843,positive
Train: Pos 90,O=C(Nc1ccnn1-c1cccc(OCCN2CCNCC2)c1)NC1CCC(Oc2ccc3nnc(N4CCCCC4)n3c2)c2ccccc21,0.001850344,positive
Train: Pos 91,O=C1NCCC(CNS(=O)(=O)c2ccccc2)OCc2ccccc2-c2c1[nH]c1ccccc21,0.001848642,positive
Train: Pos 92,C1=CC2CCCCC2C2CCC3CCCC3=C12,0.001848304,positive
Train: Pos 93,O=C1C=CCC(CC2CCC3C2CCC2C3CC3OC34CC=CC(=O)C24)O1,0.001844033,positive
Train: Pos 94,O=C(OC1CCCCO1)C12CCCCC1C1=CCC3C4CCCCC4CCC3C1CC2,0.001832985,positive
Train: Pos 95,O=C(Nc1ccc2c(c1)C(=O)NCCC(CNCc1ccccc1)OCCCCCO2)Nc1cccc2ccccc12,0.001831114,positive
Train: Pos 96,C1=C2C3CCCC3CCC2C2CCCCC2C1,0.001828748,positive
Train: Pos 97,O=C1CCC2C(CC=C3C2CCC2C3CCC2C2CCCOC2)C1,0.001826805,positive
Train: Pos 98,O=C1OC2CC(CC=CC(OC3CCC(OC4CCCCO4)CO3)CC=CC=C3COC4CC=CC1C34)OC1(CCCCO1)C2,0.001826613,positive
Train: Pos 99,C=C1CCC2CC2=CCC(=O)C2CCC(OC(=O)C=Cc3ccccc3)C2C1,0.001826008,positive
Train: Pos 100,C=C1CCCC2CC3OC(=O)C(=C)C3CC12,0.001823124,positive
Train: Pos 101,O=C1CCC(c2ccc(OCCCCN3N=C(c4cccn5nccc45)CCC3=O)cc2)=NN1,0.001814994,positive
Train: Pos 102,O=C1C=C(C2CC=C3C2CCC2C3CC3OCC4CCCC2C43)CO1,0.001811857,positive
Train: Pos 103,O=C1CCC2C(CCC3C4CC(=O)C5CCCCC5C4=CCC23)C1,0.001811385,positive
Train: Pos 104,O=C1C=C2CCCCC2C2CCC3CCC=C3C12,0.001807647,positive
Train: Pos 105,c1ccc(C2Cc3c(ccc4c3CCc3ccccc3-4)O2)cc1,0.001802183,positive
Train: Pos 106,O=C1CC2CCCC2C2CC=C3CCCCC3C12,0.001798722,positive
Train: Pos 107,O=C(C=Cc1ccccc1)c1c[nH]c2ccccc12,0.001798228,positive
Train: Pos 108,O=C1C=C2C(C1)OC1C2CC2C(OC(=O)C=Cc3ccccc3)CCC3COC1C32,0.001795133,positive
Train: Pos 109,C1=C2C(CC1c1ccoc1)OC1C2CC2CCCC3COC1C32,0.001795053,positive
Train: Pos 110,O=C1C=C2CCCCC2C2CCC3CCCC3C12,0.001793655,positive
Train: Pos 111,O=C1CCC23CC24CCC2C(C5CCCOC5)CCC2C4CCC3C1,0.001793546,positive
Train: Pos 112,O=C(Nc1ccccc1)c1cccc(CNCC2CCNC(=O)c3[nH]c4ccccc4c3-c3ccccc3CO2)c1,0.001791773,positive
Train: Pos 113,O=c1ccc2ccc(OC3CCCCO3)cc2o1,0.001791104,positive
Train: Pos 114,O=C1CCC2c3ccccc3CCC23OC13,0.001790442,positive
Train: Pos 115,C(=CC12Oc3ccccc3C(Oc3ccccc31)C2Cc1ccccc1)c1ccccc1,0.001788424,positive
Train: Pos 116,O=C1OC2CCC3CC4CCCC4CC=C1C32,0.001787645,positive
Train: Pos 117,C1=C2C(CCC3C2CCC2CCCCC23)C(c2ccoc2)C1,0.001786816,positive
Train: Pos 118,C1=C2CCC3CCCCC3C2CCC1,0.001781813,positive
Train: Pos 119,O=C1CCC2CCCCC2C1,0.00178177,positive
