ID,scaffold_smiles,mean_shap,effect,cluster_id,is_centroid,global_rank_by_SHAP,cluster_rank_by_SHAP,topN_rank_by_SHAP
Test: Pos 1,O=C1CC(c2ccccc2)Oc2cc(OC3OCCCC3OC3CCCCO3)ccc21,0.002881912,positive,865,True,1,1,1
Test: Pos 2,C(=Cc1cccc(OC2CCCCO2)c1)c1ccc(OC2CCCCO2)cc1,0.002645344,positive,864,True,2,1,2
Test: Pos 3,O=C(OC1CCCOC1Oc1c(-c2ccccc2)oc2ccccc2c1=O)c1ccccc1,0.002502431,positive,863,True,3,1,3
Test: Pos 4,O=C1CC2C(c3ccoc3)CC3OC32C2CCC3C4CCCC3(COC4)C12,0.002460456,positive,862,True,4,1,4
Test: Pos 5,C1=C2C(CCC3C2CC2OCC4CCCC3C42)C(c2ccoc2)C1,0.002343032,positive,861,True,5,1,5
Test: Pos 6,O=C(C=Cc1ccccc1)CC(CCc1ccccc1)OC1CCCCO1,0.002339807,positive,860,True,6,1,6
Test: Pos 7,O=c1cc(-c2ccccc2)oc2cc(OC3CCCC(COC4CCCCO4)O3)ccc12,0.002273505,positive,859,True,7,1,7
Test: Pos 8,O=C1C=C(C2CCC3C2CCC2C4CCCCC4CCC23)CO1,0.00223175,positive,858,True,8,1,8
Test: Pos 9,O=C1C=C(C2CCC3C2CCC2C3CCC3CCCCC32C=NNC(=O)c2ccccc2)CO1,0.002212863,positive,857,True,9,1,9
Test: Pos 10,O=C1C2CCCC1C(=O)C(C(=O)c1ccccc1)C2=O,0.002176626,positive,856,True,10,1,10
Test: Pos 11,c1ccc2c(c1)Oc1cccc3c1C2OCC3,0.002101264,positive,855,True,11,1,11
Test: Pos 12,O=c1ccc(C2CCC3C2CCC2C4CCCCC4CCC23)co1,0.002091699,positive,854,True,12,1,12
Test: Pos 13,c1ccc(C2Cc3cc4c(cc3O2)CCc2ccccc2-4)cc1,0.002087999,positive,853,True,13,1,13
Test: Pos 14,C=C1CCCCC2CC=CC12,0.002075815,positive,852,True,14,1,14
Test: Pos 15,C1=CC2c3ccccc3CCC2(C=Cc2ccccc2)CC1,0.002045683,positive,851,True,15,1,15
Test: Pos 16,O=c1cc(-c2cccc3c2OCC=C3)oc2ccccc12,0.002032185,positive,850,True,16,1,16
Test: Pos 17,C1CC2=C3CCC4CCCCC4C3CCC2C1,0.002030555,positive,849,True,17,1,17
Test: Pos 18,O=C1CCC23Oc4cccc5c4C(Oc4cccc1c42)(O3)C1OC1C5,0.00201807,positive,848,True,18,1,18
Test: Pos 19,O=C(NN=Cc1ccccc1)c1ccc(-c2ccccc2)cc1,0.002001815,positive,847,True,19,1,19
Test: Pos 20,O=C(C=Cc1ccc(-c2ccccc2)o1)Nc1ncc(Cc2ccccc2)s1,0.001999342,positive,846,True,20,1,20
