ID,scaffold_smiles,mean_shap,effect,tsne_x,tsne_y
Train: Pos 1,O=C(C=Cc1ccccc1)CC(CCc1ccccc1)OC1OCCCC1OC(=O)C=Cc1ccccc1,0.002746472,positive,26.955204,-5.619731
Train: Pos 2,O=C(C=Cc1ccccc1)OC1CCC2C(CCC3C4=CCC5CCCCC5C4CCC32)C1,0.002730595,positive,15.085846,43.310356
Train: Pos 3,O=C(C=Cc1ccccc1)OC1COC(OCCc2ccccc2)CC1OC1CCCCO1,0.002656156,positive,26.09043,-8.55979
Train: Pos 4,O=C1C=C(C2CCC3C2CCC2C4CCC(OC5CC6OCOC6CO5)CC4CCC23)CO1,0.002647741,positive,12.290546,27.335268
Train: Pos 5,C1CCC(OCC2CCCC(OCC3CCC4C3CCC3C5CCC(OC6OCCCC6OC6CCCCO6)CC5CCC43)O2)OC1,0.002590819,positive,16.322742,33.943085
Train: Pos 6,O=C(C=Cc1ccccc1)OCC1CC(OC2CCCCO2)CC(OCCc2ccccc2)O1,0.002522136,positive,25.974216,-8.607911
Train: Pos 7,C1CCC(OC2CCCOC2OC2CCC3C(CCC4C5CCCC5CCC34)C2)OC1,0.002483774,positive,16.237852,34.153275
Train: Pos 8,C(=Cc1cccc(OC2CCCCO2)c1)c1ccccc1,0.002468997,positive,25.322254,24.074009
Train: Pos 9,C1CCC(OC2CCC34CC35CCC3C(C6CCCO6)CCC3C5CC(OC3CCCCO3)C4C2)OC1,0.002453066,positive,18.236305,29.59677
Train: Pos 10,O=C1CC(c2ccc3c(c2)OC(c2ccccc2)CO3)Oc2ccccc21,0.002416793,positive,20.518967,19.636837
Train: Pos 11,C1=C2CC(OC3OCC(OC4CCCCO4)CC3OC3CCCCO3)CCC2C2CCC3C4CC5(CCCCO5)OC4CC3C2C1,0.002371779,positive,9.354404,35.28174
Train: Pos 12,O=C(C=Cc1ccccc1)OC1CC(=O)C2C(CCC3C4=CCC5CCCCC5C4CCC32)C1,0.002320954,positive,15.053548,43.205097
Train: Pos 13,O=c1cc(-c2ccccc2)oc2cc(OC3CCCCO3)ccc12,0.002319718,positive,26.034233,26.47545
Train: Pos 14,O=C1NC2CCC3CC4CCC=C4C=CC1C32,0.002298436,positive,1.2696838,16.123487
Train: Pos 15,O=C(C1=C2OCCCC23CCCC(C1=O)C3=O)c1ccccc1,0.002298018,positive,8.076027,-17.571821
Train: Pos 16,O=C1CC2CCC3C(CCC4CC(OC5CCCCO5)CC(OC5OCCCC5OC5CCCCO5)C43)C2C1,0.002283237,positive,19.415909,33.62721
Train: Pos 17,O=C1CC(c2ccccc2)Oc2cc(OC3CCCC(COC4CCCCO4)O3)ccc21,0.002272239,positive,22.428835,19.994917
Train: Pos 18,C1CCC(OC2CCC34CC35CCC3CCCC3C5CC(OC3CCCCO3)C4C2)OC1,0.002267021,positive,18.228241,29.592674
Train: Pos 19,O=C(OC1CCOC(Oc2c(-c3ccccc3)oc3ccccc3c2=O)C1OC(=O)c1ccccc1)c1ccccc1,0.002264772,positive,25.473167,28.696278
Train: Pos 20,O=C1C=C2CCC3C(CCC4C3CC3OCOC34)C2CC1,0.002257915,positive,5.513899,37.383583
Train: Pos 21,O=C(C=Cc1ccccc1)OC1CCOC1OC1CCCC(COC(=O)c2ccccc2)O1,0.002246322,positive,26.371881,-7.1062155
Train: Pos 22,C1=CC2C3CCC(OC4CC(OC5CCCCO5)CCO4)CC3CCC2C2CCC3CCCCC3=C12,0.002220603,positive,10.543521,22.702896
Train: Pos 23,O=C1c2ccccc2OC(c2ccccc2)C1OC1CCCCO1,0.002218862,positive,23.841875,21.240602
Train: Pos 24,C1=CC2c3ccccc3OCC2(C=Cc2ccccc2)CC1,0.002213456,positive,17.828814,14.208919
Train: Pos 25,C(=Cc1ccccc1)C=Nc1cccc(-c2nc3ccccc3s2)c1,0.002205966,positive,-21.697498,2.2537193
Train: Pos 26,O=C1CC=CC(CC2CCC3C2CCC2C3CCC3C=CCC(=O)C32)O1,0.002171595,positive,-5.188874,39.508038
Train: Pos 27,O=C(OC1CCCCC1)C1CCC2CCC3C(=CC(=O)C4C5CCCCC5CCC34)C2C1,0.002169231,positive,17.62273,37.119892
Train: Pos 28,C1=C2CC(OC3CCCCO3)CCC2C2CCC3CCCC3C2C1,0.002168524,positive,8.598649,35.176937
Train: Pos 29,O=C(C=Cc1ccccc1)OC1CCC2COC3CC4C5=CCC(c6ccoc6)C5CCC4C1C23,0.002164459,positive,25.79304,-6.2643757
Train: Pos 30,c1ccc(Oc2ccccc2OC2CCCC3CCCCC32)cc1,0.002163713,positive,19.086885,48.492455
Train: Pos 31,O=c1c(OC2CCCCO2)c(-c2ccccc2)oc2cc(OC3CCCCO3)ccc12,0.002163578,positive,25.599255,27.514158
Train: Pos 32,O=C1C(=Cc2ccccc2)C(=O)c2ccccc21,0.002142185,positive,19.150955,4.803924
Train: Pos 33,C1=C2C(CC1c1ccoc1)OC1CC3CCCCC3CC21,0.002141133,positive,21.010159,27.819794
Train: Pos 34,O=C1CCC2C(=CCC3C2CCC2C3CC3OCOC32)C1,0.002135961,positive,5.8167233,36.938534
Train: Pos 35,c1ccc(-c2ccccc2OC23CCCC(CCC4CCC42)C3)cc1,0.002133163,positive,-4.8937836,-1.2218839
