Index,Label,canonical_smiles,scaffold,scaffold_generic
1,1,CC(=O)OC[C@@]12CC[C@H]3C(C)(C)CCC[C@]3(C)[C@H]1C[C@@H](C1=CC(=O)O[C@H]1O)O2,O=C1C=C(C2CC3C(CCC4CCCCC43)O2)CO1,CC1CCC(C2CC3CCC4CCCCC4C3C2)C1
2,1,CC1(C)C(=O)C=C[C@]2(C)[C@H]3CC[C@@]4(C)[C@H](c5ccoc5)OC(=O)[C@H]5O[C@]54[C@]3(C)[C@H](O)C[C@@H]12,O=C1C=CC2C(CCC3C2CCC2C(c4ccoc4)OC(=O)C4OC423)C1,CC1CCC2C(CCC3C2CCC2C(C4CCCC4)CC(C)C4CC423)C1
3,1,CC1(C)C(=O)C=C[C@]2(C)[C@H]3CC[C@]4(C)C(=CC[C@H]4c4ccoc4)[C@]3(C)[C@H](O)C[C@@H]12,O=C1C=CC2C(CCC3C4=CCC(c5ccoc5)C4CCC32)C1,CC1CCC2C(CCC3C2CCC2C(C4CCCC4)CCC23)C1
4,1,CC(=O)O[C@@H]1C[C@H]2C(C)(C)C(=O)C=C[C@]2(C)[C@H]2CC[C@]3(C)C(=CC[C@H]3c3ccoc3)[C@@]21C,O=C1C=CC2C(CCC3C4=CCC(c5ccoc5)C4CCC32)C1,CC1CCC2C(CCC3C2CCC2C(C4CCCC4)CCC23)C1
5,1,CC(=O)O[C@@H]1[C@H](O)[C@H]2C(C)(C)C(=O)C=C[C@]2(C)[C@H]2CC[C@]3(C)C(=CC[C@H]3c3ccoc3)[C@]12C,O=C1C=CC2C(CCC3C4=CCC(c5ccoc5)C4CCC32)C1,CC1CCC2C(CCC3C2CCC2C(C4CCCC4)CCC23)C1
6,1,CC1(C)C(=O)C=C[C@]2(C)[C@H]3CC[C@]4(C)C(=CC(=O)[C@H]4c4ccoc4)[C@]3(C)[C@H](O)C[C@@H]12,O=C1C=CC2C(CCC3C4=CC(=O)C(c5ccoc5)C4CCC32)C1,CC1CCC2C(CCC3C2CCC2C3CC(C)C2C2CCCC2)C1
7,1,CC(=O)O[C@@H]1C[C@H]2C(C)(C)C(=O)C=C[C@]2(C)[C@H]2CC[C@]3(C)C(=CC(=O)[C@@]3(O)c3ccoc3)[C@@]21C,O=C1C=CC2C(CCC3C4=CC(=O)C(c5ccoc5)C4CCC32)C1,CC1CCC2C(CCC3C2CCC2C3CC(C)C2C2CCCC2)C1
8,1,COC1=C2[C@]3(C)CC[C@H]4C(C)(C)C(=O)C=C[C@]4(C)[C@H]3CC[C@@]2(C)[C@@](O)(c2ccoc2)C1=O,O=C1C=CC2C(CCC3C4=CC(=O)C(c5ccoc5)C4CCC32)C1,CC1CCC2C(CCC3C2CCC2C3CC(C)C2C2CCCC2)C1
9,1,CC(=O)O[C@@H]1C[C@H]2C(C)(C)C(=O)C=C[C@]2(C)[C@H]2CC[C@]3(C)C(=CC(=O)[C@@H]3c3ccoc3)[C@@]21C,O=C1C=CC2C(CCC3C4=CC(=O)C(c5ccoc5)C4CCC32)C1,CC1CCC2C(CCC3C2CCC2C3CC(C)C2C2CCCC2)C1
10,1,CC(=O)O[C@@H]1C[C@H]2C(C)(C)C(=O)C=C[C@]2(C)[C@H]2CC[C@]3(C)C(=CC(=O)[C@]3(O)c3ccoc3)[C@@]21C,O=C1C=CC2C(CCC3C4=CC(=O)C(c5ccoc5)C4CCC32)C1,CC1CCC2C(CCC3C2CCC2C3CC(C)C2C2CCCC2)C1
