Scaffold,Pos,Neg,OddsRatio,p_value,Pos_freq,Neg_freq,Enrichment,log2_Enrichment,Significant
O=c1cc(-c2ccccc2)oc2ccccc12,50,0,inf,1.2427418514135005e-14,0.005992329817833174,0.0,,,False
O=C1c2ccccc2CCc2cc(Nc3ccccc3)ccc21,37,1,33.80197423859396,1.2179821576711818e-09,0.004434324065196549,0.00013175230566534913,33.65651965484181,5.072814093412013,True
O=C(Cn1ccnn1)NCCCCCCCCCCC(=O)N1CCN(c2ncnc(N3CCN(C(=O)CCCCCCCCCCNC(=O)Cn4ccnn4)CC3)n2)CC1,1,32,0.028309660793479564,1.367907857222125e-09,0.00011984659635666346,0.004216073781291172,0.02842611457334612,-5.136639272216937,False
c1ccc2c(c1)[nH]c1cnccc12,30,0,inf,3.847552655915744e-09,0.003595397890699904,0.0,,,False
O=C(/C=C/c1ccccc1)c1ccccc1,27,0,inf,2.7410375780269952e-08,0.0032358581016299136,0.0,,,False
c1ccc(-c2ccccc2-c2ccccc2)cc1,34,2,15.522984356197352,6.683396582627878e-08,0.004074784276126558,0.00026350461133069827,15.463806327900288,3.9508235690334024,True
O=C(Nc1ccncc1)Nc1cc(-c2cccc(-c3ccccc3)c2)n[nH]c1=O,23,0,inf,3.787108180405745e-07,0.00275647171620326,0.0,,,False
c1ccccc1,208,106,1.8050128940093877,5.947033757924911e-07,0.024928092042186004,0.01396574440052701,1.7849454584923752,0.835879991360956,False
O=C(O[C@@H](Cc1cc[nH+]cc1)c1cccc(OCC2CC2)c1)c1ccccc1,21,0,inf,1.4138234237419275e-06,0.0025167785234899327,0.0,,,False
O=C(NCCc1c[nH]c2ccccc12)c1cnc(Nc2ccccn2)nc1,21,0,inf,1.4138234237419275e-06,0.0025167785234899327,0.0,,,False
O=C(N1CCCCC1)n1ccc(=O)o1,21,0,inf,1.4138234237419275e-06,0.0025167785234899327,0.0,,,False
O=C1C[C@@H](c2ccccc2)Oc2ccccc21,20,0,inf,2.735313053149454e-06,0.0023969319271332696,0.0,,,False
O=c1ccc2ccccc2o1,43,8,4.909438621852789,3.1898554419337473e-06,0.005153403643336529,0.001054018445322793,4.889291706615532,2.289625482485161,True
O=C(NNC(=S)NC(=O)c1ccccc1)c1ccccc1,23,1,20.976685494531907,4.575664910659112e-06,0.00275647171620326,0.00013175230566534913,20.921620325982744,4.386922683840076,True
c1ccc([C@@H](Cc2ccncc2)c2cccc(OC3CCCC3)c2)cc1,19,0,inf,5.297094087148284e-06,0.002277085330776606,0.0,,,False
O=S(=O)(NCCNc1cc(-c2[nH]c(-c3ccccc3)nc2-c2ccccc2)ccn1)c1ccccc1,19,0,inf,5.297094087148284e-06,0.002277085330776606,0.0,,,False
O=S(=O)(NCCCNc1cc(-c2[nH]c(-c3ccccc3)nc2-c2ccccc2)ccn1)c1ccccc1,19,0,inf,5.297094087148284e-06,0.002277085330776606,0.0,,,False
O=C(Cc1ccccc1)Nc1ccc(Oc2ccccc2)cc1,22,1,20.06224465272771,8.491211978391165e-06,0.0026366251198465963,0.00013175230566534913,20.01198465963567,4.322792346420361,True
O=C(Nc1ccncc1)c1cccn2nccc12,18,0,inf,1.0268777031133063e-05,0.0021572387344199425,0.0,,,False
O=C1CN2C(=NN1)COc1cc(-c3ccccc3)c(C3CCNCC3)cc12,17,0,inf,1.992887960172617e-05,0.002037392138063279,0.0,,,False
c1ccc(Nc2ccnc(Nc3ccc(-c4ccsc4)cn3)n2)cc1,16,0,inf,3.872254351772028e-05,0.0019175455417066154,0.0,,,False
O=C(Nc1ccccc1)c1cccc(C#Cc2cncc(-c3cn[nH]c3)c2)c1,16,0,inf,3.872254351772028e-05,0.0019175455417066154,0.0,,,False
O=c1cc(-c2ccccc2)oc2c1ccc1occc12,16,0,inf,3.872254351772028e-05,0.0019175455417066154,0.0,,,False
c1ccc(-n2ccc3ccccc32)cc1,16,0,inf,3.872254351772028e-05,0.0019175455417066154,0.0,,,False
O=C(Nc1ccccc1)C1CCN(S(=O)(=O)c2ccccc2)CC1,26,3,7.905025246453475,3.9873851844069786e-05,0.0031160115052732505,0.0003952569169960474,7.883509108341324,2.978837945202999,True
O=C1CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]2CCCN2C(=O)CNC(=O)[C@H](Cc2ccccc2)NC(=O)CNC(=O)CNC(=O)[C@H](Cc2ccccc2)NC(=O)CSCCN1,32,6,4.866217516843118,5.715034252735336e-05,0.003835091083413231,0.0007905138339920949,4.851390220517737,2.2783982270619068,True
O=C1C=CC2C(=C1)CC[C@@H]1C2CCC2CCC[C@H]21,15,0,inf,7.533489774228624e-05,0.001797698945349952,0.0,,,False
O=c1c(-c2ccccc2)coc2ccccc12,15,0,inf,7.533489774228624e-05,0.001797698945349952,0.0,,,False
O=C1CC(c2ccccc2)C=CN1,0,12,0.0,0.0001358390051796638,0.0,0.0015810276679841897,0.0,-inf,False
c1ccc(-c2nnc[nH]2)cc1,0,12,0.0,0.0001358390051796638,0.0,0.0015810276679841897,0.0,-inf,False
O=c1[nH]c(=O)c2c(ncn2Cc2ccccc2)[nH]1,2,18,0.10085511068488771,0.0001363326301212298,0.00023969319271332693,0.0023715415019762848,0.10107062959411951,-3.3065642736592498,False
O=C(Nc1ccccc1)c1cccc(-c2ccc3ncncc3c2)c1,14,0,inf,0.00014676244092757976,0.0016778523489932886,0.0,,,False
O=C(Cn1ccnn1)N1CCN(c2ncnc(N3CCN(C(=O)Cn4ccnn4)CC3)n2)CC1,0,11,0.0,0.0002853891647283002,0.0,0.0014492753623188406,0.0,-inf,False
O=C(CCCCCCc1ccccc1)N1CCCC1,0,11,0.0,0.0002853891647283002,0.0,0.0014492753623188406,0.0,-inf,False
c1ccc(-c2cc3ccc4ccccc4c3[nH]2)cc1,13,0,inf,0.00028632245528088356,0.0015580057526366252,0.0,,,False
O=C(NCc1ccccc1)N1CCC(Oc2ccccc2)CC1,13,0,inf,0.00028632245528088356,0.0015580057526366252,0.0,,,False
O=C(NCCC(c1ccccc1)c1ccccc1)c1ccccc1,13,0,inf,0.00028632245528088356,0.0015580057526366252,0.0,,,False
c1ccc(N[C@@H]2CCNc3ccc(-c4ccccc4)cc32)cc1,19,2,8.658978978978979,0.0002896263006054737,0.002277085330776606,0.00026350461133069827,8.64153883029722,3.1112882412266485,True
O=C1C=C2CC[C@H]3[C@@H]4CCCC4CC[C@@H]3C2CC1,12,0,inf,0.0005594393594440344,0.0014381591562799617,0.0,,,False
c1ccc(-c2ccc(COC3CNC3)cc2)cc1,12,0,inf,0.0005594393594440344,0.0014381591562799617,0.0,,,False
c1ccc(O[C@H]2CCCCO2)cc1,12,0,inf,0.0005594393594440344,0.0014381591562799617,0.0,,,False
O=S(=O)(Nc1cccc2ccccc12)c1ccccc1,17,2,7.745646691485529,0.0009014788261728826,0.002037392138063279,0.00026350461133069827,7.731903163950144,2.9508235690334024,True
C1CCC2CCCCC2C1,11,0,inf,0.0010948201548820953,0.0013183125599232981,0.0,,,False
O=C(O[C@@H](Cc1cc[nH+]cc1)c1cccc(OCC2CC2)c1)c1cccc(OCC2CC2)c1,11,0,inf,0.0010948201548820953,0.0013183125599232981,0.0,,,False
O=C(Nc1ccnn1-c1ccccc1)N[C@H]1CC[C@@H](Oc2ccc3nnc(N4CCCCC4)n3c2)c2ccccc21,11,0,inf,0.0010948201548820953,0.0013183125599232981,0.0,,,False
O=C1NCCC12CCN(c1ccnc(Nc3ccccc3)n1)CC2,11,0,inf,0.0010948201548820953,0.0013183125599232981,0.0,,,False
O=c1[nH]c(-c2ccccc2)nc2ccccc12,11,0,inf,0.0010948201548820953,0.0013183125599232981,0.0,,,False
O=C(Nc1ccc(N2CCNCC2)cc1)c1ccco1,11,0,inf,0.0010948201548820953,0.0013183125599232981,0.0,,,False
c1ccc(Nc2ccnc(-c3ccccc3)n2)cc1,13,1,11.842155803625015,0.0021006026418738336,0.0015580057526366252,0.00013175230566534913,11.825263662511986,3.5638004459241555,True
O=C1C=C(Nc2ccccc2)c2ccccc2C1=O,10,0,inf,0.002146144909967034,0.0011984659635666348,0.0,,,False
O=c1c2ccccc2oc2ccccc12,10,0,inf,0.002146144909967034,0.0011984659635666348,0.0,,,False
O=C(N1CCC(c2ccccc2)CC1)n1ccc(=O)o1,10,0,inf,0.002146144909967034,0.0011984659635666348,0.0,,,False
O=C(Nc1cccc(Nc2ccc3c(c2)CCc2ccccc2C3=O)c1)c1ccccc1,10,0,inf,0.002146144909967034,0.0011984659635666348,0.0,,,False
c1ccc(-c2csc3ncnc(Sc4nnn[nH]4)c23)cc1,10,0,inf,0.002146144909967034,0.0011984659635666348,0.0,,,False
c1ccc(Nc2ccnc(-c3cccs3)n2)cc1,10,0,inf,0.002146144909967034,0.0011984659635666348,0.0,,,False
O=S(=O)(Nc1ccccc1)c1cccc(-c2cnoc2)c1,1,11,0.08258420232530266,0.0023540412740276706,0.00011984659635666346,0.0014492753623188406,0.0826941514860978,-3.5960708908542345,False
O=C(Cn1nnc(-c2ccccc2)n1)Nc1ccccc1,0,8,0.0,0.002645430274465131,0.0,0.001054018445322793,0.0,-inf,False
c1ccc(Cc2nc3ccccc3n2Cc2ccccc2)cc1,12,1,10.929908785405665,0.003836842209401846,0.0014381591562799617,0.00013175230566534913,10.91562799616491,3.4483232285042194,True
c1ccc(-c2ccccc2)cc1,30,10,2.735145537647342,0.004063440803287032,0.003595397890699904,0.0013175230566534915,2.7289069990412274,1.4483232285042194,True
O=C(NC1CCCCC1)c1cnc2ccccc2c1,9,0,inf,0.004214393101203139,0.0010786193672099713,0.0,,,False
O=C(Nc1cc(-c2nc(OCC3CCN(Cc4ccccc4)CC3)cs2)ccn1)C1CC1,9,0,inf,0.004214393101203139,0.0010786193672099713,0.0,,,False
c1ccc(-c2ccc(NC3CCNCC3)cc2)cc1,9,0,inf,0.004214393101203139,0.0010786193672099713,0.0,,,False
O=C(c1ccccc1)N1N=CCC1c1ccccc1,9,0,inf,0.004214393101203139,0.0010786193672099713,0.0,,,False
O=C(/C=C/c1ccccc1)c1ccco1,9,0,inf,0.004214393101203139,0.0010786193672099713,0.0,,,False
c1ccc(-c2cc(C3CCNCC3)ccn2)cc1,9,0,inf,0.004214393101203139,0.0010786193672099713,0.0,,,False
O=C1C(Nc2ccccc2)=C/C(=N\S(=O)(=O)c2ccccc2)c2ccccc21,9,0,inf,0.004214393101203139,0.0010786193672099713,0.0,,,False
