Index,canonical_smiles,Label,_compound_id,scaffold_calc
1,O=C(N(c1ccccc1)c1ccccc1)n1ccnn1,1,0,O=C(N(c1ccccc1)c1ccccc1)n1ccnn1
2,O=C(N1CCOCC1)n1ccnn1,1,1,O=C(N1CCOCC1)n1ccnn1
3,O=C(N1CCCC1)n1ncc(-c2ccc(-c3ccccc3)cc2)n1,1,2,O=C(N1CCCC1)n1ncc(-c2ccc(-c3ccccc3)cc2)n1
4,COc1ccc2cc(-c3cnn(C(=O)N4CCCC4)n3)ccc2c1,1,3,O=C(N1CCCC1)n1ncc(-c2ccc3ccccc3c2)n1
5,COc1ccc(Cl)c(NC(=O)NCCN2CCN(c3ccccc3)CC2)c1,1,4,O=C(NCCN1CCN(c2ccccc2)CC1)Nc1ccccc1
6,CC(=O)Nc1c(C(=O)N2CCOCC2)sc2nc3c(cc12)COC(C)(C)C3,1,5,O=C(c1cc2cc3c(nc2s1)CCOC3)N1CCOCC1
7,COCc1cc(C)nc(SCC(=O)Nc2cccc3cccnc23)c1C#N,1,6,O=C(CSc1ccccn1)Nc1cccc2cccnc12
8,C=CCSc1nnc2nc3c(nn12)c1cc(C)ccc1n3CC=C,1,7,c1ccc2c(c1)[nH]c1nc3nncn3nc12
9,Cc1cc(C)n(-c2nc(Nc3ccccc3C(F)(F)F)nc(-n3nc(C)cc3C)n2)n1,1,8,c1ccc(Nc2nc(-n3cccn3)nc(-n3cccn3)n2)cc1
10,N#CC1=C(N)Oc2n[nH]c(-c3ccccn3)c2C1c1c(F)cccc1Cl,1,9,N=C1CC(c2ccccc2)c2c(-c3ccccn3)n[nH]c2O1
11,Cc1ccc(Oc2ccc(Cl)cc2NC(=O)c2cnccn2)cc1,1,10,O=C(Nc1ccccc1Oc1ccccc1)c1cnccn1
12,Nc1nnnn1/N=C/c1cc(Cl)cc(Cl)c1OCc1ccc(Cl)cc1Cl,1,11,C(=Nn1cnnn1)c1ccccc1OCc1ccccc1
13,O=C(Nc1cc(Cl)ccc1Oc1ccccc1)c1cnccn1,1,12,O=C(Nc1ccccc1Oc1ccccc1)c1cnccn1
14,COc1ccccc1C(=O)Nc1ccc(Oc2ncnc3sc(-c4ccccc4)cc23)cc1,1,13,O=C(Nc1ccc(Oc2ncnc3sc(-c4ccccc4)cc23)cc1)c1ccccc1
15,Clc1ccc(CSc2ccc(-c3ccccn3)nn2)cc1,1,14,c1ccc(CSc2ccc(-c3ccccn3)nn2)cc1
16,CS(=O)(=O)N1CCc2cc(S(=O)(=O)NCCNS(=O)(=O)c3ccc4c(c3)CCN4S(C)(=O)=O)ccc21,1,15,O=S(=O)(NCCNS(=O)(=O)c1ccc2c(c1)CCN2)c1ccc2c(c1)CCN2
17,COc1ccccc1Nc1ccc(N)cc1,1,16,c1ccc(Nc2ccccc2)cc1
18,Cc1cc(C(=O)Cn2nc(C(=O)O)c3ccccc3c2=O)c(C)n1C1CC1,1,17,O=C(Cn1ncc2ccccc2c1=O)c1ccn(C2CC2)c1
19,O=C(Nc1ccc2c(c1)OCO2)C1CCN(c2ccc(S(=O)(=O)N3CCOCC3)cc2)CC1,1,18,O=C(Nc1ccc2c(c1)OCO2)C1CCN(c2ccc(S(=O)(=O)N3CCOCC3)cc2)CC1
20,CCOC(=O)CN1C(=O)/C(=C/c2ccccc2Br)Oc2ccccc21,1,19,O=C1Nc2ccccc2OC1=Cc1ccccc1
21,CSc1ccc(C(=O)NC2CCSc3ccccc32)cc1,1,20,O=C(NC1CCSc2ccccc21)c1ccccc1
22,CC(=O)c1c(C)n(-c2ccc(Cl)cc2)c2ccc(O)cc12,1,21,c1ccc(-n2ccc3ccccc32)cc1
23,Cn1nc(C(=O)Nc2ccc3c(c2)OCO3)c2ccccc2c1=O,1,22,O=C(Nc1ccc2c(c1)OCO2)c1n[nH]c(=O)c2ccccc12
24,COc1ccc(Cl)cc1NC(=O)CSc1nc(NS(=O)(=O)c2ccc(C)cc2)cc(=O)[nH]1,1,23,O=C(CSc1nc(=O)cc(NS(=O)(=O)c2ccccc2)[nH]1)Nc1ccccc1
