Index,canonical_smiles,Label
7599,OC/C=C/c1ccc(O)c(/C=C/[C@]23CCC(CO)=C[C@H]2c2cc(/C=C/CO)ccc2O[C@H]3O)c1,1
7600,OC/C=C/c1ccc(O)c(/C=C/[C@@]23CCC(CO)=C[C@H]2c2cc(/C=C/CO)ccc2O[C@H]3O)c1,1
7601,CC1=C[C@H]2c3cc(/C=C/CO)ccc3O[C@@H](O)[C@@]2(/C=C/c2cc(/C=C/CO)ccc2O)CC1,1
13748,CCCn1c(=O)[nH]c(=O)c2c1nc(-c1ccccc1OC(F)F)n2CCOC,0
15468,CCCn1c(=O)[nH]c(=O)c2c1nc(-c1ccc(OC(F)(F)C(F)C(F)(F)F)cc1)n2CCOC,0
9793,COC(=O)C1C(O)=C(C=NC2CCCCC2)C(=O)CC1(C)C,0
9476,COc1ccc(S(=O)(=O)N2CCCC2C(=O)Nn2cnnc2)cc1,0
9064,Cc1ccc(C(=O)C2CCN(CC(=O)Nc3ccc4c(c3)OCCO4)CC2)cc1,0
10697,O=C(Nc1ccc(NC(=O)c2cccs2)cn1)c1ccco1,0
13733,O=C(CSc1cccc2cccnc12)NCc1ccco1,0
387,c1ccc(-c2nc(NCc3ccco3)c3ccccc3n2)nc1,1
3282,COc1cccc(N2CCN(c3nc(-c4ccccc4C)cc(=O)[nH]3)CC2)c1,1
11388,CCOC(=O)C1C(=O)C=C(c2cccc(NS(C)(=O)=O)c2)CC1c1ccco1,0
2237,CCOc1cccc(C(=O)Nc2cccc(-c3nnc(-c4ccc(C)cc4)o3)c2)c1,1
8461,COc1ccc(C(=O)NCc2nnc(SCC(=O)c3ccccc3)n2C)cc1OC,0
8593,C[C@H]1COC(=O)[C@@H](Cc2ccc(F)cc2)CC/C=C/C[C@@H](CC(=O)N(CCO)Cc2ccccc2)C(=O)N1,0
9956,CCn1nc(CC(=O)Nc2ccc(-n3cnnn3)c(C)c2)c2ccccc2c1=O,0
9132,Cc1ccc2oc(-c3ccc(NC(=O)c4cccnc4)cc3)nc2c1,0
8804,CCOc1ccccc1NC(=O)N1CCC(NC(=O)c2ccccc2C)CC1,0
12350,Cc1cccc(NC(=O)N2CCC(NC(=O)c3ccccc3C)CC2)c1,0
2889,O=[N+]([O-])c1ccc(S(=O)(=O)CC(CN2CCCCC2)N2CCCCC2)cc1,1
2912,Cc1ccc(S(=O)(=O)CC(CN2CCCCC2)N2CCCCC2)cc1,1
7079,CC1(C)C(=O)C=C[C@]2(C)[C@H]3CC[C@]4(C)C(=CC[C@H]4c4ccoc4)[C@]3(C)[C@H](O)C[C@@H]12,1
7080,CC(=O)O[C@@H]1C[C@H]2C(C)(C)C(=O)C=C[C@]2(C)[C@H]2CC[C@]3(C)C(=CC[C@H]3c3ccoc3)[C@@]21C,1
7081,CC(=O)O[C@@H]1[C@H](O)[C@H]2C(C)(C)C(=O)C=C[C@]2(C)[C@H]2CC[C@]3(C)C(=CC[C@H]3c3ccoc3)[C@]12C,1
392,Cc1[nH]c2ccccc2c1C(c1ccccn1)N1CCC(C(N)=O)CC1,1
3444,O=[N+]([O-])c1ccc(N=Nc2ncc[nH]2)cc1,1
12087,COc1cccc(C(=O)OCC(=O)Nc2ccccc2N2CCOCC2)c1,0
14055,O=C(COC(=O)c1ccccc1)Nc1ccccc1N1CCOCC1,0
5508,COc1ccc(Nc2ncc(C)c(N3CCC4(CCNC4=O)CC3)n2)cc1OC,1
5631,COc1ccc(Nc2ncc(C)c(N3CCC4(CCNC4=O)CC3)n2)cc1,1
5638,Cc1cnc(Nc2ccc(C(F)(F)F)cc2)nc1N1CCC2(CCNC2=O)CC1,1
5740,Cc1cnc(Nc2ccc(F)cc2)nc1N1CCC2(CCNC2=O)CC1,1
5814,Cc1cnc(Nc2ccccc2)nc1N1CCC2(CCNC2=O)CC1,1
5835,Cc1cnc(Nc2ccc(C(C)(C)C)cc2)nc1N1CCC2(CCNC2=O)CC1,1
6115,COc1ccc(Nc2ncc(C)c(N3CCC4(CCNC4=O)CC3)n2)cc1F,1
6384,COc1cc(Nc2ncc(C)c(N3CCC4(CCNC4=O)CC3)n2)cc(OC)c1OC,1
6426,COc1ccc(Nc2ncc(C)c(N3CCC4(CCNC4=O)CC3)n2)cc1N,1
6535,Cc1cnc(Nc2ccc(F)c(N)c2)nc1N1CCC2(CCNC2=O)CC1,1
6755,Cc1cnc(Nc2ccc([N+](=O)[O-])cc2)nc1N1CCC2(CCNC2=O)CC1,1
8853,Nc1nnc(-c2cccs2)s1,0
9720,CCC(CC)C(=O)Nc1nnc(-c2cccs2)s1,0
11509,CC(C)(C)CC(=O)Nc1nnc(-c2cccs2)s1,0
12287,COCC(=O)Nc1nnc(-c2cccs2)s1,0
