canonical_smiles,ID,lipinski_rule_of_five_violations,sa_score,prob_avg,Label,scaffold
COc1ccc(/C=C/C(=O)c2ccc(O)cc2O)cc1,23757,0,1.934734477,0.995971115,1,O=C(C=Cc1ccccc1)c1ccccc1
COc1ccc(C=CC(=O)c2ccc(O)cc2O)cc1,27251,0,1.934734477,0.995971115,1,O=C(C=Cc1ccccc1)c1ccccc1
COc1ccc(C(=O)/C=C/c2ccc(O)cc2)c(O)c1,18565,0,1.961012499,0.99545355,1,O=C(C=Cc1ccccc1)c1ccccc1
COc1ccc(C(=O)C=Cc2ccc(O)cc2)c(O)c1,67544,0,1.961012499,0.99545355,1,O=C(C=Cc1ccccc1)c1ccccc1
COc1cc(/C=C/C(=O)c2ccc(O)cc2)ccc1O,67699,0,1.904628982,0.994659485,1,O=C(C=Cc1ccccc1)c1ccccc1
COc1cc(C=CC(=O)c2ccc(O)cc2)ccc1O,86104,0,1.904628982,0.994659485,1,O=C(C=Cc1ccccc1)c1ccccc1
COc1ccc(C=CC(=O)c2ccc(OC)cc2O)cc1,30158,0,1.854286906,0.993533275,1,O=C(C=Cc1ccccc1)c1ccccc1
COc1ccc(/C=C/C(=O)c2ccc(OC)cc2O)cc1,69557,0,1.854286906,0.993533275,1,O=C(C=Cc1ccccc1)c1ccccc1
COc1ccc(C(=O)/C=C/c2ccccc2)c(O)c1,79554,0,1.803661764,0.992062573,1,O=C(C=Cc1ccccc1)c1ccccc1
COc1ccc(C(=O)C=Cc2ccccc2)c(O)c1,88738,0,1.803661764,0.992062573,1,O=C(C=Cc1ccccc1)c1ccccc1
COc1ccc(C(=O)/C=C/c2ccc(O)cc2)c(OC)c1,37579,0,1.889833972,0.991806133,1,O=C(C=Cc1ccccc1)c1ccccc1
COc1ccc(C(=O)/C=C/c2ccc(O)c(OC)c2)c(OC)c1,11180,0,1.978784725,0.99119241,1,O=C(C=Cc1ccccc1)c1ccccc1
COc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,35097,0,1.969726738,0.991039218,1,C(=Cc1ccccc1)c1ccccc1
COc1ccc(/C=C\c2cc(O)cc(O)c2)cc1,43737,0,1.969726738,0.991039218,1,C(=Cc1ccccc1)c1ccccc1
COc1cc(/C=C/c2ccc(OC)c(O)c2)cc(OC)c1,42468,0,1.998622499,0.991024888,1,C(=Cc1ccccc1)c1ccccc1
COc1cc(/C=C/c2ccc(O)c(OC)c2)cc(OC)c1,23635,0,1.972465002,0.98930705,1,C(=Cc1ccccc1)c1ccccc1
COc1ccc(/C=C/C(=O)c2c(OC)cc(OC)cc2OC)cc1,66760,0,1.993561392,0.989283048,1,O=C(C=Cc1ccccc1)c1ccccc1
COc1cc(O)cc(C=Cc2ccccc2)c1,6808,0,1.843405985,0.988658925,1,C(=Cc1ccccc1)c1ccccc1
COc1ccc(C(=O)C=Cc2ccccc2)c(O)c1OC,86356,0,1.986836841,0.987533618,1,O=C(C=Cc1ccccc1)c1ccccc1
COc1ccc(/C=C/C(=O)O)cc1O,19931,0,1.909676132,0.98747398,1,c1ccccc1
COc1ccc(C=CC(=O)O)cc1O,91415,0,1.909676132,0.98747398,1,c1ccccc1
O=C(C=Cc1ccc(O)cc1)OCCc1ccc(O)cc1,39179,0,1.960132851,0.987469967,1,O=C(C=Cc1ccccc1)OCCc1ccccc1
COc1ccc(/C=C/C(=O)c2ccc(OC)cc2OC)cc1,56110,0,1.794772241,0.987208287,1,O=C(C=Cc1ccccc1)c1ccccc1
COc1cc(C=Cc2ccc(O)cc2)cc(OC)c1,74892,0,1.886630995,0.986741567,1,C(=Cc1ccccc1)c1ccccc1
COc1cc(C=CC(=O)O)ccc1O,58563,0,1.869063177,0.985837793,1,c1ccccc1
COc1cc(/C=C\C(=O)O)ccc1O,93902,0,1.869063177,0.985837793,1,c1ccccc1
COc1cc(/C=C/C(=O)CCCCc2ccccc2)ccc1O,19206,0,1.964216696,0.9856586,1,O=C(C=Cc1ccccc1)CCCCc1ccccc1
COc1cc(C=Cc2ccccc2)cc(OC)c1,26143,0,1.722873414,0.985275105,1,C(=Cc1ccccc1)c1ccccc1
COc1ccc(C(=O)C=Cc2ccccc2)c(OC)c1OC,90905,0,1.926563059,0.984815007,1,O=C(C=Cc1ccccc1)c1ccccc1
COc1cc(O)ccc1C/C=C/c1ccccc1,24808,0,1.970823414,0.984372292,1,C(=Cc1ccccc1)Cc1ccccc1
COc1cc(/C=C/C(=O)O)cc(OC)c1O,11374,0,1.977193198,0.983827783,1,c1ccccc1
O=C(O)/C=C/c1ccc(OC(=O)CCc2ccccc2)cc1,33866,0,1.803868412,0.982717942,1,O=C(CCc1ccccc1)Oc1ccccc1
COc1ccc(C(=O)/C=C/c2ccc(O)cc2OC)cc1,72504,0,1.893218066,0.982389392,1,O=C(C=Cc1ccccc1)c1ccccc1
COc1cc(O)cc(-c2ccc(O)c(O)c2)c1,16584,0,1.985291786,0.981459357,1,c1ccc(-c2ccccc2)cc1
COc1ccc(/C=C/C(=O)c2cc(OC)c(OC)c(OC)c2)cc1,81013,0,1.900302379,0.981162883,1,O=C(C=Cc1ccccc1)c1ccccc1
COc1cc(/C=C/C(=O)OCc2ccccc2)ccc1O,1641,0,1.80775362,0.979985108,1,O=C(C=Cc1ccccc1)OCc1ccccc1
COc1cc(/C=C/C(=O)O)cc(OC)c1OC,54746,0,1.865547853,0.979196993,1,c1ccccc1
COc1ccc(-c2cc(=O)c3ccc(O)cc3o2)cc1,71036,0,1.92318786,0.975857465,1,O=c1cc(-c2ccccc2)oc2ccccc12
COc1ccc(C=CC(=O)O)cc1OC,44608,0,1.686975145,0.974779215,1,c1ccccc1
COc1ccc(/C=C/C(=O)O)cc1OC,57093,0,1.686975145,0.974779215,1,c1ccccc1
COc1ccc(C=CC=O)cc1OC,7265,0,1.976879402,0.973655087,1,c1ccccc1
COc1cc(/C=C/CO)cc(OC)c1OCc1ccccc1,71762,0,1.96596072,0.972969527,1,c1ccc(COc2ccccc2)cc1
COc1cccc(/C=C/C(=O)O)c1,34909,0,1.683320519,0.972941442,1,c1ccccc1
COc1cc(/C=C/C(=O)O)ccc1OC(C)=O,86263,0,1.898137485,0.972591923,1,c1ccccc1
COc1ccc(CCN(C)C(=O)/C=C/c2ccc(O)cc2)cc1,33080,0,1.974088649,0.97171683,1,O=C(C=Cc1ccccc1)NCCc1ccccc1
COc1ccc2c(=O)cc(-c3ccc(O)cc3)oc2c1,56182,0,1.927890694,0.971453838,1,O=c1cc(-c2ccccc2)oc2ccccc12
O=c1cc(-c2ccccc2)oc2cccc(O)c12,61565,0,1.931391166,0.969643223,1,O=c1cc(-c2ccccc2)oc2ccccc12
COc1cc(CCc2ccc(O)cc2)cc(O)c1OC,35613,0,1.95327596,0.969367555,1,c1ccc(CCc2ccccc2)cc1
COc1ccc(/C=C/C(C)=O)cc1,19010,0,1.704478212,0.969138075,1,c1ccccc1
COc1c(O)c(-c2ccccc2)cc(O)c1-c1ccccc1,13143,0,1.950784896,0.969080405,1,c1ccc(-c2ccc(-c3ccccc3)cc2)cc1
COc1ccc(-[13c]2coc3[13cH]c(O)ccc3[13c]2=O)cc1,23282,0,1.952252637,0.968959432,1,O=c1c(-c2ccccc2)coc2ccccc12
COc1ccc(-c2c(O)cc(-c3ccccc3)c(OC)c2OC)cc1,83384,0,1.955156978,0.968609625,1,c1ccc(-c2ccc(-c3ccccc3)cc2)cc1
COc1ccc2c(=O)c(-c3ccc(O)cc3)coc2c1,723,0,1.956955472,0.968330208,1,O=c1c(-c2ccccc2)coc2ccccc12
COc1cc(/C=C/COC(=O)c2ccccc2)ccc1O,38492,0,1.904907467,0.967813925,1,O=C(OCC=Cc1ccccc1)c1ccccc1
COc1cc(/C=C\COC(=O)c2ccccc2)ccc1O,71602,0,1.904907467,0.967813925,1,O=C(OCC=Cc1ccccc1)c1ccccc1
COc1ccc(C=CC(=O)O)cc1,19186,0,1.584082058,0.967291577,1,c1ccccc1
COc1ccc(/C=C/C(=O)O)cc1,90699,0,1.584082058,0.967291577,1,c1ccccc1
COc1ccc(/C=C\C(=O)O)cc1,92801,0,1.584082058,0.967291577,1,c1ccccc1
COc1ccc(-c2coc3cc(C)c(OC)cc3c2=O)cc1,52579,0,1.983193829,0.966754615,1,O=c1c(-c2ccccc2)coc2ccccc12
COc1ccc(CCc2cc(O)c(C)c(O)c2)cc1,64312,0,1.932590598,0.96615667,1,c1ccc(CCc2ccccc2)cc1
COc1ccc(-c2c(C)c(C)cc3ccc(O)cc23)cc1,40673,0,1.991253529,0.966017855,1,c1ccc(-c2cccc3ccccc23)cc1
COc1ccc(CCN(C)C(=O)/C=C/c2ccccc2)cc1OC,23447,0,1.938520134,0.965557242,1,O=C(C=Cc1ccccc1)NCCc1ccccc1
COc1ccc(-c2c(OC)cc(-c3ccccc3)c(OC)c2OC)cc1,32826,1,1.902956724,0.963790232,1,c1ccc(-c2ccc(-c3ccccc3)cc2)cc1
COc1cc(O)cc(CCc2ccc(OC)c(OC)c2)c1,76264,0,1.855392251,0.962161428,1,c1ccc(CCc2ccccc2)cc1
O=C(CCc1ccc(O)cc1O)c1ccc(O)cc1,22908,0,1.969640816,0.962122233,1,O=C(CCc1ccccc1)c1ccccc1
O=C(CCCCc1ccc(O)cc1)CCc1ccc(O)cc1,12795,0,1.90391017,0.96174677,1,O=C(CCCCc1ccccc1)CCc1ccccc1
COc1cc(OC)cc(-c2cc(=O)c3ccccc3o2)c1,80944,0,1.962950544,0.96148934,1,O=c1cc(-c2ccccc2)oc2ccccc12
COc1cc(-c2ccccc2)cc(O)c1O,80093,0,1.695462322,0.961378395,1,c1ccc(-c2ccccc2)cc1
COc1ccc(-c2cc(OC)c(-c3ccccc3)c(OC)c2O)cc1,85573,0,1.94809739,0.961238428,1,c1ccc(-c2ccc(-c3ccccc3)cc2)cc1
COc1ccccc1CCc1cc(O)cc(O)c1,18303,0,1.91467063,0.96121859,1,c1ccc(CCc2ccccc2)cc1
COc1ccc(CCc2cc(OC)c(O)c(OC)c2)cc1O,11609,0,1.982310999,0.96004186,1,c1ccc(CCc2ccccc2)cc1
COc1ccc(C(=O)CCc2ccc(O)cc2)c(O)c1,57444,0,1.846843543,0.959566285,1,O=C(CCc1ccccc1)c1ccccc1
COc1cc(O)cc(O)c1C(=O)CCc1ccccc1,55842,0,1.974932828,0.959534133,1,O=C(CCc1ccccc1)c1ccccc1
COc1cc(O)ccc1CCCc1ccc(O)cc1,4289,0,1.850695097,0.958622267,1,c1ccc(CCCc2ccccc2)cc1
COc1cc(OC)c2c(=O)cc(-c3ccccc3)oc2c1,47519,0,1.963379774,0.95861101,1,O=c1cc(-c2ccccc2)oc2ccccc12
COc1cc(O)cc(CCc2ccccc2OC)c1,83870,0,1.822751508,0.958528902,1,c1ccc(CCc2ccccc2)cc1
COc1cc(CCc2ccc(OC)c(O)c2)cc(OC)c1,25001,0,1.878414416,0.958271128,1,c1ccc(CCc2ccccc2)cc1
OCCc1ccc(Oc2cc(CCO)ccc2O)cc1,58826,0,1.969905269,0.958197752,1,c1ccc(Oc2ccccc2)cc1
C/C=C/c1ccc(OC(C)=O)c(OC)c1,16936,0,1.960048316,0.95812591,1,c1ccccc1
C/C=C\c1ccc(OC(C)=O)c(OC)c1,23373,0,1.960048316,0.95812591,1,c1ccccc1
CC=Cc1ccc(OC(C)=O)c(OC)c1,62251,0,1.960048316,0.95812591,1,c1ccccc1
COc1cccc(CCc2ccc(O)cc2)c1,63709,0,1.530115561,0.957717532,1,c1ccc(CCc2ccccc2)cc1
COc1cc(Cc2ccc(O)cc2)ccc1O,52270,0,1.702627159,0.957523317,1,c1ccc(Cc2ccccc2)cc1
COc1cc2[nH]c3ccccc3c2cc1O,39638,0,1.909225733,0.955348922,1,c1ccc2c(c1)[nH]c1ccccc12
COc1c(O)cc(CCc2ccccc2)cc1O,3537,0,1.91164348,0.955347033,1,c1ccc(CCc2ccccc2)cc1
COc1ccc(CCc2cc(OC)cc(O)c2C(=O)O)cc1,55033,0,1.974069133,0.954521818,1,c1ccc(CCc2ccccc2)cc1
COc1cc(CCc2cc(OC)c(O)c(OC)c2)ccc1O,69236,0,1.961199019,0.954331233,1,c1ccc(CCc2ccccc2)cc1
COc1ccc(-c2cc(=O)c3ccccc3o2)cc1OC,8760,0,1.827555928,0.954319415,1,O=c1cc(-c2ccccc2)oc2ccccc12
COc1ccc(-c2cc(=O)c3ccccc3o2)cc1,27420,0,1.715179573,0.954144092,1,O=c1cc(-c2ccccc2)oc2ccccc12
CCc1c(O)cc(CCc2ccccc2)cc1O,64031,0,1.968879679,0.954019313,1,c1ccc(CCc2ccccc2)cc1
COc1ccc(CCc2ccc(OC)c(OC)c2)cc1O,16799,0,1.747127062,0.953642842,1,c1ccc(CCc2ccccc2)cc1
O=C(CC/C=C/c1ccccc1)CCc1ccccc1,26159,0,1.855032093,0.95348844,1,O=C(CCC=Cc1ccccc1)CCc1ccccc1
COc1cccc2oc(-c3ccccc3)cc(=O)c12,38245,0,1.856538734,0.952609268,1,O=c1cc(-c2ccccc2)oc2ccccc12
CC(=O)OCCc1ccc(O)c(O)c1,91846,0,1.963442934,0.952356293,1,c1ccccc1
COc1cc(CCc2ccc(O)cc2)cc(OC)c1,2063,0,1.737648944,0.95166477,1,c1ccc(CCc2ccccc2)cc1
COc1cc(-c2ccccc2)c(O)c(O)c1-c1ccccc1,85918,0,1.864349731,0.95166099,1,c1ccc(-c2ccc(-c3ccccc3)cc2)cc1
COC(=O)CCc1ccc(O)c(O)c1,90206,0,1.849445363,0.951567147,1,c1ccccc1
COc1ccc(-c2cc(=O)c3cc(C)ccc3o2)cc1,41977,0,1.823626727,0.949679757,1,O=c1cc(-c2ccccc2)oc2ccccc12
COc1cc(CO)ccc1O,54668,0,1.679555721,0.947710137,1,c1ccccc1
COc1ccccc1-c1cc(OC)c(O)c(OC)c1,70748,0,1.723380438,0.947679233,1,c1ccc(-c2ccccc2)cc1
COc1cc(O)cc(-c2ccccc2)c1,49475,0,1.56771845,0.94649711,1,c1ccc(-c2ccccc2)cc1
COc1cccc(CCc2cc(OC)cc(OC)c2)c1,20797,0,1.69938786,0.94640077,1,c1ccc(CCc2ccccc2)cc1
COc1ccc(O)c(C(C)(C)C)c1,39121,0,1.816670519,0.945011627,1,c1ccccc1
CC(=O)c1cc(O)ccc1O,22902,0,1.905853917,0.944226473,1,c1ccccc1
COc1cc(CCCO)ccc1O,72148,0,1.749828212,0.942167533,1,c1ccccc1
COc1cccc(CCc2cc(OC)c(O)c(OC)c2)c1,34802,0,1.810622238,0.942140815,1,c1ccc(CCc2ccccc2)cc1
COc1cc2c(-c3ccccc3)cc(=O)oc2cc1O,52710,0,1.935880168,0.942001338,1,O=c1cc(-c2ccccc2)c2ccccc2o1
COc1ccc(CCc2cc(OC)c(OC)c(OC)c2)cc1O,74365,0,1.919231119,0.941127855,1,c1ccc(CCc2ccccc2)cc1
CCOc1ccc(/C=C/C(=O)O)cc1,51193,0,1.647007213,0.940725915,1,c1ccccc1
COc1ccc2c(=O)cc(-c3ccccc3)oc2c1,14733,0,1.761758034,0.939811343,1,O=c1cc(-c2ccccc2)oc2ccccc12
COc1ccc(CCC(=O)c2ccc(O)cc2)c(O)c1,40591,0,1.879668817,0.939810625,1,O=C(CCc1ccccc1)c1ccccc1
Cc1cc2c(cc1O)C(=O)c1ccccc1C2=O,38105,0,1.980333272,0.937178445,1,O=C1c2ccccc2C(=O)c2ccccc21
COc1ccc(C(=O)CCc2ccccc2)c(O)c1,56615,0,1.668536123,0.936232413,1,O=C(CCc1ccccc1)c1ccccc1
COc1ccc(C(=O)CCc2c(OC)cc(O)cc2OC)cc1,28516,0,1.999039052,0.93569956,1,O=C(CCc1ccccc1)c1ccccc1
COc1cc(OC)c2ccc(=O)oc2c1,7239,0,1.938733119,0.93336535,1,O=c1ccc2ccccc2o1
COc1cc2oc(=O)cc(-c3ccccc3)c2cc1O,56304,0,1.948878548,0.933148922,1,O=c1cc(-c2ccccc2)c2ccccc2o1
COc1cc(CCO)ccc1O,53166,0,1.752229673,0.933082488,1,c1ccccc1
COc1ccc(CCc2cccc(OC)c2)cc1,7310,0,1.424246491,0.932590227,1,c1ccc(CCc2ccccc2)cc1
COc1ccc2c(=O)c(-c3ccccc3)c(C)oc2c1,55941,0,1.834686646,0.931090833,1,O=c1c(-c2ccccc2)coc2ccccc12
COc1cc(-c2ccccc2)cc(OC)c1O,65468,0,1.578112736,0.930436128,1,c1ccc(-c2ccccc2)cc1
COc1cc(-c2ccccc2)cc(OC)c1OC,92604,0,1.50547063,0.930155792,1,c1ccc(-c2ccccc2)cc1
