Index,canonical_smiles,Label,scaffold
7599,OC/C=C/c1ccc(O)c(/C=C/[C@]23CCC(CO)=C[C@H]2c2cc(/C=C/CO)ccc2O[C@H]3O)c1,1,C1=CC2c3ccccc3OCC2(C=Cc2ccccc2)CC1
7600,OC/C=C/c1ccc(O)c(/C=C/[C@@]23CCC(CO)=C[C@H]2c2cc(/C=C/CO)ccc2O[C@H]3O)c1,1,C1=CC2c3ccccc3OCC2(C=Cc2ccccc2)CC1
7601,CC1=C[C@H]2c3cc(/C=C/CO)ccc3O[C@@H](O)[C@@]2(/C=C/c2cc(/C=C/CO)ccc2O)CC1,1,C1=CC2c3ccccc3OCC2(C=Cc2ccccc2)CC1
13748,CCCn1c(=O)[nH]c(=O)c2c1nc(-c1ccccc1OC(F)F)n2CCOC,0,O=c1[nH]c(=O)c2[nH]c(-c3ccccc3)nc2[nH]1
15468,CCCn1c(=O)[nH]c(=O)c2c1nc(-c1ccc(OC(F)(F)C(F)C(F)(F)F)cc1)n2CCOC,0,O=c1[nH]c(=O)c2[nH]c(-c3ccccc3)nc2[nH]1
9793,COC(=O)C1C(O)=C(C=NC2CCCCC2)C(=O)CC1(C)C,0,O=C1CCCC(=O)C1C=NC1CCCCC1
9476,COc1ccc(S(=O)(=O)N2CCCC2C(=O)Nn2cnnc2)cc1,0,O=C(Nn1cnnc1)C1CCCN1S(=O)(=O)c1ccccc1
9064,Cc1ccc(C(=O)C2CCN(CC(=O)Nc3ccc4c(c3)OCCO4)CC2)cc1,0,O=C(CN1CCC(C(=O)c2ccccc2)CC1)Nc1ccc2c(c1)OCCO2
10697,O=C(Nc1ccc(NC(=O)c2cccs2)cn1)c1ccco1,0,O=C(Nc1ccc(NC(=O)c2cccs2)cn1)c1ccco1
13733,O=C(CSc1cccc2cccnc12)NCc1ccco1,0,O=C(CSc1cccc2cccnc12)NCc1ccco1
387,c1ccc(-c2nc(NCc3ccco3)c3ccccc3n2)nc1,1,c1ccc(-c2nc(NCc3ccco3)c3ccccc3n2)nc1
