scaffold,mean_shap,effect
C(#Cc1cccc(-n2ccc3cncnc32)c1)Cc1nccs1,2347217591,positive
c1ccc(OCc2ncc(NCc3ccco3)o2)cc1,0.001157308,positive
O=c1oc2ccccc2c2oc3ccccc3c12,0.000310062,positive
O=C1CC(=O)C2=C(C1)Oc1ccccc1C2,0.000310062,positive
O=C1C=C([C@H]2C=C3C4CC5C(=O)C=CC6CO[C@H]([C@@H]65)[C@H]4O[C@@H]3C2)CO1,0.000310062,positive
O=c1ccc2cc3c(cc2o1)OC[C@@H](c1ccccc1)O3,0.000310062,positive
O=C1CCC[C@@H]2CCC3C4=CCC5CCCC[C@H]5C4CC[C@@H]3C12,0.000310062,positive
O=c1cc(CCc2ccccc2)oc2c1[C@@H]1C[C@H](C2)Oc2c1ccc1c(=O)cc(CCc3ccccc3)oc21,0.000310062,positive
c1ccc(Cc2ccc3c(c2)-c2ccccc2CC3)cc1,0.000310062,positive
C=C1c2ccoc2C[C@@H]2C3CCCCC3CC[C@@H]12,0.000310062,positive
O=c1cc(-c2ccccc2)oc2c3c(ccc12)OCCC3,0.000310062,positive
O=C1NC2CC[C@H]3CC4CCC/C4=C/C=C/1[C@H]23,0.000310062,positive
c1ccc(-c2ccccc2OC2CCCC3CCCC[C@H]32)cc1,0.000310062,positive
C1=C2C3C[C@@H]4OCC5CCCC([C@H]3CCC2[C@@H](c2ccoc2)C1)[C@H]54,0.000310062,positive
C=C1CC[C@@H]2CC(=O)CCC2[C@H]1COc1ccc2ccc(=O)oc2c1,0.000310062,positive
O=C(/C=C/c1ccccc1)OC1CCCCC1,0.000310062,positive
C=C1CC[C@H]2CC3=C(CC(=O)CC3=O)OC2CC[C@H]2CC[C@H]12,0.000310062,positive
O=C(O[C@H]1CCC2C(CCC3C4CC[C@@]5(C(=O)O[C@H]6CCCCO6)CCCCC5C4=CCC23)C1)c1ccccc1,0.000310062,positive
O=C(OCC12C(=O)OC3CCC1C[C@]32O[C@H]1CCCCO1)c1ccccc1,0.000310062,positive
O=c1c(-c2cccc([C@H](/C=C/c3ccccc3)c3ccccc3)c2)coc2ccccc12,0.000310062,positive
C1C[C@]23CC[C@H](CC[C@H]2C[C@H]2C1C[C@H]1O[C@H]12)C3,0.000310062,positive
O=C(CCc1ccccc1)C[C@H](CCc1ccccc1)O[C@H]1CCCCO1,0.000310062,positive
O=c1cc(-c2ccccc2)oc2cc(O[C@H]3CCCCO3)ccc12,0.000310061,positive
O=c1ccc2c3cc[nH]c4ccc(=O)n(c2c1)c43,0.000310061,positive
O=C1CC(=O)C2=C(C1)O[C@]1(CC2)C[C@@H]2C[C@@H](C2)C1,0.00031006,positive
C=C1CC[C@@H]2CCCCC2[C@H]1COc1ccc2ccc(=O)oc2c1,0.00031006,positive
O=C(CCCCc1ccccc1)CCc1ccccc1,0.00031006,positive
O=C1CC(=O)C2=C(C1)OC1Oc3ccccc3[C@@H]21,0.00031006,positive
O=C1N[C@H]2CCC=C[C@]23c2cc4c(cc2C(=O)N(CCc2ccccc2)[C@H]13)OCO4,0.00031006,positive
C1=CCC/C=C/CCCC/C=C/CC1,0.000310059,positive
C=C1CCCC[C@H]1C/C=C1\CCOC1=O,0.000310057,positive
C=C1C(=O)O[C@H]2C=C[C@H]3CCC[C@@H]3C[C@H]12,0.000310057,positive
O=C1OCC(Cc2ccc3c(c2)CCCO3)C1c1ccccc1,0.000310057,positive
