scaffold,mean_shap,effect
O=C(/C=C/C=C/c1ccccc1)/C=C/c1ccccc1,0.000976563,positive
O=c1cccc2c1c1cc[nH]c3ccc(=O)n2c31,0.000641006,positive
O=C(NCCc1ccc2c(c1)OCCO2)c1cc2ccccc2o1,0.000488281,positive
c1ccc2c(c1)CCCC21Oc2cccc3cccc(c23)O1,0.000346679,positive
c1ccc(CCc2ccccc2)cc1,0.000283203,positive
C=C1CCCC[C@H]1CC/C=C/COc1ccc2ccc(=O)oc2c1,0.000275879,positive
O=C1C=CC2[C@@H](CCC3[C@@H]2CCC2[C@H](c4ccoc4)OC(=O)[C@H]4O[C@@]324)C1,0.000275879,positive
C=C1CCCC2C[C@@H]3OC(=O)C=C3C[C@@H]12,0.000275879,positive
O=c1cc(CCc2ccccc2)oc2c1[C@H]1C[C@@H](C2)Oc2ccc3oc(CCc4ccccc4)cc(=O)c3c21,0.000275879,positive
O=C1C[C@@H](c2ccccc2)Oc2c1ccc1c2CCCO1,0.000275879,positive
O=C1CC[C@]23C[C@]24CCC2C(CC[C@@H]2[C@@H]2COC[C@H]5OCO[C@@H]5C2)[C@@H]4CC[C@H]3C1,0.000275879,positive
C=C1CCCC2c3ccccc3CC[C@@H]12,0.000275879,positive
O=C1C=C2CCCCC[C@H]2C1,0.000275879,positive
O=C1C=C(CCC2CCCC3[C@@H]2CCC[C@]32CO2)CO1,0.000275879,positive
C=C1CC[C@H]2C(=C)CC[C@H]3C(C[C@H]4C(=O)O[C@H]5C4CCC4CC=CC[C@@H]45)C(=O)O[C@@H]3[C@@H]12,0.000275879,positive
C=C1CC[C@@H]2CCCCC2[C@@H]1C/C=C1\CCOC1=O,0.000275879,positive
C=C1C(=O)O[C@H]2CC(=C)[C@@H]3CCC(=C)[C@@H]3C[C@H]12,0.000275879,positive
C=C1C(=O)OC2[C@H]3CC[C@@H]4O[C@@]43CCC[C@@H]12,0.000275879,positive
O=C1C=CC2[C@@H](CCC3C4=CCC5CCC(COC(=O)/C=C/c6ccccc6)C[C@H]5C4CC[C@@H]32)C1,0.000275879,positive
C1CCC1,0.000275879,positive
O=C1CC[C@]23Oc4cccc5c4C(CCC5)(Oc4cccc1c42)O3,0.000275879,positive
O=C1C=C([C@@H]2C[C@H]3C(CC[C@H]4CCCCC43)O2)CO1,0.000275879,positive
C=C1C(=O)O[C@H]2CC[C@@H]3CCC4O[C@]43C[C@H]12,0.000275879,positive
C=C1C(=O)O[C@@H]2CCC3O[C@@H]3C[C@H]12,0.000275879,positive
C=C1C(=O)O[C@@H]2CC[C@@H]3CCC(=O)C3C[C@H]12,0.000275879,positive
C1C[C@]23CC[C@H](CC[C@H]2C[C@H]2C1C[C@H]1O[C@H]12)C3,0.000275879,positive
O=C1OCC(Cc2ccc3c(c2)CCCO3)C1c1ccccc1,0.000275879,positive
C1CC23CC[C@@H](CC[C@H]2C[C@H]2C1C[C@H]1O[C@H]12)C3,0.000275879,positive
C=C1CC[C@@]2(COC(=O)c3ccccc3)C1[C@H](OC(=O)c1cccnc1)CC1O[C@H]1CCC=C[C@@H]2OC(=O)c1cccnc1,0.000275879,positive
C=C1CCC2CC2C=CC(=O)C2CCC(OC(=O)c3cccnc3)C2C1,0.000275879,positive
O=C1O[C@H]2[C@@H]3OC(=O)c4ccccc4-c4ccc5oc(=O)c6c(ccc7oc(=O)c4c5c76)-c4ccccc4C(=O)OC[C@H]3OC[C@@H]2OC(=O)c2ccccc2-c2ccccc21,0.000275879,positive
O=C1OCc2ccccc21,0.000275879,positive
O=C1C=CC2[C@@H](CCC3Oc4ccc5c(c4C[C@H]32)CCOC5=O)C1,0.000275879,positive
O=C1C=CC=C2OCCC12,0.000275879,positive
O=C1/C=C/[C@H]2C[C@H]2CC/C=C\[C@H]2CCCC12,0.000275879,positive
O=C1C=C2C=Cc3cccc4c3C2[C@@H](C1)O4,0.000275879,positive
O=C1C=C2CCCC3CCC(/C=C\2O1)O3,0.000275879,positive
C=C1CC23CC[C@@H]4CCCCC4[C@@H]2CC[C@H]1C3,0.000275879,positive
O=C1C[C@H]2CCCCC2[C@H]2CCCC[C@H]12,0.000275879,positive
C1=C2C(CCC3CCCC[C@H]23)C2CCC3CCCCC3[C@H]2C1,0.000275879,positive
O=c1cc(-c2ccccc2)oc2cc3occc3cc12,0.000275879,positive
O=c1ccc2cccc(/C=C/CCCc3cccc4ccc(=O)oc34)c2o1,0.000275879,positive
O=c1cc2occc3c(O[C@H]4CCCCO4)c(-c4ccccc4)oc(c1)c23,0.000275879,positive
O=c1ccc2ccc(OC[C@H]3CCC=C4CCCC[C@H]43)cc2o1,0.000275879,positive
O=C(CCc1ccc2occc2c1)c1ccccc1,0.000275879,positive
O=C(CCc1ccccc1)C[C@H](CCc1ccccc1)O[C@@H]1OCCC[C@H]1OC(=O)c1ccccc1,0.000275879,positive
O=C1CC2CC[C@H]3C(=CC(=O)C4=CCCCC43)[C@@H]2C1,0.000275879,positive
O=c1c(-c2cccc([C@@H](/C=C/c3ccccc3)c3ccccc3)c2)coc2ccccc12,0.000275879,positive
O=c1c(O[C@H]2CCC[C@@H](CO[C@H]3CCCCO3)O2)c(-c2ccccc2)oc2ccccc12,0.000275879,positive
C1=C2C3CC[C@H]4CCCCC4[C@H]3CCC2[C@H](c2ccoc2)C1,0.000275879,positive
