scaffold,mean_shap,coverage,priority,diversity_flag
O=c1cc(-c2ccccc2)oc2ccccc12,0.002982527,45,0.011419026338346431,True
O=c1ccc2ccccc2o1,0.002850702,41,0.010654982256179633,True
O=c1c(-c2ccccc2)coc2ccccc12,0.00370979,14,0.010046297555546969,True
O=c1c2ccccc2oc2ccccc12,0.003977021,9,0.009157429269124271,True
O=c1cc(-c2ccccc2)oc2c1ccc1occc12,0.00308389,16,0.008737318299601525,True
O=C1CC(c2ccccc2)Oc2ccccc21,0.002630883,21,0.008132171042818687,True
c1ccc2c(c1)[nH]c1cnccc12,0.0023214607,30,0.00797186633951513,True
O=c1oc2ccccc2c2oc3ccccc3c12,0.0037558451,7,0.0078100603250546565,True
c1cc2c(o1)CC1C(CCC3CCCCC31)C2,0.0034457974,8,0.007571190735801243,True
C1CCC2CCCCC2C1,0.003015888,11,0.007494200146215833,True
C1=C2C3CCCCC3CCC2C2CCC3CCCCC3C2C1,0.0024856105,18,0.007318728443225384,True
O=c1ccc2cc3ccoc3cc2o1,0.0032197442,7,0.00669526984306271,True
O=c1cc(-c2ccc3c(c2)OCO3)oc2c1ccc1occc12,0.003101946,5,0.005557941118534088,True
O=C1C=C2C=CNC=C2C(=O)C1,0.0024974523,7,0.005193306060983852,True
O=c1ccc2nccc3c4ccccc4n1c23,0.0023609386,8,0.005187512317501765,True
c1ccc(C2CCc3ccccc3O2)cc1,0.0024487472,5,0.004387565983345686,True
c1ccc(CCc2ccccc2Cc2ccccc2)cc1,0.002242433,5,0.004017900561859474,True
c1ccoc1,0.0014774089,5,0.0026471613864968045,True
c1ccc(-c2cc3ccccc3o2)cc1,0.00084609503,15,0.0023458735381211293,True
