scaffold,mean_shap,effect
O=C(/C=C/c1ccccc1)O[C@@H]1CO[C@@H](OCCc2ccccc2)C[C@H]1O[C@H]1CCCCO1,0.0030930717,positive
O=C(/C=C/c1ccccc1)C[C@H](CCc1ccccc1)OC1OCCC[C@H]1OC(=O)/C=C/c1ccccc1,0.0030488055,positive
O=C1C(=Cc2ccccc2)C(=O)C2CCCC1C2=O,0.0029602665,positive
C1=C2C3C[C@@H]4OCC5CCCC([C@H]3CCC2[C@@H](c2ccoc2)C1)[C@H]54,0.0029231692,positive
O=C(/C=C/c1ccccc1)C[C@H](CCc1ccccc1)O[C@@H]1OCCC[C@H]1OC(=O)/C=C/c1ccccc1,0.002853396,positive
O=C(O[C@@H]1CCCO[C@H]1Oc1c(-c2ccccc2)oc2ccccc2c1=O)c1ccccc1,0.002730888,positive
O=C(/C=C/c1ccccc1)OC[C@@H]1C[C@H](O[C@H]2CCCCO2)C[C@H](OCCc2ccccc2)O1,0.0027165976,positive
O=C1C[C@@H](c2ccccc2)Oc2cc(O[C@@H]3OCCC[C@H]3O[C@H]3CCCCO3)ccc21,0.002716198,positive
O=C1CC(c2ccccc2)Oc2cc(O[C@@H]3OCCC[C@H]3O[C@H]3CCCCO3)ccc21,0.002716198,positive
O=C(/C=C/c1ccccc1)C[C@H](CCc1ccccc1)O[C@H]1CCCCO1,0.0027146772,positive
O=C(/C=C/c1ccccc1)O[C@H]1CCC2CO[C@H]3CC4C5=CC[C@@H](c6ccoc6)C5CC[C@@H]4C1[C@H]23,0.0026953039,positive
C(=C/c1cccc(O[C@H]2CCCCO2)c1)\c1ccccc1,0.0026763696,positive
O=C(/C=C/c1ccccc1)O[C@H]1CCOC1O[C@@H]1CCC[C@@H](COC(=O)c2ccccc2)O1,0.0026587383,positive
C(=C/c1cccc(O[C@H]2CCCCO2)c1)\c1ccc(O[C@H]2CCCCO2)cc1,0.0026183883,positive
C1=C2[C@@H]3CCCC3CC[C@@H]2C2CCCCC2C1,0.0026123505,positive
O=C1C=C([C@H]2CCC3C2CC[C@@H]2C4CCC(O[C@H]5CC6OCOC6CO5)CC4CC[C@@H]32)CO1,0.0025671981,positive
O=C1CC(c2ccc3c(c2)O[C@@H](c2ccccc2)CO3)Oc2ccccc21,0.002545197,positive
O=c1cc(-c2ccccc2)oc2cc(O[C@H]3CCCCO3)ccc12,0.0025331802,positive
O=c1cc(-c2ccccc2)oc2cc(O[C@H]3CCC[C@@H](CO[C@H]4CCCCO4)O3)ccc12,0.002514752,positive
O=C(O[C@H]1[C@H](Oc2c(-c3ccccc3)oc3ccccc3c2=O)OCC[C@@H]1OC(=O)c1ccccc1)c1ccccc1,0.002497313,positive
O=C1CC=C[C@H](C[C@H]2CCC3C2CC[C@@H]2C4C(=O)C=CCC4CC[C@@H]32)O1,0.0024934355,positive
C1CC[C@H](O[C@H]2CC[C@]34C[C@]35CCC3C(CC[C@@H]3C3CCCO3)[C@@H]5C[C@H](O[C@H]3CCCCO3)[C@H]4C2)OC1,0.0023932257,positive
O=C1C=C(CCC2CCCC3CCCC[C@@H]32)CO1,0.0023860342,positive
O=C(/C=C/c1ccccc1)O[C@H]1CCC2[C@@H](CCC3C4=CCC5CCCC[C@H]5C4CC[C@@H]32)C1,0.0023845518,positive
O=c1c(O[C@H]2CCCCO2)c(-c2ccccc2)oc2cc(O[C@H]3CCCCO3)ccc12,0.0023822295,positive
O=C(/C=C/c1ccccc1)CCCCc1ccccc1,0.0023692064,positive
O=C(C1=C2OCCC[C@@]23CCCC(C1=O)C3=O)c1ccccc1,0.0023453487,positive
O=C(C1=C2OCCC[C@]23CCCC(C1=O)C3=O)c1ccccc1,0.0023453487,positive
O=c1cc(-c2cccc3c2OCC=C3)oc2ccccc12,0.002322066,positive
O=C1C=CC[C@H](C[C@H]2CCC3C2CC[C@@H]2C4C(=O)C=CCC4CC[C@@H]32)O1,0.0023032932,positive
O=C1C=C([C@H]2CCC3C2CC[C@@H]2C4CCCC[C@H]4CC[C@@H]32)CO1,0.0022990832,positive
O=c1ccc2cc(O[C@H]3CCCCO3)ccc2o1,0.0022907697,positive
C1=C2C[C@@H](O[C@@H]3OC[C@@H](O[C@H]4CCCCO4)C[C@H]3O[C@H]3CCCCO3)CCC2[C@H]2CCC3[C@@H](C[C@@H]4O[C@]5(CCCCO5)C[C@H]34)[C@@H]2C1,0.0022880053,positive
C1CC2=C3CCC4CCCCC4[C@H]3CCC2C1,0.0022633662,positive
O=C(/C=C/C=C/c1ccccc1)CCc1ccccc1,0.0022561972,positive
O=c1ccc([C@H]2CCC3C2CC[C@@H]2C4CCCC[C@H]4CC[C@@H]32)co1,0.0022453875,positive
O=C1CC[C@H]2CC3CC[C@]4(CCCO4)[C@@H]3C/C=C\[C@@H]12,0.0022393228,positive
O=C1C=C2CC[C@@H]3C(CCC4C5OCO[C@@H]5C[C@H]43)C2CC1,0.0022330275,positive
O=C(/C=C/c1ccccc1)c1ccc2c(c1)CCCO2,0.0022277771,positive
C1CC[C@H](OC[C@@H]2CCC[C@H](OC[C@H]3CCC4C5CC[C@H]6C[C@@H](O[C@@H]7OCCC[C@H]7O[C@H]7CCCCO7)CCC6[C@H]5CC[C@@H]43)O2)OC1,0.002223181,positive
O=C1C=CC2C(=C1)CC[C@@H]1[C@@H]2CCC2C3OCO[C@@H]3C[C@H]21,0.0022189936,positive
C1=C[C@H]2c3ccccc3OC[C@]2(/C=C/c2ccccc2)CC1,0.0022164942,positive
O=C1C=CC[C@H](CC2CCC3C2CC[C@@H]2C4C(=O)C=CCC4CC[C@@H]32)O1,0.0022104867,positive
O=C(OC1CCCCC1)C1CCC2CCC3C(=CC(=O)C4C3CC[C@H]3CCCCC43)[C@@H]2C1,0.002184514,positive
C1=C2C3=CC[C@H]4CCCCC4[C@@H]3CCC2CC1,0.002169778,positive
C1=C2C3CC[C@H]4CCCCC4[C@H]3CCC2[C@H](c2ccoc2)C1,0.0021619727,positive
O=C(O[C@H]1CCC2C(CCC3C4CC[C@@]5(C(=O)O[C@H]6CCCCO6)CCCCC5C4=CCC23)C1)c1ccccc1,0.0021594197,positive
C(=C/c1ccccc1O[C@H]1CCCCO1)\c1ccccc1,0.0021527563,positive
O=c1c(O[C@H]2CCCCO2)c(-c2ccccc2)oc2ccccc12,0.0021526825,positive
O=C1C=CC[C@H](C2OC[C@]34CC[C@@H]5C6C(=O)C=CCC6CC[C@H]5[C@@H]3CC[C@H]24)O1,0.0021525254,positive
O=c1ccc2ccc(O[C@H]3CCCCO3)cc2o1,0.002152369,positive
C1CC[C@H](O[C@H]2CC[C@]34C[C@]35CCC3CCCC3[C@@H]5C[C@H](O[C@H]3CCCCO3)[C@H]4C2)OC1,0.0021508317,positive
O=C1C=CC2[C@@H](CCC3Oc4ccc5c(c4C[C@H]32)CCOC5=O)C1,0.0021403795,positive
O=C1C[C@@H](c2ccccc2)Oc2cc(O[C@H]3CCC[C@@H](CO[C@H]4CCCCO4)O3)ccc21,0.0021397413,positive
O=C(/C=C/C=C/c1ccccc1)O[C@@H]1C[C@@]23OC4(c5ccccc5)OC1[C@H](O4)C2[C@@H]1OC1CC1C(=O)C=C[C@H]13,0.0021395,positive
C1=C[C@@H]2C[C@]3(C=CCC3C1)CC[C@H]1C[C@H]12,0.0021300463,positive
C1CC[C@H](O[C@@H]2CCCO[C@H]2O[C@H]2CCC3[C@@H](CCC4C5CCC[C@H]5CC[C@@H]43)C2)OC1,0.0021249438,positive
c1ccc([C@H]2Cc3cc4c(cc3O2)CCc2ccccc2-4)cc1,0.00212225,positive
O=C1CC2[C@@H](c3ccoc3)C[C@H]3O[C@@]23C2CC[C@H]3C4CCC[C@]3(COC4)[C@@H]12,0.0021091658,positive
O=C(Nc1ccnn1-c1cccc(OCCN2CCNCC2)c1)N[C@H]1CC[C@@H](Oc2ccc3nnc(N4CCCCC4)n3c2)c2ccccc21,0.0021051185,positive
C1=C[C@H]2c3ccccc3OC[C@@]2(/C=C/c2ccccc2)CC1,0.0021033646,positive
O=C1NC2CC[C@H]3CC4CCC/C4=C/C=C/1[C@H]23,0.0021006856,positive
O=C1C=C2CCCCC2[C@H]2CCC3CCCC3=C12,0.002091411,positive
O=C1CC2CCC3C(CC[C@@H]4C[C@@H](O[C@H]5CCCCO5)C[C@@H](OC5OCCC[C@H]5O[C@H]5CCCCO5)C34)C2C1,0.0020907826,positive
c1ccc(Oc2ccccc2OC2CCCC3CCCC[C@H]32)cc1,0.002086226,positive
O=C1C=C(C2CCC3C2CC[C@H]2[C@H]3CCC3CCCCC32/C=N/NC(=O)c2ccccc2)CO1,0.0020834159,positive
