ID,Input_SMILES,canonical_smiles,Name,Assessment,lipinski_rule_of_five_violations,sa_score
303,Cc1cc(S(=O)(=O)Nc2ccc(F)cc2)c(C)s1,Cc1cc(S(=O)(=O)Nc2ccc(F)cc2)c(C)s1,"N-(4-fluorophenyl)-2,5-dimethylthiophene-3-sulfonamide",safety,0,1.967851219
428,O=C(Nc1ccc(F)cc1)c1nn(-c2ccccc2)c(=O)cc1Cl,O=C(Nc1ccc(F)cc1)c1nn(-c2ccccc2)c(=O)cc1Cl,4-chloro-N-(4-fluorophenyl)-6-oxo-1-phenylpyridazine-3-carboxamide,safety,0,1.956200451
1316,CCCCOc1ccc2ccccc2c1C=O,CCCCOc1ccc2ccccc2c1C=O,2-Butoxy-1-naphthaldehyde,safety,0,1.82894947
1326,CN(c1ccccc1)S(=O)(=O)c1ccc(NC(=S)Nc2ccccc2)cc1,CN(c1ccccc1)S(=O)(=O)c1ccc(NC(=S)Nc2ccccc2)cc1,1-[4-[methyl(phenyl)sulfamoyl]phenyl]-3-phenylthiourea,safety,0,1.8491879
1354,CCOc1ccc(NC(=O)/C=C/c2ccc(OC)cc2)c([N+](=O)[O-])c1,CCOc1ccc(NC(=O)/C=C/c2ccc(OC)cc2)c([N+](=O)[O-])c1,(E)-N-(4-ethoxy-2-nitrophenyl)-3-(4-methoxyphenyl)prop-2-enamide,safety,0,1.977332555
1522,COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1OC,COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1OC,Tranilast,safety,0,1.819254848
1599,Cc1ccccc1C(=O)Nc1cccc(NC(=O)c2ccc(-c3ccc(Br)cc3)o2)c1,Cc1ccccc1C(=O)Nc1cccc(NC(=O)c2ccc(-c3ccc(Br)cc3)o2)c1,5-(4-bromophenyl)-N-{3-[(2-methylbenzoyl)amino]phenyl}-2-furamide,safety,1,1.969720125
1704,COc1ccc(OC)c(N/C=C/C(=O)c2ccccc2)c1,COc1ccc(OC)c(N/C=C/C(=O)c2ccccc2)c1," (E)-3-(2,5-dimethoxyanilino)-1-phenylprop-2-en-1-one",safety,0,1.936575928
1777,O=C1c2ccccc2C(=O)N1c1ccc(-c2nc3ccccc3o2)cc1,O=C1c2ccccc2C(=O)N1c1ccc(-c2nc3ccccc3o2)cc1,"2-[4-(1,3-benzoxazol-2-yl)phenyl]-1H-isoindole-1,3(2H)-dione",safety,0,1.929807627
1858,O=C(CCS(=O)(=O)c1ccccc1)Nc1ccc(-c2nc3ccccc3s2)cc1,O=C(CCS(=O)(=O)c1ccccc1)Nc1ccc(-c2nc3ccccc3s2)cc1,"3-(benzenesulfonyl)-N-[4-(1,3-benzothiazol-2-yl)phenyl]propanamide ",safety,0,1.99034679
2090,Cc1cc(=O)oc2cc(NC(=O)c3cccc(Br)c3)ccc12,Cc1cc(=O)oc2cc(NC(=O)c3cccc(Br)c3)ccc12,3-bromo-N-(4-methyl-2-oxochromen-7-yl)benzamide ,safety,0,1.903987129
2117,CC(=O)Oc1ccc(-c2ccc(C(=O)NCCc3ccc(S(N)(=O)=O)cc3)cc2)cc1,CC(=O)Oc1ccc(-c2ccc(C(=O)NCCc3ccc(S(N)(=O)=O)cc3)cc2)cc1,[4-[4-[2-(4-sulfamoylphenyl)ethylcarbamoyl]phenyl]phenyl] acetate,safety,0,1.946850653
3140,Cc1ccc(NC(=S)NC(=O)c2ccccc2)cc1NC(=S)NC(=O)c1ccccc1,Cc1ccc(NC(=S)NC(=O)c2ccccc2)cc1NC(=S)NC(=O)c1ccccc1,N-[[3-(benzoylcarbamothioylamino)-4-methylphenyl]carbamothioyl]benzamide,safety,0,1.97687713
3796,COc1cccc(-c2ccc3ncnc(NCc4cccc(C)c4)c3c2)c1,COc1cccc(-c2ccc3ncnc(NCc4cccc(C)c4)c3c2)c1,6-(3-methoxyphenyl)-N-[(3-methylphenyl)methyl]quinazolin-4-amine,safety,1,1.98480639
3971,O=C(Cc1cccs1)NNC(=S)NC(=O)c1ccccc1,O=C(Cc1cccs1)NNC(=S)NC(=O)c1ccccc1,N-[N'-(2-Thiophen-2-yl-acetyl)-hydrazinocarbothioyl]-benzamide,safety,0,1.997688236
4551,Cc1ccc(-c2csc(NC(=O)c3ccc(Br)cc3)c2C(=O)O)cc1,Cc1ccc(-c2csc(NC(=O)c3ccc(Br)cc3)c2C(=O)O)cc1,2-[(4-bromobenzoyl)amino]-4-(4-methylphenyl)thiophene-3-carboxylic acid,safety,1,1.951946621
4645,COc1ccc(C(=O)NNC(=S)NC(=O)c2cccs2)cc1,COc1ccc(C(=O)NNC(=S)NC(=O)c2cccs2)cc1,2-[(4-Bromobenzoyl)amino]-4-(4-methylphenyl)thiophene-3-carboxylic acid,safety,0,1.974687377
5652,COc1ccc2cc(C(=O)NC3CCCC3)cnc2c1,COc1ccc2cc(C(=O)NC3CCCC3)cnc2c1,N-cyclopentyl-7-methoxyquinoline-3-carboxamide ,safety,0,1.893645504
5888,COc1ccc2cc(C(=O)NC3CCCCC3)cnc2c1,COc1ccc2cc(C(=O)NC3CCCCC3)cnc2c1,N-cyclohexyl-7-methoxyquinoline-3-carboxamide,safety,0,1.908393936
5988,COc1ccc2cc(C(=O)NCc3ccccc3)cnc2c1,COc1ccc2cc(C(=O)NCc3ccccc3)cnc2c1,N-benzyl-7-methoxyquinoline-3-carboxamide,safety,0,1.717048838
