Index,Input_SMILES,canonical_smiles,Prob_LightGBM,Prob_RF,Prob_BiLSTM,Average_Probability,Prediction,Assessment
9,Cc1cc(C)n(-c2nc(Nc3ccccc3C(F)(F)F)nc(-n3nc(C)cc3C)n2)n1,Cc1cc(C)n(-c2nc(Nc3ccccc3C(F)(F)F)nc(-n3nc(C)cc3C)n2)n1,0.268779089,0.445,0.651889503,0.455222864,non-carcinogen,safety
14,COc1ccccc1C(=O)Nc1ccc(Oc2ncnc3sc(-c4ccccc4)cc23)cc1,COc1ccccc1C(=O)Nc1ccc(Oc2ncnc3sc(-c4ccccc4)cc23)cc1,0.536847491,0.4625,0.122057661,0.373801718,non-carcinogen,safety
21,CSc1ccc(C(=O)NC2CCSc3ccccc32)cc1,CSc1ccc(C(=O)NC2CCSc3ccccc32)cc1,0.117578966,0.274833333,0.02295273,0.13845501,non-carcinogen,safety
22,CC(=O)c1c(C)n(-c2ccc(Cl)cc2)c2ccc(O)cc12,CC(=O)c1c(C)n(-c2ccc(Cl)cc2)c2ccc(O)cc12,0.468141859,0.52,0.61967361,0.53593849,carcinogen,non-safety
25,CCOC(=O)c1cc(-c2ccc(/C=C3/C(=O)N(c4ccc(C(=O)O)cc4)N=C3C)o2)ccc1Cl,CCOC(=O)c1cc(-c2ccc(/C=C3/C(=O)N(c4ccc(C(=O)O)cc4)N=C3C)o2)ccc1Cl,0.124404196,0.28,0.014930421,0.139778206,non-carcinogen,safety
61,Cc1ccn(CCSCC(=O)O)n1,Cc1ccn(CCSCC(=O)O)n1,0.055745988,0.6,0.982815921,0.546187303,carcinogen,non-safety
83,Cc1cc(NCCOCCO)n2ncc(-c3ccc(Cl)cc3)c2n1,Cc1cc(NCCOCCO)n2ncc(-c3ccc(Cl)cc3)c2n1,0.364049831,0.393333333,0.870749474,0.542710879,carcinogen,non-safety
104,Cc1onc(-c2ccccc2Cl)c1C(=O)Nc1cccc(-c2cn3cccnc3n2)c1,Cc1onc(-c2ccccc2Cl)c1C(=O)Nc1cccc(-c2cn3cccnc3n2)c1,0.234045865,0.363333333,0.160443082,0.252607427,non-carcinogen,safety
106,Cc1cccc(N(C)S(=O)(=O)c2ccc3[nH]c(=O)c(=O)[nH]c3c2)c1,Cc1cccc(N(C)S(=O)(=O)c2ccc3[nH]c(=O)c(=O)[nH]c3c2)c1,0.208816705,0.31,0.017875575,0.178897426,non-carcinogen,safety
279,N#Cc1c(SCC(N)=O)nc2c(c1-c1ccc(OCc3ccccc3)cc1)CCCC2,N#Cc1c(SCC(N)=O)nc2c(c1-c1ccc(OCc3ccccc3)cc1)CCCC2,0.37951135,0.34,0.190321952,0.303277767,non-carcinogen,safety
303,Cc1cc(S(=O)(=O)Nc2ccc(F)cc2)c(C)s1,Cc1cc(S(=O)(=O)Nc2ccc(F)cc2)c(C)s1,0.042607074,0.631666667,0.005548428,0.22660739,non-carcinogen,safety
309,Cc1cc(Cl)c(OCCCSc2nc(C)cc(=O)[nH]2)c(Br)c1,Cc1cc(Cl)c(OCCCSc2nc(C)cc(=O)[nH]2)c(Br)c1,0.158580747,0.346666667,0.969349325,0.491532246,non-carcinogen,safety
323,O=C(Nn1c(O)c(C=C2N=c3ccccc3=N2)sc1=S)c1ccccc1,O=C(Nn1c(O)c(C=C2N=c3ccccc3=N2)sc1=S)c1ccccc1,0.205620539,0.5,0.449964136,0.385194892,non-carcinogen,safety
333,Cc1noc2ncc(C(=O)c3cc(F)ccc3O)cc12,Cc1noc2ncc(C(=O)c3cc(F)ccc3O)cc12,0.06215184,0.485833333,0.145177841,0.231054338,non-carcinogen,safety
338,COc1cc(Br)cc(/C=N/NC(=O)C(C)n2cc([N+](=O)[O-])c(OC)n2)c1O,COc1cc(Br)cc(/C=N/NC(=O)C(C)n2cc([N+](=O)[O-])c(OC)n2)c1O,0.08055353,0.45,0.300328642,0.276960724,non-carcinogen,safety
340,O=C(O/N=C1/CCCc2occc21)c1ccccc1,O=C(O/N=C1/CCCc2occc21)c1ccccc1,0.569714514,0.51,0.052781757,0.377498757,non-carcinogen,safety
343,C=CCNC(=S)NNC(=O)c1cccn(Cc2ccc(Cl)cc2)c1=O,C=CCNC(=S)NNC(=O)c1cccn(Cc2ccc(Cl)cc2)c1=O,0.399693719,0.435,0.428982466,0.421225395,non-carcinogen,safety
345,CCOC(=O)/C(=C/c1c2ccccc2cc2ccccc12)NC(=O)c1ccccc1,CCOC(=O)/C(=C/c1c2ccccc2cc2ccccc12)NC(=O)c1ccccc1,0.534125788,0.3915,0.324718177,0.416781322,non-carcinogen,safety
355,COC(=O)c1cc(OC)c(OC)cc1NC(=S)N1CCN(C)CC1,COC(=O)c1cc(OC)c(OC)cc1NC(=S)N1CCN(C)CC1,0.138800888,0.339166667,0.052679569,0.176882374,non-carcinogen,safety
356,COC(=O)c1c(-c2ccccc2)csc1NC(=O)CSc1ncnc2sc(C)c(C)c12,COC(=O)c1c(-c2ccccc2)csc1NC(=O)CSc1ncnc2sc(C)c(C)c12,0.17243747,0.465714286,0.713020682,0.450390813,non-carcinogen,safety
358,COc1cc2c(cc1NC(=O)c1cccc([N+](=O)[O-])c1)oc1ccccc12,COc1cc2c(cc1NC(=O)c1cccc([N+](=O)[O-])c1)oc1ccccc12,0.82168866,0.57,0.700413644,0.697367435,carcinogen,non-safety
374,CC[C@@H]1OC(=O)[C@H](C)[C@@H](O[C@@H]2C[C@](C)(OC)[C@H](O)[C@@H](C)O2)[C@@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)Cc3ccccc3-c3cn(CCCCCCC(=O)NO)nn3)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,CC[C@@H]1OC(=O)[C@H](C)[C@@H](O[C@@H]2C[C@](C)(OC)[C@H](O)[C@@H](C)O2)[C@@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)Cc3ccccc3-c3cn(CCCCCCC(=O)NO)nn3)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,0.185102392,0.21,0.03005847,0.141720287,non-carcinogen,safety
378,CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(NC(=O)c4cccc5[nH]ccc45)c3)cc2C(F)(F)F)CC1,CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(NC(=O)c4cccc5[nH]ccc45)c3)cc2C(F)(F)F)CC1,0.102793644,0.2175,0.088624671,0.136306105,non-carcinogen,safety
400,Cc1onc(-c2ccccc2)c1-c1nc2ccccc2c(=O)o1,Cc1onc(-c2ccccc2)c1-c1nc2ccccc2c(=O)o1,0.100591539,0.592857143,0.605505764,0.432984815,non-carcinogen,safety
403,Cc1cc(C)c2c(c1)SC1=NC(c3ccccc3)(C(F)(F)F)NC(=O)N12,Cc1cc(C)c2c(c1)SC1=NC(c3ccccc3)(C(F)(F)F)NC(=O)N12,0.118288655,0.2,0.046851017,0.121713224,non-carcinogen,safety
427,CC(=O)N(C(C)=O)c1ncnc2c1c(-c1ccc(Cl)cc1)nn2C(C)(C)C,CC(=O)N(C(C)=O)c1ncnc2c1c(-c1ccc(Cl)cc1)nn2C(C)(C)C,0.257276335,0.37,0.249244079,0.292173471,non-carcinogen,safety
428,O=C(Nc1ccc(F)cc1)c1nn(-c2ccccc2)c(=O)cc1Cl,O=C(Nc1ccc(F)cc1)c1nn(-c2ccccc2)c(=O)cc1Cl,0.457277753,0.46,0.201006576,0.372761443,non-carcinogen,safety
457,O=C(NCCNc1ccnc2cc(Cl)ccc12)c1ccccc1F,O=C(NCCNc1ccnc2cc(Cl)ccc12)c1ccccc1F,0.155548249,0.37,0.032085028,0.185877759,non-carcinogen,safety
481,CCN(CC(=O)Nc1c(F)cccc1F)C(=O)/C=C/c1ccc(C)o1,CCN(CC(=O)Nc1c(F)cccc1F)C(=O)/C=C/c1ccc(C)o1,0.275908948,0.490166667,0.063389651,0.276488422,non-carcinogen,safety
487,Cc1ccc(S(=O)(=O)CCC(=O)NCCC2=CCCCC2)cc1,Cc1ccc(S(=O)(=O)CCC(=O)NCCC2=CCCCC2)cc1,0.144826972,0.109166667,0.297885925,0.183959854,non-carcinogen,safety
495,Cc1cc(N2CCN(C)CC2)ccc1NC(=O)c1ccc(-c2ccc(Cl)cc2)o1,Cc1cc(N2CCN(C)CC2)ccc1NC(=O)c1ccc(-c2ccc(Cl)cc2)o1,0.104441487,0.424333333,0.026813185,0.185196002,non-carcinogen,safety
501,COc1ccc2[nH]c3c(c2c1)CCN=C3C,COc1ccc2[nH]c3c(c2c1)CCN=C3C,0.47190947,0.3575,0.028169757,0.285859742,non-carcinogen,safety
517,O=C(Cc1ccc2c(c1)OCO2)NN=Cc1ccc([N+](=O)[O-])o1,O=C(Cc1ccc2c(c1)OCO2)NN=Cc1ccc([N+](=O)[O-])o1,0.383776883,0.52,0.322962582,0.408913155,non-carcinogen,safety
530,COc1ccc(OC)c2c(=S)c3ccccc3[nH]c12,COc1ccc(OC)c2c(=S)c3ccccc3[nH]c12,0.386106041,0.49,0.240308493,0.372138178,non-carcinogen,safety
