Index,Input_SMILES,canonical_smiles,Assessment
9,Cc1cc(C)n(-c2nc(Nc3ccccc3C(F)(F)F)nc(-n3nc(C)cc3C)n2)n1,Cc1cc(C)n(-c2nc(Nc3ccccc3C(F)(F)F)nc(-n3nc(C)cc3C)n2)n1,safety
14,COc1ccccc1C(=O)Nc1ccc(Oc2ncnc3sc(-c4ccccc4)cc23)cc1,COc1ccccc1C(=O)Nc1ccc(Oc2ncnc3sc(-c4ccccc4)cc23)cc1,safety
25,CCOC(=O)c1cc(-c2ccc(/C=C3/C(=O)N(c4ccc(C(=O)O)cc4)N=C3C)o2)ccc1Cl,CCOC(=O)c1cc(-c2ccc(/C=C3/C(=O)N(c4ccc(C(=O)O)cc4)N=C3C)o2)ccc1Cl,safety
106,Cc1cccc(N(C)S(=O)(=O)c2ccc3[nH]c(=O)c(=O)[nH]c3c2)c1,Cc1cccc(N(C)S(=O)(=O)c2ccc3[nH]c(=O)c(=O)[nH]c3c2)c1,safety
279,N#Cc1c(SCC(N)=O)nc2c(c1-c1ccc(OCc3ccccc3)cc1)CCCC2,N#Cc1c(SCC(N)=O)nc2c(c1-c1ccc(OCc3ccccc3)cc1)CCCC2,safety
303,Cc1cc(S(=O)(=O)Nc2ccc(F)cc2)c(C)s1,Cc1cc(S(=O)(=O)Nc2ccc(F)cc2)c(C)s1,safety
323,O=C(Nn1c(O)c(C=C2N=c3ccccc3=N2)sc1=S)c1ccccc1,O=C(Nn1c(O)c(C=C2N=c3ccccc3=N2)sc1=S)c1ccccc1,safety
333,Cc1noc2ncc(C(=O)c3cc(F)ccc3O)cc12,Cc1noc2ncc(C(=O)c3cc(F)ccc3O)cc12,safety
338,COc1cc(Br)cc(/C=N/NC(=O)C(C)n2cc([N+](=O)[O-])c(OC)n2)c1O,COc1cc(Br)cc(/C=N/NC(=O)C(C)n2cc([N+](=O)[O-])c(OC)n2)c1O,safety
345,CCOC(=O)/C(=C/c1c2ccccc2cc2ccccc12)NC(=O)c1ccccc1,CCOC(=O)/C(=C/c1c2ccccc2cc2ccccc12)NC(=O)c1ccccc1,safety
378,CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(NC(=O)c4cccc5[nH]ccc45)c3)cc2C(F)(F)F)CC1,CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(NC(=O)c4cccc5[nH]ccc45)c3)cc2C(F)(F)F)CC1,safety
