ID,scaffold,mean_shap_full,mean_shap_test,mean_shap,effect_test
pos1,C1=C2C(CCC3C2CC2OCC4CCCC3C42)C(c2ccoc2)C1,0.002736748,0.002736748,0.002736748,positive
pos2,O=C(C=Cc1ccccc1)CC(CCc1ccccc1)OC1CCCCO1,0.002508349,0.002508349,0.002508349,positive
pos3,O=C1CC(c2ccc3c(c2)OC(c2ccccc2)CO3)Oc2ccccc21,0.002393869,0.002393869,0.002393869,positive
pos4,O=C1C=CCC(C2OCC34CCC5C6C(=O)C=CC=C6CCC5C3CCC24)O1,0.002276817,0.002276817,0.002276817,positive
pos5,C1=C2C(CC1c1ccoc1)OC1CC3CCCCC3CC21,0.002248325,0.002248325,0.002248325,positive
pos6,O=C(C=Cc1ccccc1)OCC1CC(OC2CCCCO2)CC(OCCc2ccccc2)O1,0.002247792,0.002247792,0.002247792,positive
pos7,O=C(OC1CCCOC1Oc1c(-c2ccccc2)oc2ccccc2c1=O)c1ccccc1,0.002215809,0.002215809,0.002215809,positive
pos8,C(=Cc1cccc(OC2CCCCO2)c1)c1ccccc1,0.002186173,0.002186173,0.002186173,positive
pos9,O=C1CC(c2ccoc2)C2CC(=O)C3C(CCC4C5CCCC43COC5)C12,0.002178994,0.002178994,0.002178994,positive
pos10,O=C1CCCC2CCC3CCCCC3C12,0.002141777,0.002141777,0.002141777,positive
pos11,O=C(OC1CCOC(Oc2c(-c3ccccc3)oc3ccccc3c2=O)C1OC(=O)c1ccccc1)c1ccccc1,0.002083804,0.002083804,0.002083804,positive
pos12,C1=C2C3=CCC4CCCCC4C3CCC2CC1,0.002073372,0.002073372,0.002073372,positive
pos13,O=C1C=C2C3CCCCC3CCC2C2CCC3CC(OC4CCCCO4)CCC3C12,0.002066508,0.002066508,0.002066508,positive
pos14,O=C1CCC(c2ccc(OCCCCCN3N=C(c4cccn5nccc45)CCC3=O)cc2)=NN1,0.002047764,0.002047764,0.002047764,positive
pos15,C(=Cc1ccccc1)C=Nc1cccc(-c2nc3ccccc3s2)c1,0.00202075,0.00202075,0.00202075,positive
pos16,O=C1C=CC2C(CCC3Oc4ccc5c(c4CC32)CCOC5=O)C1,0.001997528,0.001997528,0.001997528,positive
pos17,O=C1C=C(C2CCC3C2CCC2C4CCCCC4CCC23)CO1,0.00199531,0.00199531,0.00199531,positive
pos18,O=C1CC2CCC3C(CCC4CC(OC5CCCCO5)CC(OC5OCCCC5OC5CCCCO5)C43)C2C1,0.001946765,0.001946765,0.001946765,positive
pos19,O=C1NC2CCC3CC4CCCC4CC=C1C32,0.001916752,0.001916752,0.001916752,positive
pos20,O=C(Nc1ccnn1-c1cnn(CCN2CCCCC2)c1)NC1CCC(Oc2ccc3nnc(N4CCCCC4)n3c2)c2ccccc21,0.00188436,0.00188436,0.00188436,positive
pos21,c1ccc(-c2ccc(OC3CCCC4CCCCC43)cc2)cc1,0.001874781,0.001874781,0.001874781,positive
pos22,O=c1ccc2ccc(OC3CCCCO3)cc2o1,0.001864681,0.001864681,0.001864681,positive
pos23,O=C(Nc1ccnn1-c1cccc(OCCN2CCOCC2)c1)NC1CCC(Oc2ccc3nnc(C4CCCCC4)n3c2)c2ccccc21,0.001838115,0.001838115,0.001838115,positive
pos24,O=C(C=Cc1ccccc1)CCCCc1ccccc1,0.001831051,0.001831051,0.001831051,positive
pos25,O=C1CCC2C3=C(CCC2C1)C1CCCC1CC3,0.001816848,0.001816848,0.001816848,positive
pos26,O=C(Nc1ccccc1OC1CCNCC1)c1cccc(-c2ccc3ncncc3c2)c1,0.001813612,0.001813612,0.001813612,positive
pos27,O=C1OC23CCC4C5CCCCC5CCC4C2CCC12CCCCC23,0.001805682,0.001805682,0.001805682,positive
pos28,O=c1ccc(C2CCC3C2CCC2C4CCC(OC5CCCCO5)C=C4CCC23)co1,0.001794524,0.001794524,0.001794524,positive
pos29,O=C(NN=Cc1ccccc1)C12CC3CCC(CC(C3)C1)C2,0.001779446,0.001779446,0.001779446,positive
pos30,O=c1ccc2c3c(ccc2o1)C=CCO3,0.001775098,0.001775098,0.001775098,positive
pos31,C(=CC12Oc3ccccc3C(Oc3ccccc31)C2Cc1ccccc1)c1ccccc1,0.001764489,0.001764489,0.001764489,positive
pos32,c1ccc(CCc2ccccc2CC2c3cc4c(cc3OC2c2ccccc2)CCc2ccccc2-4)cc1,0.001764223,0.001764223,0.001764223,positive
pos33,C1COCC(C2CCC3C2CCC24CC25CCCCC5CCC34)C1,0.001759242,0.001759242,0.001759242,positive
pos34,c1ccc(-c2ccccc2OC2CCCC3CCCCC32)cc1,0.001752472,0.001752472,0.001752472,positive
pos35,O=C(C=Cc1ccc2c(c1)OCO2)c1ccccc1,0.001740491,0.001740491,0.001740491,positive
pos36,O=C1NC(=S)N(c2ccccc2)C(=O)C1=Cc1ccco1,0.001715898,0.001715898,0.001715898,positive
pos37,O=C1CC(c2ccc(OCCCCN3N=C(c4cccn5nccc45)CCC3=O)cc2)=NN1,0.001710425,0.001710425,0.001710425,positive
