Index,canonical_smiles,Label,scaffold
9,Cc1cc(C)n(-c2nc(Nc3ccccc3C(F)(F)F)nc(-n3nc(C)cc3C)n2)n1,1,c1ccc(Nc2nc(-n3cccn3)nc(-n3cccn3)n2)cc1
14,COc1ccccc1C(=O)Nc1ccc(Oc2ncnc3sc(-c4ccccc4)cc23)cc1,1,O=C(Nc1ccc(Oc2ncnc3sc(-c4ccccc4)cc23)cc1)c1ccccc1
21,CSc1ccc(C(=O)NC2CCSc3ccccc32)cc1,1,O=C(NC1CCSc2ccccc21)c1ccccc1
22,CC(=O)c1c(C)n(-c2ccc(Cl)cc2)c2ccc(O)cc12,1,c1ccc(-n2ccc3ccccc32)cc1
25,CCOC(=O)c1cc(-c2ccc(/C=C3/C(=O)N(c4ccc(C(=O)O)cc4)N=C3C)o2)ccc1Cl,1,O=C1C(=Cc2ccc(-c3ccccc3)o2)C=NN1c1ccccc1
61,Cc1ccn(CCSCC(=O)O)n1,1,c1cn[nH]c1
83,Cc1cc(NCCOCCO)n2ncc(-c3ccc(Cl)cc3)c2n1,1,c1ccc(-c2cnn3cccnc23)cc1
104,Cc1onc(-c2ccccc2Cl)c1C(=O)Nc1cccc(-c2cn3cccnc3n2)c1,1,O=C(Nc1cccc(-c2cn3cccnc3n2)c1)c1conc1-c1ccccc1
106,Cc1cccc(N(C)S(=O)(=O)c2ccc3[nH]c(=O)c(=O)[nH]c3c2)c1,1,O=c1[nH]c2ccc(S(=O)(=O)Nc3ccccc3)cc2[nH]c1=O
279,N#Cc1c(SCC(N)=O)nc2c(c1-c1ccc(OCc3ccccc3)cc1)CCCC2,1,c1ccc(COc2ccc(-c3ccnc4c3CCCC4)cc2)cc1
303,Cc1cc(S(=O)(=O)Nc2ccc(F)cc2)c(C)s1,1,O=S(=O)(Nc1ccccc1)c1ccsc1
309,Cc1cc(Cl)c(OCCCSc2nc(C)cc(=O)[nH]2)c(Br)c1,1,O=c1cc[nH]c(SCCCOc2ccccc2)n1
323,O=C(Nn1c(O)c(C=C2N=c3ccccc3=N2)sc1=S)c1ccccc1,1,O=C(NN1C(=O)C(=Cc2nc3ccccc3[nH]2)SC1=S)c1ccccc1
333,Cc1noc2ncc(C(=O)c3cc(F)ccc3O)cc12,1,O=C(c1ccccc1)c1cnc2oncc2c1
338,COc1cc(Br)cc(/C=N/NC(=O)C(C)n2cc([N+](=O)[O-])c(OC)n2)c1O,1,O=C(Cn1cccn1)NN=Cc1ccccc1
340,O=C(O/N=C1/CCCc2occc21)c1ccccc1,1,O=C(ON=C1CCCc2occc21)c1ccccc1
343,C=CCNC(=S)NNC(=O)c1cccn(Cc2ccc(Cl)cc2)c1=O,1,O=c1ccccn1Cc1ccccc1
345,CCOC(=O)/C(=C/c1c2ccccc2cc2ccccc12)NC(=O)c1ccccc1,1,O=C(N=CCc1c2ccccc2cc2ccccc12)c1ccccc1
355,COC(=O)c1cc(OC)c(OC)cc1NC(=S)N1CCN(C)CC1,1,S=C(Nc1ccccc1)N1CCNCC1
356,COC(=O)c1c(-c2ccccc2)csc1NC(=O)CSc1ncnc2sc(C)c(C)c12,1,O=C(CSc1ncnc2sccc12)Nc1cc(-c2ccccc2)cs1
358,COc1cc2c(cc1NC(=O)c1cccc([N+](=O)[O-])c1)oc1ccccc12,1,O=C(Nc1ccc2c(c1)oc1ccccc12)c1ccccc1
374,CC[C@@H]1OC(=O)[C@H](C)[C@@H](O[C@@H]2C[C@](C)(OC)[C@H](O)[C@@H](C)O2)[C@@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)Cc3ccccc3-c3cn(CCCCCCC(=O)NO)nn3)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,1,O=C1CC(OC2CCCCO2)CC(OC2CC(NCc3ccccc3-c3c[nH]nn3)CCO2)CCCCNCCCCO1
378,CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(NC(=O)c4cccc5[nH]ccc45)c3)cc2C(F)(F)F)CC1,1,O=C(Nc1ccc(CN2CCNCC2)cc1)c1cccc(NC(=O)c2cccc3[nH]ccc23)c1
400,Cc1onc(-c2ccccc2)c1-c1nc2ccccc2c(=O)o1,1,O=c1oc(-c2conc2-c2ccccc2)nc2ccccc12
403,Cc1cc(C)c2c(c1)SC1=NC(c3ccccc3)(C(F)(F)F)NC(=O)N12,1,O=C1NC(c2ccccc2)N=C2Sc3ccccc3N12
427,CC(=O)N(C(C)=O)c1ncnc2c1c(-c1ccc(Cl)cc1)nn2C(C)(C)C,1,c1ccc(-c2n[nH]c3ncncc23)cc1
428,O=C(Nc1ccc(F)cc1)c1nn(-c2ccccc2)c(=O)cc1Cl,1,O=C(Nc1ccccc1)c1ccc(=O)n(-c2ccccc2)n1
457,O=C(NCCNc1ccnc2cc(Cl)ccc12)c1ccccc1F,1,O=C(NCCNc1ccnc2ccccc12)c1ccccc1
481,CCN(CC(=O)Nc1c(F)cccc1F)C(=O)/C=C/c1ccc(C)o1,1,O=C(C=Cc1ccco1)NCC(=O)Nc1ccccc1
487,Cc1ccc(S(=O)(=O)CCC(=O)NCCC2=CCCCC2)cc1,1,O=C(CCS(=O)(=O)c1ccccc1)NCCC1=CCCCC1
495,Cc1cc(N2CCN(C)CC2)ccc1NC(=O)c1ccc(-c2ccc(Cl)cc2)o1,1,O=C(Nc1ccc(N2CCNCC2)cc1)c1ccc(-c2ccccc2)o1
501,COc1ccc2[nH]c3c(c2c1)CCN=C3C,1,C1=NCCc2c1[nH]c1ccccc21
517,O=C(Cc1ccc2c(c1)OCO2)NN=Cc1ccc([N+](=O)[O-])o1,1,O=C(Cc1ccc2c(c1)OCO2)NN=Cc1ccco1
530,COc1ccc(OC)c2c(=S)c3ccccc3[nH]c12,1,S=c1c2ccccc2[nH]c2ccccc12
536,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCCN2CCC(c3ccccc3)(c3ccccc3)CC2)[C@H]1c1cccc([N+](=O)[O-])c1,1,O=C(OCCCN1CCC(c2ccccc2)(c2ccccc2)CC1)C1C=NC=CC1c1ccccc1
549,C[C@@H]1CN([C@H](C)CO)C(=O)Cc2cc(NC(=O)Cc3cn(C)c4ccccc34)ccc2O[C@H]1CN(C)Cc1ccc(C(F)(F)F)cc1,1,O=C1Cc2cc(NC(=O)Cc3c[nH]c4ccccc34)ccc2OC(CNCc2ccccc2)CCN1
550,Cc1noc(C)c1S(=O)(=O)Nc1ccc2c(c1)CC(=O)N([C@@H](C)CO)C[C@@H](C)[C@@H](CN(C)Cc1ccc(Oc3ccccc3)cc1)O2,1,O=C1Cc2cc(NS(=O)(=O)c3cnoc3)ccc2OC(CNCc2ccc(Oc3ccccc3)cc2)CCN1
553,C[C@H]1CN([C@@H](C)CO)C(=O)Cc2cc(NS(=O)(=O)c3cccs3)ccc2O[C@@H]1CN(C)Cc1ccc(Cl)c(Cl)c1,1,O=C1Cc2cc(NS(=O)(=O)c3cccs3)ccc2OC(CNCc2ccccc2)CCN1
